DiseaseID	DiseaseName	SourceName	SourceID
UMLS:C0002016	Aleutian mink disease	MONDO	MONDO:0005641
UMLS:C0002018	Alexia	MONDO	MONDO:0001712
UMLS:C0002020	Alexithymia	MONDO	MONDO:0000661
UMLS:C0002063	Alkalosis	Human Phenotype Ontology	HP:0001948
UMLS:C0002064	Respiratory alkalosis	Human Phenotype Ontology	HP:0001950
UMLS:C0002066	Alkaptonuria	MONDO	MONDO:0008753
UMLS:C0002170	Alopecia	MONDO	MONDO:0004907
UMLS:C0002171	Alopecia areata	MONDO	MONDO:0005340
UMLS:C0002173	Alopecia mucinosa	MONDO	MONDO:0006551
UMLS:C0002176	Endocrine alopecia	MONDO	MONDO:0021208
UMLS:C0002312	alpha Thalassemia		
UMLS:C0002390	Hypersensitivity pneumonitis	MONDO	MONDO:0017853
UMLS:C0002395	Alzheimer disease	MONDO	MONDO:0004975
UMLS:C0002418	Amblyopia	MONDO	MONDO:0001020
UMLS:C0002438	Amebiasis	MONDO	MONDO:0005644
UMLS:C0002447	Amelia	Human Phenotype Ontology	HP:0009827
UMLS:C0002448	Ameloblastoma	MONDO	MONDO:0017795
UMLS:C0002452	Amelogenesis imperfecta	MONDO	MONDO:0019507
UMLS:C0002453	Amenorrhea	Human Phenotype Ontology	HP:0000141
UMLS:C0002514	Disorder of amino acid metabolism		
UMLS:C0002534	Renal aminoaciduria	MONDO	MONDO:0006944
UMLS:C0002624	Retrograde amnesia	MONDO	MONDO:0003040
UMLS:C0002625	Amnestic disorder	MONDO	MONDO:0001152
UMLS:C0002631	Amnionitis	MONDO	MONDO:0020710
UMLS:C0002636	Amniotic band syndrome	MONDO	MONDO:0015167
UMLS:C0002726	Amyloidosis	MONDO	MONDO:0019065
UMLS:C0002735	Amyotonia congenita	MONDO	MONDO:0056822
UMLS:C0002736	Amyotrophic lateral sclerosis	MONDO	MONDO:0004976
UMLS:C0002757	Anal gland neoplasm	MONDO	MONDO:0003045
UMLS:C0002768	Congenital Indifference to Pain		
UMLS:C0002797	Anaplasmosis	MONDO	MONDO:0025303
UMLS:C0002831	Ancylostomiasis	MONDO	MONDO:0005645
UMLS:C0002871	Anemia	MONDO	MONDO:0002280
UMLS:C0002873	Anemia due to chronic disorder	MONDO	MONDO:0020725
UMLS:C0002874	Aplastic anemia	MONDO	MONDO:0015909
UMLS:C0002875	Beta-thalassemia major	MONDO	MONDO:0016486
UMLS:C0002876	Congenital dyserythropoietic anemia	Orphanet	ORPHA85
UMLS:C0002878	Hemolytic anemia	MONDO	MONDO:0003664
UMLS:C0002880	Autoimmune hemolytic anemia	MONDO	MONDO:0020108
UMLS:C0002881	Congenital hemolytic anemia	Human Phenotype Ontology	HP:0004804
UMLS:C0002882	Congenital nonspherocytic hemolytic anemia	MONDO	MONDO:0006506
UMLS:C0002884	Hypochromic anemia	MONDO	MONDO:0001357
UMLS:C0002886	Macrocytic anemia	MONDO	MONDO:0002281
UMLS:C0002888	Megaloblastic anemia	MONDO	MONDO:0001700
UMLS:C0002890	Myelophthisic anemia	MONDO	MONDO:0005868
UMLS:C0002891	Neonatal anemia	MONDO	MONDO:0001240
UMLS:C0002892	Pernicious anemia	MONDO	MONDO:0008228
UMLS:C0002893	Refractory anemia	MONDO	MONDO:0005272
UMLS:C0002894	Myelodysplastic syndrome with excess blasts	MONDO	MONDO:0019454
UMLS:C0002895	Hb SS disease		
UMLS:C0002896	Sideroblastic anemia	MONDO	MONDO:0015194
UMLS:C0002902	Anencephaly	MONDO	MONDO:0000819
UMLS:C0002938	Aneuploidy	MONDO	MONDO:0700064
UMLS:C0002940	Vascular dilatation	Human Phenotype Ontology	HP:0002617
UMLS:C0002949	Arterial dissection	Human Phenotype Ontology	HP:0005294
UMLS:C0002959	Vascular ectasia	MONDO	MONDO:0021658
UMLS:C0002962	Angina pectoris	Human Phenotype Ontology	HP:0001681
UMLS:C0002963	Prinzmetal angina	MONDO	MONDO:0006021
UMLS:C0002965	Intermediate coronary syndrome	MONDO	MONDO:0006805
UMLS:C0002982	Angioid streaks	MONDO	MONDO:0011782
UMLS:C0002983	Angioid streaks of choroid	MONDO	MONDO:0004882
UMLS:C0002985	Angiokeratoma	MONDO	MONDO:0003143
UMLS:C0002986	Fabry disease	MONDO	MONDO:0010526
UMLS:C0002989	Skin epithelioid hemangioma	MONDO	MONDO:0001939
UMLS:C0002991	Dermatofibroma		
UMLS:C0002992	Angiomatosis	MONDO	MONDO:0024461
UMLS:C0002994	Angioedema	MONDO	MONDO:0010481
UMLS:C0003028	Anhidrosis	MONDO	MONDO:0006527
UMLS:C0003076	Congenital aniridia		
UMLS:C0003078	Aniseikonia	MONDO	MONDO:0000309
UMLS:C0003079	Anisocoria	MONDO	MONDO:0007122
UMLS:C0003081	Anisometropia	MONDO	MONDO:0001478
UMLS:C0003090	Ankylosis	MONDO	MONDO:0002257
UMLS:C0003113	Anomic aphasia	Human Phenotype Ontology	HP:0030784
UMLS:C0003119	Anophthalmia		
UMLS:C0003123	Anorexia	Human Phenotype Ontology	HP:0002039
UMLS:C0003125	Anorexia nervosa	MONDO	MONDO:0005351
UMLS:C0003126	Anosmia	Human Phenotype Ontology	HP:0000458
UMLS:C0003128	Anovulation	MONDO	MONDO:0002775
UMLS:C0003152	Anterior compartment syndrome	MONDO	MONDO:0006648
UMLS:C0003164	Anthracosilicosis	MONDO	MONDO:0006653
UMLS:C0003165	Anthracosis	MONDO	MONDO:0006654
UMLS:C0003175	Anthrax infection	MONDO	MONDO:0005119
UMLS:C0003177	Cutaneous anthrax	MONDO	MONDO:0004215
UMLS:C0003431	Antisocial personality disorder	MONDO	MONDO:0001164
UMLS:C0003460	Anuria	MONDO	MONDO:0002476
UMLS:C0003463	Anus neoplasm	MONDO	MONDO:0003046
UMLS:C0003466	Imperforate anus	MONDO	MONDO:0001046
UMLS:C0003467	Anxiety	MONDO	MONDO:0011918
UMLS:C0003469	anxiety disorder		
UMLS:C0003486	Aortic aneurysm	MONDO	MONDO:0005160
UMLS:C0003492	Coarctation of aorta		
UMLS:C0003493	Aortic disorder	MONDO	MONDO:0005561
UMLS:C0003496	Aortic rupture	Human Phenotype Ontology	HP:0031649
UMLS:C0003499	Supravalvar aortic stenosis		
UMLS:C0003504	Aortic regurgitation	Human Phenotype Ontology	HP:0001659
UMLS:C0003505	Aortic valve prolapse	MONDO	MONDO:0006655
UMLS:C0003507	Aortic valve stenosis	MONDO	MONDO:0042981
UMLS:C0003509	Aortitis	MONDO	MONDO:0006656
UMLS:C0003511	Syphilitic aortitis	MONDO	MONDO:0006992
UMLS:C0003516	Aortopulmonary window	MONDO	MONDO:0021902
UMLS:C0003537	Aphasia	Human Phenotype Ontology	HP:0002381
UMLS:C0003564	Loss of voice	Human Phenotype Ontology	HP:0001686
UMLS:C0003578	Apnea	Human Phenotype Ontology	HP:0002104
UMLS:C0003614	Appendiceal neoplasm	MONDO	MONDO:0001236
UMLS:C0003615	Appendicitis	MONDO	MONDO:0005649
UMLS:C0003635	Apraxia	MONDO	MONDO:0000665
UMLS:C0003650	APUdoma	Human Phenotype Ontology	HP:0040192
UMLS:C0003706	Arachnodactyly	Human Phenotype Ontology	HP:0001166
UMLS:C0003708	Arachnoiditis	MONDO	MONDO:0015304
UMLS:C0003723	Arbovirus infection	MONDO	MONDO:0020731
UMLS:C0003742	Arcus senilis	MONDO	MONDO:0007150
UMLS:C0003803	Chiari malformation	Human Phenotype Ontology	HP:0002308
UMLS:C0003810	Ovarian Sertoli-Leydig cell tumor	MONDO	MONDO:0036595
UMLS:C0003811	Cardiac arrhythmia		
UMLS:C0003850	Arteriosclerosis	PharmGKB	
UMLS:C0003851	Arteriosclerosis obliterans	MONDO	MONDO:0006659
UMLS:C0003855	Arteriovenous fistula	Human Phenotype Ontology	HP:0004947
UMLS:C0003857	Arteriovenous malformation	Human Phenotype Ontology	HP:0100026
UMLS:C0003860	Arteritis	MONDO	MONDO:0043494
UMLS:C0003862	Arthralgia	Human Phenotype Ontology	HP:0002829
UMLS:C0003864	Arthritis	Human Phenotype Ontology	HP:0001369
UMLS:C0003869	Infective arthritis	MONDO	MONDO:0042485
UMLS:C0003872	Psoriatic arthritis	MONDO	MONDO:0011849
UMLS:C0003873	Rheumatoid arthritis	MONDO	MONDO:0008383
UMLS:C0003886	Arthrogryposis multiplex congenita	MONDO	MONDO:0015168
UMLS:C0003892	Neuropathic arthropathy	Human Phenotype Ontology	HP:0002821
UMLS:C0003907	Arthus reaction	MONDO	MONDO:0006660
UMLS:C0003910	articulation disorder		
UMLS:C0003949	Asbestosis	MONDO	MONDO:0016466
UMLS:C0003950	Ascariasis	MONDO	MONDO:0005654
UMLS:C0003952	Ascaridiasis	MONDO	MONDO:0005655
UMLS:C0003962	Ascites	Human Phenotype Ontology	HP:0001541
UMLS:C0003969	Low levels of vitamin C	Human Phenotype Ontology	HP:0100510
UMLS:C0004030	Aspergillosis	MONDO	MONDO:0005657
UMLS:C0004045	Neonatal asphyxia	Human Phenotype Ontology	HP:0012768
UMLS:C0004093	Asthenia	Human Phenotype Ontology	HP:0025406
UMLS:C0004095	Asthenopia	MONDO	MONDO:0000950
UMLS:C0004096	Asthma	MONDO	MONDO:0004979
UMLS:C0004099	Exercise-induced asthma	Human Phenotype Ontology	HP:0012652
UMLS:C0004106	Astigmatism	MONDO	MONDO:0011284
UMLS:C0004114	Astrocytoma	Human Phenotype Ontology	HP:0009592
UMLS:C0004134	Ataxia	Human Phenotype Ontology	HP:0001251
UMLS:C0004135	Ataxia-telangiectasia syndrome		
UMLS:C0004138	Hereditary ataxia	MONDO	MONDO:0100309
UMLS:C0004144	Atelectasis	Human Phenotype Ontology	HP:0100750
UMLS:C0004153	Atherosclerosis	Human Phenotype Ontology	HP:0002621
UMLS:C0004158	Athetosis	Human Phenotype Ontology	HP:0002305
UMLS:C0004238	Atrial fibrillation	MONDO	MONDO:0004981
UMLS:C0004239	Atrial flutter	MONDO	MONDO:0005310
UMLS:C0004245	Atrioventricular block	MONDO	MONDO:0000465
UMLS:C0004331	Atrioventricular dissociation	MONDO	MONDO:0008848
UMLS:C0004352	Autism	MONDO	MONDO:0005260
UMLS:C0004364	Autoimmune disease	MONDO	MONDO:0007179
UMLS:C0004368	Autoimmunity	Human Phenotype Ontology	HP:0002960
UMLS:C0004444	Avoidant personality disorder	MONDO	MONDO:0002027
UMLS:C0004509	Azoospermia	MONDO	MONDO:0100459
UMLS:C0004576	Babesiosis	MONDO	MONDO:0005661
UMLS:C0004604	Back pain	Human Phenotype Ontology	HP:0003418
UMLS:C0004606	Background diabetic retinopathy	MONDO	MONDO:0001661
UMLS:C0004610	Bacterial infectious disease with sepsis	MONDO	MONDO:0005229
UMLS:C0004623	Bacterial infectious disease	MONDO	MONDO:0005113
UMLS:C0004626	Bacterial pneumonia	MONDO	MONDO:0004652
UMLS:C0004659	Bacteriuria	MONDO	MONDO:0001882
UMLS:C0004669	Bacteroides infectious disease	MONDO	MONDO:0006671
UMLS:C0004681	Bagassosis	MONDO	MONDO:0001540
UMLS:C0004690	Balanitis	MONDO	MONDO:0006672
UMLS:C0004691	Balanoposthitis	MONDO	MONDO:0001618
UMLS:C0004692	Balantidiasis	MONDO	MONDO:0005662
UMLS:C0004698	Balkan nephropathy	MONDO	MONDO:0007416
UMLS:C0004712	Balo concentric sclerosis	MONDO	MONDO:0016430
UMLS:C0004763	Barrett esophagus	MONDO	MONDO:0013662
UMLS:C0004767	Bartholin duct cyst	MONDO	MONDO:0004593
UMLS:C0004771	Bartonellosis	MONDO	MONDO:0005664
UMLS:C0004773	Bartonellaceae infectious disease	MONDO	MONDO:0006924
UMLS:C0004775	Bartter syndrome	MONDO	MONDO:0015231
UMLS:C0004779	Gorlin syndrome		
UMLS:C0004812	Basilar artery insufficiency	MONDO	MONDO:0002250
UMLS:C0004903	Beckwith-Wiedemann syndrome	MONDO	MONDO:0007534
UMLS:C0004930	Behavior disorder	NCBI curation	
UMLS:C0004936	Mental disorder	MONDO	MONDO:0005084
UMLS:C0004943	Behcet disease	MONDO	MONDO:0007191
UMLS:C0004945	Bejel	MONDO	MONDO:0001714
UMLS:C0004968	Bence Jones Proteinuria	Human Phenotype Ontology	HP:0030156
UMLS:C0004991	Benign colon neoplasm	MONDO	MONDO:0002278
UMLS:C0004994	Benign neoplasm of lower jaw bone	MONDO	MONDO:0021522
UMLS:C0004998	Benign neoplasm of skin	MONDO	MONDO:0021440
UMLS:C0005122	Beriberi	MONDO	MONDO:0006676
UMLS:C0005129	Bernard Soulier syndrome		
UMLS:C0005283	beta Thalassemia		
UMLS:C0005395	Bile duct disorder	MONDO	MONDO:0002887
UMLS:C0005396	Bile duct neoplasm	MONDO	MONDO:0021662
UMLS:C0005398	Extrahepatic cholestasis	MONDO	MONDO:0006757
UMLS:C0005403	Bile reflux	MONDO	MONDO:0006677
UMLS:C0005411	Biliary atresia	MONDO	MONDO:0008867
UMLS:C0005416	Biliary dyskinesia	MONDO	MONDO:0005667
UMLS:C0005426	Biliary tract neoplasm	MONDO	MONDO:0005304
UMLS:C0005443	Bilirubinuria	Human Phenotype Ontology	HP:0031811
UMLS:C0005586	Bipolar affective disorder	Human Phenotype Ontology	HP:0007302
UMLS:C0005592	Bird-fanciers' lung		
UMLS:C0005603	Birth history	Human Phenotype Ontology	HP:0033623
UMLS:C0005681	Blackwater fever	MONDO	MONDO:0005670
UMLS:C0005683	Bladder stones	Human Phenotype Ontology	HP:0010474
UMLS:C0005684	Malignant tumor of urinary bladder		
UMLS:C0005686	Urinary bladder disorder	MONDO	MONDO:0006026
UMLS:C0005689	Bladder exstrophy	MONDO	MONDO:0010805
UMLS:C0005690	Bladder fistula	Human Phenotype Ontology	HP:0004321
UMLS:C0005694	Bladder neck obstruction	MONDO	MONDO:0006679
UMLS:C0005695	Bladder neoplasm	Human Phenotype Ontology	HP:0009725
UMLS:C0005697	Neurogenic bladder	Human Phenotype Ontology	HP:0000011
UMLS:C0005699	Blast phase chronic myelogenous leukemia, BCR-ABL1 positive	MONDO	MONDO:0006115
UMLS:C0005716	Blastomycosis	MONDO	MONDO:0005672
UMLS:C0005741	Blepharitis	Human Phenotype Ontology	HP:0000498
UMLS:C0005742	Blepharochalasis	MONDO	MONDO:0002660
UMLS:C0005743	Blepharoconjunctivitis	MONDO	MONDO:0002307
UMLS:C0005744	Blepharophimosis	MONDO	MONDO:0001008
UMLS:C0005745	Ptosis	MONDO	MONDO:0000728
UMLS:C0005747	Blepharospasm	MONDO	MONDO:0011728
UMLS:C0005750	Blind loop syndrome	MONDO	MONDO:0005673
UMLS:C0005754	Congenital blindness	Human Phenotype Ontology	HP:0007875
UMLS:C0005779	Abnormality of the coagulation cascade	Human Phenotype Ontology	HP:0003256
UMLS:C0005806	Blood group incompatibility	MONDO	MONDO:0002901
UMLS:C0005810	Blood group	Human Phenotype Ontology	HP:0032223
UMLS:C0005818	Inherited bleeding disorder, platelet-type	MONDO	MONDO:0000009
UMLS:C0005859	Bloom syndrome	MONDO	MONDO:0008876
UMLS:C0005887	Body dysmorphic disorder	MONDO	MONDO:0000690
UMLS:C0005937	Bone cyst	Human Phenotype Ontology	HP:0012062
UMLS:C0005940	Disorder of bone	NCBI curation	
UMLS:C0006009	Intellectual disability, borderline	Human Phenotype Ontology	HP:0006889
UMLS:C0006012	Borderline personality disorder	MONDO	MONDO:0001156
UMLS:C0006015	Bordetellosis	MONDO	MONDO:0037872
UMLS:C0006023	Borna disease	MONDO	MONDO:0005676
UMLS:C0006035	Borrelia infectious disease	MONDO	MONDO:0006681
UMLS:C0006057	Botulism	MONDO	MONDO:0005498
UMLS:C0006060	Boutonneuse fever	MONDO	MONDO:0024472
UMLS:C0006079	Bowen disease of the skin	MONDO	MONDO:0020761
UMLS:C0006091	Brachial plexus neuropathy from injury	MONDO	MONDO:0004569
UMLS:C0006105	Brain abscess	Human Phenotype Ontology	HP:0030049
UMLS:C0006112	Metabolic encephalopathy		
UMLS:C0006114	Cerebral edema	Human Phenotype Ontology	HP:0002181
UMLS:C0006118	Neoplasm of brain		
UMLS:C0006123	Branch retinal artery occlusion	MONDO	MONDO:0001630
UMLS:C0006131	Branchial cyst	Human Phenotype Ontology	HP:0009796
UMLS:C0006142	Malignant tumor of breast	NCBI curation	
UMLS:C0006145	Breast disorder	MONDO	MONDO:0002657
UMLS:C0006157	Breech presentation	Human Phenotype Ontology	HP:0001623
UMLS:C0006181	Brill-Zinsser disease	MONDO	MONDO:0005680
UMLS:C0006261	Abnormality of the bronchi	Human Phenotype Ontology	HP:0002109
UMLS:C0006264	Bronchial neoplasm	MONDO	MONDO:0002807
UMLS:C0006266	Bronchospasm	Human Phenotype Ontology	HP:0025428
UMLS:C0006267	Bronchiectasis	MONDO	MONDO:0004822
UMLS:C0006271	Bronchiolitis	MONDO	MONDO:0002465
UMLS:C0006272	Bronchiolitis obliterans with obstructive pulmonary disease	MONDO	MONDO:0015265
UMLS:C0006277	Bronchitis	MONDO	MONDO:0003781
UMLS:C0006281	Bronchogenic cyst	MONDO	MONDO:0016523
UMLS:C0006285	Bronchopneumonia	MONDO	MONDO:0005682
UMLS:C0006287	Bronchopulmonary dysplasia of newborn		
UMLS:C0006288	Bronchopulmonary sequestration	Human Phenotype Ontology	HP:0010960
UMLS:C0006309	Brucellosis	MONDO	MONDO:0005683
UMLS:C0006325	Bruxism	MONDO	MONDO:0002443
UMLS:C0006370	Bulimia	Human Phenotype Ontology	HP:0100739
UMLS:C0006384	Bundle branch block	MONDO	MONDO:0020803
UMLS:C0006413	Burkitt lymphoma	MONDO	MONDO:0007243
UMLS:C0006430	Burning mouth syndrome	MONDO	MONDO:0006687
UMLS:C0006444	Bursitis	MONDO	MONDO:0002471
UMLS:C0006542	Byssinosis	MONDO	MONDO:0006688
UMLS:C0006625	Cachexia	Human Phenotype Ontology	HP:0004326
UMLS:C0006663	Calcinosis	MONDO	MONDO:0002123
UMLS:C0006664	Calcinosis cutis	Human Phenotype Ontology	HP:0025520
UMLS:C0006666	Calciphylaxis	MONDO	MONDO:0017215
UMLS:C0006705	disorder of calcium metabolism		
UMLS:C0006818	Campylobacteriosis	MONDO	MONDO:0005688
UMLS:C0006826	Malignant neoplastic disease	NCBI curation	
UMLS:C0006840	Candidiasis	MONDO	MONDO:0002026
UMLS:C0006845	Chronic mucocutaneous candidiasis	MONDO	MONDO:0015279
UMLS:C0006846	Cutaneous candidiasis	MONDO	MONDO:0000879
UMLS:C0006849	Oral candidiasis	MONDO	MONDO:0005886
UMLS:C0006870	Cannabis dependence	MONDO	MONDO:0005689
UMLS:C0006895	Capgras syndrome	MONDO	MONDO:0003965
UMLS:C0006897	Capillariasis	MONDO	MONDO:0001532
UMLS:C0006905	Capillary fragility	Human Phenotype Ontology	HP:0025017
UMLS:C0006915	Caplan syndrome	MONDO	MONDO:0005690
UMLS:C0007078	Carbuncle	MONDO	MONDO:0002237
UMLS:C0007093	Carcinoid heart disease	MONDO	MONDO:0043529
UMLS:C0007095	Carcinoid tumor	MONDO	MONDO:0005369
UMLS:C0007097	Carcinoma	MONDO	MONDO:0004993
UMLS:C0007099	In situ carcinoma	MONDO	MONDO:0004647
UMLS:C0007102	Colon cancer	Human Phenotype Ontology	HP:0003003
UMLS:C0007103	Endometrial cancer	MONDO	MONDO:0011962
UMLS:C0007104	Female breast carcinoma	MONDO	MONDO:0004379
UMLS:C0007107	Larynx cancer	MONDO	MONDO:0002352
UMLS:C0007112	Prostate adenocarcinoma	MONDO	MONDO:0005082
UMLS:C0007113	Rectal carcinoma	MONDO	MONDO:0044937
UMLS:C0007114	Malignant neoplasm of skin	NCBI curation	
UMLS:C0007115	Malignant tumor of thyroid gland	NCBI curation	
UMLS:C0007117	Basal cell carcinoma	MONDO	MONDO:0020804
UMLS:C0007118	Basosquamous carcinoma	MONDO	MONDO:0003264
UMLS:C0007120	Alveolar cell carcinoma	Human Phenotype Ontology	HP:0006519
UMLS:C0007121	Bronchogenic carcinoma	MONDO	MONDO:0002806
UMLS:C0007124	Ductal carcinoma in situ	Human Phenotype Ontology	HP:0030075
UMLS:C0007125	Ehrlich tumor carcinoma	MONDO	MONDO:0006739
UMLS:C0007128	Krebs 2 carcinoma	MONDO	MONDO:0006824
UMLS:C0007129	Cutaneous neuroendocrine carcinoma	MONDO	MONDO:0019210
UMLS:C0007130	Mucinous adenocarcinoma	MONDO	MONDO:0004957
UMLS:C0007131	Non-small cell lung carcinoma	MONDO	MONDO:0005233
UMLS:C0007133	Papillary carcinoma	MONDO	MONDO:0006509
UMLS:C0007134	Renal cell carcinoma	MONDO	MONDO:0005086
UMLS:C0007135	Scirrhous adenocarcinoma	MONDO	MONDO:0005953
UMLS:C0007137	Squamous cell carcinoma	MONDO	MONDO:0005096
UMLS:C0007138	Transitional cell carcinoma	MONDO	MONDO:0006474
UMLS:C0007140	Carcinosarcoma	MONDO	MONDO:0002928
UMLS:C0007166	Decreased cardiac output	Human Phenotype Ontology	HP:0033532
UMLS:C0007177	Cardiac tamponade	MONDO	MONDO:0001297
UMLS:C0007192	Alcoholic cardiomyopathy	MONDO	MONDO:0006643
UMLS:C0007193	Primary dilated cardiomyopathy		
UMLS:C0007194	Hypertrophic cardiomyopathy	MONDO	MONDO:0005045
UMLS:C0007196	Restrictive cardiomyopathy	MONDO	MONDO:0005201
UMLS:C0007222	Disorder of cardiovascular system		
