DiseaseID	GeneID  AssociatedGenes	RelatedGenes	ConceptID	DiseaseName	SourceName	DiseaseMIM	LastUpdated
OMIM:615018	B4GALNT2		CN305190	BLOOD GROUP, SID SYSTEM	OMIM	615018.0	Dec 15 2021
OMIM:617885	ADCY3		C4693522	BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 19	OMIM	617885.0	Mar  1 2018
OMIM:617956	TAS2R16		C4693750	BETA-GLUCOPYRANOSIDE TASTING	OMIM	617956.0	May  4 2018
OMIM:617966	NPC1L1		C4693795	LOW DENSITY LIPOPROTEIN CHOLESTEROL LEVEL QUANTITATIVE TRAIT LOCUS 7	OMIM	617966.0	May 11 2018
OMIM:617970	RHCE		C4693796	RH-NULL, AMORPH TYPE	OMIM	617970.0	May 16 2018
OMIM:618018	CYP2C8		C4693948	DRUG METABOLISM, ALTERED, CYP2C8-RELATED	OMIM	618018.0	Jun 22 2018
OMIM:618057	CES1		C4748035	DRUG METABOLISM, ALTERED, CES1-RELATED	OMIM	618057.0	Jul 25 2018
OMIM:618079	LIMA1		C4748092	LOW DENSITY LIPOPROTEIN CHOLESTEROL LEVEL QUANTITATIVE TRAIT LOCUS 8	OMIM	618079.0	Aug 10 2018
OMIM:618373	SASH1		CN258269	CANCER, ALOPECIA, PIGMENT DYSCRASIA, ONYCHODYSTROPHY, AND KERATODERMA	OMIM	618373.0	Mar 31 2019
OMIM:618406	MC4R		C4759928	BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 20	OMIM	618406.0	May  3 2019
OMIM:618440	PIK3C2A		C5193101	OCULOSKELETODENTAL SYNDROME	OMIM	618440.0	May 23 2019
OMIM:618591	ADRB1		C5231420	SHORT SLEEP, FAMILIAL NATURAL, 2	OMIM	618591.0	Sep 27 2019
OMIM:618807	LPA		C5394134	LIPOPROTEIN(a) QUANTITATIVE TRAIT LOCUS	OMIM	618807.0	Mar 13 2020
OMIM:619030	PRKAG3		C5436642	SKELETAL MUSCLE GLYCOGEN CONTENT AND METABOLISM QUANTITATIVE TRAIT LOCUS	OMIM	619030.0	Sep 20 2020
OMIM:619268	SMG8		C5543274	ALZAHRANI-KUWAHARA SYNDROME	OMIM	619268.0	Apr 21 2021
OMIM:619273	VPS4A		C5543287	CIMDAG SYNDROME	OMIM	619273.0	Apr 24 2021
OMIM:619279	UQCRC1		C5543299	PARKINSONISM WITH POLYNEUROPATHY	OMIM	619279.0	Apr 21 2021
OMIM:619286	MED27		C5543306	NEURODEVELOPMENTAL DISORDER WITH SPASTICITY, CATARACTS, AND CEREBELLAR HYPOPLASIA	OMIM	619286.0	Apr 25 2021
OMIM:619293	SMARCA2		C5443984	BLEPHAROPHIMOSIS-IMPAIRED INTELLECTUAL DEVELOPMENT SYNDROME	OMIM	619293.0	May  2 2021
OMIM:619297	AFF3		C5543317	KINSSHIP SYNDROME	OMIM	619297.0	May 12 2021
OMIM:619306	EXOC2		C5543332	NEURODEVELOPMENTAL DISORDER WITH DYSMORPHIC FACIES AND CEREBELLAR HYPOPLASIA	OMIM	619306.0	May  9 2021
OMIM:619311	RALA		C5543338	HIATT-NEU-COOPER NEURODEVELOPMENTAL SYNDROME	OMIM	619311.0	May  8 2021
OMIM:619312	SPEN		C5543339	RADIO-TARTAGLIA SYNDROME	OMIM	619312.0	May 12 2021
OMIM:619314	SIAH1		C5543351	BURATTI-HAREL SYNDROME	OMIM	619314.0	May 15 2021
OMIM:619318	CAPN15		C5543355	OCULOGASTROINTESTINAL NEURODEVELOPMENTAL SYNDROME	OMIM	619318.0	May  9 2021
OMIM:619321	ZPR1		C5543375	GROWTH RESTRICTION, HYPOPLASTIC KIDNEYS, ALOPECIA, AND DISTINCTIVE FACIES	OMIM	619321.0	May 12 2021
OMIM:619322	LEMD2		C5543388	MARBACH-RUSTAD PROGEROID SYNDROME	OMIM	619322.0	May 14 2021
OMIM:619323	TBC1D2B		C5543395	NEURODEVELOPMENTAL DISORDER WITH SEIZURES AND GINGIVAL OVERGROWTH	OMIM	619323.0	May 21 2021
OMIM:619324	CREB3L3		C5543398	HYPERTRIGLYCERIDEMIA 2	OMIM	619324.0	Jun  3 2021
OMIM:619326	CPE		C5543403	BDV SYNDROME	OMIM	619326.0	Nov  3 2021
OMIM:619329	COL5A1		C5543412	FIBROMUSCULAR DYSPLASIA, MULTIFOCAL	OMIM	619329.0	May 19 2021
OMIM:619333	GEMIN5		C5543427	NEURODEVELOPMENTAL DISORDER WITH CEREBELLAR ATROPHY AND MOTOR DYSFUNCTION	OMIM	619333.0	May 29 2021
OMIM:619338	FAR1		C5543440	CATARACTS, SPASTIC PARAPARESIS, AND SPEECH DELAY	OMIM	619338.0	May 23 2021
OMIM:619339	CHUK		C5543445	BARTSOCAS-PAPAS SYNDROME 2	OMIM	619339.0	May 28 2021
OMIM:619345	TMEM251		C5444223	DYSOSTOSIS MULTIPLEX, AIN-NAZ TYPE	OMIM	619345.0	May 27 2021
OMIM:619350	MYH11		C5543466	VISCERAL MYOPATHY 2	OMIM	619350.0	May 29 2021
OMIM:619352	POU4F1		C5543478	ATAXIA, INTENTION TREMOR, AND HYPOTONIA SYNDROME, CHILDHOOD-ONSET	OMIM	619352.0	Jun 10 2021
OMIM:619354	PSMC3		C5543482	DEAFNESS, CATARACT, IMPAIRED INTELLECTUAL DEVELOPMENT, AND POLYNEUROPATHY	OMIM	619354.0	Jun  3 2021
OMIM:619355	COX16		C5543491	MITOCHONDRIAL COMPLEX IV DEFICIENCY, NUCLEAR TYPE 22	OMIM	619355.0	May 30 2021
OMIM:619356	PIGF		C5543496	ONYCHODYSTROPHY, OSTEODYSTROPHY, IMPAIRED INTELLECTUAL DEVELOPMENT, AND SEIZURES SYNDROME	OMIM	619356.0	Jun  9 2021
OMIM:619373	NCDN		C5543538	NEURODEVELOPMENTAL DISORDER WITH INFANTILE EPILEPTIC SPASMS	OMIM	619373.0	Jun 18 2021
OMIM:619375	SOCS1		C5543547	AUTOINFLAMMATORY SYNDROME, FAMILIAL, WITH OR WITHOUT IMMUNODEFICIENCY	OMIM	619375.0	Jun 19 2021
OMIM:619376	EIF5A		C5543554	FAUNDES-BANKA SYNDROME	OMIM	619376.0	Jun 11 2021
OMIM:619377	UNC45A		C5543557	OSTEOOTOHEPATOENTERIC SYNDROME	OMIM	619377.0	Jun 11 2021
OMIM:619383	PPP1R21		C5543591	NEURODEVELOPMENTAL DISORDER WITH HYPOTONIA, FACIAL DYSMORPHISM, AND BRAIN ABNORMALITIES	OMIM	619383.0	Jun 27 2021
OMIM:619406	KCNJ16		C5543621	HYPOKALEMIC TUBULOPATHY AND DEAFNESS	OMIM	619406.0	Jun 30 2021
OMIM:619424	MYL2		CN300317	MYOPATHY, MYOFIBRILLAR, 12, INFANTILE-ONSET, WITH CARDIOMYOPATHY	OMIM	619424.0	Aug  7 2021
OMIM:619426	DDB1		C5543635	WHITE-KERNOHAN SYNDROME	OMIM	619426.0	Jul 22 2021
OMIM:619446	STX3		CN300063	RETINAL DYSTROPHY AND MICROVILLUS INCLUSION DISEASE	OMIM	619446.0	Jul 23 2021
OMIM:619460	RNF2		CN300315	LUO-SCHOCH-YAMAMOTO SYNDROME	OMIM	619460.0	Aug  5 2021
OMIM:619462	RHD		CN300241	HEMOLYTIC DISEASE OF FETUS AND NEWBORN, RH-INDUCED	OMIM	619462.0	Aug  1 2021
OMIM:619464	GNB2		CN300240	SICK SINUS SYNDROME 4	OMIM	619464.0	Aug  1 2021
OMIM:619468	SLC41A1		CN300326	NEPHRONOPHTHISIS-LIKE NEPHROPATHY 2	OMIM	619468.0	Aug 11 2021
OMIM:619470	TMEM222		CN300330	NEURODEVELOPMENTAL DISORDER WITH MOTOR AND SPEECH DELAY AND BEHAVIORAL ABNORMALITIES	OMIM	619470.0	Aug 12 2021
OMIM:619472	IPO8		CN300318	VISS SYNDROME	OMIM	619472.0	Aug  7 2021
OMIM:619475	SPTBN1		CN300333	DEVELOPMENTAL DELAY, IMPAIRED SPEECH, AND BEHAVIORAL ABNORMALITIES	OMIM	619475.0	Aug 13 2021
OMIM:619480	SUPT16H		CN300336	NEURODEVELOPMENTAL DISORDER WITH DYSMORPHIC FACIES AND THIN CORPUS CALLOSUM	OMIM	619480.0	Aug 15 2021
OMIM:619481	SLC51B		CN300335	BILE ACID MALABSORPTION, PRIMARY, 2	OMIM	619481.0	Aug 14 2021
OMIM:619482	MYO1H		CN300369	CENTRAL HYPOVENTILATION SYNDROME, CONGENITAL, 2, AND AUTONOMIC DYSFUNCTION	OMIM	619482.0	Aug 27 2021
OMIM:619488	ZNF699		CN300351	DEGCAGS SYNDROME	OMIM	619488.0	Aug 20 2021
OMIM:619489	PAPPA2		CN300348	SHORT STATURE, DAUBER-ARGENTE TYPE	OMIM	619489.0	Aug 19 2021
OMIM:619491	PSAP		CN300371	PARKINSON DISEASE 24, AUTOSOMAL DOMINANT, SUSCEPTIBILITY TO	OMIM	619491.0	Aug 28 2021
OMIM:619501	KIDINS220		CN300393	VENTRICULOMEGALY AND ARTHROGRYPOSIS	OMIM	619501.0	Sep  2 2021
OMIM:619503	GNB2		CN300394	NEURODEVELOPMENTAL DISORDER WITH HYPOTONIA AND DYSMORPHIC FACIES	OMIM	619503.0	Sep  2 2021
OMIM:619504	ANKRD17		CN300380	CHOPRA-AMIEL-GORDON SYNDROME	OMIM	619504.0	Sep  1 2021
OMIM:619512	CLCN3		CN300409	NEURODEVELOPMENTAL DISORDER WITH HYPOTONIA AND BRAIN ABNORMALITIES	OMIM	619512.0	Sep  4 2021
OMIM:619517	CLCN3		CN300410	NEURODEVELOPMENTAL DISORDER WITH SEIZURES AND BRAIN ABNORMALITIES	OMIM	619517.0	Sep  4 2021
OMIM:619518	GGPS1		CN300442	MUSCULAR DYSTROPHY, CONGENITAL HEARING LOSS, AND OVARIAN INSUFFICIENCY SYNDROME	OMIM	619518.0	Sep  9 2021
OMIM:619522	ZMYM2		CN300451	NEURODEVELOPMENTAL-CRANIOFACIAL SYNDROME WITH VARIABLE RENAL AND CARDIAC ABNORMALITIES	OMIM	619522.0	Sep 16 2021
OMIM:619575	TAOK1		CN301040	DEVELOPMENTAL DELAY WITH OR WITHOUT INTELLECTUAL IMPAIRMENT OR BEHAVIORAL ABNORMALITIES	OMIM	619575.0	Oct 20 2021
OMIM:619576	EXOSC5		CN301080	CEREBELLAR ATAXIA, BRAIN ABNORMALITIES, AND CARDIAC CONDUCTION DEFECTS	OMIM	619576.0	Oct 23 2021
OMIM:619580	GRIK2		CN301097	NEURODEVELOPMENTAL DISORDER WITH IMPAIRED LANGUAGE AND ATAXIA AND WITH OR WITHOUT SEIZURES	OMIM	619580.0	Oct 30 2021
OMIM:619595	SRCAP		CN301221	DEVELOPMENTAL DELAY, HYPOTONIA, MUSCULOSKELETAL DEFECTS, AND BEHAVIORAL ABNORMALITIES	OMIM	619595.0	Nov 10 2021
OMIM:619602	ATP1A2		CN301231	FETAL AKINESIA, RESPIRATORY INSUFFICIENCY, MICROCEPHALY, POLYMICROGYRIA, AND DYSMORPHIC FACIES	OMIM	619602.0	Nov 12 2021
OMIM:619611	SFTPA1		CN304681	INTERSTITIAL LUNG DISEASE 1	OMIM	619611.0	Nov 20 2021
OMIM:619613	LGR4		CN301235	DELAYED PUBERTY, SELF-LIMITED	OMIM	619613.0	Nov 12 2021
OMIM:619614	HKDC1		CN301253	RETINITIS PIGMENTOSA 92	OMIM	619614.0	Nov 13 2021
OMIM:619616	SPATA5L1		CN304367	NEURODEVELOPMENTAL DISORDER WITH HEARING LOSS AND SPASTICITY	OMIM	619616.0	Nov 18 2021
OMIM:619639	UBE4A		CN304980	NEURODEVELOPMENTAL DISORDER WITH HYPOTONIA AND GROSS MOTOR AND SPEECH DELAY	OMIM	619639.0	Dec  2 2021
OMIM:619641	BCAS3		CN305051	HENGEL-MAROOFIAN-SCHOLS SYNDROME	OMIM	619641.0	Dec  4 2021
OMIM:619647	ADCY5		CN305151	DYSKINESIA WITH OROFACIAL INVOLVEMENT, AUTOSOMAL RECESSIVE	OMIM	619647.0	Dec 11 2021
OMIM:619648	WLS		CN305088	ZAKI SYNDROME	OMIM	619648.0	Dec  7 2021
OMIM:619651	ADCY5		CN305152	NEURODEVELOPMENTAL DISORDER WITH HYPERKINETIC MOVEMENTS AND DYSKINESIA	OMIM	619651.0	Dec 10 2021
OMIM:619653	TNR		CN305249	NEURODEVELOPMENTAL DISORDER, NONPROGRESSIVE, WITH SPASTICITY AND TRANSIENT OPISTHOTONUS	OMIM	619653.0	Dec 19 2021
OMIM:619657	SMAD2		CN305192	CONGENITAL HEART DEFECTS, MULTIPLE TYPES, 8, WITH OR WITHOUT HETEROTAXY	OMIM	619657.0	Dec 12 2021
OMIM:619681	ATP5MC3		CN305735	DYSTONIA, EARLY-ONSET, AND/OR SPASTIC PARAPLEGIA	OMIM	619681.0	Jan  7 2022
OMIM:619685	VPS50		CN305736	NEURODEVELOPMENTAL DISORDER WITH MICROCEPHALY, SEIZURES, AND NEONATAL CHOLESTASIS	OMIM	619685.0	Jan  7 2022
OMIM:619783	LAMA3		CN307699	EPIDERMOLYSIS BULLOSA, JUNCTIONAL 2A, INTERMEDIATE	OMIM	619783.0	Mar 31 2022
OMIM:619784	LAMA3		CN307700	EPIDERMOLYSIS BULLOSA, JUNCTIONAL 2B, SEVERE	OMIM	619784.0	Mar 31 2022
OMIM:619785	LAMC2		CN307701	EPIDERMOLYSIS BULLOSA, JUNCTIONAL 3A, INTERMEDIATE	OMIM	619785.0	Mar 31 2022
OMIM:619786	LAMC2		CN307702	EPIDERMOLYSIS BULLOSA, JUNCTIONAL 3B, SEVERE	OMIM	619786.0	Mar 31 2022
OMIM:619787	COL17A1		CN307703	EPIDERMOLYSIS BULLOSA, JUNCTIONAL 4, INTERMEDIATE	OMIM	619787.0	Mar 31 2022
OMIM:619802	PIK3CG		CN307962	IMMUNODEFICIENCY 97 WITH AUTOINFLAMMATION	OMIM	619802.0	Apr  6 2022
OMIM:619806	SAMD9L		CN307998	SPINOCEREBELLAR ATAXIA 49	OMIM	619806.0	Apr  9 2022
OMIM:619808	MAP1B		CN307961	DEAFNESS, AUTOSOMAL DOMINANT 83	OMIM	619808.0	Apr  3 2022
OMIM:619810	ATP11A		CN307959	DEAFNESS, AUTOSOMAL DOMINANT 84	OMIM	619810.0	Apr  2 2022
OMIM:619812	PIGG		CN308207	BLOOD GROUP, EMM SYSTEM	OMIM	619812.0	Apr 16 2022
OMIM:619813	CLPB		CN308094	NEUTROPENIA, SEVERE CONGENITAL, 9, AUTOSOMAL DOMINANT	OMIM	619813.0	Apr 13 2022
OMIM:619816	ITGB4		CN307704	EPIDERMOLYSIS BULLOSA, JUNCTIONAL 5A, INTERMEDIATE	OMIM	619816.0	Mar 31 2022
OMIM:619817	ITGA6		CN307705	EPIDERMOLYSIS BULLOSA, JUNCTIONAL 6, WITH PYLORIC ATRESIA	OMIM	619817.0	Mar 31 2022
OMIM:619824	TCF3		CN308189	AGAMMAGLOBULINEMIA 8B, AUTOSOMAL RECESSIVE	OMIM	619824.0	Apr 14 2022
OMIM:619825	THSD4		CN307963	AORTIC ANEURYSM, FAMILIAL THORACIC 12	OMIM	619825.0	Apr  6 2022
OMIM:619826	GGN		CN307965	SPERMATOGENIC FAILURE 69	OMIM	619826.0	Apr  7 2022
OMIM:619828	PDHA2		CN307996	SPERMATOGENIC FAILURE 70	OMIM	619828.0	Apr  8 2022
OMIM:619831	ZSWIM7		CN308000	SPERMATOGENIC FAILURE 71	OMIM	619831.0	Apr 10 2022
OMIM:619832	TMEM43		CN308001	AUDITORY NEUROPATHY, AUTOSOMAL DOMINANT 3	OMIM	619832.0	Apr 14 2022
OMIM:619834	ZSWIM7		CN308095	OVARIAN DYSGENESIS 10	OMIM	619834.0	Apr 13 2022
OMIM:619835	CLPB		CN308208	3-METHYLGLUTACONIC ACIDURIA, TYPE VIIA	OMIM	619835.0	Apr 16 2022
HP:0000028	INSL3		C0010417	Cryptorchidism	Human Phenotype Ontology	219050.0	Apr  4 2018
HP:0000076		ROBO2	C0042580	Vesicoureteral reflux	Human Phenotype Ontology		16 Feb 2016
HP:0000090	IFT172		C0687120	Nephronophthisis	Human Phenotype Ontology		Feb 16 2016
HP:0000097		ACTN4	C0017668	Focal segmental glomerulosclerosis	Human Phenotype Ontology		16 Feb 2016
HP:0000169		REST	C0399440	Hereditary gingival fibromatosis	Human Phenotype Ontology		16 Feb 2016
HP:0000212		REST	C0376480	Gingival overgrowth	Human Phenotype Ontology		18 Nov 2021
HP:0000238		CCDC88C	C0020255	Hydrocephalus	Human Phenotype Ontology		16 Feb 2016
HP:0000485		CHRDL1	C0344530	Megalocornea	Human Phenotype Ontology	249300.0	16 Feb 2016
HP:0000558		FOXC1	C0265341	Rieger anomaly	Human Phenotype Ontology		04 Feb 2022
HP:0000588	PAX6		C0155299	Coloboma of optic nerve	Human Phenotype Ontology	120430.0	Apr 19 2022
HP:0000609		PAX6	C0338502	Optic nerve hypoplasia	Human Phenotype Ontology		16 Feb 2016
HP:0000631	COL4A1		C1867327	Retinal arterial tortuosity	Human Phenotype Ontology	180000.0	Apr 19 2022
HP:0000642		OPN1LW	C0155016	Red-green dyschromatopsia	Human Phenotype Ontology		16 Feb 2016
HP:0000643	DRD5		C0005747	Blepharospasm	Human Phenotype Ontology	606798.0	Feb 16 2016
HP:0000739	SLC6A4		C0003467	Anxiety	Human Phenotype Ontology	607834.0	Feb 16 2016
HP:0000776		ZFPM2	C0019284	Diaphragmatic hernia	Human Phenotype Ontology		01 Feb 2022
HP:0000826		KISS1R	C0034013	Precocious puberty	Human Phenotype Ontology		16 Feb 2016
HP:0000851		DUOX2	C0010308	Congenital hypothyroidism	Human Phenotype Ontology		16 Feb 2016
HP:0000852		GNAS	C0033806	Pseudohypoparathyroidism	Human Phenotype Ontology		04 Apr 2018
HP:0000863	AVP		C0342394	Neurohypophyseal diabetes insipidus	Human Phenotype Ontology	125700.0	Apr 10 2018
HP:0000872	CTLA4		C0677607	Hashimoto thyroiditis	Human Phenotype Ontology	140300.0	Feb 16 2016
HP:0000970		ITPR2	C0003028	Anhidrosis	Human Phenotype Ontology		04 Apr 2018
HP:0000995		HRAS	C0027962	Melanocytic nevus	Human Phenotype Ontology		16 Feb 2016
HP:0001057	BMS1		C0282160	Aplasia cutis congenita	Human Phenotype Ontology	107600.0	Sep  1 2021
HP:0001083		ADAMTSL4	C0013581	Ectopia lentis	Human Phenotype Ontology		06 Sep 2016
HP:0001112	MT-ATP6		C0917796	Leber optic atrophy	Human Phenotype Ontology	535000.0	Nov 18 2021
HP:0001131		COL8A2	C0010036	Corneal dystrophy	Human Phenotype Ontology		16 Feb 2016
HP:0001139	CHM		C0008525	Choroideremia	Human Phenotype Ontology	303100.0	Feb 16 2016
HP:0001177	GLI1		C1395852	Preaxial hand polydactyly	Human Phenotype Ontology	174400.0	Feb 16 2016
HP:0001321	OXR1		C5231391	Congenital cerebellar hypoplasia	Human Phenotype Ontology	213000.0	Apr  8 2022
HP:0001339		ARX	C0266463	Lissencephaly	Human Phenotype Ontology		16 Feb 2016
HP:0001370	CD244		C0003873	Rheumatoid arthritis	Human Phenotype Ontology	180300.0	Jul 22 2019
HP:0001402	APC		C2239176	Hepatocellular carcinoma	Human Phenotype Ontology	114550.0	Feb 16 2016
HP:0001491		KIF21A	C1302995	Congenital fibrosis of extraocular muscles	Human Phenotype Ontology		16 Feb 2016
HP:0001596		HR	C0002170	Alopecia	Human Phenotype Ontology		16 Feb 2016
HP:0001631		ACTC1	C0018817	Atrial septal defect	Human Phenotype Ontology		16 Feb 2016
HP:0001636	GATA4		C0039685	Tetralogy of Fallot	Human Phenotype Ontology	187500.0	Feb 16 2016
HP:0001638		ABCC9	C0878544	Cardiomyopathy	Human Phenotype Ontology		16 Feb 2016
HP:0001657	KCNE1		C0023976	Long QT syndrome	Human Phenotype Ontology		Feb 16 2016
HP:0001762	PITX1		C0009081	Clubfoot	Human Phenotype Ontology	119800.0	Apr 19 2022
HP:0001798	RSPO4		C0265998	Anonychia	Human Phenotype Ontology	206800.0	Feb 16 2016
HP:0001838	HOXD10		C0240912	Congenital vertical talus	Human Phenotype Ontology	192950.0	Apr 19 2022
HP:0001915	IFNG		C0002874	Aplastic anemia	Human Phenotype Ontology	609135.0	Feb 16 2016
HP:0001935		SLC11A2	C5194182	Microcytic anemia	Human Phenotype Ontology		16 Feb 2016
HP:0001973		STAT3	C0242584	Autoimmune thrombocytopenia	Human Phenotype Ontology		16 Feb 2016
HP:0002076		EDNRA	C0149931	Migraine	Human Phenotype Ontology		16 Feb 2016
HP:0002092		BMPR2	C0152171	Primary pulmonary hypertension	Human Phenotype Ontology		21 Apr 2021
HP:0002110		CFTR	C0006267	Bronchiectasis	Human Phenotype Ontology		20 Nov 2016
HP:0002145	MAPT		C0338451	Frontotemporal dementia	Human Phenotype Ontology	600274.0	Feb 16 2016
HP:0002161	AASS		C0268553	Hyperlysinemia	Human Phenotype Ontology	238700.0	Feb 16 2016
HP:0002243	CD55		C0033680	Protein-losing enteropathy	Human Phenotype Ontology	226300.0	Sep  1 2021
HP:0002251	NRTN		C0019569	Aganglionic megacolon	Human Phenotype Ontology		Mar 31 2022
HP:0002267		ARHGEF9	C0234166	Hyperekplexia	Human Phenotype Ontology		16 Feb 2016
HP:0002343	CFAP43		C0020258	Normal pressure hydrocephalus	Human Phenotype Ontology	236690.0	Feb 16 2016
HP:0002408	IL6		C0917804	Cerebral arteriovenous malformation	Human Phenotype Ontology	108010.0	Feb 16 2016
HP:0002511	APP		C0002395	Alzheimer disease	Human Phenotype Ontology		Feb 19 2020
HP:0002608		CTLA4	C0007570	Celiac disease	Human Phenotype Ontology		16 Feb 2016
HP:0002639	F5		C0856761	Budd-Chiari syndrome	Human Phenotype Ontology	600880.0	Feb 16 2016
HP:0002657		ACP5	C4759767	Spondylometaphyseal dysplasia	Human Phenotype Ontology		19 Mar 2018
HP:0002666	KIF1B		C0031511	Pheochromocytoma	Human Phenotype Ontology	171300.0	Feb 16 2016
HP:0002667		BRCA2	C0027708	Nephroblastoma	Human Phenotype Ontology		21 Jan 2022
HP:0002668		DLST	C0030421	Paraganglioma	Human Phenotype Ontology		16 Feb 2016
HP:0002725	CTLA4		C0024141	Systemic lupus erythematosus	Human Phenotype Ontology	152700.0	Feb 16 2016
HP:0002748		CLCN5	C0035579	Rickets	Human Phenotype Ontology		16 Feb 2016
HP:0002885	BRCA2		C0025149	Medulloblastoma	Human Phenotype Ontology	155255.0	Feb 16 2016
HP:0002912		MCEE	C0268583	Methylmalonic acidemia	Human Phenotype Ontology		16 Feb 2016
HP:0002928		DLAT	C0034345	Pyruvate dehydrogenase complex deficiency	Human Phenotype Ontology		16 Feb 2016
HP:0003006		ALK	C0027819	Neuroblastoma	Human Phenotype Ontology		16 Feb 2016
HP:0003108	SLC36A2		C0543541	Hyperglycinuria	Human Phenotype Ontology	138500.0	Feb 16 2016
HP:0003118		AIP	C0010481	Cushing syndrome	Human Phenotype Ontology		21 Mar 2021
HP:0003131	SLC3A1		C0010691	Cystinuria	Human Phenotype Ontology	220100.0	Feb 16 2016
HP:0003153	CTH		C0220993	Cystathioninuria	Human Phenotype Ontology	219500.0	Feb 16 2016
HP:0003193	IL13		C2607914	Allergic rhinitis	Human Phenotype Ontology	607154.0	Apr 19 2022
HP:0003218	UMPS		C0268128	Orotic aciduria	Human Phenotype Ontology	258900.0	Apr 19 2022
HP:0003225	F5		C0015499	Factor V deficiency	Human Phenotype Ontology	227400.0	Feb 16 2016
HP:0003236	CAV3		C0241005	Elevated circulating creatine kinase concentration	Human Phenotype Ontology	123320.0	Nov 18 2021
HP:0003571	PCCA		C0268579	Propionic acidemia	Human Phenotype Ontology	606054.0	Apr 17 2020
HP:0003614	FMO3		C0342739	Trimethylaminuria	Human Phenotype Ontology	602079.0	Feb 16 2016
HP:0003654	DPYD		C1959620	Dihydropyrimidine dehydrogenase deficiency	Human Phenotype Ontology	274270.0	Feb 16 2016
