DiseaseID	GeneID  AssociatedGenes	RelatedGenes	ConceptID	DiseaseName	SourceName	DiseaseMIM	LastUpdated	a	LastModified	Category
HP:0000370			C1861141	Abnormality of the middle ear	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000371			C0271429	Acute otitis media	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000372			C4021807	Abnormality of the auditory canal	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000375			C4025858	Abnormal cochlea morphology	Human Phenotype Ontology				18 Nov 2021	Finding
HP:0000376			C4025857	Incomplete partition of the cochlea type II	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000377			C0857379	Abnormality of the pinna	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000378			C1845447	Cupped ear	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000381			C1861326	Stapes ankylosis	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000383			C4025856	Abnormality of periauricular region	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000384			C1860816	Preauricular skin tag	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000385			C1842680	Small earlobe	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000387			C1849364	Absent earlobe	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000388			C0029882	Otitis media	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000389			C0271441	Chronic otitis media	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000391			C1837732	Thickened helices	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000394			C0266614	Lop ear	Human Phenotype Ontology				16 Feb 2016	Finding
HP:0000395			C1845272	Prominent antihelix	Human Phenotype Ontology				16 Feb 2016	Finding
