DiseaseID	DiseaseName	SourceName	ConceptID	a	LastModified	Category
HP:0000111	Renal juxtaglomerular cell hypertrophy/hyperplasia	Human Phenotype Ontology	C1866496		16 Feb 2016	Finding
HP:0000112	Kidney damage	Human Phenotype Ontology	C1408258		19 Jul 2021	Finding
HP:0000113	Polycystic kidney disease	Human Phenotype Ontology	C0022680		19 Apr 2022	Disease
HP:0000114	Proximal tubulopathy	Human Phenotype Ontology	C1839603		16 Feb 2016	Finding
HP:0000117	Renal phosphate wasting	Human Phenotype Ontology	C1845169		16 Feb 2016	Finding
HP:0000119	Abnormality of the genitourinary system	Human Phenotype Ontology	C0042063		16 Feb 2016	Finding
HP:0000121	Nephrocalcinosis	Human Phenotype Ontology	C0027709		16 Feb 2016	Disease
HP:0000122	Unilateral renal agenesis	Human Phenotype Ontology	C0266294		16 Feb 2016	Finding
HP:0000123	Nephritis	Human Phenotype Ontology	C0027697		16 Feb 2016	Finding
HP:0000124	Renal tubular dysfunction	Human Phenotype Ontology	C0151747		16 Feb 2016	Finding
HP:0000125	Pelvic kidney	Human Phenotype Ontology	C0221209		16 Feb 2016	Finding
HP:0000126	Hydronephrosis	Human Phenotype Ontology	C0020295		16 Feb 2016	Finding
HP:0000127	Renal salt wasting	Human Phenotype Ontology	C1846347		16 Feb 2016	Finding
HP:0000128	Renal potassium wasting	Human Phenotype Ontology	C1846348		16 Feb 2016	Finding
HP:0000131	Uterine leiomyoma	Human Phenotype Ontology	C0042133	150699.0	16 Feb 2016	Disease
HP:0000132	Menorrhagia	Human Phenotype Ontology	C0025323		16 Feb 2016	Finding
HP:0000133	Gonadal dysgenesis	Human Phenotype Ontology	C0018051		16 Feb 2016	Finding
HP:0000134	Female hypogonadism	Human Phenotype Ontology	C0271578		16 Feb 2016	Finding
HP:0000135	Hypogonadism	Human Phenotype Ontology	C0020619		16 Feb 2016	Finding
HP:0000136	Bifid uterus	Human Phenotype Ontology	C1850327		16 Feb 2016	Finding
HP:0000137	Abnormality of the ovary	Human Phenotype Ontology	C4021818		16 Feb 2016	Finding
HP:0000138	Ovarian cyst	Human Phenotype Ontology	C0029927		16 Feb 2016	Disease
HP:0000139	Uterine prolapse	Human Phenotype Ontology	C0042140		16 Feb 2016	Finding
HP:0000140	Abnormality of the menstrual cycle	Human Phenotype Ontology	C4025888		16 Feb 2016	Finding
HP:0000141	Amenorrhea	Human Phenotype Ontology	C0002453		16 Feb 2016	Finding
HP:0000142	Abnormal vagina morphology	Human Phenotype Ontology	C1856023		18 Nov 2021	Finding
HP:0000143	Rectovaginal fistula	Human Phenotype Ontology	C0034895		16 Feb 2016	Finding
HP:0000144	Decreased fertility	Human Phenotype Ontology	C0729353		16 Feb 2016	Finding
HP:0000145	Transverse vaginal septum	Human Phenotype Ontology	C1856006		16 Feb 2016	Finding
HP:0000147	Polycystic ovaries	Human Phenotype Ontology	C0032460	184700.0	16 Feb 2016	Disease
HP:0000148	Vaginal atresia	Human Phenotype Ontology	C1321884		16 Feb 2016	Finding
HP:0000149	Ovarian gonadoblastoma	Human Phenotype Ontology	C1518716		16 Feb 2016	Finding
HP:0000150	Gonadoblastoma	Human Phenotype Ontology	C0206661	424500.0	16 Feb 2016	Disease
HP:0000151	Aplasia of the uterus	Human Phenotype Ontology	C0425913		16 Feb 2016	Finding
HP:0000152	Abnormality of head or neck	Human Phenotype Ontology	C4021817		16 Feb 2016	Finding
HP:0000153	Abnormality of the mouth	Human Phenotype Ontology	C0026633		16 Feb 2016	Finding
HP:0000154	Wide mouth	Human Phenotype Ontology	C0024433		16 Feb 2016	Finding
HP:0000155	Oral ulcer	Human Phenotype Ontology	C0149745		16 Feb 2016	Finding
HP:0000157	Abnormality of the tongue	Human Phenotype Ontology	C0878638		16 Feb 2016	Finding
HP:0000159	Abnormal lip morphology	Human Phenotype Ontology	C2183966		18 Nov 2021	Finding
HP:0000160	Narrow mouth	Human Phenotype Ontology	C0026034		16 Feb 2016	Finding
HP:0000161	Median cleft lip	Human Phenotype Ontology	C1850256		16 Feb 2016	Finding
HP:0000162	Glossoptosis	Human Phenotype Ontology	C0267048		16 Feb 2016	Finding
HP:0000163	Abnormal oral cavity morphology	Human Phenotype Ontology	C4025887		18 Nov 2021	Finding
HP:0000164	Abnormality of the dentition	Human Phenotype Ontology	C0262444		04 Apr 2018	Finding
HP:0000166	Severe periodontitis	Human Phenotype Ontology	C4025886		16 Feb 2016	Finding
HP:0000168	Abnormality of the gingiva	Human Phenotype Ontology	C4021816		16 Feb 2016	Finding
HP:0000169	Gingival fibromatosis	Human Phenotype Ontology	C0016049		16 Feb 2016	Finding
HP:0000171	Microglossia	Human Phenotype Ontology	C0025988		16 Feb 2016	Finding
HP:0000172	Abnormal uvula morphology	Human Phenotype Ontology	C4025885		18 Nov 2021	Finding
HP:0000174	Abnormal palate morphology	Human Phenotype Ontology	C4021815		18 Nov 2021	Finding
HP:0000175	Cleft palate	Human Phenotype Ontology	C2981150		29 Feb 2016	Disease
HP:0000176	Submucous cleft hard palate	Human Phenotype Ontology	C0432103		16 Feb 2016	Finding
HP:0000177	Abnormality of upper lip	Human Phenotype Ontology	C4025884		16 Feb 2016	Finding
HP:0000178	Abnormality of lower lip	Human Phenotype Ontology	C4025883		16 Feb 2016	Finding
HP:0000179	Thick lower lip vermilion	Human Phenotype Ontology	C1839739		16 Feb 2016	Finding
HP:0000180	Lobulated tongue	Human Phenotype Ontology	C0431564		16 Feb 2016	Finding
HP:0000182	Movement abnormality of the tongue	Human Phenotype Ontology	C4025882		16 Feb 2016	Finding
HP:0000183	Difficulty in tongue movements	Human Phenotype Ontology	C1853406		16 Feb 2016	Finding
HP:0000185	Cleft soft palate	Human Phenotype Ontology	C0432098	119570.0	18 Nov 2021	Disease
HP:0000187	Broad alveolar ridges	Human Phenotype Ontology	C1857500		16 Feb 2016	Finding
HP:0000188	Short upper lip	Human Phenotype Ontology	C1848977		16 Feb 2016	Finding
HP:0000189	Narrow palate	Human Phenotype Ontology	C1398312		16 Feb 2016	Finding
HP:0000190	Abnormal oral frenulum morphology	Human Phenotype Ontology	C4025881		18 Nov 2021	Finding
HP:0000191	Accessory oral frenulum	Human Phenotype Ontology	C4021814		16 Feb 2016	Finding
HP:0000193	Bifid uvula	Human Phenotype Ontology	C4551488	192100.0	18 Nov 2021	Disease
HP:0000194	Open mouth	Human Phenotype Ontology	C0240379		16 Feb 2016	Finding
HP:0000196	Lower lip pit	Human Phenotype Ontology	C1861544		16 Feb 2016	Finding
HP:0000197	Abnormal parotid gland morphology	Human Phenotype Ontology	C4025880		18 Nov 2021	Finding
HP:0000198	Absence of Stensen duct	Human Phenotype Ontology	C1858569		16 Feb 2016	Finding
HP:0000199	Tongue nodules	Human Phenotype Ontology	C0241438		16 Feb 2016	Finding
HP:0000200	Short lingual frenulum	Human Phenotype Ontology	C0426501		16 Feb 2016	Finding
HP:0000202	Oral cleft	Human Phenotype Ontology	C4021813		16 Feb 2016	Finding
HP:0000204	Cleft upper lip	Human Phenotype Ontology	C0008924		16 Feb 2016	Finding
HP:0000205	Pursed lips	Human Phenotype Ontology	C1832130		16 Feb 2016	Finding
HP:0000206	Glossitis	Human Phenotype Ontology	C0017675		16 Feb 2016	Finding
HP:0000207	Triangular mouth	Human Phenotype Ontology	C1849341		16 Feb 2016	Finding
HP:0000211	Trismus	Human Phenotype Ontology	C0041105		16 Feb 2016	Finding
HP:0000212	Gingival overgrowth	Human Phenotype Ontology	C0376480		18 Nov 2021	Finding
HP:0000214	Lip telangiectasia	Human Phenotype Ontology	C1857697		16 Feb 2016	Finding
HP:0000215	Thick upper lip vermilion	Human Phenotype Ontology	C1846423		16 Feb 2016	Finding
HP:0000216	Broad secondary alveolar ridge	Human Phenotype Ontology	C1839276		16 Feb 2016	Finding
HP:0000217	Xerostomia	Human Phenotype Ontology	C0043352		16 Feb 2016	Finding
HP:0000218	High palate	Human Phenotype Ontology	C0240635		16 Feb 2016	Finding
HP:0000219	Thin upper lip vermilion	Human Phenotype Ontology	C1865017		16 Feb 2016	Finding
HP:0000220	Velopharyngeal insufficiency	Human Phenotype Ontology	C0042454	167500.0	26 Jan 2022	Disease
HP:0000221	Furrowed tongue	Human Phenotype Ontology	C0040412		16 Feb 2016	Finding
HP:0000222	Gingival hyperkeratosis	Human Phenotype Ontology	C1857013		16 Feb 2016	Finding
HP:0000223	Abnormality of taste sensation	Human Phenotype Ontology	C4025879		16 Feb 2016	Finding
HP:0000224	Hypogeusia	Human Phenotype Ontology	C0151934		18 Nov 2021	Finding
HP:0000225	Gingival bleeding	Human Phenotype Ontology	C0017565		16 Feb 2016	Finding
HP:0000227	Tongue telangiectasia	Human Phenotype Ontology	C4025878		16 Feb 2016	Finding
HP:0000228	Oral cavity telangiectasia	Human Phenotype Ontology	C4025877		02 Apr 2017	Finding
HP:0000230	Gingivitis	Human Phenotype Ontology	C0017574		16 Feb 2016	Finding
HP:0000232	Everted lower lip vermilion	Human Phenotype Ontology	C1853246		16 Feb 2016	Finding
HP:0000233	Thin vermilion border	Human Phenotype Ontology	C0578038		16 Feb 2016	Finding
HP:0000234	Abnormality of the head	Human Phenotype Ontology	C4021812		16 Feb 2016	Finding
HP:0000235	Abnormality of the fontanelles or cranial sutures	Human Phenotype Ontology	C4025876		16 Feb 2016	Finding
HP:0000236	Abnormality of the anterior fontanelle	Human Phenotype Ontology	C4025875		16 Feb 2016	Finding
HP:0000237	Small anterior fontanelle	Human Phenotype Ontology	C1859455		16 Feb 2016	Finding
HP:0000238	Hydrocephalus	Human Phenotype Ontology	C0020255		16 Feb 2016	Disease
HP:0000239	Large fontanelles	Human Phenotype Ontology	C0456132		16 Feb 2016	Finding
HP:0000240	Abnormality of skull size	Human Phenotype Ontology	C4025874		16 Feb 2016	Finding
HP:0000242	Parietal bossing	Human Phenotype Ontology	C1857126		16 Feb 2016	Finding
HP:0000243	Trigonocephaly	Human Phenotype Ontology	C0265535		16 Feb 2016	Finding
HP:0000244	Brachyturricephaly	Human Phenotype Ontology	C1857484		16 Feb 2016	Finding
HP:0000245	Abnormal paranasal sinus morphology	Human Phenotype Ontology	C4025873		18 Nov 2021	Finding
HP:0000246	Sinusitis	Human Phenotype Ontology	C0037199		16 Feb 2016	Finding
HP:0000248	Brachycephaly	Human Phenotype Ontology	C0221356		16 Feb 2016	Finding
HP:0000250	Dense calvaria	Human Phenotype Ontology	C1854834		16 Feb 2016	Finding
HP:0000252	Microcephaly	Human Phenotype Ontology	C4551563		16 Feb 2016	Disease
HP:0000253	Progressive microcephaly	Human Phenotype Ontology	C1850456		16 Feb 2016	Finding
HP:0000255	Acute sinusitis	Human Phenotype Ontology	C0149512		16 Feb 2016	Finding
HP:0000260	Wide anterior fontanel	Human Phenotype Ontology	C1866134		16 Feb 2016	Finding
HP:0000262	Turricephaly	Human Phenotype Ontology	C5399823		16 Feb 2016	Finding
HP:0000263	Oxycephaly	Human Phenotype Ontology	C4551646		16 Feb 2016	Finding
HP:0000264	Abnormality of the mastoid	Human Phenotype Ontology	C4025872		16 Feb 2016	Finding
HP:0000265	Mastoiditis	Human Phenotype Ontology	C0024904		16 Feb 2016	Finding
HP:0000267	Cranial asymmetry	Human Phenotype Ontology	C1860245		16 Feb 2016	Finding
HP:0000268	Dolichocephaly	Human Phenotype Ontology	C0221358		16 Feb 2016	Finding
HP:0000269	Prominent occiput	Human Phenotype Ontology	C1853737		16 Feb 2016	Finding
HP:0000270	Delayed cranial suture closure	Human Phenotype Ontology	C0277828		16 Feb 2016	Finding
HP:0000271	Abnormality of the face	Human Phenotype Ontology	C4025871		16 Feb 2016	Finding
HP:0000272	Malar flattening	Human Phenotype Ontology	C1858085		16 Feb 2016	Finding
HP:0000273	Facial grimacing	Human Phenotype Ontology	C0234853		16 Feb 2016	Finding
HP:0000274	Small face	Human Phenotype Ontology	C1855538		16 Feb 2016	Finding
HP:0000275	Narrow face	Human Phenotype Ontology	C1837463		16 Feb 2016	Finding
HP:0000276	Long face	Human Phenotype Ontology	C1836047		16 Feb 2016	Finding
HP:0000277	Abnormal mandible morphology	Human Phenotype Ontology	C4025870		31 Mar 2022	Finding
HP:0000278	Retrognathia	Human Phenotype Ontology	C0035353		16 Feb 2016	Finding
HP:0000280	Coarse facial features	Human Phenotype Ontology	C1845847		16 Feb 2016	Finding
HP:0000282	Facial edema	Human Phenotype Ontology	C0542571		16 Feb 2016	Finding
HP:0000283	Broad face	Human Phenotype Ontology	C1859680		16 Feb 2016	Finding
HP:0000286	Epicanthal fold	Human Phenotype Ontology	C0678230	131500.0	19 Apr 2022	Disease
HP:0000287	Increased facial adipose tissue	Human Phenotype Ontology	C4025868		16 Feb 2016	Finding
HP:0000288	Abnormality of the philtrum	Human Phenotype Ontology	C1857045		16 Feb 2016	Finding
HP:0000289	Broad philtrum	Human Phenotype Ontology	C1854111		16 Feb 2016	Finding
HP:0000290	Abnormality of the forehead	Human Phenotype Ontology	C4025867		16 Feb 2016	Finding
HP:0000291	Abnormality of facial adipose tissue	Human Phenotype Ontology	C4025866		16 Feb 2016	Finding
HP:0000292	Loss of facial adipose tissue	Human Phenotype Ontology	C1837767		16 Feb 2016	Finding
HP:0000293	Full cheeks	Human Phenotype Ontology	C1866231		16 Feb 2016	Finding
HP:0000294	Low anterior hairline	Human Phenotype Ontology	C1842366		16 Feb 2016	Finding
HP:0000295	Doll-like facies	Human Phenotype Ontology	C1856361		16 Feb 2016	Finding
HP:0000297	Facial hypotonia	Human Phenotype Ontology	C1845251		16 Feb 2016	Finding
HP:0000298	Mask-like facies	Human Phenotype Ontology	C0424448		16 Feb 2016	Finding
HP:0000300	Oval face	Human Phenotype Ontology	C1849025		16 Feb 2016	Finding
HP:0000301	Abnormality of facial musculature	Human Phenotype Ontology	C4025865		16 Feb 2016	Finding
HP:0000303	Mandibular prognathia	Human Phenotype Ontology	C0399526	176700.0	16 Feb 2016	Finding
HP:0000306	Abnormality of the chin	Human Phenotype Ontology	C4025864		16 Feb 2016	Finding
HP:0000307	Pointed chin	Human Phenotype Ontology	C1844505		16 Feb 2016	Finding
HP:0000308	Microretrognathia	Human Phenotype Ontology	C1839546		16 Feb 2016	Finding
HP:0000309	Abnormality of the midface	Human Phenotype Ontology	C4021811		16 Feb 2016	Finding
HP:0000311	Round face	Human Phenotype Ontology	C0239479		16 Feb 2016	Finding
HP:0000315	Abnormality of the orbital region	Human Phenotype Ontology	C4025863		16 Feb 2016	Finding
HP:0000316	Hypertelorism	Human Phenotype Ontology	C0020534	145400.0	16 Feb 2016	Disease
HP:0000317	Facial myokymia	Human Phenotype Ontology	C0270871		16 Feb 2016	Finding
HP:0000319	Smooth philtrum	Human Phenotype Ontology	C1142533		04 Apr 2018	Finding
HP:0000320	Bird-like facies	Human Phenotype Ontology	C1837758		16 Feb 2016	Finding
HP:0000321	Square face	Human Phenotype Ontology	C1832127		16 Feb 2016	Finding
HP:0000322	Short philtrum	Human Phenotype Ontology	C1861324		16 Feb 2016	Finding
HP:0000324	Facial asymmetry	Human Phenotype Ontology	C1306710		16 Feb 2016	Finding
HP:0000325	Triangular face	Human Phenotype Ontology	C1835884		16 Feb 2016	Finding
HP:0000326	Abnormality of the maxilla	Human Phenotype Ontology	C4025862		16 Feb 2016	Finding
HP:0000327	Hypoplasia of the maxilla	Human Phenotype Ontology	C0240310		16 Feb 2016	Finding
HP:0000329	Facial hemangioma	Human Phenotype Ontology	C1861443		16 Feb 2016	Finding
HP:0000331	Short chin	Human Phenotype Ontology	C3697248		16 Feb 2016	Finding
HP:0000336	Prominent supraorbital ridges	Human Phenotype Ontology	C1842060		16 Feb 2016	Finding
HP:0000337	Broad forehead	Human Phenotype Ontology	C1849089		16 Feb 2016	Finding
HP:0000338	Hypomimic face	Human Phenotype Ontology	C0813217		16 Feb 2016	Finding
HP:0000339	Pugilistic facies	Human Phenotype Ontology	C1846011		16 Feb 2016	Finding
HP:0000340	Sloping forehead	Human Phenotype Ontology	C1857679		16 Feb 2016	Finding
HP:0000341	Narrow forehead	Human Phenotype Ontology	C1839758		16 Feb 2016	Finding
HP:0000343	Long philtrum	Human Phenotype Ontology	C1865014		16 Feb 2016	Finding
HP:0000346	Whistling appearance	Human Phenotype Ontology	C1848473		16 Feb 2016	Finding
HP:0000347	Micrognathia	Human Phenotype Ontology	C0025990		16 Feb 2016	Finding
HP:0000348	High forehead	Human Phenotype Ontology	C0239676		16 Feb 2016	Finding
HP:0000349	Widow's peak	Human Phenotype Ontology	C1853486	194000.0	16 Feb 2016	Finding
HP:0000350	Small forehead	Human Phenotype Ontology	C1845250		16 Feb 2016	Finding
HP:0000356	Abnormality of the outer ear	Human Phenotype Ontology	C1846460		16 Feb 2016	Finding
HP:0000357	Abnormal location of ears	Human Phenotype Ontology	C4021810		16 Feb 2016	Finding
HP:0000358	Posteriorly rotated ears	Human Phenotype Ontology	C0431478		16 Feb 2016	Finding
HP:0000359	Abnormality of the inner ear	Human Phenotype Ontology	C4021809		16 Feb 2016	Finding
HP:0000360	Tinnitus	Human Phenotype Ontology	C0040264		16 Feb 2016	Finding
HP:0000362	Otosclerosis	Human Phenotype Ontology	C0029899		16 Feb 2016	Disease
HP:0000363	Abnormal earlobe morphology	Human Phenotype Ontology	C4021808		31 Mar 2022	Finding
HP:0000364	Hearing abnormality	Human Phenotype Ontology	C4025860		16 Feb 2016	Finding
HP:0000365	Congenital deafness	Human Phenotype Ontology	C0339789		16 Feb 2016	Disease
HP:0000366	Abnormality of the nose	Human Phenotype Ontology	C0265736		16 Feb 2016	Finding
HP:0000368	Low-set, posteriorly rotated ears	Human Phenotype Ontology	C1857486		16 Feb 2016	Finding
HP:0000369	Low-set ears	Human Phenotype Ontology	C0239234		16 Feb 2016	Finding
HP:0000370	Abnormality of the middle ear	Human Phenotype Ontology	C1861141		16 Feb 2016	Finding
HP:0000371	Acute otitis media	Human Phenotype Ontology	C0271429		16 Feb 2016	Finding
HP:0000372	Abnormality of the auditory canal	Human Phenotype Ontology	C4021807		16 Feb 2016	Finding
HP:0000375	Abnormal cochlea morphology	Human Phenotype Ontology	C4025858		18 Nov 2021	Finding
HP:0000376	Incomplete partition of the cochlea type II	Human Phenotype Ontology	C4025857		16 Feb 2016	Finding
HP:0000377	Abnormality of the pinna	Human Phenotype Ontology	C0857379		16 Feb 2016	Finding
HP:0000378	Cupped ear	Human Phenotype Ontology	C1845447		16 Feb 2016	Finding
HP:0000381	Stapes ankylosis	Human Phenotype Ontology	C1861326		16 Feb 2016	Finding
HP:0000383	Abnormality of periauricular region	Human Phenotype Ontology	C4025856		16 Feb 2016	Finding
HP:0000384	Preauricular skin tag	Human Phenotype Ontology	C1860816		16 Feb 2016	Finding
HP:0000385	Small earlobe	Human Phenotype Ontology	C1842680		16 Feb 2016	Finding
HP:0000387	Absent earlobe	Human Phenotype Ontology	C1849364		16 Feb 2016	Finding
HP:0000388	Otitis media	Human Phenotype Ontology	C0029882		16 Feb 2016	Finding
HP:0000389	Chronic otitis media	Human Phenotype Ontology	C0271441		16 Feb 2016	Finding
HP:0000391	Thickened helices	Human Phenotype Ontology	C1837732		16 Feb 2016	Finding
HP:0000394	Lop ear	Human Phenotype Ontology	C0266614		16 Feb 2016	Finding
HP:0000395	Prominent antihelix	Human Phenotype Ontology	C1845272		16 Feb 2016	Finding
HP:0000396	Overfolded helix	Human Phenotype Ontology	C1837731		16 Feb 2016	Finding
HP:0000399	Prelingual sensorineural hearing impairment	Human Phenotype Ontology	C4021806		16 Feb 2016	Finding
