COSMIC_PHENOTYPE_ID,SITE_PRIMARY,SITE_SUBTYPE1,SITE_SUBTYPE2,SITE_SUBTYPE3,HISTOLOGY,HIST_SUBTYPE1,HIST_SUBTYPE2,HIST_SUBTYPE3,SITE_PRIMARY_COSMIC,SITE_SUBTYPE1_COSMIC,SITE_SUBTYPE2_COSMIC,SITE_SUBTYPE3_COSMIC,HISTOLOGY_COSMIC,HIST_SUBTYPE1_COSMIC,HIST_SUBTYPE2_COSMIC,HIST_SUBTYPE3_COSMIC,NCI,EFO
COSO349411100,parotid,NS,NS,NS,rhabdomyosarcoma,embryonal,spindle_cell,NS,soft_tissue,striated_muscle,parotid,NS,rhabdomyosarcoma,embryonal,spindle_cell,NS,C6519,http://www.ebi.ac.uk/efo/EFO_0000437
COSO582311026,soft_tissue,chest_wall,NS,NS,sarcoma,biphenotypic,with_myogenic_and_neural_differentiation,NS,soft_tissue,muscle_and_neural_differentiation,chest_wall,NS,biphenotypic_sarcoma_with_myogenic_and_neural_differentiation,NS,NS,NS,C27291,http://purl.obolibrary.org/obo/MONDO_0021038
COSO372511026,soft_tissue,thigh,NS,NS,sarcoma,biphenotypic,with_myogenic_and_neural_differentiation,NS,soft_tissue,fibrous_tissue_and_uncertain_origin,upper_leg,NS,biphenotypic_sarcoma_with_myogenic_and_neural_differentiation,NS,NS,NS,C27291,http://purl.obolibrary.org/obo/MONDO_0021038
COSO582511026,soft_tissue,upper_arm,NS,NS,sarcoma,biphenotypic,with_myogenic_and_neural_differentiation,NS,soft_tissue,muscle_and_neural_differentiation,upper_arm,NS,biphenotypic_sarcoma_with_myogenic_and_neural_differentiation,NS,NS,NS,C27291,http://purl.obolibrary.org/obo/MONDO_0021038
COSO582611026,soft_tissue,retroperitoneum,NS,NS,sarcoma,biphenotypic,with_myogenic_and_neural_differentiation,NS,soft_tissue,muscle_and_neural_differentiation,retroperitoneum,NS,biphenotypic_sarcoma_with_myogenic_and_neural_differentiation,NS,NS,NS,C27291,http://purl.obolibrary.org/obo/MONDO_0021038
COSO582711026,soft_tissue,NS,NS,NS,sarcoma,biphenotypic,with_myogenic_and_neural_differentiation,NS,soft_tissue,muscle_and_neural_differentiation,NS,NS,biphenotypic_sarcoma_with_myogenic_and_neural_differentiation,NS,NS,NS,C27291,http://purl.obolibrary.org/obo/MONDO_0021038
COSO582811026,soft_tissue,hand,NS,NS,sarcoma,small_cell,biphenotypic,with_neural_and_muscular_differentiation,soft_tissue,muscle_and_neural_differentiation,hand,NS,biphenotypic_sarcoma_with_myogenic_and_neural_differentiation,NS,NS,NS,C27291,http://purl.obolibrary.org/obo/MONDO_0021038
COSO282211029,bone,tibia,NS,NS,sarcoma,Ewings,adamantinoma-like,NS,bone,tibia,NS,NS,Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour,adamantinoma-like,NS,NS,C35871,
COSO29026529,uterus,endometrium,NS,NS,mesodermal_mixed_tumour,NS,NS,NS,endometrium,NS,NS,NS,carcinoma,carcinosarcoma-malignant_mesodermal_mixed_tumour,NS,NS,C42700,http://www.ebi.ac.uk/efo/EFO_1000613
COSO58316781,soft_tissue,face,NS,NS,haemangioma,cavernous,NS,NS,soft_tissue,blood_vessel,face,NS,haemangioma,cavernous,NS,NS,C7053,http://www.ebi.ac.uk/efo/EFO_1000152
COSO521411032,upper_arm,NS,NS,NS,sarcoma,Ewings,atypical,NS,bone,extraskeletal,NS,NS,Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour,atypical-large_cell,NS,NS,C27293,http://www.ebi.ac.uk/efo/EFO_1000250
COSO34416185,soft_tissue,chest_wall,NS,NS,sarcoma,dermatofibrosarcoma_protuberans,NS,NS,soft_tissue,fibrous_tissue_and_uncertain_origin,chest_wall,NS,dermatofibrosarcoma_protuberans,NS,NS,NS,C4683,http://www.orpha.net/ORDO/Orphanet_31112
COSO36226185,soft_tissue,lower_leg,NS,NS,sarcoma,dermatofibrosarcoma_protuberans,NS,NS,soft_tissue,fibrous_tissue_and_uncertain_origin,lower_leg,NS,dermatofibrosarcoma_protuberans,NS,NS,NS,C4683,http://www.orpha.net/ORDO/Orphanet_31112
COSO31804837,parathyroid,NS,NS,NS,adenoma,cystic,NS,NS,parathyroid,NS,NS,NS,adenoma,NS,NS,NS,C3916,http://www.ebi.ac.uk/efo/EFO_1001087
COSO31804837,parathyroid,NS,NS,NS,adenoma,atypical,NS,NS,parathyroid,NS,NS,NS,adenoma,NS,NS,NS,C3916,http://www.ebi.ac.uk/efo/EFO_1001087
COSO53734818,stomach,NS,NS,NS,lymphoma,diffuse_large_B_cell,NS,NS,haematopoietic_and_lymphoid_tissue,stomach,NS,NS,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma,NS,NS,C5253,http://www.ebi.ac.uk/efo/EFO_1000270
COSO52145222,leg,NS,NS,NS,sarcoma,Ewings,NS,NS,bone,extraskeletal,NS,NS,Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour,NS,NS,NS,C27293,http://www.ebi.ac.uk/efo/EFO_1000250
COSO353710062,wrist,right,NS,NS,sarcoma,clear_cell,NS,NS,soft_tissue,fibrous_tissue_and_uncertain_origin,forearm,NS,malignant_melanoma_of_soft_parts-clear_cell_sarcoma,NS,NS,NS,C3745,http://www.ebi.ac.uk/efo/EFO_0008498
COSO287710062,colon,transverse,NS,NS,sarcoma,clear_cell,NS,NS,soft_tissue,fibrous_tissue_and_uncertain_origin,large_intestine,NS,malignant_melanoma_of_soft_parts-clear_cell_sarcoma,NS,NS,NS,C3745,http://www.ebi.ac.uk/efo/EFO_0008498
COSO333010062,foot,left,NS,NS,sarcoma,clear_cell,NS,NS,soft_tissue,fibrous_tissue_and_uncertain_origin,foot,NS,malignant_melanoma_of_soft_parts-clear_cell_sarcoma,NS,NS,NS,C3745,http://www.ebi.ac.uk/efo/EFO_0008498
COSO313510062,NS,NS,NS,NS,sarcoma,clear_cell,NS,NS,soft_tissue,fibrous_tissue_and_uncertain_origin,NS,NS,malignant_melanoma_of_soft_parts-clear_cell_sarcoma,NS,NS,NS,C3745,http://www.ebi.ac.uk/efo/EFO_0008498
COSO318710062,retroperitoneum,NS,NS,NS,malignant_melanoma_of_soft_parts,NS,NS,NS,soft_tissue,fibrous_tissue_and_uncertain_origin,retroperitoneum,NS,malignant_melanoma_of_soft_parts-clear_cell_sarcoma,NS,NS,NS,C3745,http://www.ebi.ac.uk/efo/EFO_0008498
COSO572010062,arm,NS,NS,NS,sarcoma,clear_cell,NS,NS,soft_tissue,fibrous_tissue_and_uncertain_origin,arm,NS,malignant_melanoma_of_soft_parts-clear_cell_sarcoma,NS,NS,NS,C3745,http://www.ebi.ac.uk/efo/EFO_0008498
COSO351710062,knee,NS,NS,NS,sarcoma,clear_cell,NS,NS,soft_tissue,fibrous_tissue_and_uncertain_origin,knee,NS,malignant_melanoma_of_soft_parts-clear_cell_sarcoma,NS,NS,NS,C3745,http://www.ebi.ac.uk/efo/EFO_0008498
COSO333010062,foot,NS,NS,NS,sarcoma,clear_cell,NS,NS,soft_tissue,fibrous_tissue_and_uncertain_origin,foot,NS,malignant_melanoma_of_soft_parts-clear_cell_sarcoma,NS,NS,NS,C3745,http://www.ebi.ac.uk/efo/EFO_0008498
COSO344010062,buttock,NS,NS,NS,sarcoma,clear_cell,NS,NS,soft_tissue,fibrous_tissue_and_uncertain_origin,buttock,NS,malignant_melanoma_of_soft_parts-clear_cell_sarcoma,NS,NS,NS,C3745,http://www.ebi.ac.uk/efo/EFO_0008498
COSO353710062,wrist,NS,NS,NS,sarcoma,clear_cell,NS,NS,soft_tissue,fibrous_tissue_and_uncertain_origin,forearm,NS,malignant_melanoma_of_soft_parts-clear_cell_sarcoma,NS,NS,NS,C3745,http://www.ebi.ac.uk/efo/EFO_0008498
COSO372510062,thigh,NS,NS,NS,sarcoma,clear_cell,NS,NS,soft_tissue,fibrous_tissue_and_uncertain_origin,upper_leg,NS,malignant_melanoma_of_soft_parts-clear_cell_sarcoma,NS,NS,NS,C3745,http://www.ebi.ac.uk/efo/EFO_0008498
COSO333210062,hand,NS,NS,NS,sarcoma,clear_cell,NS,NS,soft_tissue,fibrous_tissue_and_uncertain_origin,hand,NS,malignant_melanoma_of_soft_parts-clear_cell_sarcoma,NS,NS,NS,C3745,http://www.ebi.ac.uk/efo/EFO_0008498
COSO360710062,stomach,NS,NS,NS,sarcoma,clear_cell,NS,NS,soft_tissue,fibrous_tissue_and_uncertain_origin,stomach,NS,malignant_melanoma_of_soft_parts-clear_cell_sarcoma,NS,NS,NS,C3745,http://www.ebi.ac.uk/efo/EFO_0008498
COSO573810062,leg,NS,NS,NS,sarcoma,clear_cell,NS,NS,soft_tissue,fibrous_tissue_and_uncertain_origin,leg,NS,malignant_melanoma_of_soft_parts-clear_cell_sarcoma,NS,NS,NS,C3745,http://www.ebi.ac.uk/efo/EFO_0008498
COSO344010062,gluteal,NS,NS,NS,sarcoma,clear_cell,NS,NS,soft_tissue,fibrous_tissue_and_uncertain_origin,buttock,NS,malignant_melanoma_of_soft_parts-clear_cell_sarcoma,NS,NS,NS,C3745,http://www.ebi.ac.uk/efo/EFO_0008498
COSO344110062,chest_wall,NS,NS,NS,sarcoma,clear_cell,NS,NS,soft_tissue,fibrous_tissue_and_uncertain_origin,chest_wall,NS,malignant_melanoma_of_soft_parts-clear_cell_sarcoma,NS,NS,NS,C3745,http://www.ebi.ac.uk/efo/EFO_0008498
COSO30135826,ovary,NS,NS,NS,teratoma,NS,NS,NS,ovary,NS,NS,NS,germ_cell_tumour,teratoma,NS,NS,C8110,http://www.ebi.ac.uk/efo/EFO_0006463
COSO52146410,thigh,NS,NS,NS,chondrosarcoma,myxoid,NS,NS,bone,extraskeletal,NS,NS,chondrosarcoma,myxoid,NS,NS,C27502,
COSO52146410,leg,NS,NS,NS,chondrosarcoma,myxoid,NS,NS,bone,extraskeletal,NS,NS,chondrosarcoma,myxoid,NS,NS,C27502,
COSO52146410,buttock,NS,NS,NS,chondrosarcoma,myxoid,NS,NS,bone,extraskeletal,NS,NS,chondrosarcoma,myxoid,NS,NS,C27502,
COSO52146410,knee,NS,NS,NS,chondrosarcoma,myxoid,NS,NS,bone,extraskeletal,NS,NS,chondrosarcoma,myxoid,NS,NS,C27502,
COSO52146410,hand,NS,NS,NS,chondrosarcoma,myxoid,NS,NS,bone,extraskeletal,NS,NS,chondrosarcoma,myxoid,NS,NS,C27502,
COSO28166410,bone,humerus,NS,NS,chondrosarcoma,myxoid,NS,NS,bone,humerus,NS,NS,chondrosarcoma,myxoid,NS,NS,C4303,
COSO38006410,bone,ilium,NS,NS,chondrosarcoma,myxoid,NS,NS,bone,ilium,NS,NS,chondrosarcoma,myxoid,NS,NS,C4303,
COSO28186410,bone,os_pubis,NS,NS,chondrosarcoma,myxoid,NS,NS,bone,pelvis,NS,NS,chondrosarcoma,myxoid,NS,NS,C4303,
COSO28106410,bone,femur,NS,NS,chondrosarcoma,myxoid,NS,NS,bone,femur,NS,NS,chondrosarcoma,myxoid,NS,NS,C4303,http://purl.obolibrary.org/obo/MONDO_0000515
COSO58666157,mouth,NS,NS,NS,liposarcoma,myxoid,NS,NS,soft_tissue,fat,mouth,NS,liposarcoma,myxoid-round_cell,NS,NS,C4253,
COSO28185226,bone,pelvis,NS,NS,sarcoma,undifferentiated,NS,NS,bone,pelvis,NS,NS,sarcoma,NS,NS,NS,C9312,http://purl.obolibrary.org/obo/MONDO_0021054
COSO37236157,thigh,NS,NS,NS,liposarcoma,myxoid,with_cartilaginous_differentiation,NS,soft_tissue,fat,upper_leg,NS,liposarcoma,myxoid-round_cell,NS,NS,C4253,
COSO58896157,soft_tissue,neck,NS,NS,liposarcoma,round_cell,myxoid,mixed,soft_tissue,fat,neck,NS,liposarcoma,myxoid-round_cell,NS,NS,C4253,
COSO37236157,soft_tissue,thigh,NS,NS,liposarcoma,round_cell,myxoid,mixed,soft_tissue,fat,upper_leg,NS,liposarcoma,myxoid-round_cell,NS,NS,C4253,
COSO58356157,soft_tissue,leg,NS,NS,liposarcoma,round_cell,NS,NS,soft_tissue,fat,leg,NS,liposarcoma,myxoid-round_cell,NS,NS,C4253,
COSO34336157,buttock,NS,NS,NS,liposarcoma,myxoid-round_cell,NS,NS,soft_tissue,fat,buttock,NS,liposarcoma,myxoid-round_cell,NS,NS,C4253,
COSO37236157,thigh,NS,NS,NS,liposarcoma,myxoid-round_cell,NS,NS,soft_tissue,fat,upper_leg,NS,liposarcoma,myxoid-round_cell,NS,NS,C4253,
COSO34276157,retroperitoneum,NS,NS,NS,liposarcoma,myxoid-round_cell,NS,NS,soft_tissue,fat,retroperitoneum,NS,liposarcoma,myxoid-round_cell,NS,NS,C4253,
COSO58706157,intraabdominal,NS,NS,NS,liposarcoma,myxoid-round_cell,NS,NS,soft_tissue,fat,intraabdominal,NS,liposarcoma,myxoid-round_cell,NS,NS,C4253,
COSO34766176,masseter,NS,NS,NS,rhabdomyosarcoma,alveolar,NS,NS,soft_tissue,striated_muscle,face,NS,rhabdomyosarcoma,alveolar,NS,NS,C3749,http://www.ebi.ac.uk/efo/EFO_0000248
COSO589311100,paratestis,NS,NS,NS,rhabdomyosarcoma,spindle_cell,NS,NS,soft_tissue,striated_muscle,paratestis,NS,rhabdomyosarcoma,embryonal,spindle_cell,NS,C6519,http://www.ebi.ac.uk/efo/EFO_0000437
COSO586511079,sinus,NS,NS,NS,rhabdomyosarcoma,alveolar,solid_variant,NS,soft_tissue,striated_muscle,sinonasal,NS,rhabdomyosarcoma,alveolar,solid_variant,NS,C3749,http://www.ebi.ac.uk/efo/EFO_0000248
COSO58656176,sinus,ethmoid,NS,NS,rhabdomyosarcoma,alveolar,NS,NS,soft_tissue,striated_muscle,sinonasal,NS,rhabdomyosarcoma,alveolar,NS,NS,C3749,http://www.ebi.ac.uk/efo/EFO_0000248
COSO586511079,sinus,maxillary,NS,NS,rhabdomyosarcoma,alveolar,solid_variant,NS,soft_tissue,striated_muscle,sinonasal,NS,rhabdomyosarcoma,alveolar,solid_variant,NS,C3749,http://www.ebi.ac.uk/efo/EFO_0000248
COSO586511079,sinus,ethmoid,NS,NS,rhabdomyosarcoma,alveolar,solid_variant,NS,soft_tissue,striated_muscle,sinonasal,NS,rhabdomyosarcoma,alveolar,solid_variant,NS,C3749,http://www.ebi.ac.uk/efo/EFO_0000248
COSO584711079,forearm,NS,NS,NS,rhabdomyosarcoma,alveolar,solid_variant,NS,soft_tissue,striated_muscle,forearm,NS,rhabdomyosarcoma,alveolar,solid_variant,NS,C3749,http://www.ebi.ac.uk/efo/EFO_0000248
COSO37515343,orbit,NS,NS,NS,rhabdomyosarcoma,embryonal,NS,NS,soft_tissue,striated_muscle,orbit,NS,rhabdomyosarcoma,embryonal,NS,NS,C6246,
COSO37816176,calf,NS,NS,NS,rhabdomyosarcoma,alveolar,NS,NS,soft_tissue,striated_muscle,lower_leg,NS,rhabdomyosarcoma,alveolar,NS,NS,C3749,http://www.ebi.ac.uk/efo/EFO_0000248
COSO37815343,calf,NS,NS,NS,rhabdomyosarcoma,embryonal,NS,NS,soft_tissue,striated_muscle,lower_leg,NS,rhabdomyosarcoma,embryonal,NS,NS,C8971,http://www.ebi.ac.uk/efo/EFO_0000437
COSO327811122,skin,forearm,NS,NS,seborrhoeic_keratosis,adenoid,NS,NS,skin,forearm,NS,NS,other,seborrhoeic_keratosis,adenoid,NS,C9006,http://www.ebi.ac.uk/efo/EFO_0005584
COSO328211122,skin,neck,NS,NS,seborrhoeic_keratosis,adenoid,NS,NS,skin,neck,NS,NS,other,seborrhoeic_keratosis,adenoid,NS,C9006,http://www.ebi.ac.uk/efo/EFO_0005584
COSO327211122,skin,chest,NS,NS,seborrhoeic_keratosis,adenoid,NS,NS,skin,chest,NS,NS,other,seborrhoeic_keratosis,adenoid,NS,C9006,http://www.ebi.ac.uk/efo/EFO_0005584
COSO334711122,skin,abdomen,NS,NS,seborrhoeic_keratosis,adenoid,NS,NS,skin,abdomen,NS,NS,other,seborrhoeic_keratosis,adenoid,NS,C9006,http://www.ebi.ac.uk/efo/EFO_0005584
COSO329011122,skin,shoulder,NS,NS,seborrhoeic_keratosis,adenoid,NS,NS,skin,shoulder,NS,NS,other,seborrhoeic_keratosis,adenoid,NS,C9006,http://www.ebi.ac.uk/efo/EFO_0005584
COSO332011122,skin,hand,NS,NS,seborrhoeic_keratosis,adenoid,NS,NS,skin,hand,NS,NS,other,seborrhoeic_keratosis,adenoid,NS,C9006,http://www.ebi.ac.uk/efo/EFO_0005584
COSO32926047,skin,left_upper_arm,NS,NS,carcinoma,Merkel_cell,NS,NS,skin,upper_arm,NS,NS,carcinoma,Merkel_cell_carcinoma,NS,NS,C9231,http://www.ebi.ac.uk/efo/EFO_1001471
COSO33266047,skin,leg,NS,NS,carcinoma,Merkel_cell,NS,NS,skin,leg,NS,NS,carcinoma,Merkel_cell_carcinoma,NS,NS,C9231,http://www.ebi.ac.uk/efo/EFO_1001471
COSO53586047,skin,lip,NS,NS,carcinoma,Merkel_cell,NS,NS,skin,lip,NS,NS,carcinoma,Merkel_cell_carcinoma,NS,NS,C9231,http://www.ebi.ac.uk/efo/EFO_1001471
COSO33686047,skin,knee,NS,NS,carcinoma,Merkel_cell,NS,NS,skin,knee,NS,NS,carcinoma,Merkel_cell_carcinoma,NS,NS,C9231,http://www.ebi.ac.uk/efo/EFO_1001471
COSO32766047,skin,right_temple,NS,NS,carcinoma,Merkel_cell,NS,NS,skin,face,NS,NS,carcinoma,Merkel_cell_carcinoma,NS,NS,C9231,http://www.ebi.ac.uk/efo/EFO_1001471
COSO32786047,skin,right_forearm,NS,NS,carcinoma,Merkel_cell,NS,NS,skin,forearm,NS,NS,carcinoma,Merkel_cell_carcinoma,NS,NS,C9231,http://www.ebi.ac.uk/efo/EFO_1001471
COSO33006047,skin,left_arm,NS,NS,carcinoma,Merkel_cell,NS,NS,skin,arm,NS,NS,carcinoma,Merkel_cell_carcinoma,NS,NS,C9231,http://www.ebi.ac.uk/efo/EFO_1001471
COSO36605763,gastrointestinal_tract_(site_indeterminate),NS,NS,NS,gastrointestinal_stromal_tumour,mixed_spindle_and_epithelioid_cell,NS,NS,soft_tissue,fibrous_tissue_and_uncertain_origin,gastrointestinal_tract_(site_indeterminate),NS,gastrointestinal_stromal_tumour,spindle_and_epithelioid,NS,NS,C27793,
