"id","Associated Disease","Disease Ontology Description","UniProt Description","Protein Count","Direct Association Count","Mondo ID"
45,"3-methylglutaconic aciduria with deafness, encephalopathy, and Leigh-like syndrome","A 3-methylglutaconic aciduria that has_material_basis_in homozygous or compound heterozygous mutation in the SERAC1 gene on chromosome 6q25.","An autosomal recessive disorder characterized by childhood onset of delayed psychomotor development or psychomotor regression, sensorineural deafness, spasticity or dystonia, and increased excretion of 3-methylglutaconic acid. Brain imaging shows cerebral and cerebellar atrophy as well as lesions in the basal ganglia reminiscent of Leigh syndrome. Laboratory studies show increased serum lactate and alanine, mitochondrial oxidative phosphorylation defects, abnormal mitochondria, abnormal phosphatidylglycerol and cardiolipin profiles in fibroblasts, and abnormal accumulation of unesterified cholesterol within cells.",1,1,"MONDO:0013875"
46,"3-METHYLGLUTACONIC ACIDURIA, TYPE IX",,,1,1,
47,"3-phosphoglycerate dehydrogenase deficiency",,,2,1,"MONDO:0018491"
48,"3b-Hydroxysteroid Dehydrogenase Deficiency",,,1,1,
49,"3M syndrome 1",,"An autosomal recessive disorder characterized by severe pre- and postnatal growth retardation, facial dysmorphism, large head circumference, and normal intelligence and endocrine function. Skeletal changes include long slender tubular bones and tall vertebral bodies.",1,1,"MONDO:0010117"
50,"3M syndrome 2",,"An autosomal recessive disorder characterized by severe pre- and postnatal growth retardation, facial dysmorphism, large head circumference, and normal intelligence and endocrine function. Skeletal changes include long slender tubular bones and tall vertebral bodies.",1,1,"MONDO:0013039"
51,"3M syndrome 3",,"A disorder characterized by poor postnatal growth and distinctive facial features, including triangular facies, frontal bossing, fleshy tipped nose, and fleshy lips. Other features may include skeletal anomalies and prominent heels.",1,1,"MONDO:0013627"
52,"3MC syndrome","A syndrome characterized by blepharophimosis, blepharoptosis, highly arched eyebrows hypertelorism, cleft lip and palate, postnatal growth deficiency, cognitive impairment, hearing loss and, in a smaller percentage of cases, craniosynostosis, radioulnar synostosis and genital and vesicorenal anomalies. It encompasses four disorders that were previously designated the Malpuech, Michels, Mingarelli and Carnevale syndromes.",,3,3,"MONDO:0017398"
53,"3MC syndrome 1",,"A form of 3MC syndrome, an autosomal recessive disorder characterized by facial dysmorphism, craniosynostosis, learning disability, and genital, limb and vesicorenal anomalies. Facial features include hypertelorism, blepharophimosis, blepharoptosis and highly arched eyebrows, cleft lip and/or palate. The term 3MC syndrome includes Carnevale, Mingarelli, Malpuech, and Michels syndromes.",2,2,"MONDO:0009770"
54,"3MC syndrome 2",,"A form of 3MC syndrome, an autosomal recessive disorder characterized by facial dysmorphism, craniosynostosis, learning disability, and genital, limb and vesicorenal anomalies. Facial features include hypertelorism, blepharophimosis, blepharoptosis and highly arched eyebrows, cleft lip and/or palate. The term 3MC syndrome includes Carnevale, Mingarelli, Malpuech, and Michels syndromes.",2,2,"MONDO:0009927"
55,"3MC syndrome 3",,"A form of 3MC syndrome, an autosomal recessive disorder characterized by facial dysmorphism, craniosynostosis, learning disability, and genital, limb and vesicorenal anomalies. Facial features include hypertelorism, blepharophimosis, blepharoptosis and highly arched eyebrows, cleft lip and/or palate. The term 3MC syndrome includes Carnevale, Mingarelli, Malpuech, and Michels syndromes.",3,3,"MONDO:0009554"
56,"3p- syndrome",,,4,4,"MONDO:0013424"
57,"46 XX gonadal dysgenesis","A gonadal dysgenesis that is characterized by the lack of functional ovaries to induce puberty in an otherwise 46,XX female.",,8,6,"MONDO:0009299"
58,"46,XX disorder of sex development",,,24,1,"MONDO:0017576"
59,"46,XX ovarian dysgenesis-short stature syndrome","A 46 XX gonadal dysgenesis that has_material_basis_in homozygous mutation in the MCM9 gene on chromosome 6q22.","A form of ovarian dysgenesis, a disorder characterized by lack of spontaneous pubertal development, primary amenorrhea, uterine hypoplasia, and hypergonadotropic hypogonadism as a result of streak gonads. ODG4 is an autosomal recessive condition.",1,1,"MONDO:0014520"
60,"46,XX ovotesticular disorder of sex development",,,3,3,"MONDO:0016281"
61,"46,XX sex reversal 1",,"A condition in which male gonads develop in a genetic female (female to male sex reversal).",3,3,"MONDO:0100250"
62,"46,XX sex reversal 2",,"A condition in which male gonads develop in a genetic female (female to male sex reversal).",1,1,"MONDO:0010218"
63,"46,XX sex reversal 3",,"A condition in which male gonads develop in a genetic female (female to male sex reversal).",1,1,"MONDO:0010442"
64,"46,XX sex reversal 4",,"A condition in which male gonads develop in a genetic female (female to male sex reversal).",1,1,"MONDO:0060489"
65,"46,XX testicular disorder of sex development",,,5,5,"MONDO:0100249"
66,"46,XY complete gonadal dysgenesis","A gonadal dysgenesis that is characterized by a normal 46,XY karyotype along with a progressive loss of germ cells on the developing gonads of an embryo.",,14,10,"MONDO:0010765"
67,"46,XY disorder of sex development",,,40,3,"MONDO:0020040"
68,"46,XY disorder of sex development due to 17-beta-hydroxysteroid dehydrogenase 3 deficiency",,"An autosomal recessive disorder that manifests, in males, as undermasculinization characterized by hypoplastic-to-normal internal genitalia (epididymis, vas deferens, seminal vesicles, and ejaculatory ducts) but female external genitalia and the absence of a prostate. This phenotype is caused by inadequate testicular synthesis of testosterone, which, in turn, results in insufficient formation of dihydrotestosterone in the anlage of the external genitalia and prostate during fetal development. At the expected time of puberty, there is a marked increase in plasma leuteinizing hormone and, consequently, in testicular secretion of androstenedione. Hence, a diagnostic hallmark of this disorder is a decreased plasma testosterone-to-androstenedione ratio. Significant amounts of the circulating androstenedione are, however, converted to testosterone, in peripheral tissues, thereby causing virilization.",1,1,"MONDO:0009916"
69,"46,XY disorder of sex development due to 5-alpha-reductase 2 deficiency",,"A form of male pseudohermaphroditism in which 46,XY males show ambiguous genitalia at birth, including perineal hypospadias and a blind perineal pouch, and develop masculinization at puberty. The name of the disorder stems from the finding of a blind-ending perineal opening resembling a vagina and a severely hypospadiac penis with the urethra opening onto the perineum.",1,1,"MONDO:0009923"
70,"46,XY disorder of sex development due to isolated 17,20-lyase deficiency",,,4,2,"MONDO:0019597"
71,"46,XY Disorder of Sex Development Due To LH Defects",,,1,1,
72,"46,XY disorder of sex development due to testicular 17,20-desmolase deficiency",,"A disorder of sex development. Affected individuals have a 46,XY karyotype but present as phenotypically normal females.",2,2,"MONDO:0013664"
73,"46,XY gonadal dysgenesis-motor and sensory neuropathy syndrome",,"Characterized by the presence of a testis on one side and a streak or an absent gonad at the other, persistence of Muellerian duct structures, and a variable degree of genital ambiguity.",1,1,"MONDO:0011766"
74,"46,XY Gonadal Dysgenesis, Complete or Partial, DHH-Related",,,1,1,
75,"46,Xy Gonadal Dysgenesis, Complete, Sry-Related",,,1,1,
76,"46,XY partial gonadal dysgenesis",,,14,11,"MONDO:0016674"
77,"46,XY sex reversal 1",,"A condition characterized by male-to-female sex reversal in the presence of a normal 46,XY karyotype. Patients manifest rapid and early degeneration of their gonads, which are present in the adult as 'streak gonads', consisting mainly of fibrous tissue and variable amounts of ovarian stroma. As a result these patients do not develop secondary sexual characteristics at puberty. The external genitalia in these subjects are completely female, and Muellerian structures are normal.",1,1,"MONDO:0020712"
78,"46,XY sex reversal 10",,"A disorder of sex development. Affected individuals have a 46,XY karyotype, show gonadal dysgenesis with streak gonads, look like normal females at birth, do not develop secondary sexual characteristics at puberty and do not menstruate.",1,1,"MONDO:0014634"
79,"46,XY sex reversal 2",,"A condition characterized by male-to-female sex reversal in the presence of a normal 46,XY karyotype.",1,1,"MONDO:0010226"
80,"46,XY sex reversal 3",,"A condition characterized by male-to-female sex reversal in the presence of a normal 46,XY karyotype.",3,3,"MONDO:0013066"
81,"46,XY sex reversal 4",,"A condition characterized by male-to-female sex reversal in the presence of a normal 46,XY karyotype. Patients display complete or partial gonadal dysgenesis and a chromosome 9p deletion.",1,1,"MONDO:0007938"
82,"46,XY sex reversal 5",,"A disorder of sex development. Affected individuals have a 46,XY karyotype but present as phenotypically normal females.",1,1,"MONDO:0013120"
83,"46,XY sex reversal 6",,"A disorder of sex development. Affected individuals have a 46,XY karyotype but present as phenotypically normal females.",1,1,"MONDO:0013410"
84,"46,XY sex reversal 7",,"A disorder of sex development. Affected individuals have a 46,XY karyotype but present as phenotypically normal females. SRXY7 patients have no functional gonads.",1,1,"MONDO:0009301"
85,"46,XY sex reversal 9",,"A disorder of sex development. Affected individuals have a 46,XY karyotype but present as phenotypically normal females or have ambiguous external genitalia.",1,1,"MONDO:0014480"
86,"46,Xy True Hermaphroditism, Sry-Related",,,1,1,
87,"5-Alpha Reductase Deficiency",,,1,1,
88,"5-oxoprolinase deficiency",,"A disorder characterized by calcium oxalate/carbonate urolithiasis, and excessive urinary 5-oxo-L-proline. Affected individuals have recurrent episodes of vomiting, diarrhea, and abdominal pain.",1,1,"MONDO:0009825"
89,"5q-syndrome",,,1,1,
90,"5q14.3 microdeletion syndrome",,,1,1,"MONDO:0016456"
91,"5q35 microduplication syndrome",,,1,1,"MONDO:0016461"
92,"6 alpha mercaptopurine sensitivity",,,1,1,
93,"6q terminal deletion syndrome",,,1,1,"MONDO:0019164"
94,"6q16 deletion syndrome",,,1,1,"MONDO:0015749"
95,"7-Dehydrocholesterol Reductase Deficiency",,,1,1,
96,"8p11.2 deletion syndrome",,,1,1,"MONDO:0016657"
97,"8p23.1 microdeletion syndrome",,,1,1,"MONDO:0016658"
98,"8q24.3 microdeletion syndrome",,"A syndrome characterized by growth retardation, delayed psychomotor development, dysmorphic facial features, and skeletal, mainly vertebral, abnormalities. Additional variable features may include coloboma, renal defects, and cardiac defects.",1,1,"MONDO:0014263"
99,"AA amyloidosis",,,6,6,"MONDO:0019439"
100,"Aarskog syndrome",,,2,2,
101,"Aarskog-Scott syndrome, X-linked",,"An X-linked recessive, rare multisystemic disorder characterized by disproportionately short stature, and by facial, skeletal and urogenital anomalies. Some patients manifest mental retardation, attention deficit disorder and hyperactivity.",1,1,"MONDO:0010589"
102,"Aase Smith syndrome 2",,,19,19,
103,"ABCD syndrome","An autosomal recessive disease that is characterized by albinism, black lock, cell migration disorder of the neurocytes of the gut and sensorineural deafness and has_material_basis_in a mutation in the endothelin B receptor gene (EDNRB).","An autosomal recessive syndrome characterized by albinism, black lock at temporal occipital region, bilateral deafness, aganglionosis of the large intestine and total absence of neurocytes and nerve fibers in the small intestine.",1,1,"MONDO:0010895"
104,"Abdominal abscess",,,1,1,
105,"abdominal aortic aneurysm","An aortic aneurysm that is located_in the abdominal aorta.",,95,95,"MONDO:0005350"
106,"Abdominal Cryptorchidism",,,9,9,
107,"Abdominal Migraine",,,10,10,
108,"abdominal obesity-metabolic syndrome",,,417,2,"MONDO:0000816"
109,"abdominal obesity-metabolic syndrome 3","An abdominal obesity-metabolic syndrome that has_material_basis_in heterozygous mutation in the DYRK1B gene on chromosome 19q13.","A form of abdominal obesity-metabolic syndrome, a disorder characterized by abdominal obesity, high triglycerides, low levels of high density lipoprotein cholesterol, high blood pressure, and elevated fasting glucose levels. AOMS3 is characterized by early-onset coronary artery disease, central obesity, hypertension, and diabetes.",1,1,"MONDO:0014352"
110,"ABDOMINAL OBESITY-METABOLIC SYNDROME QUANTITATIVE TRAIT LOCUS 1",,,1,1,
111,"Abdominal Pain",,,1,1,
112,"Aberrant Crypt Foci",,,3,3,
113,"ABeta amyloidosis, Arctic type",,,1,1,"MONDO:0017949"
114,"ABeta amyloidosis, dutch type",,,1,1,"MONDO:0015033"
115,"ABeta amyloidosis, Iowa type",,,1,1,"MONDO:0017946"
116,"ABeta amyloidosis, Italian type",,,1,1,"MONDO:0017947"
117,"ABetaL34V amyloidosis",,,1,1,"MONDO:0017945"
118,"abetalipoproteinemia","A hypolipoproteinemia that is characterized by an inablility to fully absorb dietary fats, cholesterol and fat-soluble vitamins, has_material_basis_in an autosomal recessive disorder of lipid metabolism that has material basis in mutation in the microsomal triglyceride transfer protein that catalyzes the transport of lipids and is required in the secretion of BETA-LIPOPROTEINS.","An autosomal recessive disorder of lipoprotein metabolism. Affected individuals produce virtually no circulating apolipoprotein B-containing lipoproteins (chylomicrons, VLDL, LDL, lipoprotein(A)). Malabsorption of the antioxidant vitamin E occurs, leading to spinocerebellar and retinal degeneration.",5,5,"MONDO:0008692"
119,"ablepharon macrostomia syndrome","A syndrome characterized by  ablepharon, macrostomia, abnormal external ears, syndactyly of the hands and feet, dry and coarse skin or redundant folds of skin, absent or sparse hair, genital malformations and developmental delay and that has_material_basis_in heterozygous mutation in the TWIST2 gene on chromosome 2q37.","A congenital ectodermal dysplasia characterized by absent eyelids, macrostomia, microtia, redundant skin, sparse hair, dysmorphic nose and ears, variable abnormalities of the nipples, genitalia, fingers, and hands, largely normal intellectual and motor development, and poor growth.",1,1,"MONDO:0008693"
120,"Abnormal coordination",,,15,15,
121,"Abnormal Deep Tendon Reflex",,,5,5,
122,"Abnormal uterine bleeding due to uterine fibroid",,,1,1,
123,"Abnormalities, Drug-Induced",,,5,5,
124,"Abnormalities, Multiple",,,14,14,
125,"Abnormality of the cornea",,,40,40,
126,"Abortion, Habitual",,,1,1,
127,"Abortion, Spontaneous",,,109,109,
128,"Abortion, Tubal",,,109,109,
129,"ABri amyloidosis","A cerebral amyloid angiopathy characterized by onset in the 4th to 6th decade of life, progressive mental deterioration, spasticity, muscular rigidity but no tremors, spontaneous movements or sensory changes that has_material_basis_in an autosomal dominant mutation of ITM2B on chromosome 13q14.2.","A disorder characterized by amyloid deposition in the walls of cerebral blood vessels and neurodegeneration in the central nervous system. Cerebral amyloid angiopathy, non-neuritic and perivascular plaques and neurofibrillary tangles are the predominant pathological lesions. Clinical features include progressive mental deterioration, spasticity and muscular rigidity.",11,11,"MONDO:0008306"
130,"Abruptio Placentae",,,3,3,
131,"Abruzzo-Erickson syndrome",,"A disease characterized by cleft palate, coloboma, hypospadias, deafness, short stature, and radial synostosis.",1,1,"MONDO:0010554"
132,"absence deformity of leg-cataract syndrome",,,1,1,"MONDO:0009516"
133,"absence epilepsy","An electroclinical syndrome characterized by the occurrence of generalized onset seizures that cause lapses in awareness, begin and end abruptly, typically last only a few seconds and are associated with abnormal spike-wave discharges as seen by electroencephalogram.",,8,8,
134,"absence of fingerprints-congenital milia syndrome",,"An autosomal dominant form of adermatoglyphia associated with congenital facial milia, acral blistering, digital contractures, and nail abnormalities. Adermatoglyphia is defined by the lack of epidermal ridges on the palms and soles, which results in the absence of fingerprints.",1,1,"MONDO:0007507"
135,"Absence Seizures",,,99,99,
136,"Absent reflex",,,5,5,
137,"absent tibia-polydactyly syndrome",,,1,1,"MONDO:0020306"
138,"ACAMPOMELIC CAMPOMELIC DYSPLASIA WITH AUTOSOMAL SEX REVERSAL",,,1,1,
139,"Acanthamoeba keratitis",,,1,1,"MONDO:0005629"
140,"Acantholytic Dyskeratotic Epidermal Nevus",,,1,1,
141,"Acatalasemia Japanese type",,,1,1,
142,"Acatalasemia Swiss type",,,1,1,
143,"acatalasia",,"A metabolic disorder characterized by a total or near total loss of catalase activity in red cells. It is often associated with ulcerating oral lesions. Acatalasemia is inherited as an autosomal recessive trait.",1,1,"MONDO:0013571"
144,"Accessory Atrioventricular Bundle (disorder)",,,1,1,
145,"Accidental poisoning by methyl alcohol",,,3,3,
146,"Acephaly",,,2,2,
147,"aceruloplasminemia","An iron metabolism disease that has_material_basis_in a mutation in the ceruloplasmin gene characterized by progressive neurodegeneration of the retina and basal ganglia and diabetes mellitus.","An autosomal recessive disorder of iron metabolism characterized by iron accumulation in the brain as well as visceral organs. Clinical features consist of the triad of retinal degeneration, diabetes mellitus and neurological disturbances.",3,3,"MONDO:0011426"
148,"Acetazolamide responsive myotonia",,,1,1,
149,"acetazolamide-responsive myotonia",,,1,1,"MONDO:0020483"
150,"acetyl-CoA acetyltransferase-2 deficiency",,,1,1,"MONDO:0013548"
151,"acetyl-coa carboxylase deficiency",,"An inborn error of de novo fatty acid synthesis associated with severe brain damage, persistent myopathy and poor growth.",1,1,"MONDO:0013493"
152,"achalasia","An esophageal disease that is characterized by an inability of the esophagus to move food toward the stomach resulting from the lower esophogeal sphincter not fully relaxing during swallowing.",,7,7,"MONDO:0008698"
153,"Ache",,,49,49,
154,"Acheiropodia",,,1,1,
155,"acheiropody","An osteochondrodysplasia characterized by a lack of formation of the distal extremities has_material_basis_in mutation in the LMBR1 gene.","Very rare condition characterized by bilateral congenital amputations of the hands and feet. The specific malformative phenotype consists of a complete amputation of the distal epiphysis of the humerus, amputation of the tibial diaphysis and aplasia of the radius, ulna, fibula and of all the bones of the hands and feet.",1,1,"MONDO:0008700"
156,"Acholinesterasemia",,,1,1,
157,"achondrogenesis","An osteochondrodysplasia that has_material_basis_in deficient endochondral ossification which results_in dwarfism, short-trunk, short-limbed, anascara, disaprportionately large cranium, and a narrow chest which leads to death in utero or during early neonatal period.",,6,3,"MONDO:0019648"
158,"Achondrogenesis type 1A",,,1,1,
159,"Achondrogenesis type 1B",,,1,1,
160,"Achondrogenesis type 2",,,1,1,
161,"achondrogenesis type IA",,"A form of achondrogenesis type 1, a lethal form of chondrodysplasia characterized by deficient ossification in the lumbar vertebrae and absent ossification in the sacral, pubic and ischial bones and clinically by stillbirth or early death. In addition to severe micromelia, there is a disproportionately large cranium due to marked edema of soft tissues.",1,1,"MONDO:0008701"
162,"achondrogenesis type IB",,"A form of achondrogenesis type 1, a lethal form of chondrodysplasia characterized by deficient ossification in the lumbar vertebrae and absent ossification in the sacral, pubic and ischial bones and clinically by stillbirth or early death. In addition to severe micromelia, there is a disproportionately large cranium due to marked edema of soft tissues. ACG1B is an autosomal recessive disease.",1,1,"MONDO:0010966"
163,"achondrogenesis type II",,"An autosomal dominant disease characterized by the absence of ossification in the vertebral column, sacrum and pubic bones.",1,1,"MONDO:0008702"
164,"Achondrogenesis, type IB (disorder)",,,1,1,
165,"achondroplasia","An osteochondrodysplasia that results_in dwarfism which has_material_basis_in abnormal ossification of cartilage in located_in long bone.","A frequent form of short-limb dwarfism. It is characterized by a long, narrow trunk, short extremities, particularly in the proximal (rhizomelic) segments, a large head with frontal bossing, hypoplasia of the midface and a trident configuration of the hands. ACH is an autosomal dominant disease.",2,2,"MONDO:0007037"
166,"Achondroplasia, Severe, With Developmental Delay And Acanthosis Nigricans",,,1,1,
167,"achromatopsia","A color blindness that is characterized by a congenital cone color vision disorder, the inability to perceive color and to achieve satisfactory visual acuity at high light levels has_material_basis_in autosomal recessive inheritance.",,10,7,"MONDO:0018852"
168,"achromatopsia 2",,"An autosomal recessive, ocular stationary disorder due to the absence of functioning cone photoreceptors in the retina. It is characterized by total colorblindness, low visual acuity, photophobia and nystagmus.",1,1,"MONDO:0009003"
169,"achromatopsia 3",,"An autosomal recessive, ocular stationary disorder due to the absence of functioning cone photoreceptors in the retina. It is characterized by total colorblindness, low visual acuity, photophobia and nystagmus. Achromatopsia type 3 patients manifest severe myopia.",1,1,"MONDO:0009875"
170,"achromatopsia 4",,"An ocular stationary disorder due to the absence of functioning cone photoreceptors in the retina. It is characterized by total colorblindness, low visual acuity, photophobia and nystagmus.",1,1,"MONDO:0013465"
171,"Achromatopsia 5",,,1,1,
172,"achromatopsia 7","An achromatopsia that has_material_basis_in homozygous or compound heterozygous mutation in the ATF6 gene on chromosome 1q23.","A form of achromatopsia, an ocular stationary disorder due to the absence of functioning cone photoreceptors in the retina. It is characterized by total colorblindness, low visual acuity, photophobia and nystagmus.",1,1,"MONDO:0014677"
173,"Achromatopsia incomplete, X-linked",,,2,2,
174,"Acid cholesteryl ester hydrolase deficiency, type 2",,,1,1,
175,"Acidosis",,,1,1,
176,"acne","A sebaceous gland disease characterized by areas of blackheads, whiteheads, pimples, greasy skin, and possibly scarring.",,80,80,"MONDO:0011438"
177,"acne inversa, familial, 1",,"A chronic relapsing inflammatory disease of the hair follicles characterized by recurrent draining sinuses, painful skin abscesses, and disfiguring scars. Manifestations typically appear after puberty.",1,1,"MONDO:0007728"
