DiseaseID	a	b	DiseaseName	c	d	link
DOID:0060564	18S_rRNA	18S_rRNA	Spinal disease	3.656	1.828	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=18S_rRNA&type2=-26&id2=DOID:0060564
DOID:3393	18S_rRNA	18S_rRNA	Coronary artery disease	3.647	1.824	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=18S_rRNA&type2=-26&id2=DOID:3393
DOID:423	18S_rRNA	18S_rRNA	Myopathy	3.641	1.821	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=18S_rRNA&type2=-26&id2=DOID:423
DOID:5679	18S_rRNA	18S_rRNA	Retinal disease	3.626	1.813	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=18S_rRNA&type2=-26&id2=DOID:5679
DOID:2841	18S_rRNA	18S_rRNA	Asthma	3.603	1.802	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=18S_rRNA&type2=-26&id2=DOID:2841
DOID:0050684	18S_rRNA	18S_rRNA	Bowen-Conradi syndrome	3.594	1.797	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=18S_rRNA&type2=-26&id2=DOID:0050684
DOID:403	18S_rRNA	18S_rRNA	Mouth disease	3.535	1.767	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=18S_rRNA&type2=-26&id2=DOID:403
DOID:2908	18S_rRNA	18S_rRNA	Treacher Collins syndrome	3.528	1.764	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=18S_rRNA&type2=-26&id2=DOID:2908
DOID:2326	18S_rRNA	18S_rRNA	Gastroenteritis	3.468	1.734	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=18S_rRNA&type2=-26&id2=DOID:2326
DOID:11729	18S_rRNA	18S_rRNA	Lyme disease	3.39	1.695	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=18S_rRNA&type2=-26&id2=DOID:11729
DOID:0080208	18S_rRNA	18S_rRNA	non-alcoholic fatty liver disease	3.351	1.675	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=18S_rRNA&type2=-26&id2=DOID:0080208
DOID:1588	18S_rRNA	18S_rRNA	Thrombocytopenia	3.32	1.66	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=18S_rRNA&type2=-26&id2=DOID:1588
DOID:3146	18S_rRNA	18S_rRNA	Lipid metabolism disorder	3.307	1.653	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=18S_rRNA&type2=-26&id2=DOID:3146
DOID:10554	18S_rRNA	18S_rRNA	Meningoencephalitis	3.3	1.65	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=18S_rRNA&type2=-26&id2=DOID:10554
DOID:1432	18S_rRNA	18S_rRNA	Blindness	3.282	1.641	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=18S_rRNA&type2=-26&id2=DOID:1432
DOID:11104	18S_rRNA	18S_rRNA	Spotted fever	3.279	1.64	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=18S_rRNA&type2=-26&id2=DOID:11104
DOID:10112	18S_rRNA	18S_rRNA	Sleeping sickness	3.275	1.638	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=18S_rRNA&type2=-26&id2=DOID:10112
DOID:399	18S_rRNA	18S_rRNA	Tuberculosis	3.269	1.635	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=18S_rRNA&type2=-26&id2=DOID:399
DOID:1205	18S_rRNA	18S_rRNA	Allergic disease	3.261	1.63	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=18S_rRNA&type2=-26&id2=DOID:1205
DOID:9181	18S_rRNA	18S_rRNA	Amebiasis	3.26	1.63	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=18S_rRNA&type2=-26&id2=DOID:9181
DOID:11079	18S_rRNA	18S_rRNA	Leech infestation	3.238	1.619	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=18S_rRNA&type2=-26&id2=DOID:11079
DOID:9965	18S_rRNA	18S_rRNA	Toxoplasmosis	3.229	1.614	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=18S_rRNA&type2=-26&id2=DOID:9965
DOID:2112	18S_rRNA	18S_rRNA	Cystoisosporiasis	3.217	1.609	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=18S_rRNA&type2=-26&id2=DOID:2112
DOID:615	18S_rRNA	18S_rRNA	Leukopenia	3.21	1.605	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=18S_rRNA&type2=-26&id2=DOID:615
DOID:4961	18S_rRNA	18S_rRNA	Bone marrow disease	3.196	1.598	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=18S_rRNA&type2=-26&id2=DOID:4961
DOID:870	18S_rRNA	18S_rRNA	Neuropathy	3.193	1.596	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=18S_rRNA&type2=-26&id2=DOID:870
DOID:14049	18S_rRNA	18S_rRNA	Phaeohyphomycosis	3.19	1.595	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=18S_rRNA&type2=-26&id2=DOID:14049
DOID:13034	18S_rRNA	18S_rRNA	Relapsing fever	3.165	1.583	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=18S_rRNA&type2=-26&id2=DOID:13034
DOID:0060479	18S_rRNA	18S_rRNA	Shwachman-Diamond syndrome	3.149	1.574	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=18S_rRNA&type2=-26&id2=DOID:0060479
DOID:365	18S_rRNA	18S_rRNA	Bladder disease	3.144	1.572	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=18S_rRNA&type2=-26&id2=DOID:365
DOID:2409	18S_rRNA	18S_rRNA	Rhinosporidiosis	3.143	1.571	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=18S_rRNA&type2=-26&id2=DOID:2409
DOID:9799	18S_rRNA	18S_rRNA	Eye degenerative disease	3.139	1.57	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=18S_rRNA&type2=-26&id2=DOID:9799
DOID:6688	18S_rRNA	18S_rRNA	Autoimmune lymphoproliferative syndrome	3.093	1.546	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=18S_rRNA&type2=-26&id2=DOID:6688
DOID:5223	18S_rRNA	18S_rRNA	Infertility	3.092	1.546	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=18S_rRNA&type2=-26&id2=DOID:5223
DOID:1508	18S_rRNA	18S_rRNA	Candidiasis	3.09	1.545	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=18S_rRNA&type2=-26&id2=DOID:1508
DOID:9471	18S_rRNA	18S_rRNA	Meningitis	3.083	1.541	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=18S_rRNA&type2=-26&id2=DOID:9471
DOID:289	18S_rRNA	18S_rRNA	Endometriosis	3.028	1.514	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=18S_rRNA&type2=-26&id2=DOID:289
DOID:2043	18S_rRNA	18S_rRNA	Hepatitis B	3.022	1.511	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=18S_rRNA&type2=-26&id2=DOID:2043
DOID:12554	28S_rRNA	28S_rRNA	hemolytic-uremic syndrome	4.738	2.369	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=28S_rRNA&type2=-26&id2=DOID:12554
DOID:8485	28S_rRNA	28S_rRNA	Mucormycosis	4.145	2.072	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=28S_rRNA&type2=-26&id2=DOID:8485
DOID:0050072	28S_rRNA	28S_rRNA	Adiaspiromycosis	3.649	1.825	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=28S_rRNA&type2=-26&id2=DOID:0050072
DOID:8912	28S_rRNA	28S_rRNA	Tinea nigra	3.431	1.715	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=28S_rRNA&type2=-26&id2=DOID:8912
DOID:11080	28S_rRNA	28S_rRNA	Myiasis	3.391	1.696	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=28S_rRNA&type2=-26&id2=DOID:11080
DOID:1562	28S_rRNA	28S_rRNA	Chromoblastomycosis	3.281	1.64	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=28S_rRNA&type2=-26&id2=DOID:1562
DOID:0112190	28S_rRNA	28S_rRNA	Distal arthrogryposis type 1C	3.211	1.605	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=28S_rRNA&type2=-26&id2=DOID:0112190
DOID:10443	28S_rRNA	28S_rRNA	Hypopyon	3.195	1.597	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=28S_rRNA&type2=-26&id2=DOID:10443
DOID:0060180	28S_rRNA	28S_rRNA	Colitis	3.109	1.555	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=28S_rRNA&type2=-26&id2=DOID:0060180
DOID:3763	28S_rRNA	28S_rRNA	Hermaphroditism	3.075	1.537	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=28S_rRNA&type2=-26&id2=DOID:3763
DOID:65	28S_rRNA	28S_rRNA	Connective tissue disease	3.059	1.529	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=28S_rRNA&type2=-26&id2=DOID:65
DOID:12385	28S_rRNA	28S_rRNA	Shigellosis	3.037	1.518	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=28S_rRNA&type2=-26&id2=DOID:12385
DOID:1082	5S_rRNA	5S_rRNA	Dirofilariasis	3.54	1.77	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=5S_rRNA&type2=-26&id2=DOID:1082
DOID:7033	5S_rRNA	5S_rRNA	Anisakiasis	3.24	1.62	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=5S_rRNA&type2=-26&id2=DOID:7033
DOID:0111981	5_8S_rRNA	5_8S_rRNA	Immunodeficiency 43	4.487	2.244	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=5_8S_rRNA&type2=-26&id2=DOID:0111981
DOID:0050148	5_8S_rRNA	5_8S_rRNA	Laryngotracheitis	3.989	1.994	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=5_8S_rRNA&type2=-26&id2=DOID:0050148
DOID:526	7SK	7SK	Human immunodeficiency virus infectious disease	3.918	1.959	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=7SK&type2=-26&id2=DOID:526
DOID:0060870	7SK	7SK	Isolated growth hormone deficiency	3.538	1.769	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=7SK&type2=-26&id2=DOID:0060870
DOID:0111670	7SK	7SK	Primary hyperoxaluria type 1	3.52	1.76	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=7SK&type2=-26&id2=DOID:0111670
DOID:74	7SK	7SK	Hematopoietic system disease	3.415	1.708	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=7SK&type2=-26&id2=DOID:74
DOID:0080898	7SK	7SK	Cerebellofaciodental syndrome	3.184	1.592	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=7SK&type2=-26&id2=DOID:0080898
DOID:11054	AATBC	AATBC	Urinary bladder cancer	3.724	1.862	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AATBC&type2=-26&id2=DOID:11054
DOID:0111687	AC000111.6	AC000111.6	Potocki-Shaffer syndrome	3.351	1.676	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AC000111.6&type2=-26&id2=DOID:0111687
DOID:3347	AC002398.11	AC002398.11	Osteosarcoma	3.107	1.554	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AC002398.11&type2=-26&id2=DOID:3347
DOID:13189	AC002480.2	AC002480.2	Gout	3.104	1.552	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AC002480.2&type2=-26&id2=DOID:13189
DOID:11984	AC002511.2	AC002511.2	Hypertrophic cardiomyopathy	3.325	1.663	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AC002511.2&type2=-26&id2=DOID:11984
DOID:13809	AC003090.1	AC003090.1	Familial combined hyperlipidemia	4.059	2.03	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AC003090.1&type2=-26&id2=DOID:13809
DOID:10688	AC004009.3	AC004009.3	Hypertrophy of breast	3.239	1.62	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AC004009.3&type2=-26&id2=DOID:10688
DOID:0050742	AC004014.3	AC004014.3	Nicotine dependence	3.647	1.823	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AC004014.3&type2=-26&id2=DOID:0050742
DOID:0110408	AC004019.13	AC004019.13	Retinitis pigmentosa 11	3.208	1.604	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AC004019.13&type2=-26&id2=DOID:0110408
DOID:2012	AC004471.10	AC004471.10	Nezelof syndrome	3.212	1.606	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AC004471.10&type2=-26&id2=DOID:2012
DOID:10548	AC004791.2	AC004791.2	Cardia cancer	3.098	1.549	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AC004791.2&type2=-26&id2=DOID:10548
DOID:0050939	AC004947.2	AC004947.2	Uterine corpus endometrial carcinoma	3.589	1.794	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AC004947.2&type2=-26&id2=DOID:0050939
DOID:90	AC005082.12	AC005082.12	Degenerative disc disease	3.286	1.643	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AC005082.12&type2=-26&id2=DOID:90
DOID:0080534	AC006129.2	AC006129.2	Myxofibrosarcoma	3.866	1.933	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AC006129.2&type2=-26&id2=DOID:0080534
DOID:0080531	AC006129.2	AC006129.2	Dedifferentiated liposarcoma	3.712	1.856	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AC006129.2&type2=-26&id2=DOID:0080531
DOID:5940	AC006129.2	AC006129.2	Malignant peripheral nerve sheath tumor	3.324	1.662	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AC006129.2&type2=-26&id2=DOID:5940
DOID:5485	AC006129.2	AC006129.2	Synovial sarcoma	3.088	1.544	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AC006129.2&type2=-26&id2=DOID:5485
DOID:1967	AC006129.2	AC006129.2	Leiomyosarcoma	3.051	1.526	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AC006129.2&type2=-26&id2=DOID:1967
DOID:6245	AC006159.4	AC006159.4	Renal oncocytoma	3.242	1.621	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AC006159.4&type2=-26&id2=DOID:6245
DOID:11105	AC006273.5	AC006273.5	Fundus albipunctatus	3.184	1.592	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AC006273.5&type2=-26&id2=DOID:11105
DOID:0050598	AC007128.1	AC007128.1	Extrapulmonary tuberculosis	3.404	1.702	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AC007128.1&type2=-26&id2=DOID:0050598
DOID:0110901	AC007182.6	AC007182.6	Inflammatory bowel disease 26	4.542	2.271	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AC007182.6&type2=-26&id2=DOID:0110901
DOID:0050866	AC007271.3	AC007271.3	Oral squamous cell carcinoma	3.44	1.72	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AC007271.3&type2=-26&id2=DOID:0050866
DOID:13994	AC007392.3	AC007392.3	Cleidocranial dysplasia	4.137	2.068	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AC007392.3&type2=-26&id2=DOID:13994
DOID:2876	AC007392.4	AC007392.4	Laryngeal squamous cell carcinoma	3.064	1.532	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AC007392.4&type2=-26&id2=DOID:2876
DOID:8125	AC007682.1	AC007682.1	Osteochondrosis	3.834	1.917	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AC007682.1&type2=-26&id2=DOID:8125
DOID:13359	AC007682.1	AC007682.1	Ehlers-Danlos syndrome	3.025	1.513	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AC007682.1&type2=-26&id2=DOID:13359
DOID:0060413	AC008103.3	AC008103.3	Chromosome 22q11.2 deletion syndrome, distal	3.484	1.742	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AC008103.3&type2=-26&id2=DOID:0060413
DOID:0050773	AC009312.1	AC009312.1	Paraganglioma	3.557	1.778	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AC009312.1&type2=-26&id2=DOID:0050773
DOID:7757	AC009495.2	AC009495.2	Childhood leukemia	3.075	1.537	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AC009495.2&type2=-26&id2=DOID:7757
DOID:0111365	AC009495.3	AC009495.3	Benign familial hematuria	3.255	1.627	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AC009495.3&type2=-26&id2=DOID:0111365
DOID:13001	AC009948.5	AC009948.5	Carotid stenosis	3.072	1.536	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AC009948.5&type2=-26&id2=DOID:13001
DOID:0050632	AC010095.5	AC010095.5	Oculocutaneous albinism	3.258	1.629	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AC010095.5&type2=-26&id2=DOID:0050632
DOID:0080422	AC010127.3	AC010127.3	Dravet syndrome	3.531	1.765	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AC010127.3&type2=-26&id2=DOID:0080422
DOID:0110037	AC011899.9	AC011899.9	Alzheimer's disease 5	5.543	2.772	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AC011899.9&type2=-26&id2=DOID:0110037
DOID:12336	AC012361.1	AC012361.1	Male infertility	3.532	1.766	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AC012361.1&type2=-26&id2=DOID:12336
DOID:2601	AC016582.2	AC016582.2	Juxtacortical chondroma	3.879	1.939	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AC016582.2&type2=-26&id2=DOID:2601
DOID:1935	AC016683.5	AC016683.5	Bardet-Biedl syndrome	3.263	1.631	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AC016683.5&type2=-26&id2=DOID:1935
DOID:1470	AC018685.2	AC018685.2	Major depressive disorder	3.258	1.629	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AC018685.2&type2=-26&id2=DOID:1470
DOID:0050860	AC021218.2	AC021218.2	Colorectal adenoma	3.754	1.877	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AC021218.2&type2=-26&id2=DOID:0050860
DOID:0110367	AC058791.1	AC058791.1	Retinitis pigmentosa 38	4.383	2.191	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AC058791.1&type2=-26&id2=DOID:0110367
DOID:12930	AC061961.2	AC061961.2	Dilated cardiomyopathy	3.344	1.672	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AC061961.2&type2=-26&id2=DOID:12930
