drugName,cIds,drugNameOfficial,molecularWeight,smilesString
Plinabulin,CIDs09949641,plinabulin,336.3877,CC(C)(C)C1=C(N=CN1)C=C2C(=O)NC(=CC3=CC=CC=C3)C(=O)N2
Docetaxel,CIDs00148124,#N/A,0,#N/A
Blebbistatin,CIDs03476986,blebbistatin,292.33184,CC1=CC2=C(C=C1)N=C3C(C2=O)(CCN3C4=CC=CC=C4)O
Ispinesib,CIDs06851740,#N/A,0,#N/A
Doxorubicin,CIDs00031703,doxorubicin,543.51926,CC1C(C(CC(O1)OC2CC(CC3=C(C4=C(C(=C23)O)C(=O)C5=C(C4=O)C=CC=C5OC)O)(C(=O)CO)O)N)O
Topotecan hydrochloride,CIDs00060699,topotecan,457.90676,CCC1(C2=C(COC1=O)C(=O)N3CC4=C(C3=C2)N=C5C=CC(=C(C5=C4)CN(C)C)O)O.Cl
Cyclophosphamide,CIDs00002907,cyclophosphamide,261.085962,C1CNP(=O)(OC1)N(CCCl)CCCl
5-Azacitidine,CIDs00009444,5-azacytidine,244.20468,C1=NC(=NC(=O)N1C2C(C(C(O2)CO)O)O)N
Actinomycin D,CIDs00457193,Lyovac Cosmegen,1255.41704,CC1C(C(=O)NC(C(=O)N2CCCC2C(=O)N(CC(=O)N(C(C(=O)O1)C(C)C)C)C)C(C)C)NC(=O)C3=C4C(=C(C=C3)C)OC5=C(C(=O)C(=C(C5=N4)C(=O)NC6C(OC(=O)C(N(C(=O)CN(C(=O)C7CCCN7C(=O)C(NC6=O)C(C)C)C)C)C(C)C)C)N)C
Mithramycin,CIDs00163659,mithramycin,1085.14544,CC1C(C(CC(O1)OC2CC(OC(C2O)C)OC3=CC4=CC5=C(C(=O)C(C(C5)C(C(=O)C(C(C)O)O)OC)OC6CC(C(C(O6)C)O)OC7CC(C(C(O7)C)O)OC8CC(C(C(O8)C)O)(C)O)C(=C4C(=C3C)O)O)O)O
Itraconazole,CIDs00003793,itraconazole oral solution,705.63342,CCC(C)N1C(=O)N(C=N1)C2=CC=C(C=C2)N3CCN(CC3)C4=CC=C(C=C4)OCC5COC(O5)(CN6C=NC=N6)C7=C(C=C(C=C7)Cl)Cl
Hydroxychloroquine sulfate,CIDs00012947,#N/A,0,#N/A
Mifepristone,CIDs00055245,mifepristone,429.5937,CC#CC1(CCC2C1(CC(C3=C4CCC(=O)C=C4CCC23)C5=CC=C(C=C5)N(C)C)C)O
Metformin,CIDs00004091,metformin,129.16364,CN(C)C(=N)N=C(N)N
Acadesine,CIDs00017513,acadesine,258.23126,C1=NC(=C(N1C2C(C(C(O2)CO)O)O)N)C(=O)N
A-769662,CIDs28408235,A-769662,359.37794,C1=CC=C(C(=C1)C2=CC=C(C=C2)C3=CSC4=C3C(=O)C(=C(N4)[O-])C#N)O
Imatinib,CIDs00005291,imatinib,493.60274,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5
Nilotinib,CIDs00644241,nilotinib,529.51579,CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)N3C=C(N=C3)C)C(F)(F)F)NC4=NC=CC(=N4)C5=CN=CC=C5
Ponatinib,CIDs24826799,ponatinib,532.55949,CC1=C(C=C(C=C1)C(=O)NC2=CC(=C(C=C2)CN3CCN(CC3)C)C(F)(F)F)C#CC4=CN=C5N4N=CC=C5
DCC-2036,CIDs25066467,rebastinib,553.586823,CC(C)(C)C1=NN(C(=C1)NC(=O)NC2=C(C=C(C=C2)OC3=CC(=NC=C3)C(=O)NC)F)C4=CC5=C(C=C4)N=CC=C5
Dasatinib,CIDs03062316,dasatinib,488.00554,CC1=C(C(=CC=C1)Cl)NC(=O)C2=CN=C(S2)NC3=NC(=NC(=C3)N4CCN(CC4)CCO)C
Bosutinib,CIDs05328940,bosutinib,530.44616,CN1CCN(CC1)CCCOC2=C(C=C3C(=C2)N=CC(=C3NC4=CC(=C(C=C4Cl)Cl)OC)C#N)OC
Saracatinib,CIDs10302451,saracatinib,542.02648,CN1CCN(CC1)CCOC2=CC(=C3C(=C2)N=CN=C3NC4=C(C=CC5=C4OCO5)Cl)OC6CCOCC6
PD-166285,CIDs05311382,Pd166285,512.43088,CCN(CC)CCOC1=CC=C(C=C1)NC2=NC=C3C=C(C(=O)N(C3=N2)C)C4=C(C=CC=C4Cl)Cl
Vandetanib,CIDs03081361,vandetanib,475.353963,CN1CCC(CC1)COC2=C(C=C3C(=C2)N=CN=C3NC4=C(C=C(C=C4)Br)F)OC
Erlotinib,CIDs00176870,erlotinib,393.43572,COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC
Gefitinib,CIDs00123631,gefitinib,446.902363,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4
Lapatinib,CIDs00208908,lapatinib,581.057543,CS(=O)(=O)CCNCC1=CC=C(O1)C2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)OCC5=CC(=CC=C5)F)Cl
Neratinib,CIDs09915743,neratinib,557.04266,CCOC1=C(C=C2C(=C1)N=CC(=C2NC3=CC(=C(C=C3)OCC4=CC=CC=N4)Cl)C#N)NC(=O)C=CCN(C)C
Canertinib,CIDs00156414,#N/A,0,#N/A
AV-412,CIDs09806229,AV412,507.002223,CC(C)(C#CC1=CC2=C(C=C1NC(=O)C=C)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)N4CCN(CC4)C
Dacomitinib,CIDs11511120,dacomitinib,469.939003,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)NC(=O)C=CCN4CCCCC4
CP-724714,CIDs09874912,CP-724714,701.6793,CC1=NC=C(C=C1)OC2=C(C=C(C=C2)NC3=NC=NC4=C3C=C(C=C4)C=CCNC(=O)COC)C.C(=CC(=O)O)C(=O)O.C(=CC(=O)O)C(=O)O
Afatinib,CIDs10184653,afatinib,485.938403,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4
AEE-788,CIDs10297043,NVP-AEE788,440.58318,CCN1CCN(CC1)CC2=CC=C(C=C2)C3=CC4=C(N3)N=CN=C4NC(C)C5=CC=CC=C5
CUDC-101,CIDs24756910,CUDC-101,434.48764,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC=CC(=C3)C#C)OCCCCCCC(=O)NO
Pelitinib,CIDs06445562,pelitinib,467.923123,CCOC1=C(C=C2C(=C1)N=CC(=C2NC3=CC(=C(C=C3)F)Cl)C#N)NC(=O)C=CCN(C)C
WZ-4002,CIDs44607530,WZ4002,494.97328,CN1CCN(CC1)C2=CC(=C(C=C2)NC3=NC=C(C(=N3)OC4=CC=CC(=C4)NC(=O)C=C)Cl)OC
Linifanib,CIDs11485656,linifanib,375.398923,CC1=CC(=C(C=C1)F)NC(=O)NC2=CC=C(C=C2)C3=C4C(=CC=C3)NN=C4N
Axitinib,CIDs06450551,axitinib,386.46952,CNC(=O)C1=CC=CC=C1SC2=CC3=C(C=C2)C(=NN3)C=CC4=CC=CC=N4
Sorafenib,CIDs00216239,sorafenib,464.82495,CNC(=O)C1=NC=CC(=C1)OC2=CC=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)C(F)(F)F
Vatalanib,CIDs00151194,#N/A,0,#N/A
Motesanib,CIDs11667893,motesanib,373.45092,CC1(CNC2=C1C=CC(=C2)NC(=O)C3=C(N=CC=C3)NCC4=CC=NC=C4)C
Tivozanib,CIDs09911830,tivozanib,454.86306,CC1=CC(=NO1)NC(=O)NC2=C(C=C(C=C2)OC3=C4C=C(C(=CC4=NC=C3)OC)OC)Cl
Nintedanib,CIDs135423438,#N/A,0,#N/A
Brivanib,CIDs11234052,brivanib,370.377563,CC1=CC2=C(N1)C=CC(=C2F)OC3=NC=NN4C3=C(C(=C4)OCC(C)O)C
Telatinib,CIDs09808844,telatinib,409.82574,CNC(=O)C1=NC=CC(=C1)COC2=NN=C(C3=C2OC=C3)NC4=CC=C(C=C4)Cl
Cabozantinib,CIDs25102847,cabozantinib,501.505663,COC1=CC2=C(C=CN=C2C=C1OC)OC3=CC=C(C=C3)NC(=O)C4(CC4)C(=O)NC5=CC=C(C=C5)F
Cediranib,CIDs09933475,cediranib,450.505283,CC1=CC2=C(N1)C=CC(=C2F)OC3=NC=NC4=CC(=C(C=C43)OC)OCCCN5CCCC5
BMS-794833,CIDs44155856,BMS 794833,468.840006,C1=CC(=CC=C1C2=CNC=C(C2=O)C(=O)NC3=CC(=C(C=C3)OC4=C(C(=NC=C4)N)Cl)F)F
Lenvatinib,CIDs09823820,lenvatinib,426.85296,COC1=CC2=NC=CC(=C2C=C1C(=O)N)OC3=CC(=C(C=C3)NC(=O)NC4CC4)Cl
OSI-632,CIDs09811611,CP-547632,532.402066,C1CCN(C1)CCCCNC(=O)NC2=C(C(=NS2)OCC3=C(C=C(C=C3F)Br)F)C(=O)N
Foretinib,CIDs42642645,Foretinib,632.653766,COC1=CC2=C(C=CN=C2C=C1OCCCN3CCOCC3)OC4=C(C=C(C=C4)NC(=O)C5(CC5)C(=O)NC6=CC=C(C=C6)F)F
Regorafenib,CIDs11167602,regorafenib,482.815413,CNC(=O)C1=NC=CC(=C1)OC2=CC(=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)C(F)(F)F)F
Dovitinib,CIDs135398510,#N/A,0,#N/A
Masitinib,CIDs10074640,masitinib,498.6424,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC(=CS4)C5=CN=CC=C5
PD-173074,CIDs00001401,PD 173074,523.67024,CCN(CC)CCCCNC1=NC2=NC(=C(C=C2C=N1)C3=CC(=CC(=C3)OC)OC)NC(=O)NC(C)(C)C
SG-00529,CIDs11998575,Palomid 529,406.42788,CC(C1=CC2=C(C=C1)C3=CC(=C(C=C3OC2=O)OCC4=CC=C(C=C4)OC)OC)O
Amuvatinib,CIDs11282283,amuvatinib,447.50954,C1CN(CCN1C2=NC=NC3=C2OC4=CC=CC=C43)C(=S)NCC5=CC6=C(C=C5)OCO6
OSI-930,CIDs09868037,OSI-930,443.44155,C1=CC=C2C(=C1)C(=CC=N2)CNC3=C(SC=C3)C(=O)NC4=CC=C(C=C4)OC(F)(F)F
Crizotinib,CIDs11626560,crizotinib,450.336683,CC(C1=C(C=CC(=C1Cl)F)Cl)OC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N
PHA-665752,CIDs10461815,PHA-665752,641.60776,CC1=C(NC(=C1C(=O)N2CCCC2CN3CCCC3)C)C=C4C5=C(C=CC(=C5)S(=O)(=O)CC6=C(C=CC=C6Cl)Cl)NC4=O
BMS-777607,CIDs24794418,BMS-777607,512.892566,CCOC1=C(C(=O)N(C=C1)C2=CC=C(C=C2)F)C(=O)NC3=CC(=C(C=C3)OC4=C(C(=NC=C4)N)Cl)F
PF-04217903,CIDs17754438,PF-04217903,372.38334,C1=CC2=C(C=CC(=C2)CN3C4=NC(=CN=C4N=N3)C5=CN(N=C5)CCO)N=C1
JNJ-38877605,CIDs46911863,JNJ-38877605,377.350226,CN1C=C(C=N1)C2=NN3C(=NN=C3C(C4=CC5=C(C=C4)N=CC=C5)(F)F)C=C2
SGX-523,CIDs24779724,SGX-523,359.40772,CN1C=C(C=N1)C2=NN3C(=NN=C3SC4=CC5=C(C=C4)N=CC=C5)C=C2
AMG-51,CIDs11858109,"pyrimidone, 51",629.653126,CN1C(=O)C(=CN=C1NC2=CC=C(C=C2)F)C3=CC(=C(C=C3)OC4=C5C=C(C(=CC5=NC=C4)OCCCN6CCOCC6)OC)F
Podofilox,CIDs00010607,podophyllotoxin,414.40528,COC1=CC(=CC(=C1OC)OC)C2C3C(COC3=O)C(C4=CC5=C(C=C24)OCO5)O
Linsitinib,CIDs11640390,linsitinib,421.49372,CC1(CC(C1)C2=NC(=C3N2C=CN=C3N)C4=CC5=C(C=C4)C=CC(=N5)C6=CC=CC=C6)O
GSK-1904529A,CIDs25124816,GSK1904529A,851.963086,CCC1=CC(=C(C=C1N2CCC(CC2)N3CCN(CC3)S(=O)(=O)C)OC)NC4=NC=CC(=N4)C5=C(N=C6N5C=CC=C6)C7=CC(=C(C=C7)OC)C(=O)NC8=C(C=CC=C8F)F
Dorsomorphin,CIDs11524144,compound C,399.4882,C1CCN(CC1)CCOC2=CC=C(C=C2)C3=CN4C(=C(C=N4)C5=CC=NC=C5)N=C3
LY2157299,CIDs10090485,galunisertib,369.41916,CC1=CC=CC(=N1)C2=NN3CCCC3=C2C4=C5C=C(C=CC5=NC=C4)C(=O)N
LY-2109761,CIDs11655119,LY2109761,441.52488,C1CC2=C(C(=NN2C1)C3=CC=CC=N3)C4=C5C=CC(=CC5=NC=C4)OCCN6CCOCC6
A-83-01,CIDs16218924,A 83-01,421.51686,CC1=CC=CC(=N1)C2=NN(C=C2C3=CC=NC4=CC=CC=C34)C(=S)NC5=CC=CC=C5
SJN-2511,CIDs00449054,ALK5 inhibitor,287.31862,CC1=CC=CC(=N1)C2=C(C=NN2)C3=NC4=C(C=C3)N=CC=C4
SD-208,CIDs10316032,SD-208,352.752903,C1=CC(=C(C=C1Cl)C2=NC3=NC=CN=C3C(=N2)NC4=CC=NC=C4)F
TAE-684,CIDs16038120,NVP-TAE684,614.2017,CC(C)S(=O)(=O)C1=CC=CC=C1NC2=NC(=NC=C2Cl)NC3=C(C=C(C=C3)N4CCC(CC4)N5CCN(CC5)C)OC
SB-525334,CIDs09967941,SB 525334,343.42494,CC1=CC=CC(=N1)C2=C(N=C(N2)C(C)(C)C)C3=CC4=NC=CN=C4C=C3
SB-431542,CIDs04521392,SB431542 hydrate,384.38744,C1OC2=C(O1)C=C(C=C2)C3=C(NC(=N3)C4=CC=C(C=C4)C(=O)N)C5=CC=CC=N5
Tandutinib,CIDs03038522,tandutinib,562.70298,CC(C)OC1=CC=C(C=C1)NC(=O)N2CCN(CC2)C3=NC=NC4=CC(=C(C=C43)OC)OCCCN5CCCCC5
Quizartinib,CIDs24889392,quizartinib,560.66718,CC(C)(C)C1=CC(=NO1)NC(=O)NC2=CC=C(C=C2)C3=CN4C5=C(C=C(C=C5)OCCN6CCOCC6)SC4=N3
AZ-23,CIDs16097523,AZ-23,391.830463,CC(C)OC1=NNC(=C1)NC2=NC(=NC=C2Cl)NC(C)C3=NC=C(C=C3)F
LDN-193189,CIDs25195294,LDN193189,406.48238,C1CN(CCN1)C2=CC=C(C=C2)C3=CN4C(=C(C=N4)C5=CC=NC6=CC=CC=C56)N=C3
PRT-060318,CIDs11493841,DB08361,340.42276,CC1=CC(=CC=C1)NC2=NC(=NC=C2C(=O)N)NC3CCCCC3N
R-406,CIDs11213558,R406 free base,470.453623,CC1(C(=O)NC2=C(O1)C=CC(=N2)NC3=NC(=NC=C3F)NC4=CC(=C(C(=C4)OC)OC)OC)C
Perifosine,CIDs00148177,perifosine,461.658442,CCCCCCCCCCCCCCCCCCOP(=O)([O-])OC1CC[N+](CC1)(C)C
Pictilisib,CIDs17755052,pictilisib,513.63558,CS(=O)(=O)N1CCN(CC1)CC2=CC3=C(S2)C(=NC(=N3)C4=C5C=NNC5=CC=C4)N6CCOCC6
GSK-2126458,CIDs25167777,GSK2126458,505.495986,COC1=C(C=C(C=N1)C2=CC3=C(C=CN=C3C=C2)C4=CN=NC=C4)NS(=O)(=O)C5=C(C=C(C=C5)F)F
IC-87114,CIDs09908783,IC-87114,397.43256,CC1=C2C(=CC=C1)N=C(N(C2=O)C3=CC=CC=C3C)CN4C=NC5=C4N=CN=C5N
PIK-90,CIDs06857685,PIK-90,351.35928,COC1=C(C2=C(C=C1)C3=NCCN3C(=N2)NC(=O)C4=CN=CC=C4)OC
BKM-120,CIDs16654980,NVP-BKM120,410.39355,C1COCCN1C2=NC(=NC(=C2)C3=CN=C(C=C3C(F)(F)F)N)N4CCOCC4
Idelalisib,CIDs11625818,idelalisib,415.423023,CCC(C1=NC2=C(C(=CC=C2)F)C(=O)N1C3=CC=CC=C3)NC4=NC=NC5=C4NC=N5
BAG-956,CIDs24882589,NVP-BAG956,427.49984,CC1=NC2=CN=C3C=CC(=CC3=C2N1C4=CC=C(C=C4)C(C)(C)C#N)C#CC5=CN=CC=C5
AZD-6482,CIDs44137675,AZD-6482,408.45036,CC1=CN2C(=O)C=C(N=C2C(=C1)C(C)NC3=CC=CC=C3C(=O)O)N4CCOCC4
CAY-10626,CIDs44599690,KB-74964,624.65661,CN(C)CCN(C)C(=O)C1=CC=C(C=C1)NC(=O)NC2=CC=C(C=C2)C3=NC4=C(C=CN4CC(F)(F)F)C(=N3)N5CCOCC5
PI-103,CIDs09884685,pi-103,348.35534,C1COCCN1C2=NC(=NC3=C2OC4=C3C=CC=N4)C5=CC(=CC=C5)O
17_-hydroxy Wortmannin,CIDs00130966,AC1L2YCM,430.44774,CC(=O)OC1CC2(C(CCC2O)C3=C1C4(C(OC(=O)C5=COC(=C54)C3=O)COC)C)C
Deguelin,CIDs00107935,deguelin,394.41718,CC1(C=CC2=C(O1)C=CC3=C2OC4COC5=CC(=C(C=C5C4C3=O)OC)OC)C
MK-2206,CIDs24964624,MK-2206 dihydrochloride,407.46714,C1CC(C1)(C2=CC=C(C=C2)C3=C(C=C4C(=N3)C=CN5C4=NNC5=O)C6=CC=CC=C6)N
A-674563,CIDs11314340,A-674563,358.43628,CC1=C2C=C(C=CC2=NN1)C3=CC(=CN=C3)OCC(CC4=CC=CC=C4)N
GSK-690693,CIDs16725726,GSK690693,425.48418,CCN1C2=C(C(=NC=C2OCC3CCCNC3)C#CC(C)(C)O)N=C1C4=NON=C4N
BEZ-235,CIDs11977753,NVP-BEZ235,469.53652,CC(C)(C#N)C1=CC=C(C=C1)N2C3=C4C=C(C=CC4=NC=C3N(C2=O)C)C5=CC6=CC=CC=C6N=C5
PF-05212384,CIDs44516953,PKI-587,615.72584,CN(C)C1CCN(CC1)C(=O)C2=CC=C(C=C2)NC(=O)NC3=CC=C(C=C3)C4=NC(=NC(=N4)N5CCOCC5)N6CCOCC6
GDC-0980,CIDs25254071,Apitolisib,498.6011,CC1=C(SC2=C1N=C(N=C2N3CCOCC3)C4=CN=C(N=C4)N)CN5CCN(CC5)C(=O)C(C)O
Torin-1,CIDs49836027,Torin1,607.62433,CCC(=O)N1CCN(CC1)C2=C(C=C(C=C2)N3C(=O)C=CC4=CN=C5C=CC(=CC5=C43)C6=CC7=CC=CC=C7N=C6)C(F)(F)F
Torin-2,CIDs51358113,Torin2,432.39731,C1=CC(=CC(=C1)N2C(=O)C=CC3=CN=C4C=CC(=CC4=C32)C5=CN=C(C=C5)N)C(F)(F)F
AZD-8055,CIDs25262965,AZD8055,465.54474,CC1COCCN1C2=NC(=NC3=C2C=CC(=N3)C4=CC(=C(C=C4)OC)CO)N5CCOCC5C
OSI-027,CIDs44224160,OSI-027,406.43778,COC1=CC=CC2=CC(=C3C4=C(N=CNN4C(=N3)C5CCC(CC5)C(=O)O)N)N=C21
KU-0063794,CIDs16736978,Ku-0063794,465.54474,CC1CN(CC(O1)C)C2=NC3=C(C=CC(=N3)C4=CC(=C(C=C4)OC)CO)C(=N2)N5CCOCC5
WYE-354,CIDs44219749,WYE-354,495.53096,COC(=O)NC1=CC=C(C=C1)C2=NC3=C(C=NN3C4CCN(CC4)C(=O)OC)C(=N2)N5CCOCC5
Salirasib,CIDs05469318,salirasib,358.5374,CC(=CCCC(=CCCC(=CCSC1=CC=CC=C1C(=O)O)C)C)C
NU-7441,CIDs11327430,NU7441,413.48826,C1COCCN1C2=CC(=O)C3=C(O2)C(=CC=C3)C4=CC=CC5=C4SC6=CC=CC=C56
KU-0060648,CIDs11964036,ku0060648,582.71246,CCN1CCN(CC1)CC(=O)NC2=C3C4=CC=CC=C4SC3=C(C=C2)C5=CC=CC6=C5OC(=CC6=O)N7CCOCC7
NSC-23766,CIDs00409805,Rac1 inhibitor,421.5816,CCN(CC)CCCC(C)NC1=NC(=CC(=N1)NC2=CC3=C(C=C2)N=C(C=C3N)C)C
NCGC00188866,CIDs09938203,#N/A,0,#N/A
VX-702,CIDs10341154,vx-702,404.317793,C1=CC(=C(C(=C1)F)N(C2=NC(=C(C=C2)C(=O)N)C3=C(C=C(C=C3)F)F)C(=O)N)F
SB-203580,CIDs00176155,SB 203580 hydrochloride,377.434643,CS(=O)C1=CC=C(C=C1)C2=NC(=C(N2)C3=CC=NC=C3)C4=CC=C(C=C4)F
VX-745,CIDs03038525,Vx-745,436.262066,C1=CC(=C(C(=C1)Cl)C2=C3C=CC(=NN3C=NC2=O)SC4=C(C=C(C=C4)F)F)Cl
Doramapimod,CIDs00156422,BIRB796,527.65718,CC1=CC=C(C=C1)N2C(=CC(=N2)C(C)(C)C)NC(=O)NC3=CC=C(C4=CC=CC=C43)OCCN5CCOCC5
PH-797804,CIDs22049997,PH-797804,477.298666,CC1=C(C=C(C=C1)C(=O)NC)N2C(=CC(=C(C2=O)Br)OCC3=C(C=C(C=C3)F)F)C
RWJ-67657,CIDs03008319,Rwj 67657,425.497363,C1=CC=C(C=C1)CCCN2C(=NC(=C2C3=CC=NC=C3)C4=CC=C(C=C4)F)C#CCCO
Talmapimod,CIDs09871074,talmapimod,513.003503,CC1CN(C(CN1C(=O)C2=C(C=C3C(=C2)C(=CN3C)C(=O)C(=O)N(C)C)Cl)C)CC4=CC=C(C=C4)F
FMK,CIDs00644243,W-5913,342.367463,CC1=CC=C(C=C1)C2=C(N(C3=C2C(=NC=N3)N)CCCO)C(=O)CF
BI-D1870,CIDs25023738,BI-D1870,391.415026,CC1C(=O)N(C2=CN=C(N=C2N1CCC(C)C)NC3=CC(=C(C(=C3)F)O)F)C
NCGC00253463-01,CIDs57519527,NCGC00253463-01,461.552823,C1CC(CNC1)NC(=O)C2=C(C=C(S2)C3=CC(=C(C=C3)CN4CCOCC4)F)NC(=O)N
PHA-408,CIDs22291652,PHA-408,560.021783,CN1CCN(CC1)C2=NC=C(C(=C2)C(=O)NC3=CC4=C(CCC5=C4N(N=C5C(=O)N)C6=CC=C(C=C6)F)C=C3)Cl
Withaferin A,CIDs00265237,withaferin A,470.59772,CC1=C(C(=O)OC(C1)C(C)C2CCC3C2(CCC4C3CC5C6(C4(C(=O)C=CC6O)C)O5)C)CO
BX-795,CIDs10077147,BX-795,591.46771,C1CCN(C1)C(=O)NC2=CC=CC(=C2)NC3=NC=C(C(=N3)NCCCNC(=O)C4=CC=CS4)I
Bardoxolone methyl,CIDs00400769,CDDO-Me,505.68812,CC1(CCC2(CCC3(C(C2C1)C(=O)C=C4C3(CCC5C4(C=C(C(=O)C5(C)C)C#N)C)C)C)C(=O)OC)C
IKK-16,CIDs09549298,IKK inhibitor,483.62776,C1CCN(C1)C2CCN(CC2)C(=O)C3=CC=C(C=C3)NC4=NC=CC(=N4)C5=CC6=CC=CC=C6S5
PF-184,CIDs76553518,AGN-PC-0BVINP,619.085683,CC1(CN(CC1(C)CO)C2=NC=C(C(=C2)C(=O)NC3=CC4=C(CCC5=C4N(N=C5C(=O)N)C6=CC=C(C=C6)F)C=C3)Cl)CO
IMD-0354,CIDs05081913,IKK-2 inhibitor V,383.672939,C1=CC(=C(C=C1Cl)C(=O)NC2=CC(=CC(=C2)C(F)(F)F)C(F)(F)F)O
PS-1145,CIDs09949093,PS-1145dihydrochloride,322.74844,C1=CC(=CN=C1)C(=O)NC2=C3C(=CC(=C2)Cl)C4=C(N3)C=NC=C4
MLN-120B,CIDs09929127,MLN120B,366.801,CC1=C(C=CC=N1)C(=O)NC2=C3C(=CC(=C2OC)Cl)C4=C(N3)C=NC=C4
cycloheximide,CIDs00006197,cycloheximide,281.34742,CC1CC(C(=O)C(C1)C(CC2CC(=O)NC(=O)C2)O)C
CT-99021,CIDs09956119,CHIR99021,465.33792,CC1=CN=C(N1)C2=CN=C(N=C2C3=C(C=C(C=C3)Cl)Cl)NCCNC4=NC=C(C=C4)C#N
SB-216763,CIDs00176158,Sb 216763,371.21678,CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=C(C=C(C=C4)Cl)Cl
SPC-839,CIDs09820526,A4715,366.39376,CC1=CC(=O)N(C1=O)NC2=NC(=NC3=C2C(=CC=C3)OC)C4=CC=CS4
WAY-204688,CIDs09829162,CHEMBL238890,556.61735,CC(C#N)(C(C1=CC=CC=C1OC)C2=CC=CC3=CC=CC=C32)C(=O)N4CCC(CC4)C5=CC(=CC=C5)C(F)(F)F
Sulfasalazine,CIDs00005339,#N/A,0,#N/A
NCGC00263020,CIDs45279469,AGN-PC-07CBEJ,386.44968,CC1=C(C=C(C=C1)C(=O)N)NC2=NC=CC(=N2)C3=CN(C4=C3C=CN=C4)C(C)C
KU-60019,CIDs15953870,KU-60019,547.66512,CC1CN(CC(O1)C)CC(=O)NC2=CC3=C(C=C2)SC4=C(C=CC=C4C3)C5=CC(=O)C=C(O5)N6CCOCC6
KU-0064,CIDs05278396,ATM kinase inhibitor,395.49458,C1COCCN1C2=CC(=O)C=C(O2)C3=C4C(=CC=C3)SC5=CC=CC=C5S4
CP-466722,CIDs44551660,CP-466722,349.3467,COC1=C(C=C2C(=C1)C(=NC=N2)N3C(=NC(=N3)C4=CC=CC=N4)N)OC
