DiseaseID	DiseaseName	vocabulary	code
UMLS:C0002883	Anemia, Hemolytic, Idiopathic Acquired	MSH	D000744
UMLS:C0002884	Hypochromic anemia	DO	11759
UMLS:C0002886	Anemia, Macrocytic	DO	2361
UMLS:C0002888	Anemia, Megaloblastic	DO	13382
UMLS:C0002889	Anemia, Microangiopathic	MSH	D000743
UMLS:C0002890	Leukoerythroblastic Anemia	DO	2354
UMLS:C0002891	Anemia, Neonatal	DO	1098
UMLS:C0002892	Anemia, Pernicious	DO	13381
UMLS:C0002893	Refractory anemias	EFO	0003802
UMLS:C0002894	Refractory anaemia with excess blasts	EFO	0003811
UMLS:C0002895	Anemia, Sickle Cell	DO	10923
UMLS:C0002896	Sideroblastic anemia	DO	8955
UMLS:C0002897	Anemia, Splenic	MSH	D006971
UMLS:C0002902	Anencephaly	DO	0060668
UMLS:C0002938	Aneuploidy	MSH	D000782
UMLS:C0002940	Aneurysm	DO	178
UMLS:C0002949	Aneurysm, Dissecting	HPO	0005294
UMLS:C0002957	Anger	MSH	D000786
UMLS:C0002959	Angiectasis	MONDO	0021658
UMLS:C0002962	Angina Pectoris	EFO	0003913
UMLS:C0002963	Angina Pectoris, Variant	DO	0111151
UMLS:C0002965	Angina, Unstable	DO	8805
UMLS:C0002982	Angioid Streaks	DO	13401
UMLS:C0002985	Angiokeratoma	DO	479
UMLS:C0002986	Fabry Disease	DO	14499
UMLS:C0002989	Epithelioid hemangioma of skin	DO	14308
UMLS:C0002991	Cutaneous Fibrous Histiocytoma	DO	4231
UMLS:C0002992	Angiomatosis	MONDO	0024461
UMLS:C0002994	Angioedema	DO	14735
UMLS:C0003028	Anhidrosis	DO	11155
UMLS:C0003076	Aniridia	DO	12271
UMLS:C0003078	Aniseikonia	DO	0050304
UMLS:C0003079	Anisocoria	HPO	0009916
UMLS:C0003081	Anisometropia	DO	12273
UMLS:C0003089	Ankylosing spondylitis and other inflammatory spondylopathies	DO	417
UMLS:C0003090	Ankylosis	DO	227
UMLS:C0003113	Anomia	DO	4541
UMLS:C0003119	Anophthalmos	HPO	0000528
UMLS:C0003123	Anorexia	HPO	0002039
UMLS:C0003125	Anorexia Nervosa	DO	8689
UMLS:C0003126	Anosmia	HPO	0000458
UMLS:C0003128	Anovulation	DO	3781
UMLS:C0003129	Anoxemia	MSH	D000860
UMLS:C0003130	Anoxia	EFO	0009445
UMLS:C0003132	Anoxic Encephalopathy	DO	2316
UMLS:C0003164	Anthracosilicosis	DO	10324
UMLS:C0003165	Anthracosis	DO	10324
UMLS:C0003175	Anthrax disease	DO	7427
UMLS:C0003177	Cutaneous anthrax	DO	7426
UMLS:C0003257	Antibody Deficiency Syndrome	MSH	D007153
UMLS:C0003431	Antisocial Personality Disorder	DO	10939
UMLS:C0003460	Anuria	DO	2983
UMLS:C0003463	Anus Neoplasms	DO	4551
UMLS:C0003466	Anus, Imperforate	DO	10488
UMLS:C0003467	Anxiety	DO	14320
UMLS:C0003469	Anxiety Disorders	DO	2030
UMLS:C0003477	Separation Anxiety Disorder	EFO	1001916
UMLS:C0003486	Aortic Aneurysm	DO	3627
UMLS:C0003492	Aortic coarctation	EFO	1001267
UMLS:C0003493	Aortic Diseases	DO	520
UMLS:C0003496	Aortic Rupture	DO	3627
UMLS:C0003499	Supravalvular aortic stenosis	DO	1929
UMLS:C0003504	Aortic Valve Insufficiency	DO	57
UMLS:C0003507	Aortic Valve Stenosis	DO	0080334
UMLS:C0003509	Aortitis	DO	519
UMLS:C0003510	Aortitis Syndrome	DO	2508
UMLS:C0003516	Aortopulmonary Septal Defect	HPO	0011604
UMLS:C0003534	Aphakia	HPO	0007707
UMLS:C0003537	Aphasia	DO	0060046
UMLS:C0003546	Aphasia, Acquired	MSH	D001037
UMLS:C0003550	Broca Aphasia	HPO	0002427
UMLS:C0003564	Aphonia	HPO	0001686
UMLS:C0003578	Apnea	HPO	0002104
UMLS:C0003614	Appendiceal Neoplasms	DO	11239
UMLS:C0003615	Appendicitis	DO	8337
UMLS:C0003621	Appetite Disorders	MSH	D001068
UMLS:C0003635	Apraxias	DO	0060135
UMLS:C0003650	Apudoma	EFO	1001901
UMLS:C0003706	Arachnodactyly	HPO	0001166
UMLS:C0003708	Arachnoiditis	DO	12156
UMLS:C0003723	Arbovirus Infections	DO	934
UMLS:C0003742	Arcus Senilis	DO	11342
UMLS:C0003756	Arenaviridae Infections	EFO	0007150
UMLS:C0003803	Arnold Chiari Malformation	HPO	0002308
UMLS:C0003810	Sertoli-Leydig cell tumor of ovary	EFO	1000429
UMLS:C0003811	Cardiac Arrhythmia	EFO	0004269
UMLS:C0003834	Arterial insufficiency	EFO	0009085
UMLS:C0003838	Arterial Occlusive Diseases	DO	341
UMLS:C0003850	Arteriosclerosis	DO	1936
UMLS:C0003851	Arteriosclerosis Obliterans	DO	5160
UMLS:C0003855	Arteriovenous fistula	HPO	0004947
UMLS:C0003857	Congenital arteriovenous malformation	HPO	0100026
UMLS:C0003860	Arteritis	DO	519
UMLS:C0003862	Arthralgia	HPO	0002829
UMLS:C0003864	Arthritis	DO	381
UMLS:C0003865	Arthritis, Adjuvant-Induced	MSH	D001169
UMLS:C0003868	Arthritis, Gouty	DO	13189
UMLS:C0003869	Arthritis, Infectious	DO	381
UMLS:C0003872	Arthritis, Psoriatic	DO	9008
UMLS:C0003873	Rheumatoid Arthritis	DO	7148
UMLS:C0003875	Arthritis, Viral	MSH	D001170
UMLS:C0003886	Arthrogryposis	EFO	0003857
UMLS:C0003892	Neurogenic arthropathy	DO	14286
UMLS:C0003907	Arthus Reaction	DO	1556
UMLS:C0003910	Articulation Disorders	DO	4186
UMLS:C0003944	As If Personality	MSH	D010554
UMLS:C0003949	Asbestosis	DO	10320
UMLS:C0003950	Ascariasis	DO	3108
UMLS:C0003962	Ascites	HPO	0001541
UMLS:C0003969	Ascorbic Acid Deficiency	DO	13724
UMLS:C0004030	Aspergillosis	DO	13564
UMLS:C0004031	Aspergillosis, Allergic Bronchopulmonary	DO	13166
UMLS:C0004044	Asphyxia	EFO	0009446
UMLS:C0004045	Asphyxia Neonatorum	DO	11088
UMLS:C0004048	Inspiration function	MSH	D001239
UMLS:C0004093	Asthenia	EFO	0007625
UMLS:C0004096	Asthma	DO	2841
UMLS:C0004099	Asthma, Exercise-Induced	HPO	0012652
UMLS:C0004106	Astigmatism	DO	11782
UMLS:C0004114	Astrocytoma	DO	3069
UMLS:C0004134	Ataxia	HPO	0010867
UMLS:C0004135	Ataxia Telangiectasia	DO	12704
UMLS:C0004138	Ataxias, Hereditary	DO	0050951
UMLS:C0004144	Atelectasis	HPO	0100750
UMLS:C0004153	Atherosclerosis	DO	1936
UMLS:C0004158	Athetosis	HPO	0002305
UMLS:C0004238	Atrial Fibrillation	DO	0060224
UMLS:C0004239	Atrial Flutter	EFO	0003911
UMLS:C0004245	Atrioventricular Block	DO	0050820
UMLS:C0004269	Child attention deficit disorder	ICD9CM	314.0
UMLS:C0004277	Tooth Attrition	MSH	D019217
UMLS:C0004310	Auditory Perceptual Disorders	MONDO	0024422
UMLS:C0004331	Auriculo-Ventricular Dissociation	HPO	0011709
UMLS:C0004352	Autistic Disorder	DO	12849
UMLS:C0004364	Autoimmune Diseases	DO	2914
UMLS:C0004368	Autoimmune state	HPO	0002960
UMLS:C0004403	Autosome Abnormalities	MSH	D002869
UMLS:C0004426	Sarcoma, Avian	MONDO	0025382
UMLS:C0004444	Avoidant Personality Disorder	DO	1509
UMLS:C0004509	Azoospermia	DO	14227
UMLS:C0004565	Melanoma, B16	MSH	D008546
UMLS:C0004576	Babesiosis	DO	9643
UMLS:C0004604	Back Pain	HPO	0003418
UMLS:C0004606	Nonproliferative diabetic retinopathy	DO	0050535
UMLS:C0004608	Retinopathy background	DO	0050535
UMLS:C0004610	Bacteremia	EFO	0003033
UMLS:C0004623	Bacterial Infections	DO	104
UMLS:C0004626	Pneumonia, Bacterial	DO	874
UMLS:C0004659	Bacteriuria	DO	1412
UMLS:C0004669	Bacteroides Infections	EFO	1000832
UMLS:C0004681	Bagassosis	DO	12522
UMLS:C0004698	Balkan Nephropathy	DO	3052
UMLS:C0004712	Balo's Concentric Sclerosis	DO	0060215
UMLS:C0004763	Barrett Esophagus	DO	9206
UMLS:C0004771	Bartonella Infections	DO	11102
UMLS:C0004775	Bartter Disease	DO	0050477
UMLS:C0004779	Basal Cell Nevus Syndrome	DO	2512
UMLS:C0004782	Basal Ganglia Diseases	DO	679
UMLS:C0004903	Beckwith-Wiedemann Syndrome	DO	0060476
UMLS:C0004930	Behavior Disorders	DO	12995
UMLS:C0004936	Mental disorders	DO	150
UMLS:C0004941	Behavioral Symptoms	HPO	0000708
UMLS:C0004943	Behcet Syndrome	DO	13241
UMLS:C0004945	Bejel	DO	13431
UMLS:C0004991	Benign neoplasm of colon	DO	0080410
UMLS:C0004997	Benign Ovarian Neoplasm	EFO	1000116
UMLS:C0004998	Benign neoplasm of skin	ICD9CM	216
UMLS:C0005001	Benign prostatic hypertrophy	DO	13206
UMLS:C0005122	Beriberi	DO	0070313
UMLS:C0005129	Bernard-Soulier Syndrome	DO	2217
UMLS:C0005136	Berry Aneurysm	EFO	0003870
UMLS:C0005138	Berylliosis	DO	10322
UMLS:C0005146	Besnoitiasis	MSH	D003048
UMLS:C0005283	beta Thalassemia	DO	12241
UMLS:C0005395	Bile Duct Diseases	DO	4138
UMLS:C0005396	Bile Duct Neoplasms	DO	4606
UMLS:C0005398	Cholestasis, Extrahepatic	DO	13619
UMLS:C0005403	Bile Reflux	DO	12237
UMLS:C0005411	Biliary Atresia	DO	13608
UMLS:C0005424	Biliary Tract Diseases	DO	9741
UMLS:C0005426	Biliary Tract Neoplasm	DO	4607
UMLS:C0005586	Bipolar Disorder	DO	3312
UMLS:C0005587	Depression, Bipolar	DO	3312
UMLS:C0005612	Birth Weight	EFO	0004344
UMLS:C0005683	Urinary Bladder Calculi (disorder)	DO	11354
UMLS:C0005684	Malignant neoplasm of urinary bladder	DO	11054
UMLS:C0005686	Urinary Bladder Diseases	DO	365
UMLS:C0005689	Bladder Exstrophy	DO	0080174
UMLS:C0005694	Bladder neck obstruction	DO	13948
UMLS:C0005695	Bladder Neoplasm	DO	11054
UMLS:C0005697	Neurogenic Urinary Bladder	DO	12143
UMLS:C0005699	Blast Phase	EFO	1000131
UMLS:C0005716	Blastomycosis	DO	12663
UMLS:C0005741	Blepharitis	DO	9423
UMLS:C0005742	Blepharochalasis	DO	348
UMLS:C0005744	Blepharophimosis	DO	10348
UMLS:C0005745	Blepharoptosis	DO	0060260
UMLS:C0005747	Blepharospasm	DO	529
UMLS:C0005750	Blind Loop Syndrome	DO	10606
UMLS:C0005754	Congenital blindness	HPO	0007875
UMLS:C0005758	Bulla	MSH	D001768
UMLS:C0005779	Blood Coagulation Disorders	DO	1247
UMLS:C0005806	Blood Group Incompatibility	DO	4176
UMLS:C0005818	Blood Platelet Disorders	DO	2218
UMLS:C0005823	Blood Pressure	EFO	0004325
UMLS:C0005833	Blood Sedimentation	EFO	0004304
UMLS:C0005845	Blood urea nitrogen measurement	EFO	0004741
UMLS:C0005848	Blood Viscosity	EFO	0004301
UMLS:C0005859	Bloom Syndrome	DO	2717
UMLS:C0005866	Bluetongue infection	MONDO	0025385
UMLS:C0005874	Blushing	HPO	0001041
UMLS:C0005887	Body Dysmorphic Disorders	ICD10CM	F45.22
UMLS:C0005890	Body Height	EFO	0004339
UMLS:C0005899	Body Rocking	MSH	D019956
UMLS:C0005904	Body Temperature Changes	HPO	0004370
UMLS:C0005910	Body Weight	EFO	0004338
UMLS:C0005911	Body Weight Changes	MSH	D001836
UMLS:C0005937	Bone Cysts	HPO	0012062
UMLS:C0005938	Bone Density	EFO	0003923
UMLS:C0005940	Bone Diseases	DO	0080001
UMLS:C0005941	Bone Diseases, Developmental	MSH	D001848
UMLS:C0005942	Bone Diseases, Endocrine	MSH	D001849
UMLS:C0005944	Metabolic Bone Disorder	EFO	1001809
UMLS:C0005956	Bone Marrow Diseases	DO	4961
UMLS:C0005967	Bone neoplasms	DO	184
UMLS:C0005974	Bone Resorption	DO	0080011
UMLS:C0006008	Border Disease	EFO	0007177
UMLS:C0006009	Borderline intellectual disability	HPO	0006889
UMLS:C0006012	Borderline Personality Disorder	DO	10930
UMLS:C0006015	Bordetella Infections	DO	1116
UMLS:C0006023	Borna Disease	DO	5154
UMLS:C0006035	Borrelia Infections	DO	13034
UMLS:C0006060	Boutonneuse Fever	DO	14095
UMLS:C0006079	Bowen's Disease	DO	8872
UMLS:C0006091	Brachial plexus lesion	DO	10383
UMLS:C0006105	Brain Abscess	HPO	0030049
UMLS:C0006109	Brain Damage, Chronic	MONDO	0020069
UMLS:C0006110	Brain Death	ICD10CM	G93.82
UMLS:C0006111	Brain Diseases	DO	936
UMLS:C0006112	Brain Diseases, Metabolic	ICD10CM	G93.41
UMLS:C0006114	Cerebral Edema	DO	4724
UMLS:C0006118	Brain Neoplasms	DO	1319
UMLS:C0006131	Branchioma	EFO	1001277
UMLS:C0006142	Malignant neoplasm of breast	DO	1612
UMLS:C0006144	Breast Cyst	DO	10349
UMLS:C0006145	Breast Diseases	DO	3463
UMLS:C0006157	Breech Presentation	HPO	0001623
UMLS:C0006160	Brenner Tumor	DO	2636
UMLS:C0006261	Bronchial Diseases	DO	1176
UMLS:C0006262	Bronchial Fistula	MSH	D001983
UMLS:C0006264	Bronchial Neoplasms	DO	3906
UMLS:C0006266	Bronchospasm	EFO	1002018
UMLS:C0006267	Bronchiectasis	DO	9563
UMLS:C0006271	Bronchiolitis	DO	2942
UMLS:C0006272	Bronchiolitis Obliterans	DO	2799
UMLS:C0006274	Bronchiolitis, Viral	MSH	D001990
UMLS:C0006277	Bronchitis	DO	6132
UMLS:C0006281	Congenital bronchogenic cyst	HPO	0100730
UMLS:C0006285	Bronchopneumonia	DO	12375
UMLS:C0006287	Bronchopulmonary Dysplasia	ICD10CM	P27.8
UMLS:C0006288	Bronchopulmonary Sequestration	HPO	0010960
UMLS:C0006309	Brucellosis	DO	11077
UMLS:C0006325	Bruxism	DO	2846
UMLS:C0006370	Bulimia	DO	12129
UMLS:C0006384	Bundle-Branch Block	EFO	0004138
UMLS:C0006386	Bunion	HPO	0001822
UMLS:C0006413	Burkitt Lymphoma	DO	8584
UMLS:C0006430	Burning Mouth Syndrome	DO	4331
UMLS:C0006444	Bursitis	DO	14188
UMLS:C0006542	Byssinosis	DO	10323
UMLS:C0006625	Cachexia	HPO	0004326
UMLS:C0006635	Cadmium poisoning	EFO	1001768
UMLS:C0006663	Calcinosis	DO	182
UMLS:C0006664	Calcinosis cutis	HPO	0025520
UMLS:C0006666	Calciphylaxis	DO	4734
UMLS:C0006705	Calcium Metabolism Disorders	DO	0060699
UMLS:C0006818	Campylobacter infection	DO	13622
UMLS:C0006826	Malignant Neoplasms	DO	162
UMLS:C0006840	Candidiasis	DO	14262
UMLS:C0006845	Candidiasis, Chronic Mucocutaneous	DO	2058
UMLS:C0006846	Cutaneous Candidiasis	DO	0080161
UMLS:C0006848	Mucocutaneous candidiasis	NCI	C35576
UMLS:C0006849	Oral candidiasis	DO	14262
UMLS:C0006852	Candidiasis of vagina	DO	2272
UMLS:C0006868	Cannabis Abuse	DO	9505
UMLS:C0006870	Cannabis Dependence	DO	1849
UMLS:C0006897	Capillariasis	DO	12474
UMLS:C0006905	Capillary Fragility	HPO	0025017
UMLS:C0006915	Caplan Syndrome	DO	10326
UMLS:C0007001	Carbohydrate Metabolism, Inborn Errors	DO	2978
UMLS:C0007020	Carbon Monoxide Poisoning	MSH	D002249
UMLS:C0007093	Carcinoid Heart Disease	EFO	1001769
UMLS:C0007095	Carcinoid Tumor	EFO	0004243
UMLS:C0007097	Carcinoma	DO	305
UMLS:C0007102	Malignant tumor of colon	DO	219
UMLS:C0007103	Malignant neoplasm of endometrium	DO	1380
UMLS:C0007104	Female Breast Carcinoma	DO	7843
UMLS:C0007107	Malignant neoplasm of larynx	DO	2596
UMLS:C0007112	Adenocarcinoma of prostate	DO	2526
UMLS:C0007113	Rectal Carcinoma	DO	1993
UMLS:C0007114	Malignant neoplasm of skin	DO	4159
UMLS:C0007115	Malignant neoplasm of thyroid	DO	1781
UMLS:C0007117	Basal cell carcinoma	DO	2513
UMLS:C0007118	Carcinoma, Basosquamous	DO	5063
UMLS:C0007120	Bronchioloalveolar Adenocarcinoma	DO	1324
UMLS:C0007121	Bronchogenic Carcinoma	DO	3904
UMLS:C0007124	Noninfiltrating Intraductal Carcinoma	EFO	0000313
UMLS:C0007125	Carcinoma, Ehrlich Tumor	DO	5050
UMLS:C0007129	Merkel cell carcinoma	EFO	1001471
UMLS:C0007130	Mucinous Adenocarcinoma	DO	3030
UMLS:C0007131	Non-Small Cell Lung Carcinoma	DO	1324
UMLS:C0007133	Carcinoma, Papillary	DO	3113
UMLS:C0007134	Renal Cell Carcinoma	DO	4450
UMLS:C0007135	Adenocarcinoma, Scirrhous	DO	4024
UMLS:C0007137	Squamous cell carcinoma	DO	1749
UMLS:C0007138	Carcinoma, Transitional Cell	DO	2671
UMLS:C0007140	Carcinosarcoma	DO	4236
UMLS:C0007166	Low Cardiac Output	EFO	0009873
UMLS:C0007177	Cardiac Tamponade	DO	115
UMLS:C0007192	Cardiomyopathy, Alcoholic	DO	12935
UMLS:C0007193	Cardiomyopathy, Dilated	DO	0110423
UMLS:C0007194	Hypertrophic Cardiomyopathy	DO	0080326
UMLS:C0007196	Restrictive cardiomyopathy	DO	397
UMLS:C0007222	Cardiovascular Diseases	DO	1287
UMLS:C0007273	Carotid Artery Diseases	DO	3407
UMLS:C0007274	Carotid Artery Thrombosis	DO	3410
UMLS:C0007279	Carotid Body Paraganglioma	DO	0050773
UMLS:C0007282	Carotid Stenosis	DO	13001
UMLS:C0007286	Carpal Tunnel Syndrome	DO	12169
UMLS:C0007302	Cartilage Diseases	DO	1222
UMLS:C0007361	Cat-Scratch Disease	DO	11258
UMLS:C0007370	Catalepsy	EFO	0009845
UMLS:C0007384	Cataplexy	DO	8986
UMLS:C0007397	Catastrophic Illness	MSH	D002388
UMLS:C0007398	Catatonia	ICD10CM	F06.1
UMLS:C0007462	Causalgia	DO	3222
UMLS:C0007528	Cecal Neoplasms	DO	1517
UMLS:C0007570	Celiac Disease	DO	10608
UMLS:C0007621	Neoplastic Cell Transformation	MSH	D002471
UMLS:C0007642	Cellulitis	DO	3488
UMLS:C0007645	Cellulitis and abscess NOS (disorder)	EFO	0003030
UMLS:C0007659	Cementoma	HPO	0012328
UMLS:C0007682	CNS disorder	DO	331
UMLS:C0007684	Central Nervous System Infection	EFO	1001456
UMLS:C0007688	Central Retinal Artery Occlusion	DO	13098
UMLS:C0007722	Cephalhematoma due to birth trauma	HPO	0012541
UMLS:C0007758	Cerebellar Ataxia	DO	0050753
UMLS:C0007760	Cerebellar Diseases	DO	2786
UMLS:C0007761	Myoclonic Cerebellar Dyssynergia	DO	0060792
UMLS:C0007762	Cerebellar Neoplasms	DO	4205
UMLS:C0007766	Intracranial Aneurysm	DO	10941
UMLS:C0007771	Intracranial Arteriosclerosis	DO	12720
UMLS:C0007772	Intracranial Arteriovenous Malformation	DO	0060688
UMLS:C0007773	Cerebral arteritis	DO	11390
UMLS:C0007775	Cerebral Atherosclerosis	DO	12720
UMLS:C0007780	Cerebral Embolism	DO	4372
UMLS:C0007781	Intracranial Embolism and Thrombosis	MSH	D002542
UMLS:C0007785	Cerebral Infarction	DO	10127
UMLS:C0007786	Brain Ischemia	DO	2316
UMLS:C0007787	Transient Ischemic Attack	DO	224
UMLS:C0007789	Cerebral Palsy	DO	10965
