diseaseId	name	vocabulary	code	vocabularyName
UMLS:C0085859	Polyglandular Type I Autoimmune Syndrome	DO	0050167	autoimmune polyendocrine syndrome type 1
UMLS:C1855869	Autoimmune Polyendocrinopathy Syndrome, Type I, Autosomal Dominant	DO	0050167	autoimmune polyendocrine syndrome type 1
UMLS:C0085860	Autoimmune Syndrome Type II, Polyglandular	DO	0050168	autoimmune polyendocrine syndrome type 2
UMLS:C0024137	Lupus Erythematosus, Cutaneous	DO	0050169	cutaneous lupus erythematosus
UMLS:C0014061	Tick-Borne Encephalitis	DO	0050175	tick-borne encephalitis
UMLS:C0014742	Erythema Multiforme	DO	0050185	erythema multiforme
UMLS:C0022972	Lambert-Eaton Myasthenic Syndrome	DO	0050214	Lambert-Eaton myasthenic syndrome
UMLS:C0300934	Primary Amebic Meningoencephalitis	DO	0050242	primary amebic meningoencephalitis
UMLS:C0392662	Angiostrongyliasis	DO	0050256	angiostrongyliasis
UMLS:C0277356	Tunga penetrans infestation	DO	0050266	tungiasis
UMLS:C0276758	Fusariosis	DO	0050289	fusariosis
UMLS:C0003078	Aniseikonia	DO	0050304	aniseikonia
UMLS:C0342151	Congenital hypothyroidism without goiter	DO	0050328	congenital hypothyroidism
UMLS:C0749420	Thyroid Agenesis	DO	0050328	congenital hypothyroidism
UMLS:C0342200	Endemic Cretinism	DO	0050328	congenital hypothyroidism
UMLS:C0349476	Congenital goiter	DO	0050328	congenital hypothyroidism
UMLS:C0342154	Congenital atrophy of thyroid	DO	0050328	congenital hypothyroidism
UMLS:C0010308	Congenital Hypothyroidism	DO	0050328	congenital hypothyroidism
UMLS:C0265269	Lacrimoauriculodentodigital syndrome	DO	0050331	LADD syndrome
UMLS:C1863752	Enlarged Vestibular Aqueduct	DO	0050332	enlarged vestibular aqueduct
UMLS:C1842073	Prolonged Electroretinal Response Suppression	DO	0050335	bradyopsia
UMLS:C0085682	Hypophosphatemia	DO	0050336	hypophosphatemia
UMLS:C2750825	NONPAPILLARY RENAL CARCINOMA 1 LOCUS	DO	0050387	nonpapillary renal cell carcinoma
UMLS:C0279702	Conventional (Clear Cell) Renal Cell Carcinoma	DO	0050387	nonpapillary renal cell carcinoma
UMLS:C3463916	Complement Factor I (C3 inactivator) deficiency	DO	0050419	complement factor I deficiency
UMLS:C0032580	Adenomatous Polyposis Coli	DO	0050424	familial adenomatous polyposis
UMLS:C0035258	Restless Legs Syndrome	DO	0050425	restless legs syndrome
UMLS:C0038325	Stevens-Johnson Syndrome	DO	0050426	Stevens-Johnson syndrome
UMLS:C3658301	Mycoplasma-Induced Stevens-Johnson Syndrome	DO	0050426	Stevens-Johnson syndrome
UMLS:C0014518	Toxic Epidermal Necrolysis	DO	0050426	Stevens-Johnson syndrome
UMLS:C1274933	Drug-Induced Stevens Johnson Syndrome	DO	0050426	Stevens-Johnson syndrome
UMLS:C3658302	Stevens-Johnson Syndrome Toxic Epidermal Necrolysis Spectrum	DO	0050426	Stevens-Johnson syndrome
UMLS:C0043346	Xeroderma Pigmentosum	DO	0050427	xeroderma pigmentosum
UMLS:C0022584	Keratoderma, Palmoplantar, Diffuse	DO	0050428	nonepidermolytic palmoplantar keratoderma
UMLS:C0022596	Palmoplantar Keratosis	DO	0050428	nonepidermolytic palmoplantar keratoderma
UMLS:C2931923	Hyperkeratosis of the palms and soles and esophageal papillomas	DO	0050428	nonepidermolytic palmoplantar keratoderma
UMLS:C4552049	PALMOPLANTAR KERATODERMA, NONEPIDERMOLYTIC, FOCAL 1	DO	0050428	nonepidermolytic palmoplantar keratoderma
UMLS:C3810394	PALMOPLANTAR KERATODERMA, NONEPIDERMOLYTIC, FOCAL OR DIFFUSE	DO	0050428	nonepidermolytic palmoplantar keratoderma
UMLS:C1838359	Diffuse palmoplantar keratoderma, Bothnian type	DO	0050428	nonepidermolytic palmoplantar keratoderma
UMLS:C1833030	PALMOPLANTAR KERATODERMA, NONEPIDERMOLYTIC	DO	0050428	nonepidermolytic palmoplantar keratoderma
UMLS:C3489771	Keratosis Palmaris et Plantaris Familiaris	DO	0050428	nonepidermolytic palmoplantar keratoderma
UMLS:C4551675	Keratoderma, Palmoplantar	DO	0050428	nonepidermolytic palmoplantar keratoderma
UMLS:C2910343	Keratosis follicularis [Darier-White]	DO	0050429	Hailey-Hailey disease
UMLS:C0221199	Abnormal palmar creases	DO	0050429	Hailey-Hailey disease
UMLS:C0010495	Cutis Laxa	DO	0050429	Hailey-Hailey disease
UMLS:C2910342	Inherited keratosis palmaris et plantaris	DO	0050429	Hailey-Hailey disease
UMLS:C2363246	Other specified congenital malformations of skin	DO	0050429	Hailey-Hailey disease
UMLS:C0432333	Abnormal dermatoglyphic pattern	DO	0050429	Hailey-Hailey disease
UMLS:C0085106	Familial benign pemphigus	DO	0050429	Hailey-Hailey disease
UMLS:C0032339	Rothmund-Thomson syndrome	DO	0050429	Hailey-Hailey disease
UMLS:C0265988	Congenital accessory skin tag	DO	0050429	Hailey-Hailey disease
UMLS:C0025268	Multiple Endocrine Neoplasia Type 2a	DO	0050430	multiple endocrine neoplasia type 2A
UMLS:C4048306	Multiple endocrine neoplasia Type 2	DO	0050430	multiple endocrine neoplasia type 2A
UMLS:C1833921	Familial medullary thyroid carcinoma	DO	0050430	multiple endocrine neoplasia type 2A
UMLS:C0349788	Arrhythmogenic Right Ventricular Dysplasia	DO	0050431	arrhythmogenic right ventricular cardiomyopathy
UMLS:C0265857	Uhl anomaly	DO	0050431	arrhythmogenic right ventricular cardiomyopathy
UMLS:C1862511	ARRHYTHMOGENIC RIGHT VENTRICULAR DYSPLASIA, FAMILIAL, 1 (disorder)	DO	0050431	arrhythmogenic right ventricular cardiomyopathy
UMLS:C0236792	Asperger Syndrome	DO	0050432	Asperger syndrome
UMLS:C0206042	Fatal Familial Insomnia	DO	0050433	fatal familial insomnia
UMLS:C1563715	Andersen Syndrome	DO	0050434	Andersen-Tawil syndrome
UMLS:C0524582	Mulibrey Nanism	DO	0050436	mulibrey nanism
UMLS:C0878677	Glycogen Storage Disease Type IIb	DO	0050437	Danon disease
UMLS:C0950122	Frasier Syndrome	DO	0050438	Frasier syndrome
UMLS:C0271097	Usher Syndrome	DO	0050439	Usher syndrome
UMLS:C2931205	Usher syndrome, type 1A	DO	0050439	Usher syndrome
UMLS:C1568248	Usher Syndrome, Type III	DO	0050439	Usher syndrome
UMLS:C1568249	Usher Syndrome, Type II	DO	0050439	Usher syndrome
UMLS:C0271694	Familial partial lipodystrophy	DO	0050440	familial partial lipodystrophy
UMLS:C1720859	Familial Partial Lipodystrophy, Type 1	DO	0050440	familial partial lipodystrophy
UMLS:C1720861	Familial Partial Lipodystrophy, Type 3	DO	0050440	familial partial lipodystrophy
UMLS:C1720860	Familial Partial Lipodystrophy, Type 2	DO	0050440	familial partial lipodystrophy
UMLS:C1720864	Sulfatidosis, Juvenile, Austin Type	DO	0050441	mucosulfatidosis
UMLS:C0268263	Multiple Sulfatase Deficiency Disease	DO	0050441	mucosulfatidosis
UMLS:C3550693	PEROXISOME BIOGENESIS DISORDER 3B	DO	0050444	infantile Refsum disease
UMLS:C0282527	Infantile Refsum Disease (disorder)	DO	0050444	infantile Refsum disease
UMLS:C0034960	Refsum Disease	DO	0050444	infantile Refsum disease
UMLS:C3540852	Rickets, X-Linked Hypophosphatemic	DO	0050445	X-linked dominant hypophosphatemic rickets
UMLS:C3536984	Vitamin D-Resistant Rickets, X-Linked	DO	0050445	X-linked dominant hypophosphatemic rickets
UMLS:C0733682	Hypophosphatemic Rickets, X-Linked Dominant	DO	0050445	X-linked dominant hypophosphatemic rickets
UMLS:C3536983	Familial Hypophosphatemic Rickets	DO	0050445	X-linked dominant hypophosphatemic rickets
UMLS:C1845168	Hypophosphatemic Rickets, X-Linked Recessive	DO	0050445	X-linked dominant hypophosphatemic rickets
UMLS:C4014321	WHITE SPONGE NEVUS 2	DO	0050448	hereditary mucosal leukokeratosis
UMLS:C1721005	Leukokeratosis, Hereditary Mucosal	DO	0050448	hereditary mucosal leukokeratosis
UMLS:C4011926	WHITE SPONGE NEVUS 1	DO	0050448	hereditary mucosal leukokeratosis
UMLS:C0023532	Leukoplakia, Oral	DO	0050448	hereditary mucosal leukokeratosis
UMLS:C0265334	Pachyonychia Congenita	DO	0050449	pachyonychia congenita
UMLS:C1706595	Pachyonychia Congenita, Jadassohn Lewandowsky Type	DO	0050449	pachyonychia congenita
UMLS:C1721007	Pachyonychia Congenita, Type 2 (disorder)	DO	0050449	pachyonychia congenita
UMLS:C0268450	Gitelman Syndrome	DO	0050450	Gitelman syndrome
UMLS:C0428908	Sinus Node Dysfunction (disorder)	DO	0050451	Brugada syndrome
UMLS:C1721096	Brugada ECG Pattern	DO	0050451	Brugada syndrome
UMLS:C0264893	Nodal rhythm disorder	DO	0050451	Brugada syndrome
UMLS:C1399226	Ectopic rhythm	DO	0050451	Brugada syndrome
UMLS:C1142166	Brugada Syndrome (disorder)	DO	0050451	Brugada syndrome
UMLS:C0348626	Other specified cardiac arrhythmias	DO	0050451	Brugada syndrome
UMLS:C3889979	Periodic Fever Syndrome	DO	0050452	mevalonic aciduria
UMLS:C0342731	Deficiency of mevalonate kinase	DO	0050452	mevalonic aciduria
UMLS:C4268691	Tumor necrosis factor receptor associated periodic syndrome [TRAPS]	DO	0050452	mevalonic aciduria
UMLS:C0031069	Familial Mediterranean Fever	DO	0050452	mevalonic aciduria
UMLS:C0398691	Hyperimmunoglobulinemia D	DO	0050452	mevalonic aciduria
UMLS:C1959626	Mevalonic Aciduria	DO	0050452	mevalonic aciduria
UMLS:C0477971	Other reduction deformities of brain	DO	0050453	lissencephaly
UMLS:C0266462	Congenital hypoplasia of part of brain	DO	0050453	lissencephaly
UMLS:C0020225	Hydranencephaly	DO	0050453	lissencephaly
UMLS:C2362742	Microgyria	DO	0050453	lissencephaly
UMLS:C1846171	Lissencephaly, X-Linked, 2	DO	0050453	lissencephaly
UMLS:C1846172	Hydranencephaly and Abnormal Genitalia	DO	0050453	lissencephaly
UMLS:C4551968	Lissencephaly, X-Linked, 1	DO	0050453	lissencephaly
UMLS:C1879312	Agyria	DO	0050453	lissencephaly
UMLS:C3554657	LISSENCEPHALY 5	DO	0050453	lissencephaly
UMLS:C2910100	Arnold-Chiari syndrome, type IV	DO	0050453	lissencephaly
UMLS:C0477972	Other specified congenital malformations of brain	DO	0050453	lissencephaly
UMLS:C1848200	SUBCORTICAL BAND HETEROTOPIA, X-LINKED	DO	0050453	lissencephaly
UMLS:C0266483	Pachygyria	DO	0050453	lissencephaly
UMLS:C1848201	Subcortical Band Heterotopia	DO	0050453	lissencephaly
UMLS:C0266461	Congenital absence of part of brain	DO	0050453	lissencephaly
UMLS:C1969029	Lissencephaly 3	DO	0050453	lissencephaly
UMLS:C0431375	Classical Lissencephaly	DO	0050453	lissencephaly
UMLS:C3151461	LISSENCEPHALY 4	DO	0050453	lissencephaly
UMLS:C1848070	Lissencephaly and agenesis of corpus callosum	DO	0050453	lissencephaly
UMLS:C0266463	Lissencephaly	DO	0050453	lissencephaly
UMLS:C3809872	PERIVENTRICULAR NODULAR HETEROTOPIA 6	DO	0050454	periventricular nodular heterotopia
UMLS:C4551969	Bilateral Periventricular Nodular Heterotopia	DO	0050454	periventricular nodular heterotopia
UMLS:C1842563	Heterotopia, Periventricular, Autosomal Recessive	DO	0050454	periventricular nodular heterotopia
UMLS:C1868720	Periventricular Nodular Heterotopia	DO	0050454	periventricular nodular heterotopia
UMLS:C1845235	Heterotopia, Periventricular, Ehlers-Danlos Variant	DO	0050454	periventricular nodular heterotopia
UMLS:C1848213	Periventricular Heterotopia, X-Linked	DO	0050454	periventricular nodular heterotopia
UMLS:C0275708	Mycobacterium marinum Infection	DO	0050456	Buruli ulcer disease
UMLS:C0085568	Buruli Ulcer	DO	0050456	Buruli ulcer disease
UMLS:C1384583	Congenital absence of germinal epithelium of testes	DO	0050457	Sertoli cell-only syndrome
UMLS:C0023480	Leukemia, Myelomonocytic, Chronic	DO	0050458	juvenile myelomonocytic leukemia
UMLS:C0349639	Juvenile Myelomonocytic Leukemia	DO	0050458	juvenile myelomonocytic leukemia
UMLS:C0085681	Hyperphosphatemia (disorder)	DO	0050459	hyperphosphatemia
UMLS:C1956097	Wolf-Hirschhorn Syndrome	DO	0050460	Wolf-Hirschhorn syndrome
UMLS:C0796202	Wittwer syndrome	DO	0050460	Wolf-Hirschhorn syndrome
UMLS:C0796117	Pitt-Rogers-Danks Syndrome	DO	0050460	Wolf-Hirschhorn syndrome
UMLS:C0268225	Aspartylglucosaminuria	DO	0050461	aspartylglucosaminuria
UMLS:C0268226	Type I Mucolipidosis	DO	0050461	aspartylglucosaminuria
UMLS:C0016788	Fucosidase Deficiency Disease	DO	0050461	aspartylglucosaminuria
UMLS:C2931840	Aspartylglucosamidase (AGA) deficiency	DO	0050461	aspartylglucosaminuria
UMLS:C1257960	Mannosidase Deficiency Diseases	DO	0050461	aspartylglucosaminuria
UMLS:C1860042	Antley-Bixler Syndrome with Disordered Steroidogenesis	DO	0050462	Antley-Bixler syndrome
UMLS:C2350233	Antley-Bixler Syndrome Phenotype	DO	0050462	Antley-Bixler syndrome
UMLS:C2936791	Antley-Bixler Syndrome, Autosomal Dominant	DO	0050462	Antley-Bixler syndrome
UMLS:C3150099	ANTLEY-BIXLER SYNDROME WITH GENITAL ANOMALIES AND DISORDERED STEROIDOGENESIS	DO	0050462	Antley-Bixler syndrome
UMLS:C1861923	Acampomelic Campomelic Dysplasia	DO	0050463	campomelic dysplasia
UMLS:C1842462	CAMPOMELIC DYSPLASIA WITH AUTOSOMAL SEX REVERSAL	DO	0050463	campomelic dysplasia
UMLS:C1861922	CAMPOMELIC DYSPLASIA	DO	0050463	campomelic dysplasia
UMLS:C0268255	Farber Lipogranulomatosis	DO	0050464	Farber lipogranulomatosis
UMLS:C1321489	Torre-Muir syndrome	DO	0050465	Muir-Torre syndrome
UMLS:C1836635	Loeys-Dietz Aortic Aneurysm Syndrome	DO	0050466	Loeys-Dietz syndrome
UMLS:C2697932	Loeys-Dietz Syndrome	DO	0050466	Loeys-Dietz syndrome
UMLS:C1851480	Greither Disease	DO	0050467	erythrokeratodermia variabilis
UMLS:C0265961	Erythrokeratodermia variabilis	DO	0050467	erythrokeratodermia variabilis
UMLS:C0221348	Hereditary lymphedema and yellow nails	DO	0050468	yellow nail syndrome
UMLS:C0587248	Costello syndrome (disorder)	DO	0050469	Costello syndrome
UMLS:C1968782	MYOPATHY, CONGENITAL, WITH EXCESS OF MUSCLE SPINDLES	DO	0050469	Costello syndrome
UMLS:C0271689	Insulin Receptor, Defect in	DO	0050470	Donohue syndrome
UMLS:C0265344	Donohue Syndrome	DO	0050470	Donohue syndrome
UMLS:C0271695	Rabson-Mendenhall Syndrome	DO	0050470	Donohue syndrome
UMLS:C1854540	Carney Complex, Type 2	DO	0050471	Carney complex
UMLS:C0406810	Carney Complex	DO	0050471	Carney complex
UMLS:C1837245	Carney Complex Variant	DO	0050471	Carney complex
UMLS:C2607929	Carney Complex, Type 1	DO	0050471	Carney complex
UMLS:C0546966	Monilethrix	DO	0050472	monilethrix
UMLS:C0263489	Pili annulati	DO	0050472	monilethrix
UMLS:C0268425	Alstrom Syndrome	DO	0050473	Alstrom syndrome
UMLS:C0265962	Ichthyosis linearis circumflexa	DO	0050474	Netherton syndrome
UMLS:C0265313	Weill-Marchesani syndrome	DO	0050475	Weill-Marchesani syndrome
UMLS:C1869115	Weill-Marchesani Syndrome, Autosomal Dominant	DO	0050475	Weill-Marchesani syndrome
UMLS:C4552002	WEILL-MARCHESANI SYNDROME 1	DO	0050475	Weill-Marchesani syndrome
UMLS:C2750787	Weill-Marchesani-Like Syndrome	DO	0050475	Weill-Marchesani syndrome
UMLS:C1869114	Weill-Marchesani Syndrome, Autosomal Recessive	DO	0050475	Weill-Marchesani syndrome
UMLS:C3553785	WEILL-MARCHESANI SYNDROME 3	DO	0050475	Weill-Marchesani syndrome
UMLS:C0574083	3-Methylglutaconic aciduria type 2	DO	0050476	Barth syndrome
UMLS:C0221043	Liddle Syndrome	DO	0050477	Liddle syndrome
UMLS:C0004775	Bartter Disease	DO	0050477	Liddle syndrome
UMLS:C0015230	Exanthema	DO	0050486	exanthem
UMLS:C0302859	Euthyroid Goiter	DO	0050489	multinodular goiter
UMLS:C0015231	Exanthema Subitum	DO	0050495	exanthema subitum
UMLS:C1812609	Variola major	DO	0050508	variola major
UMLS:C0037354	Smallpox	DO	0050508	variola major
UMLS:C0023493	Adult T-Cell Lymphoma/Leukemia	DO	0050523	adult T-cell leukemia
UMLS:C1299614	Non-insulin-dependent diabetes mellitus with unspecified complications	DO	0050524	maturity-onset diabetes of the young
UMLS:C0342276	Maturity onset diabetes mellitus in young	DO	0050524	maturity-onset diabetes of the young
UMLS:C0242287	Isaacs syndrome	DO	0050526	Gamstorp-Wohlfart syndrome
UMLS:C4083251	Trichothiodystrophy, Nonphotosensitive 1	DO	0050528	nonphotosensitive trichothiodystrophy
UMLS:C3495483	Amish Brittle Hair Brain Syndrome	DO	0050528	nonphotosensitive trichothiodystrophy
UMLS:C1313961	Trichorrhexis nodosa syndrome	DO	0050528	nonphotosensitive trichothiodystrophy
UMLS:C1838230	SPINAL MUSCULAR ATROPHY, TYPE IV	DO	0050529	adult spinal muscular atrophy
UMLS:C0393538	Muscular Atrophy, Spinal, Type II	DO	0050530	intermediate spinal muscular atrophy
UMLS:C2931358	Muscular atrophy, spinal, infantile chronic form	DO	0050530	intermediate spinal muscular atrophy
UMLS:C1306122	Oguchi disease	DO	0050534	congenital stationary night blindness
UMLS:C0339535	Night blindness, congenital stationary	DO	0050534	congenital stationary night blindness
UMLS:C0004608	Retinopathy background	DO	0050535	exudative vitreoretinopathy
UMLS:C0004606	Nonproliferative diabetic retinopathy	DO	0050535	exudative vitreoretinopathy
UMLS:C1851402	Exudative vitreoretinopathy 1	DO	0050535	exudative vitreoretinopathy
UMLS:C0339539	Familial Exudative Vitreoretinopathy	DO	0050535	exudative vitreoretinopathy
UMLS:C0392475	Roberts-SC phocomelia syndrome	DO	0050536	SC phocomelia syndrome
UMLS:C1858338	Neuropathy, hereditary motor and sensory, Okinawa type	DO	0050539	Charcot-Marie-Tooth disease type 2
UMLS:C0270914	Hereditary Motor and Sensory-Neuropathy Type II	DO	0050539	Charcot-Marie-Tooth disease type 2
UMLS:C0392553	Hereditary peripheral neuropathy	DO	0050539	Charcot-Marie-Tooth disease type 2
UMLS:C0011195	Dejerine-Sottas Disease (disorder)	DO	0050540	Charcot-Marie-Tooth disease type 3
UMLS:C4082197	Charcot-Marie-Tooth disease type 4	DO	0050541	Charcot-Marie-Tooth disease type 4
UMLS:C4551551	X-linked hereditary motor and sensory neuropathy	DO	0050542	Charcot-Marie-Tooth disease type X
UMLS:C1844020	HETEROTAXY, VISCERAL, 1, X-LINKED	DO	0050545	visceral heterotaxy
UMLS:C1415817	HETEROTAXY, VISCERAL, 2, AUTOSOMAL	DO	0050545	visceral heterotaxy
UMLS:C3151057	HETEROTAXY, VISCERAL, 4, AUTOSOMAL	DO	0050545	visceral heterotaxy
UMLS:C3151867	CONGENITAL HEART DEFECTS, MULTIPLE TYPES, 1, X-LINKED	DO	0050545	visceral heterotaxy
UMLS:C3178805	Heterotaxy Syndrome	DO	0050545	visceral heterotaxy
UMLS:C3553676	HETEROTAXY, VISCERAL, 6, AUTOSOMAL	DO	0050545	visceral heterotaxy
UMLS:C1853444	Heterotaxy, Visceral, 3, Autosomal	DO	0050545	visceral heterotaxy
UMLS:C3151055	ADRENAL INSUFFICIENCY, CONGENITAL, WITH 46,XY SEX REVERSAL, PARTIAL OR COMPLETE	DO	0050546	congenital adrenal insufficiency
UMLS:C1845028	ANEMIA, SIDEROBLASTIC, AND SPINOCEREBELLAR ATAXIA	DO	0050554	X-linked sideroblastic anemia with ataxia
UMLS:C2937300	Congenital hereditary muscular dystrophy	DO	0050557	congenital muscular dystrophy
UMLS:C0026850	Muscular Dystrophy	DO	0050557	congenital muscular dystrophy
UMLS:C0699743	Congenital muscular dystrophy (disorder)	DO	0050557	congenital muscular dystrophy
UMLS:C0410179	Ullrich congenital muscular dystrophy 1	DO	0050558	Ullrich congenital muscular dystrophy
UMLS:C0410174	Fukuyama Type Congenital Muscular Dystrophy	DO	0050559	Fukuyama congenital muscular dystrophy
UMLS:C0265221	Walker-Warburg congenital muscular dystrophy	DO	0050560	Walker-Warburg syndrome
UMLS:C3807541	MACROCEPHALY AND EPILEPTIC ENCEPHALOPATHY	DO	0050561	Lennox-Gastaut syndrome
UMLS:C0238111	Lennox-Gastaut syndrome	DO	0050561	Lennox-Gastaut syndrome
UMLS:C0037769	West Syndrome	DO	0050562	West syndrome
UMLS:C0452138	Sensorineural hearing loss, bilateral	DO	0050564	autosomal dominant nonsyndromic deafness
UMLS:C1846647	DEAFNESS, AUTOSOMAL RECESSIVE (disorder)	DO	0050565	autosomal recessive nonsyndromic deafness
UMLS:C1844677	DEAFNESS, X-LINKED 1 (disorder)	DO	0050566	X-linked nonsyndromic deafness
UMLS:C1853296	SPONDYLOCOSTAL DYSOSTOSIS, AUTOSOMAL RECESSIVE 3	DO	0050568	spondylocostal dysostosis
UMLS:C3150942	SPONDYLOCOSTAL DYSOSTOSIS 4, AUTOSOMAL RECESSIVE	DO	0050568	spondylocostal dysostosis
UMLS:C4083048	SPONDYLOCOSTAL DYSOSTOSIS 5	DO	0050568	spondylocostal dysostosis
UMLS:C4274761	Autosomal dominant spondylocostal dysostosis	DO	0050568	spondylocostal dysostosis
UMLS:C1837549	SPONDYLOCOSTAL DYSOSTOSIS, AUTOSOMAL RECESSIVE 2	DO	0050568	spondylocostal dysostosis
UMLS:C0265343	Jarcho-Levin syndrome	DO	0050568	spondylocostal dysostosis
UMLS:C0175693	Russell-Silver syndrome	DO	0050569	Seckel syndrome
UMLS:C0175701	Aarskog syndrome	DO	0050569	Seckel syndrome
UMLS:C0032897	Prader-Willi Syndrome	DO	0050569	Seckel syndrome
UMLS:C0175691	Dubowitz syndrome	DO	0050569	Seckel syndrome
UMLS:C0009207	Cockayne Syndrome	DO	0050569	Seckel syndrome
UMLS:C0265202	Seckel syndrome	DO	0050569	Seckel syndrome
UMLS:C0028326	Noonan Syndrome	DO	0050569	Seckel syndrome
UMLS:C0270972	Cornelia De Lange Syndrome	DO	0050569	Seckel syndrome
UMLS:C0347915	Congenital malformation syndromes associated with short stature	DO	0050569	Seckel syndrome
UMLS:C0265205	Robinow Syndrome	DO	0050569	Seckel syndrome
UMLS:C0154860	Hereditary retinal dystrophy	DO	0050572	cone-rod dystrophy
UMLS:C3489532	Cone-Rod Dystrophy 2	DO	0050572	cone-rod dystrophy
UMLS:C2746066	Combined D-2- and L-2-hydroxyglutaric aciduria	DO	0050573	2-hydroxyglutaric aciduria
UMLS:C3888081	L-2-hydroxyglutaric acidemia	DO	0050574	L-2-hydroxyglutaric aciduria
UMLS:C1855995	L-2-HYDROXYGLUTARIC ACIDURIA	DO	0050574	L-2-hydroxyglutaric aciduria
UMLS:C2939174	Medullary cystic disease	DO	0050576	Senior-Loken syndrome
UMLS:C4551559	Senior-Loken Syndrome 1	DO	0050576	Senior-Loken syndrome
UMLS:C1836517	Senior-Loken Syndrome 5	DO	0050576	Senior-Loken syndrome
UMLS:C1846980	Senior-Loken Syndrome 3	DO	0050576	Senior-Loken syndrome
UMLS:C3150877	SENIOR-LOKEN SYNDROME 7	DO	0050576	Senior-Loken syndrome
UMLS:C1857779	SENIOR-LOKEN SYNDROME 6	DO	0050576	Senior-Loken syndrome
UMLS:C0687120	Nephronophthisis	DO	0050576	Senior-Loken syndrome
UMLS:C1846979	SENIOR-LOKEN SYNDROME 4	DO	0050576	Senior-Loken syndrome
UMLS:C0403553	Renal dysplasia and retinal aplasia (disorder)	DO	0050576	Senior-Loken syndrome
UMLS:C0022681	Medullary sponge kidney	DO	0050576	Senior-Loken syndrome
UMLS:C0432235	CRANIOECTODERMAL DYSPLASIA 1	DO	0050577	Sensenbrenner syndrome
UMLS:C3150874	CRANIOECTODERMAL DYSPLASIA 2	DO	0050577	Sensenbrenner syndrome
UMLS:C3150833	OCCULT MACULAR DYSTROPHY	DO	0050578	occult macular dystrophy
