BiomarkerID	Biomarker_Name	Diseasename	ICD11	ICD10	ICD9
BM000401	sEng	Pre-eclampsia	ICD-11: JA24	ICD-10: O14, O14.9	.
BM000671	3-cholorotyrosine	Bronchopulmonary dysplasia	ICD-11: KB29.0	ICD-10: P27.1	ICD-9: 770.7
BM000755	Alpha-fetoprotein	Bronchopulmonary dysplasia	ICD-11: KB29.0	ICD-10: P27.1	ICD-9: 770.7
BM000779	Angiopoietin-2 (ANGPT2)	Bronchopulmonary dysplasia	ICD-11: KB29.0	ICD-10: P27.1	ICD-9: 770.7
BM000922	Bombesin-like peptide	Bronchopulmonary dysplasia	ICD-11: KB29.0	ICD-10: P27.1	ICD-9: 770.7
BM000271	Carbon monoxide	Bronchopulmonary dysplasia	ICD-11: KB29.0	ICD-10: P27.1	ICD-9: 770.7
BM000352	Endothelial colony-forming cells	Bronchopulmonary dysplasia	ICD-11: KB29.0	ICD-10: P27.1	ICD-9: 770.7
BM000353	Eosinophilic cationic protein	Bronchopulmonary dysplasia	ICD-11: KB29.0	ICD-10: P27.1	ICD-9: 770.7
BM000461	KL-6	Bronchopulmonary dysplasia	ICD-11: KB29.0	ICD-10: P27.1	ICD-9: 770.7
BM000558	L-selectin	Bronchopulmonary dysplasia	ICD-11: KB29.0	ICD-10: P27.1	ICD-9: 770.7
BM002707	L-selectin	Bronchopulmonary dysplasia	ICD-11: KB29.0	ICD-10: P27.1	ICD-9: 770.7
BM002025	Lysozyme	Bronchopulmonary dysplasia	ICD-11: KB29.0	ICD-10: P27.1	ICD-9: 770.7
BM000483	Microbes	Bronchopulmonary dysplasia	ICD-11: KB29.0	ICD-10: P27.1	ICD-9: 770.7
BM000506	N-terminal pro-B-type natriuretic peptide (NT-pro-BNP)	Bronchopulmonary dysplasia	ICD-11: KB29.0	ICD-10: P27.1	ICD-9: 770.7
BM002473	Pepsin	Bronchopulmonary dysplasia	ICD-11: KB29.0	ICD-10: P27.1	ICD-9: 770.7
BM002640	Regulated upon activation of normal T cell expressed and secreted (RANTES)	Bronchopulmonary dysplasia	ICD-11: KB29.0	ICD-10: P27.1	ICD-9: 770.7
BM000559	spectrophotometry	Bronchopulmonary dysplasia	ICD-11: KB29.0	ICD-10: P27.1	ICD-9: 770.7
BM000577	Thymus	Bronchopulmonary dysplasia	ICD-11: KB29.0	ICD-10: P27.1	ICD-9: 770.7
BM000602	unconjugated estriol	Bronchopulmonary dysplasia	ICD-11: KB29.0	ICD-10: P27.1	ICD-9: 770.7
BM002938	Vascular endothelial growth factor (VEGF)	Bronchopulmonary dysplasia	ICD-11: KB29.0	ICD-10: P27.1	ICD-9: 770.7
BM000687	8-hydroxy-2-deoxyguanosine (8-OHdG)	Bronchopulmonary dysplasia	ICD-11: KB29.0	ICD-10: P27.1	ICD-9: 770.7
BM000913	NT-proBNP	Persistent pulmonary hypertension of the newborn	ICD-11: KB42	ICD-10: P29.3	ICD-9: 747.83
BM000911	NT-proBNP	Patent ductus arteriosus	ICD-11: LA8B.4	ICD-10: Q25.0	ICD-9: 747
BM001258	Troponin I, cardiac muscle	Patent ductus arteriosus	ICD-11: LA8B.4	ICD-10: Q25.0	ICD-9: 747
BM001259	Troponin T, cardiac muscle isoforms	Patent ductus arteriosus	ICD-11: LA8B.4	ICD-10: Q25.0	ICD-9: 747
BM000917	NT-proBNP	Asphyxia	ICD-11: MD11.1	ICD-10: R09.0	ICD-9: 799
BM000915	Troponin I, cardiac muscle	Asphyxia	ICD-11: MD11.1	ICD-10: R09.0	ICD-9: 799
BM000916	Troponin T, cardiac muscle isoforms	Asphyxia	ICD-11: MD11.1	ICD-10: R09.0	ICD-9: 799
BM001983	iL-1R1	Hypoxia	ICD-11: MD11.1	ICD-10: R09.0	ICD-9: 799.02
BM001984	L-1I	Hypoxia	ICD-11: MD11.1	ICD-10: R09.0	ICD-9: 799.02
BM002569	pro-ANP	Acute lung injury	ICD-11: NB32.3	ICD-10: S27.3	ICD-9: 518
BM001216	Creatinine	Kidney injury	ICD-11: NB92.0	ICD-10: S37.0	ICD-9: 584
BM000965	Carbonyl sulfide	Graft rejection	ICD-11: NE84	.	ICD-9: 996
BM002485	Granzyme B	Kidney transplant rejection	ICD-11: NE84	.	ICD-9: 996.81
BM002474	Peptide/proteome panels	Kidney transplant rejection	ICD-11: NE84	.	ICD-9: 996.81
BM000016	calcium	Hemodialysis	ICD-11: QB94.1	ICD-10: Z49.1	.
BM000017	phosphorus	Hemodialysis	ICD-11: QB94.1	ICD-10: Z49.1	.
BM000018	potassium	Hemodialysis	ICD-11: QB94.1	ICD-10: Z49.1	.
BM003147	MHCclass II protein	Salmonella infection	ICD-11: 1A08	ICD-10: A02.0, A02.8	.
BM003120	CCR5 mRNA	Syphilis	ICD-11: 1A60-1A6Z	ICD-10: A00-B99	.
BM003193	Desmoplakin	Condyloma	ICD-11: 1A95	.	.
BM003186	E3 ubiquitin-protein ligase MIB1	Condyloma	ICD-11: 1A95	.	.
BM003191	Involucrin	Condyloma	ICD-11: 1A95	.	.
BM003185	Mucin-4	Condyloma	ICD-11: 1A95	.	.
BM003121	IFN-(+) CD4 T-cells	Tuberculosis	ICD-11: 1B10-1B1Z	ICD-10: A15-A19, B90	.
BM003124	CD4(+)CD25(+) T cells	Tuberculosis	ICD-11: 1B10-1B1Z	ICD-10: A15-A19, B90	.
BM003123	CD4(+)CD25(+)FoxP3(+) T cells	Tuberculosis	ICD-11: 1B10-1B1Z	ICD-10: A15-A19, B90	.
BM003122	CD8(+)CD28(-) T cells	Tuberculosis	ICD-11: 1B10-1B1Z	ICD-10: A15-A19, B90	.
BM003126	CD3(+)CD4(+) T lymphocytes	Tuberculosis	ICD-11: 1B10-1B1Z	ICD-10: A15-A19, B90	.
BM003125	CD3(+)CD8(+) T lymphocytes	Tuberculosis	ICD-11: 1B10-1B1Z	ICD-10: A15-A19, B90	.
BM003127	CCR5 Mrna	Tuberculosis	ICD-11: 1B10-1B1Z	ICD-10: A15-A19, B90	.
BM003568	SET-binding protein	Toxic shock syndrome	ICD-11: 1B52	ICD-10: A48.3	.
BM003572	Toxic shock syndrome toxin-1	Toxic shock syndrome	ICD-11: 1B52	ICD-10: A48.3	.
BM003118	miR-202	Pertussis	ICD-11: 1C12	.	.
BM003117	miR-206	Pertussis	ICD-11: 1C12	.	.
BM003116	miR-342-5p	Pertussis	ICD-11: 1C12	.	.
BM003115	miR-487b	Pertussis	ICD-11: 1C12	.	.
BM003114	miR-576-5p	Pertussis	ICD-11: 1C12	.	.
BM000676	4-MDRD	HIV infection	ICD-11: 1C62	.	ICD-9: 279.3
BM000747	Afamin (AFM)	HIV infection	ICD-11: 1C62	.	ICD-9: 279.3
BM001118	CKD-EPI	HIV infection	ICD-11: 1C62	.	ICD-9: 279.3
BM001150	Cockcroft-Gault	HIV infection	ICD-11: 1C62	.	ICD-9: 279.3
BM001215	Creatinine	HIV infection	ICD-11: 1C62	.	ICD-9: 279.3
BM001569	Glomerular filtration rate	HIV infection	ICD-11: 1C62	.	ICD-9: 279.3
BM003092	Glomerular filtration rate (GFR)	HIV infection	ICD-11: 1C62	ICD-10: B17.1, B18.2	.
BM002272	HNL	HIV infection	ICD-11: 1C62	.	ICD-9: 279.3
BM002240	N-Acetyl--D-Glucosaminidase (NAG)	HIV infection	ICD-11: 1C62	.	ICD-9: 279.3
BM002273	Neutrophil gelatinase-associated lipocalin	HIV infection	ICD-11: 1C62	.	ICD-9: 279.3
BM002274	Neutrophil gelatinase-associated lipocalin	HIV infection	ICD-11: 1C62	.	ICD-9: 279.3
BM002511	Phosphate	HIV infection	ICD-11: 1C62	.	ICD-9: 279.3
BM002513	phosphorus tubular reabsorption (RTP)	HIV infection	ICD-11: 1C62	.	ICD-9: 279.3
BM002599	proteins	HIV infection	ICD-11: 1C62	.	ICD-9: 279.3
BM003089	CD163/CD16 coexpression	HIV infection	ICD-11: 1C62	ICD-10: B17.1, B18.2	.
BM003090	Perforin-expressing HIV-specific CD8 T cells	HIV infection	ICD-11: 1C62	ICD-10: B17.1, B18.2	.
BM003099	CD28+ and CD45RA+ CD8+ cells	HIV infection	ICD-11: 1C62	ICD-10: B17.1, B18.2	.
BM003096	CD45RO+ CD8+ cells	HIV infection	ICD-11: 1C62	ICD-10: B17.1, B18.2	.
BM003091	HLA-DR+-CD3+, CD4+, and CD8+ cells	HIV infection	ICD-11: 1C62	ICD-10: B17.1, B18.2	.
BM003093	CD8+ T cells	HIV infection	ICD-11: 1C62	ICD-10: B17.1, B18.2	.
BM003101	CD28- cells	HIV infection	ICD-11: 1C62	ICD-10: B17.1, B18.2	.
BM003094	CD8+ cells	HIV infection	ICD-11: 1C62	ICD-10: B17.1, B18.2	.
BM003100	CD28- memory CD8+ T cells	HIV infection	ICD-11: 1C62	ICD-10: B17.1, B18.2	.
BM003095	CD57+ memory CD8+ T cells	HIV infection	ICD-11: 1C62	ICD-10: B17.1, B18.2	.
BM003098	CD4(+) T-lymphocyte	HIV infection	ICD-11: 1C62	ICD-10: B17.1, B18.2	.
BM003097	CD4/CD8 ratio	HIV infection	ICD-11: 1C62	ICD-10: B17.1, B18.2	.
BM003103	CD127(-) CD45RA(-)CD27(+) CD8 T cell	HIV infection	ICD-11: 1C62	ICD-10: B17.1, B18.2	.
BM003102	CD127(+) cells	HIV infection	ICD-11: 1C62	ICD-10: B17.1, B18.2	.
BM003104	BDCA-1(+) dendritic cells	HIV infection	ICD-11: 1C62	ICD-10: B17.1, B18.2	.
BM003106	ACTH/beta-endorphin ratio	HIV infection	ICD-11: 1C62	ICD-10: B17.1, B18.2	.
BM003105	ACTH/cortisol ratio	HIV infection	ICD-11: 1C62	ICD-10: B17.1, B18.2	.
BM003140	Envelope glycoprotein complex	HIV infection	ICD-11: 1C62	ICD-10: B17.1, B18.2	.
BM003141	Tumor necrosis factor receptor	HIV infection	ICD-11: 1C62	ICD-10: B17.1, B18.2	.
BM003142	HLA-DR	HIV infection	ICD-11: 1C62	ICD-10: B17.1, B18.2	.
BM003143	IL2R	HIV infection	ICD-11: 1C62	ICD-10: B17.1, B18.2	.
BM003394	Angiotensin-converting enzyme	HIV infection	ICD-11: 1C62	ICD-10: B17.1, B18.2	.
BM003415	Antileukoproteinase	HIV infection	ICD-11: 1C62	ICD-10: B17.1, B18.2	.
BM003368	Apoptosis-mediating surface antigen FAS	HIV infection	ICD-11: 1C62	ICD-10: B17.1, B18.2	.
BM003347	Bile salt sulfotransferase	HIV infection	ICD-11: 1C62	ICD-10: B17.1, B18.2	.
BM003334	Cystatin-C	HIV infection	ICD-11: 1C62	ICD-10: B17.1, B18.2	.
BM003429	Eomesodermin homolog	HIV infection	ICD-11: 1C62	ICD-10: B17.1, B18.2	.
BM003433	Forkhead box protein P3	HIV infection	ICD-11: 1C62	ICD-10: B17.1, B18.2	.
BM003345	Galectin-3-binding protein	HIV infection	ICD-11: 1C62	ICD-10: B17.1, B18.2	.
BM003388	Glial fibrillary acidic protein	HIV infection	ICD-11: 1C62	ICD-10: B17.1, B18.2	.
BM003389	HLA class I histocompatibility antigen, alpha chain E	HIV infection	ICD-11: 1C62	ICD-10: B17.1, B18.2	.
BM003371	Integrin alpha-L	HIV infection	ICD-11: 1C62	ICD-10: B17.1, B18.2	.
BM003342	Killer cell lectin-like receptor subfamily B member 1	HIV infection	ICD-11: 1C62	ICD-10: B17.1, B18.2	.
BM003361	Macrosialin	HIV infection	ICD-11: 1C62	ICD-10: B17.1, B18.2	.
BM003425	Metalloproteinase inhibitor 1	HIV infection	ICD-11: 1C62	ICD-10: B17.1, B18.2	.
BM003372	Protachykinin-1	HIV infection	ICD-11: 1C62	ICD-10: B17.1, B18.2	.
BM003373	Tumor necrosis factor receptor superfamily member 1B	HIV infection	ICD-11: 1C62	ICD-10: B17.1, B18.2	.
BM003067	Phytohemagglutinin	Dengue	ICD-11: 1D20-1D2Z	ICD-10: A90, R50	.
BM003071	CD56+CD11a+ cells	Dengue	ICD-11: 1D20-1D2Z	ICD-10: A90, R50	.
BM003070	CD56+CD3- cells	Dengue	ICD-11: 1D20-1D2Z	ICD-10: A90, R50	.
BM003069	CD56+CD3+ cells	Dengue	ICD-11: 1D20-1D2Z	ICD-10: A90, R50	.
BM003068	CD56+TIA-1+ cells	Dengue	ICD-11: 1D20-1D2Z	ICD-10: A90, R50	.
BM003072	CD14(+) HLA-DR(+) monocytes	Dengue	ICD-11: 1D20-1D2Z	ICD-10: A90, R50	.
BM003073	CD8 T cells co-expressing activation marker HLA-DR, Q, P, and cytolytic granule protein-Tia-1 	Dengue	ICD-11: 1D20-1D2Z	ICD-10: A90, R50	.
BM003135	HLA class I	Dengue	ICD-11: 1D20-1D2Z	ICD-10: A90, R50	.
BM003136	Protein disulfide isomerase	Dengue	ICD-11: 1D20-1D2Z	ICD-10: A90, R50	.
BM003198	A disintegrin and metalloproteinase with thrombospondin motifs 13	Dengue	ICD-11: 1D20-1D2Z	ICD-10: A90, R50	.
BM003215	Alanine aminotransferase	Dengue	ICD-11: 1D20-1D2Z	ICD-10: A90, R50	.
BM003220	Aspartate aminotransferase	Dengue	ICD-11: 1D20-1D2Z	ICD-10: A90, R50	.
BM003252	ATP-dependent RNA helicase DDX58	Dengue	ICD-11: 1D20-1D2Z	ICD-10: A90, R50	.
BM003233	Fatty acid-binding protein, intestinal	Dengue	ICD-11: 1D20-1D2Z	ICD-10: A90, R50	.
BM003217	Integrin alpha-L	Dengue	ICD-11: 1D20-1D2Z	ICD-10: A90, R50	.
BM003225	Interferon gamma receptor 1	Dengue	ICD-11: 1D20-1D2Z	ICD-10: A90, R50	.
BM003254	Toll-like receptor 3	Dengue	ICD-11: 1D20-1D2Z	ICD-10: A90, R50	.
BM003257	Zinc finger protein GLI2	Dengue	ICD-11: 1D20-1D2Z	ICD-10: A90, R50	.
BM003128	CD8+ T cells	West nile virus infection	ICD-11: 1D46	ICD-10: A92.3	.
BM003150	MHC-I	West nile virus infection	ICD-11: 1D46	ICD-10: A92.3	.
BM003151	MHC-II	West nile virus infection	ICD-11: 1D46	ICD-10: A92.3	.
BM003604	Glial fibrillary acidic protein	West nile virus infection	ICD-11: 1D46	ICD-10: A92.3	.
BM003066	CD4(+) T cells	Cytomegaloviral Disease	ICD-11: 1D82	.	.
BM003065	CD8(+) T cells	Cytomegaloviral Disease	ICD-11: 1D82	.	.
BM003134	MHC class II	Cytomegaloviral Disease	ICD-11: 1D82	.	.
BM003194	Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 1	Cytomegaloviral Disease	ICD-11: 1D82	.	.
BM003107	HLA-DRalpha Mrna	Influenza	ICD-11: 1E30-1E32?	.	.
BM003108	CD8(+) T cells	Influenza	ICD-11: 1E30-1E32?	.	.
BM003448	HLA class II histocompatibility antigen	Influenza	ICD-11: 1E30-1E32?	.	.
BM003447	Perforin-1	Influenza	ICD-11: 1E30-1E32?	.	.
BM003434	Syncytin-1	Influenza	ICD-11: 1E30-1E32?	.	.
BM003137	Fatty acid binding protein	Hepatitis B	ICD-11: 1E51	ICD-10: B18.1	.
BM003074	Lipopolysaccharide	Hepatitis B	ICD-11: 1E51	ICD-10: B18.1	.
BM003075	CTLA-4+49A/G polymorphism	Hepatitis B	ICD-11: 1E51	ICD-10: B18.1	.
BM003076	CD68+ cells	Hepatitis B	ICD-11: 1E51	ICD-10: B18.1	.
BM003077	CD5+ B-cells	Hepatitis B	ICD-11: 1E51	ICD-10: B18.1	.
BM003078	CD4+CD25+ regulatory T cells	Hepatitis B	ICD-11: 1E51	ICD-10: B18.1	.
BM003079	CD137natural ligand 	Hepatitis B	ICD-11: 1E51	ICD-10: B18.1	.
BM003263	Forkhead box protein P3	Hepatitis B	ICD-11: 1E51	ICD-10: B18.1	.
BM003270	Transforming growth factor beta-2 proprotein	Hepatitis B	ICD-11: 1E51	ICD-10: B18.1	.
BM003084	HepaticCD56(+) T cells	Hepatitis C	ICD-11: 1E51	ICD-10: B18.2	.
BM003080	V alpha 24(+) natural killer T cells	Hepatitis C	ICD-11: 1E51	ICD-10: B18.2	.
BM003088	Antinuclear antibodies with the homogeneous pattern	Hepatitis C	ICD-11: 1E51	ICD-10: B18.2	.
BM003081	Smooth muscle antibodies with antiactin specificity	Hepatitis C	ICD-11: 1E51	ICD-10: B18.2	.
BM003082	IL28Bpolymorphisms	Hepatitis C	ICD-11: 1E51	ICD-10: B18.2	.
BM003083	Hepatitis Cvirus-specificCD4(+) T-cell 	Hepatitis C	ICD-11: 1E51	ICD-10: B18.2	.
BM003085	CD8(+)CD28(-) T cells	Hepatitis C	ICD-11: 1E51	ICD-10: B18.2	.
BM003086	CD68positive cells	Hepatitis C	ICD-11: 1E51	ICD-10: B18.2	.
BM003087	CD56(+)CD3(-) cells	Hepatitis C	ICD-11: 1E51	ICD-10: B18.2	.
BM003138	Interleukin-2receptor 	Hepatitis C	ICD-11: 1E51	ICD-10: B18.2	.
BM003139	Tumor necrosis factorreceptor	Hepatitis C	ICD-11: 1E51	ICD-10: B18.2	.
BM003308	Forkhead box protein P3	Hepatitis C	ICD-11: 1E51	ICD-10: B18.2	.
BM003310	Killer cell lectin-like receptor subfamily B member 1	Hepatitis C	ICD-11: 1E51	ICD-10: B18.2	.
BM003544	Dehydrogenase/reductase SDR family member 9	Smallpox	ICD-11: 1E70	ICD-10: B03	.
BM003564	Ectonucleoside triphosphate diphosphohydrolase 3	Smallpox	ICD-11: 1E70	ICD-10: B03	.
BM003545	Glutaminyl-peptide cyclotransferase	Smallpox	ICD-11: 1E70	ICD-10: B03	.
BM003560	Glycogen phosphorylase	Smallpox	ICD-11: 1E70	ICD-10: B03	.
BM003553	Grancalcin	Smallpox	ICD-11: 1E70	ICD-10: B03	.
BM003551	Long-chain-fatty-acid--CoA ligase 1	Smallpox	ICD-11: 1E70	ICD-10: B03	.
BM003548	Max dimerization protein 1	Smallpox	ICD-11: 1E70	ICD-10: B03	.
BM003546	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta	Smallpox	ICD-11: 1E70	ICD-10: B03	.
BM003129	CD4+ cell	Zoster	ICD-11: 1E91	ICD-10: B02	ICD-9: 53
BM003611	Zona pellucida sperm-binding protein 3	Zoster	ICD-11: 1E91	ICD-10: B02	ICD-9: 53
BM003144	Hemagglutinin protein	Measles	ICD-11: 1F03	.	.
BM003145	MHCclass II protein	Measles	ICD-11: 1F03	.	.
BM003146	Interleukin-2 receptor	Measles	ICD-11: 1F03	.	.
BM003494	Granulysin	Measles	ICD-11: 1F03	.	.
BM003503	T-cell surface glycoprotein CD8 alpha chain	Measles	ICD-11: 1F03	.	.
BM003056	TNFR1mRNA	Aspergillosis	ICD-11: 1F20	ICD-10: B44	.
BM003057	Procalcitonin	Candidosis	ICD-11: 1F23	.	.
BM003058	CD8+ T cells 	Candidosis	ICD-11: 1F23	.	.
BM003059	CCR6+ IL-17-producing T cells	Candidosis	ICD-11: 1F23	.	.
BM003111	Type 2 cytokine-producing CD4-/CD8- cells	Malaria	ICD-11: 1F40-1F4Z	ICD-10: B50-B54	.
BM003112	CD4(+)CD25(+)Foxp3(+) Tregs	Malaria	ICD-11: 1F40-1F4Z	ICD-10: B50-B54	.
BM003062	miR-1	Chagas disease	ICD-11: IF53	.	.
BM003061	miR-133	Chagas disease	ICD-11: IF53	.	.
BM003060	miR-208	Chagas disease	ICD-11: IF53	.	.
BM003063	CD27+CD28+CD8+ T cells	Chagas disease	ICD-11: IF53	.	.
BM003064	CD15s+Treg cells	Chagas disease	ICD-11: IF53	.	.
BM003130	Atrial natriuretic peptide	Chagas disease	ICD-11: IF53	.	.
BM003131	Antigen 13	Chagas disease	ICD-11: IF53	.	.
BM003132	Procollagen type I carboxy-terminal propeptide	Chagas disease	ICD-11: IF53	.	.
BM003133	Procollagen type III amino-terminal propeptide	Chagas disease	ICD-11: IF53	.	.
BM003180	Heat shock 70 kDa protein	Chagas disease	ICD-11: IF53	.	.
BM003167	Kinetoplastid membrane protein 11	Chagas disease	ICD-11: IF53	.	.
BM003169	Major paraflagellar rod protein	Chagas disease	ICD-11: IF53	.	.
BM003184	Metalloproteinase inhibitor 1	Chagas disease	ICD-11: IF53	.	.
BM003176	Metalloproteinase inhibitor 2	Chagas disease	ICD-11: IF53	.	.
BM003170	Shed-acute-phase-antigen	Chagas disease	ICD-11: IF53	.	.
BM003166	Syndecan-4	Chagas disease	ICD-11: IF53	.	.
BM003168	Tc24 protein	Chagas disease	ICD-11: IF53	.	.
BM003110	CD4+ blast T cells 	Leishmaniasis	ICD-11: 1F54	ICD-10: B55, B55.9	.
BM003109	CD8+ blast T cells	Leishmaniasis	ICD-11: 1F54	ICD-10: B55, B55.9	.
BM003459	Forkhead box protein P3	Leishmaniasis	ICD-11: 1F54	ICD-10: B55, B55.9	.
BM000008	sand fly saliva antibodies	Visceral leishmaniasis	ICD-11: 1F54.0	ICD-10: B55.0	ICD-9: 85
BM003579	Activated RNA polymerase II transcriptional coactivator p15	Toxoplasmosis	ICD-11: 1F57	ICD-10: B58	.
BM003113	N-Acetyltyramine-O,-glucuronide (NATOG)	Onchocerciasis	ICD-11: 1F6A	ICD-10: B73	.
BM003509	Major sperm protein 2	Onchocerciasis	ICD-11: 1F6A	ICD-10: B73	.
BM003508	OV-16 antigen	Onchocerciasis	ICD-11: 1F6A	ICD-10: B73	.
BM003520	T-cell surface glycoprotein CD8 alpha chain	Schistosomiasis	ICD-11: 1F86	ICD-10: B65, B65.9	.
BM000494	MR-proadrenomedullin	Sepsis	ICD-11: 1G40-1G41	.	ICD-9: 995.91
BM003119	Procalcitonin	Sepsis	ICD-11: 1G40-1G41	.	.
BM003148	IgM	Sepsis	ICD-11: 1G40-1G41	.	.
BM003149	Interleukin-2 receptor	Sepsis	ICD-11: 1G40-1G41	.	.
BM003521	Endothelial protein C receptor	Sepsis	ICD-11: 1G40-1G41	.	.
BM001182	ACTH	Advanced cancer	ICD-11: 2A00-2F9Z	ICD-10: C00-C96	ICD-9: 140-229
BM001183	Cortisol	Advanced cancer	ICD-11: 2A00-2F9Z	ICD-10: C00-C96	ICD-9: 140-229
BM001184	Epinephrine	Advanced cancer	ICD-11: 2A00-2F9Z	ICD-10: C00-C96	ICD-9: 140-229
BM001185	Norepinephrine	Advanced cancer	ICD-11: 2A00-2F9Z	ICD-10: C00-C96	ICD-9: 140-229
BM001868	Neopterin	Solid tumour/cancer	ICD-11: 2A00-2F9Z	ICD-10: C76-C80	ICD-9: 140-229
BM003042	ABL	Chronic myelogenous leukaemia	ICD-11: 2A20.0	ICD-10: C92.1	ICD-9: 205.1
BM003051	BCR/ABL	Chronic myeloid leukaemia	ICD-11: 2A20	ICD-10: C92.7	ICD-9: 205.1
BM003031	PML-RAR	Acute promyelocytic leukaemia	ICD-11: 2A60.0	ICD-10: C92.9	ICD-9: 205
BM000044	macrophage; T-cell	Advanced stage follicular lymphoma	ICD-11: 2A80	.	ICD-9: 202
BM000045	sclerosis	Advanced stage follicular lymphoma	ICD-11: 2A80	.	ICD-9: 202
BM003048	12 genes	Colon cancer	ICD-11: 2B90.Z	.	.
BM000209	Carcinoembryonic antigen (CD66e)	Colorectal cancer	ICD-11: 2B91.Z	.	.
BM000210	Carcinoembryonic antigen (CD66e)	Colorectal cancer	ICD-11: 2B91.Z	.	.
BM000190	p53, ras, thymidine synthase, dihydropyrimidine dehydrogenase, thymidine phospho rylase, microsatellite instability, 18q loss of heterozygosity, deleted in colon cancer (DCC) protein	Colorectal cancer	ICD-11: 2B91.Z	.	.
BM000024	thymidylate synthase-enhancer region (TYMS-ER), thymidylate synthase 1494 (TYMS- 1494), dihydropyrimidine dehydrogenase (DPYD), methylenetetrahydrofolate reducta se (MTHFR), mutL homolog 1 (MLH1), UDP glucuronyltransferase (UGT1A1), ATP-binding cassette group B gene 1 (ABCB1), x-ray cross-complementing group 1 (XRCC1), g lutathione-S-transferase P1 (GSTP1), excision repair cross-complementing gene 2 (ERCC2)	Colorectal cancer	ICD-11: 2B91.Z	.	.
BM000191	CA 19-9	Pancreatic cancer	ICD-11: 2C10	.	ICD-9: 157
