DiseaseID	gene_symbol	hgnc_id	gene_url	DiseaseName	disease_url	mode_of_inheritance	dosage_haploinsufficiency_assertion	dosage_triplosensitivity_assertion	dosage_report	dosage_group	gene_disease_validity_assertion_classifications	gene_disease_validity_assertion_reports	gene_disease_validity_gceps	actionability_assertion_classifications	actionability_assertion_reports	actionability_groups
MONDO:0002413	SLC37A4	HGNC:4061	https://search.clinicalgenome.org/kb/genes/HGNC:4061	glycogen storage disease I	https://search.clinicalgenome.org/kb/conditions/MONDO:0002413		30 - Gene Associated with Autosomal Recessive Phenotype (08/22/2016)	0 - No Evidence for Haploinsufficiency (08/22/2016)	https://search.clinicalgenome.org/kb/gene-dosage/HGNC:4061	Dosage Working Group						
MONDO:0002441	KCNQ1	HGNC:6294	https://search.clinicalgenome.org/kb/genes/HGNC:6294	Jervell and Lange-Nielsen syndrome	https://search.clinicalgenome.org/kb/conditions/MONDO:0002441	Autosomal recessive inheritance	3 - Sufficient Evidence for Haploinsufficiency (10/13/2020)	0 - No Evidence for Haploinsufficiency (10/13/2020)	https://search.clinicalgenome.org/kb/gene-dosage/HGNC:6294	Dosage Working Group	definitive evidence (12/19/2017)	https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_2cb5cd32-6663-48bc-b8b0-3b9ca34e2cb7-2017-12-19T050000.000Z	Hearing Loss			
MONDO:0002442	AKAP9	HGNC:379	https://search.clinicalgenome.org/kb/genes/HGNC:379	long QT syndrome	https://search.clinicalgenome.org/kb/conditions/MONDO:0002442	Autosomal dominant inheritance					disputing (12/15/2020)	https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_786eac72-8014-4fdf-b279-10a5faaa09b8-2020-12-15T002607.349Z	Long QT Syndrome			
MONDO:0002457	TCOF1	HGNC:11654	https://search.clinicalgenome.org/kb/genes/HGNC:11654	Treacher-Collins syndrome	https://search.clinicalgenome.org/kb/conditions/MONDO:0002457	Autosomal dominant inheritance	3 - Sufficient Evidence for Haploinsufficiency (04/28/2021)	0 - No Evidence for Haploinsufficiency (04/28/2021)	https://search.clinicalgenome.org/kb/gene-dosage/HGNC:11654	Dosage Working Group	definitive evidence (09/17/2019)	https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_3f91c5fe-8e58-4c98-9878-e428e2e41dd7-2019-09-17T160000.000Z	Hearing Loss			
MONDO:0003582	BRCA1	HGNC:1100	https://search.clinicalgenome.org/kb/genes/HGNC:1100	hereditary breast ovarian cancer syndrome	https://search.clinicalgenome.org/kb/conditions/MONDO:0003582		3 - Sufficient Evidence for Haploinsufficiency (09/23/2021)	0 - No Evidence for Haploinsufficiency (09/23/2021)	https://search.clinicalgenome.org/kb/gene-dosage/HGNC:1100	Dosage Working Group				Has Insufficient Evidence for Actionability Based on Early Rule-out (09/15/2021) | Definitive Actionability (01/28/2014)	https://search.clinicalgenome.org/kb/gene-validity/https://actionability.clinicalgenome.org/ac/Pediatric/ui/stg2SummaryRpt?doc=AC133 | https://search.clinicalgenome.org/kb/gene-validity/https://actionability.clinicalgenome.org/ac/Adult/ui/stg2SummaryRpt?doc=AC133	Pediatric Actionability Working Group | Adult Actionability Working Group
MONDO:0003789	MET	HGNC:7029	https://search.clinicalgenome.org/kb/genes/HGNC:7029	hereditary papillary renal cell carcinoma	https://search.clinicalgenome.org/kb/conditions/MONDO:0003789		0 - No Evidence for Haploinsufficiency (09/06/2012)	0 - No Evidence for Haploinsufficiency (09/06/2012)	https://search.clinicalgenome.org/kb/gene-dosage/HGNC:7029	Dosage Working Group				Assertion Pending (10/17/2016) | Has Insufficient Evidence for Actionability Based on Early Rule-out (06/02/2021)	https://search.clinicalgenome.org/kb/gene-validity/https://actionability.clinicalgenome.org/ac/Adult/ui/stg2SummaryRpt?doc=AC091 | https://search.clinicalgenome.org/kb/gene-validity/https://actionability.clinicalgenome.org/ac/Pediatric/ui/stg2SummaryRpt?doc=AC091	Adult Actionability Working Group | Pediatric Actionability Working Group
MONDO:0004691	DNAJB11	HGNC:14889	https://search.clinicalgenome.org/kb/genes/HGNC:14889	autosomal dominant polycystic kidney disease	https://search.clinicalgenome.org/kb/conditions/MONDO:0004691									Moderate Actionability (11/05/2018)	https://search.clinicalgenome.org/kb/gene-validity/https://actionability.clinicalgenome.org/ac/Adult/ui/stg2SummaryRpt?doc=AC037	Adult Actionability Working Group
MONDO:0004976	DAO	HGNC:2671	https://search.clinicalgenome.org/kb/genes/HGNC:2671	amyotrophic lateral sclerosis	https://search.clinicalgenome.org/kb/conditions/MONDO:0004976	Autosomal dominant inheritance					refuting evidence (04/12/2022)	https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_35ac00ac-3279-4c7e-89b6-8a75e3cae414-2022-04-12T103808.867Z	Amyotrophic Lateral Sclerosis Spectrum Disorders			
MONDO:0005021	ABCC9	HGNC:60	https://search.clinicalgenome.org/kb/genes/HGNC:60	dilated cardiomyopathy	https://search.clinicalgenome.org/kb/conditions/MONDO:0005021	Autosomal dominant inheritance					limited evidence (11/13/2020)	https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_8be22ebc-f0f5-4de5-9c2a-382ebd02c533-2020-11-13T170000.000Z	Dilated Cardiomyopathy			
MONDO:0005027	CACNA1H	HGNC:1395	https://search.clinicalgenome.org/kb/genes/HGNC:1395	epilepsy	https://search.clinicalgenome.org/kb/conditions/MONDO:0005027	Autosomal dominant inheritance					disputing (07/30/2018)	https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_c3208279-a38d-4b38-b4f9-3af2610c4936-2018-07-30T040000.000Z	Epilepsy			
MONDO:0005045	ACTA1	HGNC:129	https://search.clinicalgenome.org/kb/genes/HGNC:129	hypertrophic cardiomyopathy	https://search.clinicalgenome.org/kb/conditions/MONDO:0005045	Autosomal dominant inheritance					no known disease relationship (05/01/2020)	https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_f2459efe-385d-4056-b7e3-3a4a0c0d5edd-2020-05-01T124447.908Z	Hypertrophic Cardiomyopathy			
MONDO:0005090	SETD1A	HGNC:29010	https://search.clinicalgenome.org/kb/genes/HGNC:29010	schizophrenia	https://search.clinicalgenome.org/kb/conditions/MONDO:0005090		3 - Sufficient Evidence for Haploinsufficiency (02/28/2018)	0 - No Evidence for Haploinsufficiency (02/28/2018)	https://search.clinicalgenome.org/kb/gene-dosage/HGNC:29010	Dosage Working Group						
MONDO:0005180	GBA	HGNC:4177	https://search.clinicalgenome.org/kb/genes/HGNC:4177	Parkinson disease	https://search.clinicalgenome.org/kb/conditions/MONDO:0005180		30 - Gene Associated with Autosomal Recessive Phenotype (08/22/2016)	0 - No Evidence for Haploinsufficiency (08/22/2016)	https://search.clinicalgenome.org/kb/gene-dosage/HGNC:4177	Dosage Working Group				Has Insufficient Evidence for Actionability Based on Early Rule-out (06/21/2021) | Has Insufficient Evidence for Actionability Based on Early Rule-out (06/21/2021)	https://search.clinicalgenome.org/kb/gene-validity/https://actionability.clinicalgenome.org/ac/Adult/ui/stg2SummaryRpt?doc=AC1027 | https://search.clinicalgenome.org/kb/gene-validity/https://actionability.clinicalgenome.org/ac/Pediatric/ui/stg2SummaryRpt?doc=AC1027	Adult Actionability Working Group | Pediatric Actionability Working Group
MONDO:0005212	DICER1	HGNC:17098	https://search.clinicalgenome.org/kb/genes/HGNC:17098	rhabdomyosarcoma	https://search.clinicalgenome.org/kb/conditions/MONDO:0005212		3 - Sufficient Evidence for Haploinsufficiency (02/09/2022)	0 - No Evidence for Haploinsufficiency (02/09/2022)	https://search.clinicalgenome.org/kb/gene-dosage/HGNC:17098	Dosage Working Group				Assertion Pending (05/29/2019) | Moderate Actionability (05/29/2019)	https://search.clinicalgenome.org/kb/gene-validity/https://actionability.clinicalgenome.org/ac/Adult/ui/stg2SummaryRpt?doc=AC002 | https://search.clinicalgenome.org/kb/gene-validity/https://actionability.clinicalgenome.org/ac/Pediatric/ui/stg2SummaryRpt?doc=AC002	Adult Actionability Working Group | Pediatric Actionability Working Group
MONDO:0005233	EGFR	HGNC:3236	https://search.clinicalgenome.org/kb/genes/HGNC:3236	non-small cell lung carcinoma	https://search.clinicalgenome.org/kb/conditions/MONDO:0005233	Autosomal dominant inheritance					definitive evidence (07/30/2020)	https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_49342c73-96d7-45ba-9c90-d2d5e5710636-2020-07-30T202207.418Z	Hereditary Cancer			
MONDO:0005258	CDC42BPB	HGNC:1738	https://search.clinicalgenome.org/kb/genes/HGNC:1738	autism spectrum disorder	https://search.clinicalgenome.org/kb/conditions/MONDO:0005258		1 - Little Evidence for Haploinsufficiency (10/24/2018)	0 - No Evidence for Haploinsufficiency (10/24/2018)	https://search.clinicalgenome.org/kb/gene-dosage/HGNC:1738	Dosage Working Group						
MONDO:0005308	CEP164	HGNC:29182	https://search.clinicalgenome.org/kb/genes/HGNC:29182	ciliopathy	https://search.clinicalgenome.org/kb/conditions/MONDO:0005308	Autosomal recessive inheritance	30 - Gene Associated with Autosomal Recessive Phenotype (08/22/2016)	0 - No Evidence for Haploinsufficiency (08/22/2016)	https://search.clinicalgenome.org/kb/gene-dosage/HGNC:29182	Dosage Working Group	definitive evidence (10/27/2021)	https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_961b81f6-7ad1-49e2-b675-c035b4d8d35d-2021-10-27T160000.000Z	Kidney Cystic and Ciliopathy Disorders			
MONDO:0005395	GNAO1	HGNC:4389	https://search.clinicalgenome.org/kb/genes/HGNC:4389	movement disorder	https://search.clinicalgenome.org/kb/conditions/MONDO:0005395	Autosomal dominant inheritance					definitive evidence (02/19/2019)	https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_418a5a18-3d0e-4cef-84b4-74c5accc0df1-2019-02-19T170000.000Z	Epilepsy			
MONDO:0005501	ATP6AP1	HGNC:868	https://search.clinicalgenome.org/kb/genes/HGNC:868	congenital disorder of glycosylation type II	https://search.clinicalgenome.org/kb/conditions/MONDO:0005501	X-linked inheritance					limited evidence (09/17/2021)	https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_c6bfce2b-c20c-40f9-b2f5-d81f76a328f7-2021-09-17T122311.885Z	General Inborn Errors of Metabolism			
MONDO:0005503	ASH1L	HGNC:19088	https://search.clinicalgenome.org/kb/genes/HGNC:19088	developmental disorder of mental health	https://search.clinicalgenome.org/kb/conditions/MONDO:0005503		3 - Sufficient Evidence for Haploinsufficiency (12/27/2017)	0 - No Evidence for Haploinsufficiency (12/27/2017)	https://search.clinicalgenome.org/kb/gene-dosage/HGNC:19088	Dosage Working Group						
MONDO:0005711	ZFPM2	HGNC:16700	https://search.clinicalgenome.org/kb/genes/HGNC:16700	congenital diaphragmatic hernia	https://search.clinicalgenome.org/kb/conditions/MONDO:0005711		1 - Little Evidence for Haploinsufficiency (09/20/2021)	0 - No Evidence for Haploinsufficiency (09/20/2021)	https://search.clinicalgenome.org/kb/gene-dosage/HGNC:16700	Dosage Working Group						
MONDO:0005775	G6PD	HGNC:4057	https://search.clinicalgenome.org/kb/genes/HGNC:4057	G6PD deficiency	https://search.clinicalgenome.org/kb/conditions/MONDO:0005775									Moderate Actionability (08/18/2021) | Moderate Actionability (08/18/2021)	https://search.clinicalgenome.org/kb/gene-validity/https://actionability.clinicalgenome.org/ac/Adult/ui/stg2SummaryRpt?doc=AC1043 | https://search.clinicalgenome.org/kb/gene-validity/https://actionability.clinicalgenome.org/ac/Pediatric/ui/stg2SummaryRpt?doc=AC1043	Adult Actionability Working Group | Pediatric Actionability Working Group
MONDO:0005835	EPCAM	HGNC:11529	https://search.clinicalgenome.org/kb/genes/HGNC:11529	Lynch syndrome	https://search.clinicalgenome.org/kb/conditions/MONDO:0005835		30 - Gene Associated with Autosomal Recessive Phenotype (10/08/2019)	0 - No Evidence for Haploinsufficiency (10/08/2019)	https://search.clinicalgenome.org/kb/gene-dosage/HGNC:11529	Dosage Working Group				Has Insufficient Evidence for Actionability Based on Early Rule-out (09/15/2021) | Definitive Actionability (02/11/2015)	https://search.clinicalgenome.org/kb/gene-validity/https://actionability.clinicalgenome.org/ac/Pediatric/ui/stg2SummaryRpt?doc=AC069 | https://search.clinicalgenome.org/kb/gene-validity/https://actionability.clinicalgenome.org/ac/Adult/ui/stg2SummaryRpt?doc=AC069	Pediatric Actionability Working Group | Adult Actionability Working Group
MONDO:0007029	EYA1	HGNC:3519	https://search.clinicalgenome.org/kb/genes/HGNC:3519	branchio-oto-renal syndrome	https://search.clinicalgenome.org/kb/conditions/MONDO:0007029	Autosomal dominant inheritance	3 - Sufficient Evidence for Haploinsufficiency (08/26/2020)	0 - No Evidence for Haploinsufficiency (08/26/2020)	https://search.clinicalgenome.org/kb/gene-dosage/HGNC:3519	Dosage Working Group	definitive evidence (08/30/2018)	https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_dca41ef6-ee63-4b1f-93d3-8b114dafcc58-2018-08-30T144802.507Z	Hearing Loss			
MONDO:0007037	FGFR3	HGNC:3690	https://search.clinicalgenome.org/kb/genes/HGNC:3690	achondroplasia	https://search.clinicalgenome.org/kb/conditions/MONDO:0007037	Autosomal dominant inheritance	0 - No Evidence for Haploinsufficiency (11/09/2011)	0 - No Evidence for Haploinsufficiency (11/09/2011)	https://search.clinicalgenome.org/kb/gene-dosage/HGNC:3690	Dosage Working Group	definitive evidence (12/01/2016)	https://search.clinicalgenome.org/kb/gene-validity/CGGCIEX:assertion_3221	General Gene Curation	Has Insufficient Evidence for Actionability Based on Early Rule-out (01/30/2020) | Has Insufficient Evidence for Actionability Based on Early Rule-out (01/30/2020)	https://search.clinicalgenome.org/kb/gene-validity/https://actionability.clinicalgenome.org/ac/Adult/ui/stg2SummaryRpt?doc=AC1005 | https://search.clinicalgenome.org/kb/gene-validity/https://actionability.clinicalgenome.org/ac/Pediatric/ui/stg2SummaryRpt?doc=AC1005	Adult Actionability Working Group | Pediatric Actionability Working Group
