"gene_symbol","hgnc_id","gene_url","disease_label","mondo_id","disease_url","mode_of_inheritance","dosage_haploinsufficiency_assertion","dosage_triplosensitivity_assertion","dosage_report","dosage_group","gene_disease_validity_assertion_classifications","gene_disease_validity_assertion_reports","gene_disease_validity_gceps","actionability_assertion_classifications","actionability_assertion_reports","actionability_groups"
"ABCC8","HGNC:59","https://search.clinicalgenome.org/kb/genes/HGNC:59","hyperinsulinemic hypoglycemia, familial, 1","MONDO:0009734","https://search.clinicalgenome.org/kb/conditions/MONDO:0009734","N/A","30 - Gene Associated with Autosomal Recessive Phenotype (02/24/2012)","0 - No Evidence for Haploinsufficiency (02/24/2012)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:59","Dosage Working Group","","","","","",""
"ABCC9","HGNC:60","https://search.clinicalgenome.org/kb/genes/HGNC:60","dilated cardiomyopathy","MONDO:0005021","https://search.clinicalgenome.org/kb/conditions/MONDO:0005021","Autosomal dominant inheritance","","","","","limited evidence (11/13/2020)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_8be22ebc-f0f5-4de5-9c2a-382ebd02c533-2020-11-13T170000.000Z","Dilated Cardiomyopathy","","",""
"ABCD1","HGNC:61","https://search.clinicalgenome.org/kb/genes/HGNC:61","adrenoleukodystrophy","MONDO:0018544","https://search.clinicalgenome.org/kb/conditions/MONDO:0018544","X-linked inheritance","3 - Sufficient Evidence for Haploinsufficiency (12/02/2020)","0 - No Evidence for Haploinsufficiency (12/02/2020)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:61","Dosage Working Group","definitive evidence (12/18/2020)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_815e0f84-b530-4fd2-81a9-02e02bf352ee-2020-12-18T050000.000Z","Peroxisomal Disorders","Assertion Pending (11/16/2016)","https://search.clinicalgenome.org/kb/gene-validity/https://actionability.clinicalgenome.org/ac/Adult/ui/stg2SummaryRpt?doc=AC117","Adult Actionability Working Group"
"ABCD1","HGNC:61","https://search.clinicalgenome.org/kb/genes/HGNC:61","X-linked cerebral adrenoleukodystrophy","MONDO:0010247","https://search.clinicalgenome.org/kb/conditions/MONDO:0010247","N/A","3 - Sufficient Evidence for Haploinsufficiency (12/02/2020)","0 - No Evidence for Haploinsufficiency (12/02/2020)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:61","Dosage Working Group","","","","Assertion Pending (11/16/2016)","https://search.clinicalgenome.org/kb/gene-validity/https://actionability.clinicalgenome.org/ac/Adult/ui/stg2SummaryRpt?doc=AC117","Adult Actionability Working Group"
"ABCD3","HGNC:67","https://search.clinicalgenome.org/kb/genes/HGNC:67","congenital bile acid synthesis defect 5","MONDO:0014564","https://search.clinicalgenome.org/kb/conditions/MONDO:0014564","Autosomal recessive inheritance","","","","","limited evidence (04/15/2022)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_f8d82e6f-8ee8-4944-898b-165916c13cac-2022-04-15T160000.000Z","Peroxisomal Disorders","","",""
"ABCG5","HGNC:13886","https://search.clinicalgenome.org/kb/genes/HGNC:13886","sitosterolemia","MONDO:0008863","https://search.clinicalgenome.org/kb/conditions/MONDO:0008863","Autosomal recessive inheritance","30 - Gene Associated with Autosomal Recessive Phenotype (08/22/2016)","","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:13886","Dosage Working Group","definitive evidence (07/10/2020)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_c52c7403-8975-4a3f-8796-a966e977f708-2020-07-10T160000.000Z","Hemostasis Thrombosis","","",""
"ABCG5","HGNC:13886","https://search.clinicalgenome.org/kb/genes/HGNC:13886","sitosterolemia 1","MONDO:0020747","https://search.clinicalgenome.org/kb/conditions/MONDO:0020747","N/A","30 - Gene Associated with Autosomal Recessive Phenotype (08/22/2016)","","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:13886","Dosage Working Group","","","","","",""
"ABCG8","HGNC:13887","https://search.clinicalgenome.org/kb/genes/HGNC:13887","sitosterolemia","MONDO:0008863","https://search.clinicalgenome.org/kb/conditions/MONDO:0008863","Autosomal recessive inheritance","30 - Gene Associated with Autosomal Recessive Phenotype (08/22/2016)","0 - No Evidence for Haploinsufficiency (08/22/2016)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:13887","Dosage Working Group","definitive evidence (07/14/2020)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_af59edc2-1148-4dca-b804-192639017b65-2020-07-14T202806.911Z","Hemostasis Thrombosis","","",""
"ABCG8","HGNC:13887","https://search.clinicalgenome.org/kb/genes/HGNC:13887","sitosterolemia 1","MONDO:0020747","https://search.clinicalgenome.org/kb/conditions/MONDO:0020747","N/A","30 - Gene Associated with Autosomal Recessive Phenotype (08/22/2016)","0 - No Evidence for Haploinsufficiency (08/22/2016)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:13887","Dosage Working Group","","","","","",""
"ABHD12","HGNC:15868","https://search.clinicalgenome.org/kb/genes/HGNC:15868","PHARC syndrome","MONDO:0012984","https://search.clinicalgenome.org/kb/conditions/MONDO:0012984","Autosomal recessive inheritance","30 - Gene Associated with Autosomal Recessive Phenotype (12/11/2014)","0 - No Evidence for Haploinsufficiency (12/11/2014)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:15868","Dosage Working Group","definitive evidence (06/28/2018)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_ccd68c20-2024-4239-be51-26697e19a6b4-2018-06-28T164515.791Z","Hearing Loss","","",""
"ACAD8","HGNC:87","https://search.clinicalgenome.org/kb/genes/HGNC:87","isobutyryl-CoA dehydrogenase deficiency","MONDO:0012648","https://search.clinicalgenome.org/kb/conditions/MONDO:0012648","Autosomal recessive inheritance","30 - Gene Associated with Autosomal Recessive Phenotype (12/11/2014)","0 - No Evidence for Haploinsufficiency (12/11/2014)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:87","Dosage Working Group","definitive evidence (04/26/2019)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_0d260f0e-df71-420a-9281-92e4bddcddbb-2019-04-26T160000.000Z","Aminoacidopathy","","",""
"ACAD9","HGNC:21497","https://search.clinicalgenome.org/kb/genes/HGNC:21497","acyl-CoA dehydrogenase 9 deficiency","MONDO:0012624","https://search.clinicalgenome.org/kb/conditions/MONDO:0012624","Autosomal recessive inheritance","","","","","definitive evidence (03/27/2018)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_5fad1866-75ce-470f-984c-e64bb7e11168-2018-03-27T160000.000Z","Fatty Acid Oxidation Disorders","","",""
"ACADL","HGNC:88","https://search.clinicalgenome.org/kb/genes/HGNC:88","long chain acyl-CoA dehydrogenase deficiency","MONDO:0020531","https://search.clinicalgenome.org/kb/conditions/MONDO:0020531","Autosomal recessive inheritance","","","","","disputing (01/25/2021)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_d95637bf-c628-4d23-a0d5-656db55a09a4-2021-01-25T194827.344Z","Fatty Acid Oxidation Disorders","","",""
"ACADM","HGNC:89","https://search.clinicalgenome.org/kb/genes/HGNC:89","medium chain acyl-CoA dehydrogenase deficiency","MONDO:0008721","https://search.clinicalgenome.org/kb/conditions/MONDO:0008721","Autosomal recessive inheritance","30 - Gene Associated with Autosomal Recessive Phenotype (08/22/2016)","0 - No Evidence for Haploinsufficiency (08/22/2016)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:89","Dosage Working Group","definitive evidence (01/23/2018)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_fb987774-0e5b-4466-924f-6f19fccc6599-2018-01-23T170000.000Z","Fatty Acid Oxidation Disorders","Strong Actionability (08/03/2020)","https://search.clinicalgenome.org/kb/gene-validity/https://actionability.clinicalgenome.org/ac/Pediatric/ui/stg2SummaryRpt?doc=AC1016","Pediatric Actionability Working Group"
"ACADS","HGNC:90","https://search.clinicalgenome.org/kb/genes/HGNC:90","short chain acyl-CoA dehydrogenase deficiency","MONDO:0008722","https://search.clinicalgenome.org/kb/conditions/MONDO:0008722","Autosomal recessive inheritance","","","","","definitive evidence (01/23/2018)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_c6bc94e9-cdf2-4efb-b654-004541efc344-2018-01-23T170000.000Z","Fatty Acid Oxidation Disorders","","",""
"ACADSB","HGNC:91","https://search.clinicalgenome.org/kb/genes/HGNC:91","2-methylbutyryl-CoA dehydrogenase deficiency","MONDO:0012392","https://search.clinicalgenome.org/kb/conditions/MONDO:0012392","Autosomal recessive inheritance","30 - Gene Associated with Autosomal Recessive Phenotype (08/22/2016)","","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:91","Dosage Working Group","definitive evidence (03/22/2019)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_8bfa3857-c96c-40ac-b4c1-2cf04fd4eb4f-2019-03-22T160000.000Z","Aminoacidopathy","","",""
"ACADVL","HGNC:92","https://search.clinicalgenome.org/kb/genes/HGNC:92","very long chain acyl-CoA dehydrogenase deficiency","MONDO:0008723","https://search.clinicalgenome.org/kb/conditions/MONDO:0008723","Autosomal recessive inheritance","30 - Gene Associated with Autosomal Recessive Phenotype (08/22/2016)","0 - No Evidence for Haploinsufficiency (08/22/2016)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:92","Dosage Working Group","definitive evidence (02/20/2018)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_130ca053-9f40-4fd5-b89c-b9b374694fda-2018-02-20T170000.000Z","Fatty Acid Oxidation Disorders","Assertion Pending (03/08/2017)","https://search.clinicalgenome.org/kb/gene-validity/https://actionability.clinicalgenome.org/ac/Adult/ui/stg2SummaryRpt?doc=AC126","Adult Actionability Working Group"
"ACAT1","HGNC:93","https://search.clinicalgenome.org/kb/genes/HGNC:93","beta-ketothiolase deficiency","MONDO:0008760","https://search.clinicalgenome.org/kb/conditions/MONDO:0008760","Autosomal recessive inheritance","","","","","definitive evidence (05/22/2018)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_99bcab0a-de59-479d-8fe6-8b76cbce90ee-2018-05-22T160000.000Z","Fatty Acid Oxidation Disorders","","",""
"ACAT2","HGNC:94","https://search.clinicalgenome.org/kb/genes/HGNC:94","acetyl-CoA acetyltransferase-2 deficiency","MONDO:0013548","https://search.clinicalgenome.org/kb/conditions/MONDO:0013548","Mode of inheritance","","","","","no known disease relationship (01/25/2021)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_7cb46678-6e33-4d34-86ba-fdf59e59fb80-2021-01-25T194853.212Z","Fatty Acid Oxidation Disorders","","",""
"ACBD5","HGNC:23338","https://search.clinicalgenome.org/kb/genes/HGNC:23338","acyl-CoA binding domain containing protein 5 deficiency","MONDO:0100112","https://search.clinicalgenome.org/kb/conditions/MONDO:0100112","Autosomal recessive inheritance","","","","","moderate evidence (04/15/2022)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_8ac052f6-de8d-4c14-adf2-bbecb624defd-2022-04-15T160000.000Z","Peroxisomal Disorders","","",""
"ACOX1","HGNC:119","https://search.clinicalgenome.org/kb/genes/HGNC:119","peroxisomal acyl-CoA oxidase deficiency","MONDO:0009919","https://search.clinicalgenome.org/kb/conditions/MONDO:0009919","Autosomal recessive inheritance","30 - Gene Associated with Autosomal Recessive Phenotype (11/20/2014)","0 - No Evidence for Haploinsufficiency (11/20/2014)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:119","Dosage Working Group","definitive evidence (12/06/2019)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_96026ae4-050d-4eb5-849c-178c703a556e-2019-12-06T170000.000Z","Peroxisomal Disorders","","",""
"ACOX2","HGNC:120","https://search.clinicalgenome.org/kb/genes/HGNC:120","congenital bile acid synthesis defect 6","MONDO:0015015","https://search.clinicalgenome.org/kb/conditions/MONDO:0015015","Autosomal recessive inheritance","","","","","moderate evidence (05/20/2022)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_5627eadb-12f9-4768-915c-3da73c425650-2022-05-20T171935.296Z","General Inborn Errors of Metabolism","","",""
"ACP5","HGNC:124","https://search.clinicalgenome.org/kb/genes/HGNC:124","Spondyloenchondrodysplasia with immune dysregulation","MONDO:0011939","https://search.clinicalgenome.org/kb/conditions/MONDO:0011939","N/A","30 - Gene Associated with Autosomal Recessive Phenotype (08/22/2016)","0 - No Evidence for Haploinsufficiency (08/22/2016)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:124","Dosage Working Group","","","","","",""
"ACSF3","HGNC:27288","https://search.clinicalgenome.org/kb/genes/HGNC:27288","combined malonic and methylmalonic acidemia","MONDO:0013661","https://search.clinicalgenome.org/kb/conditions/MONDO:0013661","Autosomal recessive inheritance","30 - Gene Associated with Autosomal Recessive Phenotype (08/22/2016)","0 - No Evidence for Haploinsufficiency (08/22/2016)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:27288","Dosage Working Group","definitive evidence (10/09/2020)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_b215e20c-7781-49a0-b473-9219cb07e0b9-2020-10-09T160000.000Z","Aminoacidopathy","","",""
"ACSL4","HGNC:3571","https://search.clinicalgenome.org/kb/genes/HGNC:3571","non-syndromic X-linked intellectual disability","MONDO:0019181","https://search.clinicalgenome.org/kb/conditions/MONDO:0019181","X-linked inheritance","1 - Little Evidence for Haploinsufficiency (04/28/2021)","0 - No Evidence for Haploinsufficiency (04/28/2021)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:3571","Dosage Working Group","moderate evidence (10/20/2017)","https://search.clinicalgenome.org/kb/gene-validity/CGGCIEX:assertion_9507","Intellectual Disability and Autism","","",""
"ACSL4","HGNC:3571","https://search.clinicalgenome.org/kb/genes/HGNC:3571","intellectual disability, X-linked 63","MONDO:0010313","https://search.clinicalgenome.org/kb/conditions/MONDO:0010313","N/A","1 - Little Evidence for Haploinsufficiency (04/28/2021)","0 - No Evidence for Haploinsufficiency (04/28/2021)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:3571","Dosage Working Group","","","","","",""
"ACTA1","HGNC:129","https://search.clinicalgenome.org/kb/genes/HGNC:129","alpha-actinopathy","MONDO:0100084","https://search.clinicalgenome.org/kb/conditions/MONDO:0100084","Semidominant inheritance","","","","","definitive evidence (01/13/2020)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_9a8d04be-c08f-444b-b9cd-cd7de2e282c2-2020-01-13T170000.000Z","Congenital Myopathies","","",""
"ACTA1","HGNC:129","https://search.clinicalgenome.org/kb/genes/HGNC:129","hypertrophic cardiomyopathy","MONDO:0005045","https://search.clinicalgenome.org/kb/conditions/MONDO:0005045","Autosomal dominant inheritance","","","","","no known disease relationship (05/01/2020)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_f2459efe-385d-4056-b7e3-3a4a0c0d5edd-2020-05-01T124447.908Z","Hypertrophic Cardiomyopathy","","",""
"ACTA2","HGNC:130","https://search.clinicalgenome.org/kb/genes/HGNC:130","familial thoracic aortic aneurysm and aortic dissection","MONDO:0019625","https://search.clinicalgenome.org/kb/conditions/MONDO:0019625","Autosomal dominant inheritance","0 - No Evidence for Haploinsufficiency (10/15/2015)","0 - No Evidence for Haploinsufficiency (10/15/2015)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:130","Dosage Working Group","definitive evidence (09/27/2016)","https://search.clinicalgenome.org/kb/gene-validity/CGGCIEX:assertion_8249","Heritable Thoracic Aortic Aneurysm and Dissection","Strong Actionability (03/01/2019) | Strong Actionability (03/01/2019)","https://search.clinicalgenome.org/kb/gene-validity/https://actionability.clinicalgenome.org/ac/Adult/ui/stg2SummaryRpt?doc=AC134 | https://search.clinicalgenome.org/kb/gene-validity/https://actionability.clinicalgenome.org/ac/Pediatric/ui/stg2SummaryRpt?doc=AC134","Adult Actionability Working Group | Pediatric Actionability Working Group"
"ACTB","HGNC:132","https://search.clinicalgenome.org/kb/genes/HGNC:132","Baraitser-Winter cerebrofrontofacial syndrome","MONDO:0017579","https://search.clinicalgenome.org/kb/conditions/MONDO:0017579","Autosomal dominant inheritance","0 - No Evidence for Haploinsufficiency (02/08/2022)","0 - No Evidence for Haploinsufficiency (02/08/2022)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:132","Dosage Working Group","definitive evidence (10/26/2021)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_fa13dfad-ab93-4521-874a-5ede8f608fe4-2021-10-26T165835.977Z","Brain Malformations","","",""
"ACTB","HGNC:132","https://search.clinicalgenome.org/kb/genes/HGNC:132","ACTB-associated syndromic thrombocytopenia","MONDO:0100433","https://search.clinicalgenome.org/kb/conditions/MONDO:0100433","Autosomal dominant inheritance","0 - No Evidence for Haploinsufficiency (02/08/2022)","0 - No Evidence for Haploinsufficiency (02/08/2022)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:132","Dosage Working Group","moderate evidence (05/25/2022)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_9cee7fd2-09f7-41dc-9742-542917d856b0-2022-05-25T160000.000Z","Hemostasis Thrombosis","","",""
"ACTB","HGNC:132","https://search.clinicalgenome.org/kb/genes/HGNC:132","syndromic intellectual disability","MONDO:0000508","https://search.clinicalgenome.org/kb/conditions/MONDO:0000508","N/A","0 - No Evidence for Haploinsufficiency (02/08/2022)","0 - No Evidence for Haploinsufficiency (02/08/2022)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:132","Dosage Working Group","","","","","",""
"ACTC1","HGNC:143","https://search.clinicalgenome.org/kb/genes/HGNC:143","arrhythmogenic right ventricular cardiomyopathy","MONDO:0016587","https://search.clinicalgenome.org/kb/conditions/MONDO:0016587","Autosomal dominant inheritance","1 - Little Evidence for Haploinsufficiency (11/17/2015)","0 - No Evidence for Haploinsufficiency (11/17/2015)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:143","Dosage Working Group","no known disease relationship (03/15/2019)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_748d4255-ef43-4b42-b9f1-1cdbc50de763-2019-03-15T160000.000Z","Arrhythmogenic Right Ventricular Cardiomyopathy","","",""
"ACTC1","HGNC:143","https://search.clinicalgenome.org/kb/genes/HGNC:143","dilated cardiomyopathy","MONDO:0005021","https://search.clinicalgenome.org/kb/conditions/MONDO:0005021","Autosomal dominant inheritance","1 - Little Evidence for Haploinsufficiency (11/17/2015)","0 - No Evidence for Haploinsufficiency (11/17/2015)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:143","Dosage Working Group","moderate evidence (08/12/2020)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_3e9b4048-3003-4180-b891-fcf10d25a814-2020-08-12T160000.000Z","Dilated Cardiomyopathy","","",""
"ACTC1","HGNC:143","https://search.clinicalgenome.org/kb/genes/HGNC:143","hypertrophic cardiomyopathy","MONDO:0005045","https://search.clinicalgenome.org/kb/conditions/MONDO:0005045","Autosomal dominant inheritance","1 - Little Evidence for Haploinsufficiency (11/17/2015)","0 - No Evidence for Haploinsufficiency (11/17/2015)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:143","Dosage Working Group","definitive evidence (06/23/2021)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_2f62793b-0015-46eb-bb51-bddbae25ba0d-2021-06-23T201616.296Z","Hypertrophic Cardiomyopathy","Assertion Pending (08/14/2017)","https://search.clinicalgenome.org/kb/gene-validity/https://actionability.clinicalgenome.org/ac/Adult/ui/stg2SummaryRpt?doc=AC056","Adult Actionability Working Group"
"ACTC1","HGNC:143","https://search.clinicalgenome.org/kb/genes/HGNC:143","hypertrophic cardiomyopathy 11","MONDO:0012799","https://search.clinicalgenome.org/kb/conditions/MONDO:0012799","N/A","1 - Little Evidence for Haploinsufficiency (11/17/2015)","0 - No Evidence for Haploinsufficiency (11/17/2015)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:143","Dosage Working Group","","","","Assertion Pending (08/14/2017)","https://search.clinicalgenome.org/kb/gene-validity/https://actionability.clinicalgenome.org/ac/Adult/ui/stg2SummaryRpt?doc=AC056","Adult Actionability Working Group"
"ACTC1","HGNC:143","https://search.clinicalgenome.org/kb/genes/HGNC:143","familial hypertrophic cardiomyopathy","MONDO:0024573","https://search.clinicalgenome.org/kb/conditions/MONDO:0024573","N/A","1 - Little Evidence for Haploinsufficiency (11/17/2015)","0 - No Evidence for Haploinsufficiency (11/17/2015)","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:143","Dosage Working Group","","","","Assertion Pending (08/14/2017)","https://search.clinicalgenome.org/kb/gene-validity/https://actionability.clinicalgenome.org/ac/Adult/ui/stg2SummaryRpt?doc=AC056","Adult Actionability Working Group"
"ACTG1","HGNC:144","https://search.clinicalgenome.org/kb/genes/HGNC:144","Baraitser-winter syndrome 2","MONDO:0013812","https://search.clinicalgenome.org/kb/conditions/MONDO:0013812","Autosomal dominant inheritance","","","","","definitive evidence (01/07/2019)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_9969a221-1ce9-44c6-8ab7-2ad5f7ccd5ab-2019-01-07T170000.000Z","Hearing Loss","","",""
"ACTG1","HGNC:144","https://search.clinicalgenome.org/kb/genes/HGNC:144","nonsyndromic genetic hearing loss","MONDO:0019497","https://search.clinicalgenome.org/kb/conditions/MONDO:0019497","Autosomal dominant inheritance","","","","","definitive evidence (01/07/2019)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_db9f5d19-5ebc-4a1a-a4c3-79ff27f69a0e-2019-01-07T170000.000Z","Hearing Loss","","",""
"ACTN1","HGNC:163","https://search.clinicalgenome.org/kb/genes/HGNC:163","platelet-type bleeding disorder 15","MONDO:0014078","https://search.clinicalgenome.org/kb/conditions/MONDO:0014078","Autosomal dominant inheritance","","","","","definitive evidence (11/25/2020)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_215f3113-cfb6-44cc-a68b-1eb6539c9fa0-2020-11-25T170000.000Z","Hemostasis Thrombosis","","",""
"ACTN2","HGNC:164","https://search.clinicalgenome.org/kb/genes/HGNC:164","intrinsic cardiomyopathy","MONDO:0000591","https://search.clinicalgenome.org/kb/conditions/MONDO:0000591","Autosomal dominant inheritance","","","","","moderate evidence (08/06/2018)","https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_6710e329-d391-4355-85a5-02d03f8791a3-2018-08-06T130831.379Z","Hypertrophic Cardiomyopathy","","",""
