DrugName	CID	InchiKey
(1R,2S,5R,7R,8R,9R,11R,13R,14R)-8-[(2S,3R,4S,6R)-4-(dimethylamino)-3-hydroxy-6-methyloxan-2-yl]oxy-2-ethyl-9-methoxy-1,5,7,9,11,13-hexamethyl-15-[4-(4-pyridin-3-ylimidazol-1-yl)butyl]-3,17-dioxa-15-azabicyclo[12.3.0]heptadecane-4,6,12,16-tetrone	70789201	LJVAJPDWBABPEJ-RMNISARHSA-N
(2-Hydroxy-3-phosphonooxypropyl) decanoate	6454514	CMQAWGIRCVKCMC-UHFFFAOYSA-N
(2-Hydroxy-3-phosphonooxypropyl) pentadecanoate	17786738	RZDCKQARKXMIQI-UHFFFAOYSA-N
(2-hydroxy-3-phosphonooxypropyl) (Z)-icos-11-enoate	87981051	OAYFHKCHTMNTLM-KTKRTIGZSA-N
(2-hydroxy-3-phosphonooxypropyl) (Z)-octadec-11-enoate	87977831	LWSYATLSXCUNTB-FPLPWBNLSA-N
(2-hydroxy-3-phosphonooxypropyl) (Z)-tetradec-9-enoate	87980420	IQSHJASKBUVXAG-WAYWQWQTSA-N
(2-oxo-6-sulfido-3H-purin-9-yl) hydrogen phosphate	131769982	OAOIXPPCQSJBRI-UHFFFAOYSA-L
(24R)-cholest-5-ene-3-beta,7-alpha,24-triol	53481010	ZNCHPOYZMVVJCK-DPFMVWRKSA-N
(2E)-Hexenoyl-CoA	5280765	OINXHIBNZUUIMR-DOSZRKKKSA-N
(2E)-Octadecenoyl-Coenzyme A	53477850	NBCCUIHOHUKBMK-XCRBYWPRSA-N
(2R)-1-(decanoyloxy)-3-(phosphonooxy)propan-2-yl octadecanoate	132274411	NEHFRILYYHJEFJ-GDLZYMKVSA-N
(2R)-2,3-Dihydroxypropanoic acid	439194	RBNPOMFGQQGHHO-UWTATZPHSA-N
(2R)-2-ammonio-3-(methylselanyl)propanoate	45266674	XDSSPSLGNGIIHP-VKHMYHEASA-N
(2R)-2-ammonio-3-hydroxypropanoate	6857549	MTCFGRXMJLQNBG-UWTATZPHSA-N
(2R)-2-ammonio-3-mercaptopropanoate	6419722	XUJNEKJLAYXESH-REOHCLBHSA-N
(2R)-2-azaniumyl-4-hydroxy-4-oxobutanoate	139148725	CKLJMWTZIZZHCS-UWTATZPHSA-N
(2R)-2-azaniumyl-4-{[(2R)-2-azaniumyl-2-carboxylatoethyl]sulfanyl}butanoate	25243997	ILRYLPWNYFXEMH-WHFBIAKZSA-N
(2R)-3-(Phosphonooxy)-1,2-propanediyl bis(22-methyltetracosanoate)	131822418	MXUGFAGOJSRFSU-WYVSOUDLSA-N
(2R)-pyrrolidin-1-ium-2-carboxylate	6971012	ONIBWKKTOPOVIA-SCSAIBSYSA-N
(2R,3R,4R,5S)-3,4,5-trihydroxy-6-[4-[2-(4-sulfamoylphenyl)-5-(trifluoromethyl)pyrazol-3-yl]phenoxy]oxane-2-carboxylic acid	131770042	BMBHPAUFWUKYDR-AVPDHNOJSA-N
(2R,3R,4S,5S,6R)-6-(hydroxymethyl)oxane-2,3,4,5-tetrol	64689	WQZGKKKJIJFFOK-VFUOTHLCSA-N
(2R,8S)-2-(hexadecanoyloxy)-5,8,11,11-tetrahydroxy-5,11-dioxo-4,6,10-trioxa-5lambda(5),11lambda(5)-diphosphaundecan-1-yl hexadecanoate	49859598	ONJBJMDJKLHMEK-MPQUPPDSSA-N
(2S)-1-[(2S)-2-[[(2S)-1-ethoxy-1-oxo-4-phenylbutan-2-yl]azaniumyl]propanoyl]pyrrolidine-2-carboxylate	40466924	GBXSMTUPTTWBMN-XIRDDKMYSA-N
(2S)-1-[(2S)-6-azaniumyl-2-[[(1S)-1-carboxy-3-phenylpropyl]amino]hexanoyl]pyrrolidine-2-carboxylate	139146300	RLAWWYSOJDYHDC-BZSNNMDCSA-N
(2S)-1-[(2S)-6-azaniumyl-2-[[(1S)-1-carboxylato-3-phenylpropyl]azaniumyl]hexanoyl]pyrrolidine-2-carboxylate	11865407	RLAWWYSOJDYHDC-BZSNNMDCSA-N
(2S)-1-hydroxy-3-[(19-methylicosanoyl)oxy]propan-2-yl docosanoate	131802772	FXELGLGUKNKVFN-SJARJILFSA-N
(2S)-1-hydroxy-3-{[9-(3-methyl-5-pentylfuran-2-yl)nonanoyl]oxy}propan-2-yl 13-(3,4-dimethyl-5-pentylfuran-2-yl)tridecanoate	131823099	JCPQAHVULCUDFY-RWYGWLOXSA-N
(2S)-2,5-diaminopentanoate;hydron	88747248	AHLPHDHHMVZTML-BYPYZUCNSA-N
(2S)-2-(butylsulfonylamino)-3-[4-(4-piperidin-1-ium-4-ylbutoxy)phenyl]propanoate	40466968	COKMIXFXJJXBQG-NRFANRHFSA-N
(2S)-2-Hydroxybutanedioic acid	222656	BJEPYKJPYRNKOW-REOHCLBHSA-N
(2S)-2-[(3-ammoniopropanoyl)amino]-3-(1-methyl-1H-imidazol-5-yl)propanoate	6992114	MYYIAHXIVFADCU-QMMMGPOBSA-N
(2S)-2-amino-3-({[(2R)-2-[(13Z)-docos-13-enoyloxy]-3-[(15Z)-tetracos-15-enoyloxy]propoxy](hydroxy)phosphoryl}oxy)propanoic acid	131820046	PIUOWJKNSPIEJL-QNSDCQKNSA-N
(2S)-2-amino-3-({hydroxy[(2R)-2-[(11Z,14Z)-icosa-11,14-dienoyloxy]-3-(tetracosanoyloxy)propoxy]phosphoryl}oxy)propanoic acid	131820014	VTYPKELJROBCTC-YGJJBUPOSA-N
(2S)-2-amino-3-[[(2R)-2,3-bis[[(Z)-docos-13-enoyl]oxy]propoxy]-hydroxyphosphoryl]oxypropanoic acid	131819924	CDSNLLWRUZIGDZ-HTBRLBQXSA-N
(2S)-2-amino-3-[[(2R)-2,3-bis[[(Z)-octadec-11-enoyl]oxy]propoxy]-hydroxyphosphoryl]oxypropanoic acid	131819696	CZIBEPMLQVZXGD-DGQMPYMMSA-N
(2S)-2-amino-3-[[(2R)-2-[(13Z,16Z)-docosa-13,16-dienoyl]oxy-3-tetracosanoyloxypropoxy]-hydroxyphosphoryl]oxypropanoic acid	131820022	IQRUSSXPQHJEOX-FJYCLOQJSA-N
(2S)-2-amino-3-[[(2R)-2-[(Z)-docos-13-enoyl]oxy-3-[(Z)-hexadec-9-enoyl]oxypropoxy]-hydroxyphosphoryl]oxypropanoic acid	131819731	LEHMHNFPLTXPMR-WAGLXKQGSA-N
(2S)-2-amino-3-[[(2R)-2-[(Z)-docos-13-enoyl]oxy-3-[(Z)-icos-11-enoyl]oxypropoxy]-hydroxyphosphoryl]oxypropanoic acid	131819809	UTLRUVLRAINUJP-ZQHRCYGPSA-N
(2S)-2-amino-3-[[(2R)-2-[(Z)-docos-13-enoyl]oxy-3-[(Z)-octadec-11-enoyl]oxypropoxy]-hydroxyphosphoryl]oxypropanoic acid	131819756	QSASQAMJAWPXSB-ZRQKGMHMSA-N
(2S)-2-amino-3-[[(2R)-2-[(Z)-docos-13-enoyl]oxy-3-[(Z)-octadec-9-enoyl]oxypropoxy]-hydroxyphosphoryl]oxypropanoic acid	131819766	FPXKHYLLOQURGZ-XSQGSSGQSA-N
(2S)-2-amino-3-[[(2R)-2-[(Z)-docos-13-enoyl]oxy-3-[(Z)-tetradec-9-enoyl]oxypropoxy]-hydroxyphosphoryl]oxypropanoic acid	131819712	ZEUCXVDTSNCXKE-SOODDXJSSA-N
(2S)-2-amino-3-[[(2R)-2-[(Z)-docos-13-enoyl]oxy-3-hexadecanoyloxypropoxy]-hydroxyphosphoryl]oxypropanoic acid	131819724	NVWJHJPRFJLEAT-PLFBQKNSSA-N
(2S)-2-amino-3-[[(2R)-2-[(Z)-docos-13-enoyl]oxy-3-icosanoyloxypropoxy]-hydroxyphosphoryl]oxypropanoic acid	131819802	KFKPXFXFFZXABB-JNWCQEDRSA-N
(2S)-2-amino-3-[[(2R)-2-[(Z)-docos-13-enoyl]oxy-3-octadecanoyloxypropoxy]-hydroxyphosphoryl]oxypropanoic acid	131819737	OZYHKFOMLVTTTA-MXAADINQSA-N
(2S)-2-amino-3-[[(2R)-2-[(Z)-docos-13-enoyl]oxy-3-pentadecanoyloxypropoxy]-hydroxyphosphoryl]oxypropanoic acid	131819718	CMYXIUIAXHLISA-WMWCSSQDSA-N
(2S)-2-amino-3-[[(2R)-2-[(Z)-docos-13-enoyl]oxy-3-tetracosanoyloxypropoxy]-hydroxyphosphoryl]oxypropanoic acid	131820021	HQUUHHUVNPDXRH-GNMLRBFGSA-N
(2S)-2-amino-3-[[(2R)-2-[(Z)-docos-13-enoyl]oxy-3-tetradecanoyloxypropoxy]-hydroxyphosphoryl]oxypropanoic acid	131819705	LTWLOTNOIYNOPC-JVBMFUNVSA-N
(2S)-2-amino-3-[[(2R)-2-[(Z)-hexadec-9-enoyl]oxy-3-[(Z)-octadec-11-enoyl]oxypropoxy]-hydroxyphosphoryl]oxypropanoic acid	131819695	NYEULIFCOVEHLP-SOOGBIBMSA-N
(2S)-2-amino-3-[[(2R)-2-[(Z)-hexadec-9-enoyl]oxy-3-[(Z)-tetracos-15-enoyl]oxypropoxy]-hydroxyphosphoryl]oxypropanoic acid	131820033	VLMZUUSJXBBTGI-FCWXPPSASA-N
(2S)-2-amino-3-[[(2R)-2-[(Z)-hexadec-9-enoyl]oxy-3-tetracosanoyloxypropoxy]-hydroxyphosphoryl]oxypropanoic acid	131820007	VNQAAYISGAJLKY-RFDLIUHLSA-N
(2S)-2-amino-3-[[(2R)-2-docosanoyloxy-3-[(Z)-docos-13-enoyl]oxypropoxy]-hydroxyphosphoryl]oxypropanoic acid	131819923	IOHPFZHXQNQCQO-WCJXXEFTSA-N
(2S)-2-amino-3-[[(2R)-2-docosanoyloxy-3-[(Z)-octadec-11-enoyl]oxypropoxy]-hydroxyphosphoryl]oxypropanoic acid	131819755	WMJABQFGEDONBV-RFDLIUHLSA-N
(2S)-2-amino-3-[[(2R)-2-docosanoyloxy-3-[(Z)-tetracos-15-enoyl]oxypropoxy]-hydroxyphosphoryl]oxypropanoic acid	131820045	QSFXLHSKWSAYKX-DXNCVFAYSA-N
(2S)-2-amino-3-[[(2R)-2-docosanoyloxy-3-tetracosanoyloxypropoxy]-hydroxyphosphoryl]oxypropanoic acid	131820020	KREDZECCPWSNGE-NNRGRWLXSA-N
(2S)-2-amino-3-[[(2R)-2-hexadecanoyloxy-3-[(Z)-tetracos-15-enoyl]oxypropoxy]-hydroxyphosphoryl]oxypropanoic acid	131820032	CDGLVKJJSAJSSN-AELALORASA-N
(2S)-2-amino-3-[[(2R)-2-hexadecanoyloxy-3-tetracosanoyloxypropoxy]-hydroxyphosphoryl]oxypropanoic acid	131820006	CFNVQBBKKPXHJQ-QAZBPYKKSA-N
(2S)-2-amino-3-[[(2R)-3-[(13Z,16Z)-docosa-13,16-dienoyl]oxy-2-tetracosanoyloxypropoxy]-hydroxyphosphoryl]oxypropanoic acid	131819936	QTQSPNKGBIIYKC-FJYCLOQJSA-N
(2S)-2-amino-3-[[(2R)-3-[(Z)-docos-13-enoyl]oxy-2-[(Z)-hexadec-9-enoyl]oxypropoxy]-hydroxyphosphoryl]oxypropanoic acid	131819910	ATYNXHHNUUZAKR-WAGLXKQGSA-N
(2S)-2-amino-3-[[(2R)-3-[(Z)-docos-13-enoyl]oxy-2-[(Z)-icos-11-enoyl]oxypropoxy]-hydroxyphosphoryl]oxypropanoic acid	131819917	QZUXURMARGYQMC-ZQHRCYGPSA-N
(2S)-2-amino-3-[[(2R)-3-[(Z)-docos-13-enoyl]oxy-2-[(Z)-octadec-11-enoyl]oxypropoxy]-hydroxyphosphoryl]oxypropanoic acid	131819912	RDTNUVHBJLQHNF-ZRQKGMHMSA-N
(2S)-2-amino-3-[[(2R)-3-[(Z)-docos-13-enoyl]oxy-2-[(Z)-octadec-9-enoyl]oxypropoxy]-hydroxyphosphoryl]oxypropanoic acid	131819913	YGTUYXVZBPKODI-XSQGSSGQSA-N
(2S)-2-amino-3-[[(2R)-3-[(Z)-docos-13-enoyl]oxy-2-[(Z)-tetracos-15-enoyl]oxypropoxy]-hydroxyphosphoryl]oxypropanoic acid	131819929	TWYOOBHHSQHDTA-QNSDCQKNSA-N
(2S)-2-amino-3-[[(2R)-3-[(Z)-docos-13-enoyl]oxy-2-[(Z)-tetradec-9-enoyl]oxypropoxy]-hydroxyphosphoryl]oxypropanoic acid	131819907	FGBBJEIHLAZOMN-SOODDXJSSA-N
(2S)-2-amino-3-[[(2R)-3-[(Z)-docos-13-enoyl]oxy-2-hexadecanoyloxypropoxy]-hydroxyphosphoryl]oxypropanoic acid	131819909	JBYFUJNOPTYFAH-PLFBQKNSSA-N
(2S)-2-amino-3-[[(2R)-3-[(Z)-docos-13-enoyl]oxy-2-icosanoyloxypropoxy]-hydroxyphosphoryl]oxypropanoic acid	131819916	KECWQISHCFKCHJ-JNWCQEDRSA-N
(2S)-2-amino-3-[[(2R)-3-[(Z)-docos-13-enoyl]oxy-2-octadecanoyloxypropoxy]-hydroxyphosphoryl]oxypropanoic acid	131819911	QYYLVXQMKOEWIE-MXAADINQSA-N
(2S)-2-amino-3-[[(2R)-3-[(Z)-docos-13-enoyl]oxy-2-pentadecanoyloxypropoxy]-hydroxyphosphoryl]oxypropanoic acid	131819908	HBPRPCACDJRPGG-WMWCSSQDSA-N
(2S)-2-amino-3-[[(2R)-3-[(Z)-docos-13-enoyl]oxy-2-tetracosanoyloxypropoxy]-hydroxyphosphoryl]oxypropanoic acid	131819928	ZJTAJMPUOAAZRP-GNMLRBFGSA-N
(2S)-2-amino-3-[[(2R)-3-[(Z)-docos-13-enoyl]oxy-2-tetradecanoyloxypropoxy]-hydroxyphosphoryl]oxypropanoic acid	131819906	JORCEKLLBNHGBY-JVBMFUNVSA-N
(2S)-2-amino-3-[[(2R)-3-[(Z)-hexadec-9-enoyl]oxy-2-[(Z)-octadec-11-enoyl]oxypropoxy]-hydroxyphosphoryl]oxypropanoic acid	131819692	MLQMHVBZROKIFK-SOOGBIBMSA-N
(2S)-2-amino-3-[[(2R)-3-[(Z)-hexadec-9-enoyl]oxy-2-[(Z)-tetracos-15-enoyl]oxypropoxy]-hydroxyphosphoryl]oxypropanoic acid	131819735	TXTNDPNZKXBXAQ-FCWXPPSASA-N
(2S)-2-amino-3-[[(2R)-3-[(Z)-hexadec-9-enoyl]oxy-2-tetracosanoyloxypropoxy]-hydroxyphosphoryl]oxypropanoic acid	131819734	PVCUUMSVISDGDA-RFDLIUHLSA-N
(2S)-2-amino-3-[[(2R)-3-docosanoyloxy-2-[(Z)-docos-13-enoyl]oxypropoxy]-hydroxyphosphoryl]oxypropanoic acid	131819901	WXVRZAWASVITTA-DGSAXPQISA-N
(2S)-2-amino-3-[[(2R)-3-docosanoyloxy-2-[(Z)-octadec-11-enoyl]oxypropoxy]-hydroxyphosphoryl]oxypropanoic acid	131819898	HIVCNHMQAOTDFN-RFDLIUHLSA-N
(2S)-2-amino-3-[[(2R)-3-docosanoyloxy-2-[(Z)-tetracos-15-enoyl]oxypropoxy]-hydroxyphosphoryl]oxypropanoic acid	131819905	BJZNBUZDDKVSLR-DXNCVFAYSA-N
(2S)-2-amino-3-[[(2R)-3-docosanoyloxy-2-tetracosanoyloxypropoxy]-hydroxyphosphoryl]oxypropanoic acid	131819904	ZBWPBTOSXKZGAM-NNRGRWLXSA-N
(2S)-2-amino-3-[[(2R)-3-hexadecanoyloxy-2-[(Z)-tetracos-15-enoyl]oxypropoxy]-hydroxyphosphoryl]oxypropanoic acid	131819728	KWCNZDOHYLYWJX-AELALORASA-N
(2S)-2-amino-3-[[(2R)-3-hexadecanoyloxy-2-tetracosanoyloxypropoxy]-hydroxyphosphoryl]oxypropanoic acid	131819727	XGKKHNIMPIEKPF-QAZBPYKKSA-N
(2S)-2-amino-3-[hydroxy-[(2R)-2-[(9Z,12Z)-octadeca-9,12-dienoyl]oxy-3-tetracosanoyloxypropoxy]phosphoryl]oxypropanoic acid	102514903	GTPJWZAJNFLGQE-FIDPFJKPSA-N
(2S)-2-amino-3-[hydroxy-[(2R)-2-[(Z)-icos-11-enoyl]oxy-3-[(Z)-octadec-11-enoyl]oxypropoxy]phosphoryl]oxypropanoic acid	131819748	ZKLDBIKEXWKEGP-MPBPLEEESA-N
(2S)-2-amino-3-[hydroxy-[(2R)-2-[(Z)-icos-11-enoyl]oxy-3-[(Z)-tetracos-15-enoyl]oxypropoxy]phosphoryl]oxypropanoic acid	131820039	BXSGQEUKKCEKQZ-HTBRLBQXSA-N
(2S)-2-amino-3-[hydroxy-[(2R)-2-[(Z)-icos-11-enoyl]oxy-3-tetracosanoyloxypropoxy]phosphoryl]oxypropanoic acid	131820013	CLJAVNMHVPRYMG-DGSAXPQISA-N
(2S)-2-amino-3-[hydroxy-[(2R)-2-[(Z)-octadec-11-enoyl]oxy-3-[(Z)-tetracos-15-enoyl]oxypropoxy]phosphoryl]oxypropanoic acid	131820035	FWVPMGQDDBGGRZ-CTMSDWBOSA-N
(2S)-2-amino-3-[hydroxy-[(2R)-2-[(Z)-octadec-11-enoyl]oxy-3-[(Z)-tetradec-9-enoyl]oxypropoxy]phosphoryl]oxypropanoic acid	131819697	JCWFXFIHAGGFHY-QVPOJJHRSA-N
(2S)-2-amino-3-[hydroxy-[(2R)-2-[(Z)-octadec-11-enoyl]oxy-3-pentadecanoyloxypropoxy]phosphoryl]oxypropanoic acid	131819698	ZGKGYKIEXWZYEG-HCCKNBDGSA-N
(2S)-2-amino-3-[hydroxy-[(2R)-2-[(Z)-octadec-11-enoyl]oxy-3-tetracosanoyloxypropoxy]phosphoryl]oxypropanoic acid	131820009	BBPGKPCGWBMOLP-PJDDQSDTSA-N
(2S)-2-amino-3-[hydroxy-[(2R)-2-[(Z)-octadec-11-enoyl]oxy-3-tetradecanoyloxypropoxy]phosphoryl]oxypropanoic acid	131819691	AWZXKXJVMIKLFB-NUZFNMCPSA-N
(2S)-2-amino-3-[hydroxy-[(2R)-2-[(Z)-octadec-9-enoyl]oxy-3-[(Z)-octadec-11-enoyl]oxypropoxy]phosphoryl]oxypropanoic acid	131819700	AFRDXDOQWNVNPX-HUXDBWRPSA-N
(2S)-2-amino-3-[hydroxy-[(2R)-2-[(Z)-octadec-9-enoyl]oxy-3-[(Z)-tetracos-15-enoyl]oxypropoxy]phosphoryl]oxypropanoic acid	131820036	XOAWVRHXUYUIES-BSWGQWDUSA-N
(2S)-2-amino-3-[hydroxy-[(2R)-2-[(Z)-octadec-9-enoyl]oxy-3-tetracosanoyloxypropoxy]phosphoryl]oxypropanoic acid	102515415	GXJDSBDSGLNXDP-PWKMXXSKSA-N
(2S)-2-amino-3-[hydroxy-[(2R)-2-[(Z)-tetracos-15-enoyl]oxy-3-[(Z)-tetradec-9-enoyl]oxypropoxy]phosphoryl]oxypropanoic acid	131819702	UOIREORWDLQXSA-PNWDAASZSA-N
(2S)-2-amino-3-[hydroxy-[(2R)-2-[(Z)-tetracos-15-enoyl]oxy-3-tetradecanoyloxypropoxy]phosphoryl]oxypropanoic acid	131819709	YATWWORSTFWFGZ-ALFANBORSA-N
(2S)-2-amino-3-[hydroxy-[(2R)-2-icosanoyloxy-3-[(Z)-tetracos-15-enoyl]oxypropoxy]phosphoryl]oxypropanoic acid	131820038	YSRBYUKHBWUVRJ-WCJXXEFTSA-N
(2S)-2-amino-3-[hydroxy-[(2R)-2-icosanoyloxy-3-tetracosanoyloxypropoxy]phosphoryl]oxypropanoic acid	131820012	WHCQHVMHTNPTME-ZYIRWWKFSA-N
(2S)-2-amino-3-[hydroxy-[(2R)-2-octadecanoyloxy-3-[(Z)-octadec-11-enoyl]oxypropoxy]phosphoryl]oxypropanoic acid	131819743	OWIQDHDCLGBOFU-SALCBGBZSA-N
(2S)-2-amino-3-[hydroxy-[(2R)-2-octadecanoyloxy-3-[(Z)-tetracos-15-enoyl]oxypropoxy]phosphoryl]oxypropanoic acid	131820034	FQKYYBUPCNDPQD-JNWCQEDRSA-N
(2S)-2-amino-3-[hydroxy-[(2R)-2-octadecanoyloxy-3-tetracosanoyloxypropoxy]phosphoryl]oxypropanoic acid	131820008	KYOATNOZMFQOLT-UVTBUIGASA-N
(2S)-2-amino-3-[hydroxy-[(2R)-2-pentadecanoyloxy-3-[(Z)-tetracos-15-enoyl]oxypropoxy]phosphoryl]oxypropanoic acid	131820031	VAMBQUUTGMNHJH-HFBPHNSTSA-N
(2S)-2-amino-3-[hydroxy-[(2R)-2-pentadecanoyloxy-3-tetracosanoyloxypropoxy]phosphoryl]oxypropanoic acid	131820005	CPFPMXQOCMWEHZ-HLFYWILQSA-N
(2S)-2-amino-3-[hydroxy-[(2R)-2-tetracosanoyloxy-3-[(Z)-tetracos-15-enoyl]oxypropoxy]phosphoryl]oxypropanoic acid	131820050	XDNAURUSTOPZJK-DBEDLGNYSA-N
(2S)-2-amino-3-[hydroxy-[(2R)-2-tetracosanoyloxy-3-[(Z)-tetradec-9-enoyl]oxypropoxy]phosphoryl]oxypropanoic acid	131819715	QXCDDPXAWLXYOK-MXLLPHFRSA-N
(2S)-2-amino-3-[hydroxy-[(2R)-2-tetracosanoyloxy-3-tetradecanoyloxypropoxy]phosphoryl]oxypropanoic acid	131819708	MYXKNDSNCBYSNK-ZFESHMOZSA-N
(2S)-2-amino-3-[hydroxy-[(2R)-3-[(11Z,14Z)-icosa-11,14-dienoyl]oxy-2-tetracosanoyloxypropoxy]phosphoryl]oxypropanoic acid	131819820	JVZXSXONDPYKEI-YGJJBUPOSA-N
(2S)-2-amino-3-[hydroxy-[(2R)-3-[(9Z,12Z)-octadeca-9,12-dienoyl]oxy-2-tetracosanoyloxypropoxy]phosphoryl]oxypropanoic acid	131819777	QCMBSMGOIPQAGV-FIDPFJKPSA-N
(2S)-2-amino-3-[hydroxy-[(2R)-3-[(Z)-icos-11-enoyl]oxy-2-[(Z)-octadec-11-enoyl]oxypropoxy]phosphoryl]oxypropanoic acid	131819807	YFWKGOYNCRFQDZ-MPBPLEEESA-N
(2S)-2-amino-3-[hydroxy-[(2R)-3-[(Z)-icos-11-enoyl]oxy-2-[(Z)-tetracos-15-enoyl]oxypropoxy]phosphoryl]oxypropanoic acid	131819813	QZQXZPNMRWRKSE-HTBRLBQXSA-N
(2S)-2-amino-3-[hydroxy-[(2R)-3-[(Z)-icos-11-enoyl]oxy-2-tetracosanoyloxypropoxy]phosphoryl]oxypropanoic acid	131819812	CWKIJSVXPRPOPC-DGSAXPQISA-N
(2S)-2-amino-3-[hydroxy-[(2R)-3-[(Z)-octadec-11-enoyl]oxy-2-[(Z)-tetracos-15-enoyl]oxypropoxy]phosphoryl]oxypropanoic acid	131819763	YVFFROKWBKKDIN-CTMSDWBOSA-N
(2S)-2-amino-3-[hydroxy-[(2R)-3-[(Z)-octadec-11-enoyl]oxy-2-[(Z)-tetradec-9-enoyl]oxypropoxy]phosphoryl]oxypropanoic acid	131819741	HESSSBGASRRJFQ-QVPOJJHRSA-N
(2S)-2-amino-3-[hydroxy-[(2R)-3-[(Z)-octadec-11-enoyl]oxy-2-pentadecanoyloxypropoxy]phosphoryl]oxypropanoic acid	131819742	OWPQQJBJYJRLAQ-HCCKNBDGSA-N
(2S)-2-amino-3-[hydroxy-[(2R)-3-[(Z)-octadec-11-enoyl]oxy-2-tetracosanoyloxypropoxy]phosphoryl]oxypropanoic acid	131819762	QJICODXCOAXSJB-PJDDQSDTSA-N
(2S)-2-amino-3-[hydroxy-[(2R)-3-[(Z)-octadec-11-enoyl]oxy-2-tetradecanoyloxypropoxy]phosphoryl]oxypropanoic acid	131819693	NEAKGADOSSEPBF-NUZFNMCPSA-N
(2S)-2-amino-3-[hydroxy-[(2R)-3-[(Z)-octadec-9-enoyl]oxy-2-[(Z)-octadec-11-enoyl]oxypropoxy]phosphoryl]oxypropanoic acid	131819701	IFROUBJMBWKLSX-IKAKNFMTSA-N
(2S)-2-amino-3-[hydroxy-[(2R)-3-[(Z)-octadec-9-enoyl]oxy-2-[(Z)-tetracos-15-enoyl]oxypropoxy]phosphoryl]oxypropanoic acid	131819770	DSXWOVATDXGXLX-BSWGQWDUSA-N
(2S)-2-amino-3-[hydroxy-[(2R)-3-[(Z)-octadec-9-enoyl]oxy-2-tetracosanoyloxypropoxy]phosphoryl]oxypropanoic acid	131819769	LADMHPVQMAYWCD-PWKMXXSKSA-N
(2S)-2-amino-3-[hydroxy-[(2R)-3-[(Z)-tetracos-15-enoyl]oxy-2-[(Z)-tetradec-9-enoyl]oxypropoxy]phosphoryl]oxypropanoic acid	131820030	IDGUMOJKVRIWCO-PNWDAASZSA-N
(2S)-2-amino-3-[hydroxy-[(2R)-3-[(Z)-tetracos-15-enoyl]oxy-2-tetradecanoyloxypropoxy]phosphoryl]oxypropanoic acid	131820029	AWZWONGKBGCOIQ-ALFANBORSA-N
(2S)-2-amino-3-[hydroxy-[(2R)-3-icosanoyloxy-2-[(Z)-octadec-11-enoyl]oxypropoxy]phosphoryl]oxypropanoic acid	131819799	JNFQHNQDQXYYIO-ZOMJBIPJSA-N
(2S)-2-amino-3-[hydroxy-[(2R)-3-icosanoyloxy-2-[(Z)-tetracos-15-enoyl]oxypropoxy]phosphoryl]oxypropanoic acid	131819806	ZRDKIXPDXYCJAV-WCJXXEFTSA-N
(2S)-2-amino-3-[hydroxy-[(2R)-3-icosanoyloxy-2-tetracosanoyloxypropoxy]phosphoryl]oxypropanoic acid	131819805	MJPNXVVFBDWLDI-ZYIRWWKFSA-N
(2S)-2-amino-3-[hydroxy-[(2R)-3-octadecanoyloxy-2-[(Z)-octadec-11-enoyl]oxypropoxy]phosphoryl]oxypropanoic acid	131819699	LDPJFEPYYCUUOO-CGNMFZKDSA-N
(2S)-2-amino-3-[hydroxy-[(2R)-3-octadecanoyloxy-2-[(Z)-tetracos-15-enoyl]oxypropoxy]phosphoryl]oxypropanoic acid	131819740	RRSAXSNLGPTOCU-JNWCQEDRSA-N
