"gene symbol","gene mim","disease name","disease mim","confidence category","allelic requirement","mutation consequence",phenotypes,"organ specificity list",pmids,panel,"prev symbols","hgnc id","gene disease pair entry date","cross cutting modifier","mutation consequence flag","confidence value flag",comments,"variant consequence","disease ontology"
KCNJ2,600681,"KCNJ2 relared SQTS","No disease mim",moderate,monoallelic_autosomal,"altered gene product structure",,Heart/Cardiovasculature/Lymphatic,19710529;23440193;24794859;11410627;15761194;22155372;29615871;19285083;2479485,Cardiac,,6263,"2022-04-25 12:45:21",,,,"Expert review done on 21/07/2021",missense_variant,MONDO:0012314
KCNQ1,607542,"KCNQ1-related SQTS","No disease mim",strong,monoallelic_autosomal,"altered gene product structure",,Heart/Cardiovasculature/Lymphatic,28491751;16109388;24380499;26279191;29213224;15159330;26168993;25974115;8900283;28491547;26346102;8528244,Cardiac,LQT;KCNA9,6294,"2022-04-25 12:45:21",,,,"Expert review done on 21/07/2021",missense_variant,MONDO:0012313
SLC4A3,106195,"SLC4A3-related SQTS","No disease mim",moderate,monoallelic_autosomal,"altered gene product structure",,Heart/Cardiovasculature/Lymphatic,29167417,Cardiac,,11029,"2022-04-25 12:45:21",,,,"Expert review done on 21/07/2021",missense_variant,MONDO:0000453
BAG3,603883,"BAG3-related DCM","No disease mim",definitive,monoallelic_autosomal,"altered gene product structure;decreased gene product level",,Heart/Cardiovasculature/Lymphatic,25008357;21353195;21898660;23518596;31808029;30442290;26796036;31983221;27391596;32160020;28737513;20884878,Cardiac,,939,"2022-04-25 12:45:21",,,,"Expert review done on 12/08/2021",splice_acceptor_variant;splice_donor_variant;frameshift_variant;missense_variant;stop_gained_NMD_triggering,MONDO:0013479
DES,125660,"DES-related DCM","No disease mim",definitive,monoallelic_autosomal,"altered gene product structure",,Heart/Cardiovasculature/Lymphatic,23349452;23300193;10430757;17626518;26724190;11728149;17325244,Cardiac,,2770,"2022-04-25 12:45:21",,,,"Expert review done on 12/08/2021",missense_variant;splice_acceptor_variant_NMD_escaping,MONDO:0011482
FLNC,102565,"FLNC-related DCM","No disease mim",definitive,monoallelic_autosomal,"decreased gene product level",,Heart/Cardiovasculature/Lymphatic,27601210;31627847;27206985;22020047;30067491;27908349;321126565;2843697;32154132;32160020;32150467,Cardiac,FLN2,3756,"2022-04-25 12:45:21",,,,"Expert review done on 12/08/2021",splice_acceptor_variant;splice_donor_variant;frameshift_variant;stop_gained;stop_gained_NMD_triggering;frameshift_variant_NMD_triggering,MONDO:0005021
LMNA,150330,"LMNA-related DCM","No disease mim",definitive,monoallelic_autosomal,"altered gene product structure;decreased gene product level",,Heart/Cardiovasculature/Lymphatic,11897440;20127487;29367541;28912180;10662742;12854972;10580070;18926329;29095976;12920062,Cardiac,LMNL1;PRO1;LGMD1B;LMN1;CMD1A,6636,"2022-04-25 12:45:21",,,,"Expert review done on 12/08/2021",missense_variant;stop_gained_NMD_triggering,MONDO:0007269
MYH7,160760,"MYH7-related DCM","No disease mim",definitive,monoallelic_autosomal,"altered gene product structure",,Heart/Cardiovasculature/Lymphatic,29093449;29666183;11106718;31983221;29300372,Cardiac,MPD1;CMH1,7577,"2022-04-25 12:45:21",,,,"Expert review done on 12/08/2021",missense_variant,MONDO:0013262
PLN,172405,"PLN-related Intrinsic Cardiomyopathy","No disease mim",definitive,monoallelic_autosomal,"altered gene product structure;decreased gene product level",,Heart/Cardiovasculature/Lymphatic,16432188;12639993;33020536;21167350,Cardiac,PLB,9080,"2022-04-25 12:45:21",,,,"Expert review done on 24/11/2021",frameshift_variant;stop_gained;missense_variant;inframe_deletion,MONDO:0012362
RBM20,613171,"RBM20-related DCM","No disease mim",definitive,monoallelic_autosomal,"altered gene product structure;decreased gene product level",,Heart/Cardiovasculature/Lymphatic,30871351;25979592;29367541;19712804;29895960;32851336;22466703;29650543;26084686;20590677;27496873;30871348;22004663;21846512;32789749,Cardiac,,27424,"2022-04-25 12:45:22",,,,"Expert review done on 12/08/2021",missense_variant;stop_gained_NMD_triggering,MONDO:0013168
TNNC1,191040,"TNNC1-related DCM","No disease mim",definitive,monoallelic_autosomal,"altered gene product structure",,Heart/Cardiovasculature/Lymphatic,18212018;19808376;32038292;1554228;27532257;17021793;17977476;18803402;20458010;27604170,Cardiac,TNNC,11943,"2022-04-25 12:45:22",,,,"Expert review done on 12/08/2021",missense_variant,MONDO:0012745
TNNT2,191045,"TNNT2-related DCM","No disease mim",definitive,monoallelic_autosomal,"altered gene product structure",,Heart/Cardiovasculature/Lymphatic,11106718;29367541;27532257;15542288;20978592;20031601,Cardiac,CMD1D;CMH2,11949,"2022-04-25 12:45:22",,,,"Expert review done on 12/08/2021",missense_variant,MONDO:0007267
TTN,188840,"TTN-related DCM","No disease mim",definitive,monoallelic_autosomal,"altered gene product structure;decreased gene product level",,Heart/Cardiovasculature/Lymphatic,23418287;9826585;9817758;25759365;19789381;25589632;32160020;31849696;18765796;28045975;27625337;11788824;29316444;27869827;29238064;26084686;32013205;26315439;22335739,Cardiac,CMD1G,12403,"2022-04-25 12:45:22",,,,"Expert review done on 12/08/2021",splice_acceptor_variant;splice_donor_variant;frameshift_variant;stop_gained;missense_variant;stop_gained_NMD_triggering;frameshift_variant_NMD_triggering,MONDO:0011400
ACTC1,102540,"ACTC1-related HCM","No disease mim",definitive,monoallelic_autosomal,"altered gene product structure",,Heart/Cardiovasculature/Lymphatic,10966831;20031618;17611253;28972856;27532257;26061005;10330430;28007147;23604709,Cardiac,ACTC,143,"2022-04-25 12:45:22",,,,"Expert review done on 10/11/2021",missense_variant;inframe_deletion,MONDO:0012799
MYBPC3,600958,"MYBPC3-related HCM","No disease mim",definitive,monoallelic_autosomal,"altered gene product structure;decreased gene product level",,Heart/Cardiovasculature/Lymphatic,25611685;32163302;30696458;28912181;27532257;7493025;31877118;17937428;29300372;20624503;28007147;22057632;12707239;18467358;32731933;26573135;32396390;19151713,Cardiac,CMH4,7551,"2022-04-25 12:45:22",,,,"Expert review done on 10/11/2021",splice_region_variant;splice_acceptor_variant;splice_donor_variant;frameshift_variant;stop_gained;missense_variant;inframe_deletion;intron_variant;inframe_insertion;stop_gained_NMD_triggering;splice_donor_variant_NMD_triggering;frameshift_variant_NMD_triggering;splice_acceptor_variant_NMD_triggering,MONDO:0007268
MYL2,160781,"MYL2-related HCM","No disease mim",definitive,monoallelic_autosomal,"altered gene product structure",,Heart/Cardiovasculature/Lymphatic,25611685;25324513;28912181;30696458;8673105;32453731;16076902;12404107;9535554;32731933;24111713;16837010;23365102;28007147,Cardiac,,7583,"2022-04-25 12:45:22",,,,"Expert review done on 10/11/2021",missense_variant,MONDO:0012112
MYL3,160790,"MYL3-related HCM","No disease mim",definitive,monoallelic_autosomal,"altered gene product structure",,Heart/Cardiovasculature/Lymphatic,25611685;12021217;20031618;22957257;8673105;30696458;26443374;28369730;33288880;29914921,Cardiac,,7584,"2022-04-25 12:45:22",,,,"Expert review done on 24/11/2021",missense_variant,MONDO:0012111
TNNI3,191044,"TNNI3-related HCM","No disease mim",definitive,monoallelic_autosomal,"altered gene product structure",,Heart/Cardiovasculature/Lymphatic,21415410;25611685;30696458;28912181;32731933;23270746;9241277;21839045;15607392;26440512,Cardiac,CMD2A,11947,"2022-04-25 12:45:22",,,,"Expert review done on 24/11/2021",missense_variant;inframe_deletion,MONDO:0013369
TPM1,191010,"TPM1-related HCM","No disease mim",definitive,monoallelic_autosomal,"altered gene product structure",,Heart/Cardiovasculature/Lymphatic,12860912;7898523;8205619;24005378,Cardiac,CMH3;C15orf13,12010,"2022-04-25 12:45:22",,,,"Expert review done on 24/11/2021",missense_variant,MONDO:0007267
KCNH2,152427,"KCNH2-related LQTS","No disease mim",definitive,monoallelic_autosomal,"altered gene product structure;decreased gene product level",,Heart/Cardiovasculature/Lymphatic,21185501;18774102;22995932;10841244;27262388;29504689;19841300;31983240;24932360;15840476;25417810;26320108;19926013;21185499;29650123;32893267;27761161;10491368;12621127;21787999;19716085;9927399,Cardiac,LQT2,6251,"2022-04-25 12:45:22",,,,"Expert review done on 16/06/2021",splice_acceptor_variant;splice_donor_variant;frameshift_variant;stop_gained;missense_variant;inframe_deletion;inframe_insertion;stop_gained_NMD_triggering;frameshift_variant_NMD_triggering,MONDO:0013367
KCNQ1,607542,"KCNQ1-related LQTS","No disease mim",definitive,monoallelic_autosomal,"altered gene product structure;decreased gene product level",,Heart/Cardiovasculature/Lymphatic,27041150;23591039;9020846;27868350;23392653;31983240;11226272;25187895,Cardiac,LQT;KCNA9,6294,"2022-04-25 12:45:22",,,,"Expert review done on 16/06/2021",splice_acceptor_variant;splice_donor_variant;frameshift_variant;stop_gained;missense_variant;inframe_deletion;inframe_insertion;stop_gained_NMD_triggering;frameshift_variant_NMD_triggering,MONDO:0100316
KCNQ1,607542,"KCNQ1-related LQTS","No disease mim",definitive,biallelic_autosomal,"altered gene product structure;decreased gene product level",,Heart/Cardiovasculature/Lymphatic,27041150;23591039;9020846;27868350;23392653;31983240;11226272;25187895,Cardiac,LQT;KCNA9,6294,"2022-04-25 12:45:22",,,,"Expert review done on 16/06/2021",splice_acceptor_variant;splice_donor_variant;frameshift_variant;stop_gained;missense_variant;inframe_deletion;inframe_insertion;stop_gained_NMD_triggering;frameshift_variant_NMD_triggering,MONDO:0100316
SCN5A,600163,"SCN5A-related LQTS","No disease mim",definitive,monoallelic_autosomal,"altered gene product structure",,Heart/Cardiovasculature/Lymphatic,21185501;15840476;27566755;26320108;22995932;7889574;29650123;31983240;32893267;11463728;29798782;21787999;9927399;29806494;19716085,Cardiac,CMD1E,10593,"2022-04-25 12:45:22",,,,"Expert review done on 16/06/2021",missense_variant;inframe_deletion;inframe_insertion,MONDO:0011377
TRDN,603283,"TRDN-related LQTS","No disease mim",strong,biallelic_autosomal,"absent gene product",,Heart/Cardiovasculature/Lymphatic,30649896;22422768;32402482;25922419;26768964;31983240;30479949;31437535;26200674,Cardiac,,12261,"2022-04-25 12:45:22",,,,"Expert review done on 16/06/2021",missense_variant;frameshift_variant_NMD_triggering,MONDO:0019171
ALPK3,617608,"ALPK3-related HCM","No disease mim",strong,monoallelic_autosomal,"altered gene product structure;decreased gene product level",,Heart/Cardiovasculature/Lymphatic,34263907;21441111;33191771;34263911;32480058;31074094;27106955;26846950,Cardiac,,17574,"2022-04-25 12:45:22",,,,"Expert review done on 24/11/2021",splice_acceptor_variant;splice_donor_variant;frameshift_variant;stop_gained;missense_variant;stop_gained_NMD_triggering;frameshift_variant_NMD_triggering,MONDO:0011001
ALPK3,617608,"ALPK3-related HCM","No disease mim",strong,biallelic_autosomal,"altered gene product structure;decreased gene product level",,Heart/Cardiovasculature/Lymphatic,34263907;21441111;33191771;34263911;32480058;31074094;27106955;26846950,Cardiac,,17574,"2022-04-25 12:45:22",,,,"Expert review done on 24/11/2021",splice_acceptor_variant;splice_donor_variant;frameshift_variant;stop_gained;missense_variant;stop_gained_NMD_triggering;frameshift_variant_NMD_triggering,MONDO:0011001
DES,125660,"DES-related Myofibrillar myopathy","No disease mim",definitive,monoallelic_autosomal,"absent gene product;altered gene product structure",,Heart/Cardiovasculature/Lymphatic,20718792;11073539;29926427;19433360;9736733;31718026;30681346;16217025;23815709;19181099,Cardiac,,2770,"2022-04-25 12:45:22",,,,"Expert review done on 12/01/2022",missense_variant;inframe_deletion;stop_gained_NMD_triggering;stop_gained_NMD_escaping;frameshift_variant_NMD_triggering;splice_acceptor_variant_NMD_escaping;splice_donor_variant_NMD_escaping;frameshift_variant_NMD_escaping,MONDO:0011076
DES,125660,"DES-related Myofibrillar myopathy","No disease mim",definitive,biallelic_autosomal,"absent gene product;altered gene product structure",,Heart/Cardiovasculature/Lymphatic,20718792;11073539;29926427;19433360;9736733;31718026;30681346;16217025;23815709;19181099,Cardiac,,2770,"2022-04-25 12:45:22",,,,"Expert review done on 12/01/2022",missense_variant;inframe_deletion;stop_gained_NMD_triggering;stop_gained_NMD_escaping;frameshift_variant_NMD_triggering;splice_acceptor_variant_NMD_escaping;splice_donor_variant_NMD_escaping;frameshift_variant_NMD_escaping,MONDO:0011076
FHL1,300163,"FHL1-related Emery-related Dreifuss MD","No disease mim",definitive,monoallelic_autosomal,"altered gene product structure;decreased gene product level",,Heart/Cardiovasculature/Lymphatic,22523091;19716112;32993534;20186852;30681346,Cardiac,,3702,"2022-04-25 12:45:23",,,,"Expert review done on 12/01/2022",splice_region_variant;stop_lost;missense_variant;stop_gained_NMD_escaping;frameshift_variant_NMD_escaping,MONDO:0010680
FLNC,102565,"FLNC-related Myofibrillar myopathy","No disease mim",definitive,monoallelic_autosomal,"altered gene product structure",,Heart/Cardiovasculature/Lymphatic,31245841;26666891;21135393;25351925;15929027;30681346;27908349;32022900;32112656;20697107;19050726,Cardiac,FLN2,3756,"2022-04-25 12:45:23",,,,"Expert review done on 12/01/2022",missense_variant;inframe_deletion;stop_gained_NMD_escaping,MONDO:0012289
GLA,300644,"GLA-related Fabry disease","No disease mim",definitive,monoallelic_X_hem,"absent gene product;altered gene product structure;decreased gene product level",,Heart/Cardiovasculature/Lymphatic,34776082;30988410;18940466;6023233;27560961;26937390;34576250;32640076;2539398;11322659,Cardiac,,4296,"2022-04-25 12:45:23",,,,"Expert review done on 24/11/2021",splice_acceptor_variant;splice_donor_variant;frameshift_variant;stop_gained;missense_variant;inframe_deletion;intron_variant;inframe_insertion;stop_gained_NMD_triggering;splice_donor_variant_NMD_triggering;frameshift_variant_NMD_triggering;splice_acceptor_variant_NMD_triggering,MONDO:0010526
LAMP2,309060,"LAMP2-related Danon disease","No disease mim",definitive,monoallelic_X_het,"absent gene product;altered gene product structure;decreased gene product level",,Heart/Cardiovasculature/Lymphatic,19057086;30681346;19588270;20173215;10972294;15673802;30857840;15907287;16217705,Cardiac,,6501,"2022-04-25 12:45:23",,,,"Expert review done on 12/01/2022",splice_region_variant;start_lost;missense_variant;stop_gained_NMD_triggering;splice_donor_variant_NMD_triggering;frameshift_variant_NMD_triggering;splice_acceptor_variant_NMD_triggering,MONDO:0010281
PRKAG2,602743,"PRKAG2-related cardiomyopathy","No disease mim",definitive,monoallelic_autosomal,"altered gene product structure",,Heart/Cardiovasculature/Lymphatic,28009297;11371514;26729852;12015471;32646569;32259713;32646570,Cardiac,,9386,"2022-04-25 12:45:23",,,,"Expert review done on 24/11/2021",missense_variant;inframe_insertion,MONDO:0010946
KCNQ1,607542,"KCNQ1-related JLNS","No disease mim",definitive,biallelic_autosomal,"absent gene product;altered gene product structure",,Heart/Cardiovasculature/Lymphatic,27041150;23591039;9020846;27868350;23392653;31983240;11226272;25187895,Cardiac,LQT;KCNA9,6294,"2022-04-25 12:45:23",,,,"Expert review done on 16/06/2021",splice_acceptor_variant;splice_donor_variant;frameshift_variant;stop_gained;missense_variant;stop_gained_NMD_triggering;frameshift_variant_NMD_triggering,MONDO:024540
SLC22A5,603377,"SLC22A5-related primary systemic carnitine deficiency","No disease mim",definitive,biallelic_autosomal,"altered gene product structure",,Heart/Cardiovasculature/Lymphatic,31472821;3009296;26190315,Cardiac,CDSP,10969,"2022-04-25 12:45:23",,,,"Expert review done on 16/06/2021",missense_variant,MONDO:0008919
MYH7,160760,"MYH7-related HCM","No disease mim",definitive,monoallelic_autosomal,"altered gene product structure",,Heart/Cardiovasculature/Lymphatic,25611685;20359594;34460321;30696458;25209314;27532257;1552912;29300372;15856146;1944483;30924982;1975517;33500567;12788380;30681346;32731933;27247418,Cardiac,MPD1;CMH1,7577,"2022-04-26 11:53:49",,,,"Expert review done on 10/11/2021",missense_variant;inframe_deletion;stop_gained_NMD_escaping,MONDO:0008647
CALM1,114180,"CALM1-related LQTS","No disease mim",definitive,monoallelic_autosomal,"altered gene product structure",,Heart/Cardiovasculature/Lymphatic,31170290;31983240;23388215;26969752,Cardiac,CALML2,1442,"2022-04-26 11:53:49",,,,"Expert review done on 16/06/2021",missense_variant,MONDO:0014548
CALM2,114182,"CALM2-related LQTS","No disease mim",definitive,monoallelic_autosomal,"altered gene product structure",,Heart/Cardiovasculature/Lymphatic,31170290;27765793;31983240;23388215;26969752,Cardiac,,1445,"2022-04-26 11:53:50",,,,"Expert review done on 16/06/2021",missense_variant,MONDO:0014550
CALM3,114183,"CALM3-related LQTS","No disease mim",definitive,monoallelic_autosomal,"altered gene product structure",,Heart/Cardiovasculature/Lymphatic,31170290;31983240;23388215;26969752,Cardiac,,1449,"2022-04-26 11:53:51",,,,"Expert review done on 16/06/2021",missense_variant,MONDO:0019171
TNNT2,191045,"TNNT2-related HCM","No disease mim",definitive,monoallelic_autosomal,"altered gene product structure",,Heart/Cardiovasculature/Lymphatic,25611685;22144547;12707239;28973951;30696458;28912181;8205619;30578328;32731933;7898523;11034944;28007147;10965086,Cardiac,CMD1D;CMH2,11949,"2022-04-27 14:22:57",,,,"Expert review done on 24/11/2021",missense_variant;inframe_deletion;stop_gained_NMD_escaping;splice_donor_variant_NMD_escaping,MONDO:0007266
KCNJ2,600681,"KCNJ2-related Andersen-related Tawil syndrome","No disease mim",definitive,monoallelic_autosomal,"altered gene product structure",,Heart/Cardiovasculature/Lymphatic,12163457;16217063;11371347;32299589;21493816;31983240;21148745;32947483;32499698;32843460,Cardiac,,6263,"2022-04-27 14:22:57",,,,"Expert review done on 16/06/2021",missense_variant;inframe_deletion;inframe_insertion;stop_gained_NMD_escaping,MONDO:0008222
CACNA1C,114205,"CACNA1C-related Timothy syndrome","No disease mim",definitive,monoallelic_autosomal,"altered gene product structure",,Heart/Cardiovasculature/Lymphatic,33797204;16360093;22106044;28211989;30681346;15863612;26253506;31983240;25633834;24728418;15454078,Cardiac,CACNL1A1;CCHL1A1,1390,"2022-05-25 11:23:34",,,,"Expert review done on 24/11/2021",missense_variant,MONDO:0010979
PTPN11,176876,"PTPN11-related Noonan syndrome","No disease mim",definitive,monoallelic_autosomal,"altered gene product structure",,Heart/Cardiovasculature/Lymphatic,15521065;21533187;24739123;16358218;30681346;25974318;15240615;14974085;18348260;21269411;11992261;19760651;23312968,Cardiac,NS1,9644,"2022-05-25 11:23:35",,,,"Expert review done on 12/01/2022",missense_variant;inframe_deletion,MONDO:0008104
RAF1,164760,"RAF1-related Noonan syndrome","No disease mim",definitive,monoallelic_autosomal,"altered gene product structure",,Heart/Cardiovasculature/Lymphatic,29271604;17603483;30681346;25974318;17603482;22786616;24782337;30762279,Cardiac,,9829,"2022-05-25 11:23:35",,,,"Expert review done on 12/01/2022",missense_variant;inframe_deletion,MONDO:0012690
RIT1,609591,"RIT1-related Noonan syndrome","No disease mim",definitive,monoallelic_autosomal,"altered gene product structure",,Heart/Cardiovasculature/Lymphatic,26446362;27101134;30681346;25959749;23791108,Cardiac,RIT,10023,"2022-05-25 11:23:35",,,,"Expert review done on 12/01/2022",missense_variant,MONDO:0014143
RYR2,180902,"RYR2-related CPVT","No disease mim",definitive,monoallelic_autosomal,"altered gene product structure",,Heart/Cardiovasculature/Lymphatic,31112425;30696458;11208676;24394973;17081562;12093772;17875969;29453246;19216760;23479668;26018045,Cardiac,ARVD2,10484,"2022-05-25 11:23:35",,,,"Expert review done on 19/05/2021",missense_variant,MONDO:0011484
