DiseaseID	DiseaseName	has_db_xref
GO:0032787		
GO:0033559		
GO:0034435		
GO:0035265		
GO:0035282		
GO:0035878		
GO:0036066		
GO:0040007		
GO:0042065		
GO:0042098		
GO:0042100		
GO:0042110		
GO:0042113		
GO:0042359		
GO:0042360		
GO:0042373		
GO:0042465		
GO:0042552		
GO:0042571		
GO:0042592		
GO:0042593		
GO:0042627		
GO:0042695		
GO:0042696		
GO:0042703		
GO:0042713		
GO:0042730		
GO:0042742		
GO:0042747		
GO:0042755		
GO:0042756		
GO:0043084		
GO:0043209		
GO:0043473		
GO:0043648		
GO:0044307		
GO:0045136		
GO:0045453		
GO:0045728		
GO:0046110		
GO:0046323		
GO:0046541		
GO:0046543		
GO:0046544		
GO:0046651		
GO:0046903		
GO:0046951		
GO:0048513		
GO:0050667		
GO:0050817		
GO:0050878		
GO:0050881		
GO:0050890		
GO:0050892		
GO:0051319		
GO:0051341		
GO:0051607		
GO:0055062		
GO:0055064		
GO:0055067		
GO:0055069		
GO:0055071		
GO:0055074		
GO:0055080		
GO:0055127		
GO:0060004		
GO:0060047		
GO:0060048		
GO:0060073		
GO:0060343		
GO:0060464		
GO:0061116		
GO:0061696		
GO:0070085		
GO:0070166		
GO:0070227		
GO:0070288		
GO:0070293		
GO:0070527		
GO:0070944		
GO:0070977		
GO:0071736		
GO:0071739		
GO:0071743		
GO:0071746		
GO:0071754		
GO:0072350		
GO:0072377		
GO:0072507		
GO:0097722		
GO:0120054		
GO:1901052		
GO:1903509		
GO:1903510		
GO:1990770		
HP:0000001	All	UMLS:C0444868
HP:0000002	Abnormality of body height	UMLS:C4025901
HP:0000003	Multicystic kidney dysplasia	UMLS:C3714581|MSH:D021782|SNOMEDCT_US:82525005|SNOMEDCT_US:204962002
HP:0000005	Mode of inheritance	UMLS:C1708511
HP:0000006	Autosomal dominant inheritance	UMLS:C0443147|SNOMEDCT_US:263681008
HP:0000007	Autosomal recessive inheritance	UMLS:C4020899|UMLS:C0441748|SNOMEDCT_US:258211005
HP:0000008	Abnormal morphology of female internal genitalia	UMLS:C4025900
HP:0000009	Functional abnormality of the bladder	UMLS:C3806583
HP:0000010	Recurrent urinary tract infections	UMLS:C0262655|SNOMEDCT_US:197927001
HP:0000011	Neurogenic bladder	SNOMEDCT_US:397732007|MSH:D001750|SNOMEDCT_US:398064005|UMLS:C0005697
HP:0000012	Urinary urgency	SNOMEDCT_US:75088002|UMLS:C0085606|UMLS:C3544092|UMLS:C4020898
HP:0000013	Hypoplasia of the uterus	UMLS:C0266399|SNOMEDCT_US:35850006
HP:0000014	Abnormality of the bladder	UMLS:C0149632
HP:0000015	Bladder diverticulum	SNOMEDCT_US:197866008|UMLS:C0156273|MSH:C562406
HP:0000016	Urinary retention	SNOMEDCT_US:267064002|UMLS:C0080274|MSH:D016055|SNOMEDCT_US:449491000124101|SNOMEDCT_US:130951007
HP:0000017	Nocturia	MSH:D053158|UMLS:C0028734|SNOMEDCT_US:139394000
HP:0000019	Urinary hesitancy	SNOMEDCT_US:5972002|UMLS:C0152032
HP:0000020	Urinary incontinence	UMLS:C0042024|SNOMEDCT_US:165232002|MSH:D014549
HP:0000021	Megacystis	MSH:C536139|UMLS:C1855311
HP:0000022	Abnormality of male internal genitalia	UMLS:C4025899
HP:0000023	Inguinal hernia	MEDDRA:10022016|UMLS:C0019294|SNOMEDCT_US:396232000|MSH:D006552
HP:0000024	Prostatitis	UMLS:C0033581|SNOMEDCT_US:9713002|MSH:D011472
HP:0000025	Functional abnormality of male internal genitalia	UMLS:C4025898
HP:0000026	Male hypogonadism	SNOMEDCT_US:48723006|UMLS:C0151721|MSH:D005058
HP:0000027	Azoospermia	UMLS:C0004509|SNOMEDCT_US:425558002|SNOMEDCT_US:48188009|MSH:D053713
HP:0000028	Cryptorchidism	UMLS:C0010417|Fyler:4493|SNOMEDCT_US:204878001|MSH:D003456
HP:0000029	Testicular atrophy	SNOMEDCT_US:17585008|UMLS:C0156312
HP:0000030	Testicular gonadoblastoma	NCIT:C3754|UMLS:C1515283
HP:0000031	Epididymitis	UMLS:C0014534|MSH:D004823|SNOMEDCT_US:31070006
HP:0000032	Abnormality of male external genitalia	UMLS:C4025897
HP:0000033	Ambiguous genitalia, male	UMLS:C4021823
HP:0000034	Hydrocele testis	UMLS:C1720771|SNOMEDCT_US:386152007|MSH:D006848|SNOMEDCT_US:26614003|SNOMEDCT_US:55434001
HP:0000035	Abnormal testis morphology	UMLS:C0266423|SNOMEDCT_US:55631001
HP:0000036	Abnormal penis morphology	UMLS:C4025896
HP:0000037	Male pseudohermaphroditism	UMLS:C0238395|MSH:D058490|SNOMEDCT_US:111332007
HP:0000039	Epispadias	UMLS:C0563449|SNOMEDCT_US:406477003
HP:0000040	Long penis	SNOMEDCT_US:88673001|UMLS:C0269011
HP:0000041	Chordee	SNOMEDCT_US:4287008|UMLS:C0221182
HP:0000042	Absent external genitalia	UMLS:C1848869
HP:0000044	Hypogonadotropic hypogonadism	UMLS:C0271623|MSH:D007006|SNOMEDCT_US:33927004|UMLS:C3489396
HP:0000045	Abnormality of the scrotum	UMLS:C4025895
HP:0000046	Scrotal hypoplasia	UMLS:C0431659|SNOMEDCT_US:204912007
HP:0000047	Hypospadias	UMLS:C1691215|SNOMEDCT_US:204888000|Fyler:4504
HP:0000048	Bifid scrotum	SNOMEDCT_US:236780002|UMLS:C0341787
HP:0000049	Shawl scrotum	UMLS:C1858539
HP:0000050	Hypoplastic male external genitalia	UMLS:C1852534
HP:0000051	Perineal hypospadias	SNOMEDCT_US:204890004|UMLS:C0452148
HP:0000052	Urethral atresia, male	UMLS:C4025894
HP:0000053	Macroorchidism	UMLS:C1263023
HP:0000054	Micropenis	UMLS:C4551492|SNOMEDCT_US:34911001
HP:0000055	Abnormality of female external genitalia	UMLS:C4021822
HP:0000056	Abnormality of the clitoris	UMLS:C4025893
HP:0000057	obsolete Clitoromegaly	
HP:0000058	Abnormal labia morphology	UMLS:C4025892
HP:0000059	Hypoplastic labia majora	SNOMEDCT_US:289469003|UMLS:C0566899
HP:0000060	Clitoral hypoplasia	UMLS:C1844527
HP:0000061	Ambiguous genitalia, female	UMLS:C1859980|UMLS:C4025891
HP:0000062	Ambiguous genitalia	MSH:D012734|SNOMEDCT_US:21321009|UMLS:C0266362
HP:0000063	Fused labia minora	UMLS:C1837532
HP:0000064	Hypoplastic labia minora	UMLS:C1849295
HP:0000065	Labial hypertrophy	SNOMEDCT_US:16924008|UMLS:C0404531
HP:0000066	Labial hypoplasia	UMLS:C1850325
HP:0000067	Urethral atresia, female	UMLS:C4025890
HP:0000068	Urethral atresia	UMLS:C1610065
HP:0000069	Abnormality of the ureter	UMLS:C1840382
HP:0000070	Ureterocele	MSH:D014518|SNOMEDCT_US:12818004|UMLS:C0041960
HP:0000071	Ureteral stenosis	SNOMEDCT_US:95574003|UMLS:C0521618
HP:0000072	Hydroureter	UMLS:C4020897|SNOMEDCT_US:69758005|UMLS:C0521620|SNOMEDCT_US:95576001
HP:0000073	Ureteral duplication	SNOMEDCT_US:49496001|UMLS:C0221365
HP:0000074	Ureteropelvic junction obstruction	SNOMEDCT_US:95575002|MSH:C537373|UMLS:C0521619
HP:0000075	Renal duplication	UMLS:C0266298|SNOMEDCT_US:30275001
HP:0000076	Vesicoureteral reflux	MSH:D014718|UMLS:C0042580|SNOMEDCT_US:197811007|Fyler:4510
HP:0000077	Abnormality of the kidney	UMLS:C0022658|SNOMEDCT_US:90708001|MSH:D007674|SNOMEDCT_US:44513007|UMLS:C0266292
HP:0000078	Abnormality of the genital system	UMLS:C0744356|UMLS:C0281966
HP:0000079	Abnormality of the urinary system	UMLS:C4021821
HP:0000080	Abnormality of reproductive system physiology	UMLS:C4021820|UMLS:C4020896
HP:0000081	Duplicated collecting system	UMLS:C1858565
HP:0000083	Renal insufficiency	UMLS:C0035078|MSH:D051437|UMLS:C1565489|SNOMEDCT_US:42399005|SNOMEDCT_US:236423003|UMLS:C1839604
HP:0000085	Horseshoe kidney	SNOMEDCT_US:41729002|UMLS:C0221353|MSH:D000069337|Fyler:4507
HP:0000086	Ectopic kidney	UMLS:C0238207|SNOMEDCT_US:16507009
HP:0000089	Renal hypoplasia	UMLS:C0266295|SNOMEDCT_US:32659003
HP:0000090	Nephronophthisis	UMLS:C0687120|SNOMEDCT_US:204958008
HP:0000091	Abnormal renal tubule morphology	UMLS:C4021826
HP:0000092	Renal tubular atrophy	UMLS:C1858395
HP:0000093	Proteinuria	UMLS:C0033687|MSH:D011507|SNOMEDCT_US:29738008
HP:0000095	Abnormal renal glomerulus morphology	UMLS:C4025889
HP:0000096	Glomerular sclerosis	SNOMEDCT_US:197661001|UMLS:C0178664|SNOMEDCT_US:82646005
HP:0000097	Focal segmental glomerulosclerosis	UMLS:C0017668|MSH:D005923|SNOMEDCT_US:25821008|SNOMEDCT_US:236403004
HP:0000098	Tall stature	UMLS:C0241240|SNOMEDCT_US:248328003
HP:0000099	Glomerulonephritis	UMLS:C0017658|MSH:D005921|SNOMEDCT_US:36171008
HP:0000100	Nephrotic syndrome	MSH:D009404|SNOMEDCT_US:52254009|UMLS:C0027726
HP:0000103	Polyuria	UMLS:C0032617|SNOMEDCT_US:718402002|SNOMEDCT_US:56574000|SNOMEDCT_US:28442001|MSH:D011141
HP:0000104	Renal agenesis	UMLS:C0542519|SNOMEDCT_US:204942005|Fyler:4503
HP:0000105	Enlarged kidney	UMLS:C0542518|SNOMEDCT_US:300444006
HP:0000107	Renal cyst	UMLS:C0022679|UMLS:C3887499|MSH:D052177
HP:0000108	Renal corticomedullary cysts	UMLS:C1968619
HP:0000110	Renal dysplasia	MSH:C563261|UMLS:C1619700|SNOMEDCT_US:204949001|UMLS:C3536714
HP:0000111	Renal juxtaglomerular cell hypertrophy/hyperplasia	UMLS:C1866496
HP:0000112	Nephropathy	UMLS:C1408258|SNOMEDCT_US:90708001|MSH:D007674|UMLS:C0022658
HP:0000113	Polycystic kidney dysplasia	UMLS:C1567435|MSH:D007690|UMLS:C0022680|SNOMEDCT_US:82525005|Fyler:4508
HP:0000114	Proximal tubulopathy	UMLS:C1839603
HP:0000117	Renal phosphate wasting	UMLS:C1845169
HP:0000118	Phenotypic abnormality	UMLS:C4021819
HP:0000119	Abnormality of the genitourinary system	UMLS:C4020895|SNOMEDCT_US:42030000|UMLS:C0042063|SNOMEDCT_US:287085006|UMLS:C0080276|MSH:D014564
HP:0000121	Nephrocalcinosis	UMLS:C0027709|MSH:D009397|SNOMEDCT_US:48638002|UMLS:C4280679
HP:0000122	Unilateral renal agenesis	Fyler:4509|UMLS:C0266294|SNOMEDCT_US:55726006
HP:0000123	Nephritis	UMLS:C0027697|SNOMEDCT_US:52845002|MSH:D009393
HP:0000124	Renal tubular dysfunction	UMLS:C0151747|SNOMEDCT_US:95568003
HP:0000125	Pelvic kidney	UMLS:C0221209|SNOMEDCT_US:56108007
HP:0000126	Hydronephrosis	UMLS:C0020295|MSH:D006869|SNOMEDCT_US:43064006|Fyler:4502
HP:0000127	Renal salt wasting	UMLS:C1846347
HP:0000128	Renal potassium wasting	UMLS:C1846348
HP:0000130	Abnormality of the uterus	MSH:C562565|SNOMEDCT_US:37849005|UMLS:C0266383
HP:0000131	Uterine leiomyoma	MSH:D007889|UMLS:C0042133|NCIT:C3157|SNOMEDCT_US:146801000119103|SNOMEDCT_US:95315005|SNOMEDCT_US:44598004
HP:0000132	Menorrhagia	MSH:D008595|UMLS:C0025323|SNOMEDCT_US:386692008
HP:0000133	Gonadal dysgenesis	SNOMEDCT_US:38804009|MSH:D006059|SNOMEDCT_US:205681004|SNOMEDCT_US:83579008|UMLS:C0018055|MSH:D006060|UMLS:C0018051|SNOMEDCT_US:95219002|UMLS:C0687149
HP:0000134	Female hypogonadism	SNOMEDCT_US:16041008|UMLS:C0271578
HP:0000135	Hypogonadism	SNOMEDCT_US:48130008|MSH:D007006|UMLS:C0020619
HP:0000136	Bifid uterus	UMLS:C1850327
HP:0000137	Abnormality of the ovary	MSH:D010049|UMLS:C4021818|SNOMEDCT_US:5552004|UMLS:C0029928
HP:0000138	Ovarian cyst	MSH:D010048|SNOMEDCT_US:79883001|UMLS:C0029927
HP:0000139	Uterine prolapse	SNOMEDCT_US:24976005|MSH:D014596|UMLS:C0042140
HP:0000140	Abnormality of the menstrual cycle	UMLS:C4025888|UMLS:C3549779
HP:0000141	Amenorrhea	UMLS:C2219717
HP:0000142	Abnormal vagina morphology	UMLS:C1856023
HP:0000143	Rectovaginal fistula	SNOMEDCT_US:65619001|MSH:D012006|MEDDRA:10051097|UMLS:C0034895
HP:0000144	Decreased fertility	UMLS:C0520927|SNOMEDCT_US:17276009
HP:0000145	Transverse vaginal septum	UMLS:C1856006
HP:0000147	Polycystic ovaries	UMLS:C1136382|SNOMEDCT_US:69878008|UMLS:C0032460|MSH:D011085
HP:0000148	Vaginal atresia	UMLS:C1321884|SNOMEDCT_US:87380008
HP:0000149	Ovarian gonadoblastoma	SNOMEDCT_US:716594002|NCIT:C3754|UMLS:C1518716
HP:0000150	Gonadoblastoma	MSH:D018238|UMLS:C0206661|NCIT:C3754|SNOMEDCT_US:74751003
HP:0000151	Aplasia of the uterus	UMLS:C0425913|SNOMEDCT_US:248942000
HP:0000152	Abnormality of head or neck	UMLS:C4021817
HP:0000153	Abnormality of the mouth	MSH:D009056|SNOMEDCT_US:128334002|UMLS:C0026633
HP:0000154	Wide mouth	UMLS:C0024433|MSH:D008265|SNOMEDCT_US:40159009
HP:0000155	Oral ulcer	SNOMEDCT_US:26284000|MSH:D019226|UMLS:C0149745
HP:0000157	Abnormality of the tongue	UMLS:C0878638
HP:0000158	Macroglossia	MSH:D008260|SNOMEDCT_US:25273001|UMLS:C0024421
HP:0000159	Abnormal lip morphology	UMLS:C2183966
HP:0000160	Narrow mouth	SNOMEDCT_US:14582003|UMLS:C0026034|MSH:D008865
HP:0000161	Median cleft lip	UMLS:C1850256
HP:0000162	Glossoptosis	UMLS:C4280678|SNOMEDCT_US:3639002|UMLS:C0267048|MSH:D065710
HP:0000163	Abnormal oral cavity morphology	UMLS:C4025887
HP:0000164	Abnormality of the dentition	UMLS:C0262444|MSH:D014071|SNOMEDCT_US:422775003|UMLS:C0040427
HP:0000166	Severe periodontitis	UMLS:C4025886
HP:0000168	Abnormality of the gingiva	UMLS:C4021816
HP:0000169	Gingival fibromatosis	UMLS:C4280677|NCIT:C3041|UMLS:C0016049|UMLS:C0399440|SNOMEDCT_US:109620006|MSH:C562884|MSH:D005351|SNOMEDCT_US:58569000
HP:0000171	Microglossia	UMLS:C0426492|SNOMEDCT_US:32614006|UMLS:C0025988|SNOMEDCT_US:249380003|MSH:D014060
HP:0000172	Abnormal uvula morphology	UMLS:C4025885
HP:0000174	Abnormal palate morphology	UMLS:C4021815
HP:0000175	Cleft palate	Fyler:4876|MSH:D002972|UMLS:C2981150|SNOMEDCT_US:63567004|SNOMEDCT_US:87979003|UMLS:C0008925
HP:0000176	Submucous cleft hard palate	SNOMEDCT_US:43437003|UMLS:C0432103|UMLS:C4020894
HP:0000177	Abnormality of upper lip	UMLS:C4025884
HP:0000178	Abnormality of lower lip	UMLS:C4025883
HP:0000179	Thick lower lip vermilion	UMLS:C1839739|UMLS:C2053437
HP:0000180	Lobulated tongue	SNOMEDCT_US:253752000|UMLS:C0431564
HP:0000182	Movement abnormality of the tongue	UMLS:C4025882
HP:0000183	Difficulty in tongue movements	UMLS:C1853406|UMLS:C4280676
HP:0000185	Cleft soft palate	UMLS:C0432098|SNOMEDCT_US:253997002|MSH:C562950
HP:0000187	Broad alveolar ridges	UMLS:C4280675|UMLS:C1857500
HP:0000188	Short upper lip	UMLS:C1848977
HP:0000189	Narrow palate	UMLS:C1398312
HP:0000190	Abnormal oral frenulum morphology	UMLS:C4025881
HP:0000191	Accessory oral frenulum	UMLS:C4021814
HP:0000193	Bifid uvula	SNOMEDCT_US:18910001|UMLS:C0266122
HP:0000194	Open mouth	UMLS:C0240379|SNOMEDCT_US:262016004
HP:0000196	Lower lip pit	UMLS:C1861544
HP:0000197	Abnormal parotid gland morphology	UMLS:C4025880
HP:0000198	Absence of Stensen duct	UMLS:C1858569|UMLS:C4280674
HP:0000199	Tongue nodules	UMLS:C0241438
HP:0000200	Short lingual frenulum	UMLS:C4280673|SNOMEDCT_US:249388005|UMLS:C0426501
HP:0000201	Pierre-Robin sequence	UMLS:C0031900|MSH:D010855|SNOMEDCT_US:4602007
HP:0000202	Oral cleft	UMLS:C4021813|SNOMEDCT_US:253983005|UMLS:C0158646|SNOMEDCT_US:66948001
HP:0000204	Cleft upper lip	UMLS:C0008924|MSH:D002971|SNOMEDCT_US:80281008|Fyler:4875
HP:0000205	Pursed lips	UMLS:C1832130
HP:0000206	Glossitis	MSH:D005928|SNOMEDCT_US:45534005|UMLS:C0017675
HP:0000207	Triangular mouth	UMLS:C1849341
HP:0000211	Trismus	UMLS:C1848474|SNOMEDCT_US:87866006|MSH:D014313|UMLS:C4228933|UMLS:C0041105|UMLS:C4280672
HP:0000212	Gingival overgrowth	UMLS:C0017567|SNOMEDCT_US:441798003|UMLS:C0376480|UMLS:C0017566|SNOMEDCT_US:441787004|SNOMEDCT_US:54711002|MSH:D005885|MSH:D005886|MSH:D019214
HP:0000214	Lip telangiectasia	UMLS:C4280671|UMLS:C1857697|UMLS:C4280670
HP:0000215	Thick upper lip vermilion	UMLS:C1846423
HP:0000216	Broad secondary alveolar ridge	UMLS:C1839276
HP:0000217	Xerostomia	SNOMEDCT_US:56893005|UMLS:C0043352|SNOMEDCT_US:87715008|SNOMEDCT_US:300268000|MSH:D014987
HP:0000218	High palate	UMLS:C0240635|SNOMEDCT_US:27272007
HP:0000219	Thin upper lip vermilion	UMLS:C1865017
HP:0000220	Velopharyngeal insufficiency	SNOMEDCT_US:278714002|SNOMEDCT_US:232416001|UMLS:C4280669|SNOMEDCT_US:229727006|UMLS:C0042454|MSH:D014681
HP:0000221	Furrowed tongue	SNOMEDCT_US:52368004|UMLS:C0040412|MSH:D014063
HP:0000222	Gingival hyperkeratosis	UMLS:C1857013
HP:0000223	Abnormality of taste sensation	UMLS:C4025879
HP:0000224	Hypogeusia	UMLS:C0151934|MSH:D000370|SNOMEDCT_US:697990000
HP:0000225	Gingival bleeding	SNOMEDCT_US:86276007|MSH:D005884|UMLS:C0017565
HP:0000227	Tongue telangiectasia	UMLS:C4280668|UMLS:C4025878
HP:0000228	Oral cavity telangiectasia	UMLS:C4280667|UMLS:C4025877
HP:0000230	Gingivitis	UMLS:C0017574|SNOMEDCT_US:66383009|MSH:D005891
HP:0000232	Everted lower lip vermilion	UMLS:C1866234|UMLS:C1853246
HP:0000233	Thin vermilion border	UMLS:C0578038|SNOMEDCT_US:301348000
HP:0000234	Abnormality of the head	UMLS:C4021812
HP:0000235	Abnormality of the fontanelles or cranial sutures	UMLS:C4025876
HP:0000236	Abnormality of the anterior fontanelle	UMLS:C4025875
HP:0000237	Small anterior fontanelle	UMLS:C1859455
HP:0000238	Hydrocephalus	UMLS:C0020255|SNOMEDCT_US:230745008|MSH:D006849
HP:0000239	Large fontanelles	UMLS:C0456132|UMLS:C4072820|UMLS:C4072822|SNOMEDCT_US:276709006|UMLS:C4072821
HP:0000240	Abnormality of skull size	UMLS:C4025874
HP:0000242	Parietal bossing	UMLS:C1857126
HP:0000243	Trigonocephaly	UMLS:C4280666|UMLS:C0265535|MSH:D003398|UMLS:C4280665|SNOMEDCT_US:28740008
HP:0000244	Brachyturricephaly	UMLS:C1857484
HP:0000245	Abnormal paranasal sinus morphology	UMLS:C4025873
HP:0000246	Sinusitis	MSH:D010254|MSH:D012852|UMLS:C0037199|UMLS:C0030469|SNOMEDCT_US:36971009|SNOMEDCT_US:7393007
HP:0000248	Brachycephaly	SNOMEDCT_US:13649004|UMLS:C4072823|UMLS:C4072824|UMLS:C0221356|MSH:D003398
HP:0000250	Dense calvaria	UMLS:C1854834
HP:0000252	Microcephaly	SNOMEDCT_US:271611007|UMLS:C4551563|Fyler:4310
HP:0000253	Progressive microcephaly	UMLS:C1850456
HP:0000255	Acute sinusitis	UMLS:C0149512|SNOMEDCT_US:15805002
HP:0000256	Macrocephaly	UMLS:C4083076|UMLS:C4280664|UMLS:C4255213|Fyler:4335|UMLS:C4280663
HP:0000260	Wide anterior fontanel	UMLS:C1866134
HP:0000262	Turricephaly	MSH:D003398|UMLS:C0030044|SNOMEDCT_US:48069004
HP:0000263	Oxycephaly	MSH:D003398
HP:0000264	Abnormality of the mastoid	UMLS:C4025872
HP:0000265	Mastoiditis	MSH:D008417|SNOMEDCT_US:52404001|UMLS:C0024904
HP:0000267	Cranial asymmetry	UMLS:C1860245|UMLS:C4280662|UMLS:C4280657|UMLS:C4280658|UMLS:C4280258|UMLS:C4280661|UMLS:C4280660|UMLS:C4280659
HP:0000268	Dolichocephaly	UMLS:C4280654|UMLS:C4280655|SNOMEDCT_US:72239002|UMLS:C4280653|UMLS:C4280656|UMLS:C0221358
HP:0000269	Prominent occiput	UMLS:C1853737|UMLS:C4280652
HP:0000270	Delayed cranial suture closure	SNOMEDCT_US:82779003|UMLS:C0277828
HP:0000271	Abnormality of the face	SNOMEDCT_US:118930001|SNOMEDCT_US:398206004|UMLS:C0266617|SNOMEDCT_US:398302004|UMLS:C4025871|UMLS:C1290857|SNOMEDCT_US:32003007
HP:0000272	Malar flattening	UMLS:C4280651|UMLS:C1858085
HP:0000273	Facial grimacing	SNOMEDCT_US:37126005|UMLS:C0234853
HP:0000274	Small face	UMLS:C1855538
HP:0000275	Narrow face	UMLS:C1837463|UMLS:C1849121
HP:0000276	Long face	UMLS:C1836047
HP:0000277	Abnormality of the mandible	UMLS:C4025870
HP:0000278	Retrognathia	UMLS:C3494422|MSH:D063173
HP:0000280	Coarse facial features	UMLS:C1845847|UMLS:C4072825
HP:0000282	Facial edema	SNOMEDCT_US:445088006|UMLS:C0542571
HP:0000283	Broad face	UMLS:C1859680
HP:0000284	obsolete Abnormality of the ocular region	
HP:0000286	Epicanthus	UMLS:C0678230
HP:0000287	Increased facial adipose tissue	UMLS:C4025868|UMLS:C4280649|UMLS:C4280650
HP:0000288	Abnormality of the philtrum	UMLS:C1857045
HP:0000289	Broad philtrum	UMLS:C1854111
HP:0000290	Abnormality of the forehead	UMLS:C4025867
HP:0000291	Abnormality of facial adipose tissue	UMLS:C4025866
HP:0000292	Loss of facial adipose tissue	UMLS:C1837767
HP:0000293	Full cheeks	UMLS:C1866231|UMLS:C4280648|UMLS:C2748653|UMLS:C3806443|UMLS:C4280647
HP:0000294	Low anterior hairline	UMLS:C1842366
HP:0000295	Doll-like facies	UMLS:C1856361
HP:0000297	Facial hypotonia	UMLS:C4280646|UMLS:C1845251
HP:0000298	Mask-like facies	UMLS:C0424448|SNOMEDCT_US:103606006
HP:0000300	Oval face	UMLS:C1849025
HP:0000301	Abnormality of facial musculature	UMLS:C4025865
HP:0000303	Mandibular prognathia	SNOMEDCT_US:109504005|MSH:D008313|UMLS:C0399526|SNOMEDCT_US:22810007|UMLS:C4280645|UMLS:C2227134|UMLS:C4280644|UMLS:C0302501
HP:0000306	Abnormality of the chin	UMLS:C4025864
HP:0000307	Pointed chin	UMLS:C1844505
HP:0000308	Microretrognathia	UMLS:C1839546
HP:0000309	Abnormality of the midface	UMLS:C4021811
HP:0000311	Round face	UMLS:C1856468|UMLS:C0239479
HP:0000315	Abnormality of the orbital region	UMLS:C4025863
HP:0000316	Hypertelorism	SNOMEDCT_US:194021007|MSH:D006972|UMLS:C0020534|SNOMEDCT_US:22006008
HP:0000317	Facial myokymia	UMLS:C0270871|SNOMEDCT_US:1070000|MSH:D005155
HP:0000319	Smooth philtrum	UMLS:C1142533
HP:0000320	Bird-like facies	UMLS:C1837758
HP:0000321	Square face	UMLS:C1832127
HP:0000322	Short philtrum	UMLS:C1861324
HP:0000324	Facial asymmetry	UMLS:C1306710|MSH:D005146|SNOMEDCT_US:15253005
HP:0000325	Triangular face	UMLS:C1835884
HP:0000326	Abnormality of the maxilla	UMLS:C4025862
HP:0000327	Hypoplasia of the maxilla	UMLS:C4280642|UMLS:C4280640|UMLS:C4082243|UMLS:C0240310|UMLS:C4280641|UMLS:C4280643
HP:0000329	Facial hemangioma	UMLS:C1861443
HP:0000331	Short chin	UMLS:C1839323|UMLS:C3697248|SNOMEDCT_US:699439001
HP:0000336	Prominent supraorbital ridges	UMLS:C4280639|UMLS:C4280636|UMLS:C4280638|UMLS:C1842060|UMLS:C4280637
HP:0000337	Broad forehead	UMLS:C1849089
HP:0000338	Hypomimic face	SNOMEDCT_US:248149005|UMLS:C0813217|UMLS:C4280635|UMLS:C1862474
HP:0000339	Pugilistic facies	UMLS:C1846011
HP:0000340	Sloping forehead	UMLS:C1857679
HP:0000341	Narrow forehead	UMLS:C1839758
HP:0000343	Long philtrum	UMLS:C1865014
HP:0000346	Whistling appearance	UMLS:C1848473
HP:0000347	Micrognathia	SNOMEDCT_US:32958008|UMLS:C1857130|UMLS:C0240295|UMLS:C0025990|MSH:D008844|Fyler:4163
HP:0000348	High forehead	UMLS:C0239676|UMLS:C2677762
HP:0000349	Widow's peak	UMLS:C1853486
HP:0000350	Small forehead	UMLS:C4280633|UMLS:C1845250|UMLS:C4280634
HP:0000356	Abnormality of the outer ear	SNOMEDCT_US:275259005|UMLS:C0266589|UMLS:C1846460
