drug_name,drug_id,ind_name,ind_id,NCT,status,phase,DetailedStatus,drug_name_lower
Salmon Calcitonin,DB00017,Osteitis Deformans,C0029401,NA,Approved,NA,NA,salmon calcitonin
Pegfilgrastim,DB00019,Chemotherapy-induced neutropenia,C1827687,NA,Approved,NA,NA,pegfilgrastim
Sargramostim,DB00020,Chemotherapy-induced neutropenia,C1827687,NA,Approved,NA,NA,sargramostim
Peginterferon alfa-2b,DB00022,"Hepatitis C, Chronic",C0524910,NA,Approved,NA,NA,peginterferon alfa-2b
Asparaginase,DB00023,Acute lymphocytic leukemia,C0023449,NA,Approved,NA,NA,asparaginase
Anakinra,DB00026,Rheumatoid Arthritis,C0003873,NA,Approved,NA,NA,anakinra
Anakinra,DB00026,Cryopyrin-Associated Periodic Syndromes,C2316212,NA,Approved,NA,NA,anakinra
Anakinra,DB00026,"Chronic Infantile Neurological, Cutaneous, and Articular Syndrome",C0409818,NA,Approved,NA,NA,anakinra
Gramicidin D,DB00027,Bacterial conjunctivitis,C0009768,NA,Approved,NA,NA,gramicidin d
Gramicidin D,DB00027,Infective blepharitis,C0729587,NA,Approved,NA,NA,gramicidin d
Gramicidin D,DB00027,Blepharoconjunctivitis,C0005743,NA,Approved,NA,NA,gramicidin d
Gramicidin D,DB00027,Bacterial keratitis,C0854211,NA,Approved,NA,NA,gramicidin d
Insulin Human,DB00030,"Diabetes Mellitus, Insulin-Dependent",C0011854,NA,Approved,NA,NA,insulin human
Insulin Human,DB00030,"Diabetes Mellitus, Non-Insulin-Dependent",C0011860,NA,Approved,NA,NA,insulin human
Insulin Human,DB00030,Diabetes Mellitus,C0011849,NA,Approved,NA,NA,insulin human
Tenecteplase,DB00031,Acute myocardial infarction,C0155626,NA,Approved,NA,NA,tenecteplase
Desmopressin,DB00035,Hemophilia A,C0019069,NA,Approved,NA,NA,desmopressin
Desmopressin,DB00035,von Willebrand Disease,C0042974,NA,Approved,NA,NA,desmopressin
Desmopressin,DB00035,Bedwetting,C0270327,NA,Approved,NA,NA,desmopressin
Coagulation factor VIIa Recombinant Human,DB00036,Hemophilia A,C0019069,NA,Approved,NA,NA,coagulation factor viia recombinant human
Coagulation factor VIIa Recombinant Human,DB00036,Hemophilia B,C0008533,NA,Approved,NA,NA,coagulation factor viia recombinant human
Coagulation factor VIIa Recombinant Human,DB00036,Thrombasthenia,C0040015,NA,Approved,NA,NA,coagulation factor viia recombinant human
Coagulation factor VIIa Recombinant Human,DB00036,Factor VII Deficiency,C0015503,NA,Approved,NA,NA,coagulation factor viia recombinant human
Oprelvekin,DB00038,Thrombocytopenia,C0040034,NA,Approved,NA,NA,oprelvekin
Palifermin,DB00039,Mucositis following radiation therapy,C0392190,NA,Approved,NA,NA,palifermin
Palifermin,DB00039,Drug-induced mucositis,C1274988,NA,Approved,NA,NA,palifermin
Glucagon recombinant,DB00040,Hypoglycemia,C0020615,NA,Approved,NA,NA,glucagon recombinant
Aldesleukin,DB00041,"Leukemia, Myelocytic, Acute",C0023467,NA,Approved,NA,NA,aldesleukin
Aldesleukin,DB00041,Metastatic Renal Cell Cancer,C0278678,NA,Approved,NA,NA,aldesleukin
Aldesleukin,DB00041,"Malignant melanoma, metastatic",C0860594,NA,Approved,NA,NA,aldesleukin
Omalizumab,DB00043,Asthma,C0004096,NA,Approved,NA,NA,omalizumab
Omalizumab,DB00043,Chronic idiopathic urticaria,C0578870,NA,Approved,NA,NA,omalizumab
Insulin Lispro,DB00046,"Diabetes Mellitus, Insulin-Dependent",C0011854,NA,Approved,NA,NA,insulin lispro
Insulin Lispro,DB00046,"Diabetes Mellitus, Non-Insulin-Dependent",C0011860,NA,Approved,NA,NA,insulin lispro
Insulin Glargine,DB00047,"Diabetes Mellitus, Insulin-Dependent",C0011854,NA,Approved,NA,NA,insulin glargine
Insulin Glargine,DB00047,"Diabetes Mellitus, Non-Insulin-Dependent",C0011860,NA,Approved,NA,NA,insulin glargine
Collagenase clostridium histolyticum,DB00048,"Dupuytren's disease of finger, with contracture",C0410065,NA,Approved,NA,NA,collagenase clostridium histolyticum
Collagenase clostridium histolyticum,DB00048,Peyronie Disease,C0030848,NA,Approved,NA,NA,collagenase clostridium histolyticum
Rasburicase,DB00049,Hyperuricemia,C0740394,NA,Approved,NA,NA,rasburicase
Adalimumab,DB00051,Rheumatoid Arthritis,C0003873,NA,Approved,NA,NA,adalimumab
Adalimumab,DB00051,Juvenile arthritis,C3495559,NA,Approved,NA,NA,adalimumab
Adalimumab,DB00051,"Arthritis, Psoriatic",C0003872,NA,Approved,NA,NA,adalimumab
Adalimumab,DB00051,Ankylosing spondylitis,C0038013,NA,Approved,NA,NA,adalimumab
Adalimumab,DB00051,Crohn Disease,C0010346,NA,Approved,NA,NA,adalimumab
Adalimumab,DB00051,Ulcerative Colitis,C0009324,NA,Approved,NA,NA,adalimumab
Adalimumab,DB00051,Chronic small plaque psoriasis,C0406317,NA,Approved,NA,NA,adalimumab
Adalimumab,DB00051,Hidradenitis Suppurativa,C0162836,NA,Approved,NA,NA,adalimumab
Somatropin recombinant,DB00052,Growth retardation,C0151686,NA,Approved,NA,NA,somatropin recombinant
Somatropin recombinant,DB00052,Prader-Willi Syndrome,C0032897,NA,Approved,NA,NA,somatropin recombinant
Somatropin recombinant,DB00052,Pituitary dwarfism,C0013338,NA,Approved,NA,NA,somatropin recombinant
Somatropin recombinant,DB00052,Turner Syndrome,C0041408,NA,Approved,NA,NA,somatropin recombinant
Imiglucerase,DB00053,Gaucher Disease,C0017205,NA,Approved,NA,NA,imiglucerase
Gemtuzumab ozogamicin,DB00056,"Leukemia, Myelocytic, Acute",C0023467,NA,Approved,NA,NA,gemtuzumab ozogamicin
Pegaspargase,DB00059,Acute lymphocytic leukemia,C0023449,NA,Approved,NA,NA,pegaspargase
Interferon beta-1a,DB00060,"Multiple Sclerosis, Relapsing-Remitting",C0751967,NA,Approved,NA,NA,interferon beta-1a
Eptifibatide,DB00063,Acute Coronary Syndrome,C0948089,NA,Approved,NA,NA,eptifibatide
Infliximab,DB00065,Crohn Disease,C0010346,NA,Approved,NA,NA,infliximab
Infliximab,DB00065,Ulcerative Colitis,C0009324,NA,Approved,NA,NA,infliximab
Infliximab,DB00065,Rheumatoid Arthritis,C0003873,NA,Approved,NA,NA,infliximab
Infliximab,DB00065,Ankylosing spondylitis,C0038013,NA,Approved,NA,NA,infliximab
Infliximab,DB00065,"Arthritis, Psoriatic",C0003872,NA,Approved,NA,NA,infliximab
Infliximab,DB00065,Chronic small plaque psoriasis,C0406317,NA,Approved,NA,NA,infliximab
Vasopressin,DB00067,Bedwetting,C0270327,NA,Approved,NA,NA,vasopressin
Vasopressin,DB00067,von Willebrand Disease,C0042974,NA,Approved,NA,NA,vasopressin
Vasopressin,DB00067,Hemophilia A,C0019069,NA,Approved,NA,NA,vasopressin
Interferon beta-1b,DB00068,"Multiple Sclerosis, Relapsing-Remitting",C0751967,NA,Approved,NA,NA,interferon beta-1b
Trastuzumab,DB00072,HER2-positive carcinoma of breast,C1960398,NA,Approved,NA,NA,trastuzumab
Trastuzumab,DB00072,Secondary malignant neoplasm of female breast,C0346993,NA,Approved,NA,NA,trastuzumab
Trastuzumab,DB00072,Secondary malignant neoplasm of stomach,C0686068,NA,Approved,NA,NA,trastuzumab
Rituximab,DB00073,"Lymphoma, Non-Hodgkin",C0024305,NA,Approved,NA,NA,rituximab
Rituximab,DB00073,Chronic Lymphocytic Leukemia,C0023434,NA,Approved,NA,NA,rituximab
Rituximab,DB00073,Rheumatoid Arthritis,C0003873,NA,Approved,NA,NA,rituximab
Basiliximab,DB00074,Renal transplant rejection,C0238217,NA,Approved,NA,NA,basiliximab
Ibritumomab tiuxetan,DB00078,"Lymphoma, Follicular",C0024301,NA,Approved,NA,NA,ibritumomab tiuxetan
Daptomycin,DB00080,Right-sided Staphylococcus aureus endocarditis,C1960924,NA,Approved,NA,NA,daptomycin
Daptomycin,DB00080,Sepsis due to Staphylococcus aureus,C2887088,NA,Approved,NA,NA,daptomycin
Pegvisomant,DB00082,Acromegaly,C0001206,NA,Approved,NA,NA,pegvisomant
Pancrelipase,DB00085,Exocrine pancreatic insufficiency,C0267963,NA,Approved,NA,NA,pancrelipase
Alemtuzumab,DB00087,"Multiple Sclerosis, Relapsing-Remitting",C0751967,NA,Approved,NA,NA,alemtuzumab
Alglucerase,DB00088,"Gaucher Disease, Type 1",C1961835,NA,Approved,NA,NA,alglucerase
Laronidase,DB00090,Mucopolysaccharidosis I,C0023786,NA,Approved,NA,NA,laronidase
Cyclosporine,DB00091,Rheumatoid Arthritis,C0003873,NA,Approved,NA,NA,cyclosporine
Cyclosporine,DB00091,Dry Eye Syndromes,C0013238,NA,Approved,NA,NA,cyclosporine
Cyclosporine,DB00091,Keratoconjunctivitis Sicca,C0022575,NA,Approved,NA,NA,cyclosporine
Alefacept,DB00092,Chronic small plaque psoriasis,C0406317,NA,Approved,NA,NA,alefacept
Efalizumab,DB00095,Chronic small plaque psoriasis,C0406317,NA,Approved,NA,NA,efalizumab
Filgrastim,DB00099,Chemotherapy-induced neutropenia,C1827687,NA,Approved,NA,NA,filgrastim
Filgrastim,DB00099,Congenital neutropenia,C0340970,NA,Approved,NA,NA,filgrastim
Filgrastim,DB00099,Cyclic neutropenia,C0221023,NA,Approved,NA,NA,filgrastim
Filgrastim,DB00099,Chronic idiopathic neutropenia,C2267231,NA,Approved,NA,NA,filgrastim
Coagulation Factor IX,DB00100,Hemophilia B,C0008533,NA,Approved,NA,NA,coagulation factor ix
Becaplermin,DB00102,Neuropathic diabetic ulcer - foot,C0406526,NA,Approved,NA,NA,becaplermin
Agalsidase beta,DB00103,Fabry Disease,C0002986,NA,Approved,NA,NA,agalsidase beta
Octreotide,DB00104,Acromegaly,C0001206,NA,Approved,NA,NA,octreotide
Octreotide,DB00104,Malignant Carcinoid Syndrome,C0024586,NA,Approved,NA,NA,octreotide
Abarelix,DB00106,Ischemic priapism,C2711256,NA,Approved,NA,NA,abarelix
Oxytocin,DB00107,Unspecified Abortion,C0156543,NA,Approved,NA,NA,oxytocin
Oxytocin,DB00107,Postpartum Hemorrhage,C0032797,NA,Approved,NA,NA,oxytocin
Oxytocin,DB00107,Incomplete spontaneous abortion,C0000810,NA,Approved,NA,NA,oxytocin
Natalizumab,DB00108,Multiple Sclerosis,C0026769,NA,Approved,NA,NA,natalizumab
Natalizumab,DB00108,Crohn Disease,C0010346,NA,Approved,NA,NA,natalizumab
Enfuvirtide,DB00109,HIV Infections,C0019693,NA,Approved,NA,NA,enfuvirtide
Palivizumab,DB00110,Respiratory Syncytial Virus Infections,C0035235,NA,Approved,NA,NA,palivizumab
Daclizumab,DB00111,Renal transplant rejection,C0238217,NA,Approved,NA,NA,daclizumab
Daclizumab,DB00111,"Multiple Sclerosis, Relapsing-Remitting",C0751967,NA,Approved,NA,NA,daclizumab
Bevacizumab,DB00112,Secondary malignant neoplasm of colon,C0346974,NA,Approved,NA,NA,bevacizumab
Bevacizumab,DB00112,Nonsquamous nonsmall cell neoplasm of lung,C2585890,NA,Approved,NA,NA,bevacizumab
Bevacizumab,DB00112,Glioblastoma Multiforme,C1621958,NA,Approved,NA,NA,bevacizumab
Bevacizumab,DB00112,Metastatic Renal Cell Cancer,C0278678,NA,Approved,NA,NA,bevacizumab
Bevacizumab,DB00112,Cervix carcinoma,C0302592,NA,Approved,NA,NA,bevacizumab
Bevacizumab,DB00112,Malignant tumor of peritoneum,C0153467,NA,Approved,NA,NA,bevacizumab
Bevacizumab,DB00112,Malignant epithelial tumor of ovary,C0346161,NA,Approved,NA,NA,bevacizumab
Bevacizumab,DB00112,Malignant neoplasm of fallopian tube,C0153579,NA,Approved,NA,NA,bevacizumab
Cyanocobalamin,DB00115,Megaloblastic anemia due to folate deficiency,C0151482,NA,Approved,NA,NA,cyanocobalamin
Cyanocobalamin,DB00115,"Anemia, Pernicious",C0002892,NA,Approved,NA,NA,cyanocobalamin
Cyanocobalamin,DB00115,Iron deficiency anemia,C0162316,NA,Approved,NA,NA,cyanocobalamin
Cyanocobalamin,DB00115,Vitamin Deficiency,C1510471,NA,Approved,NA,NA,cyanocobalamin
Cyanocobalamin,DB00115,Vitamin B 12 Deficiency,C0042847,NA,Approved,NA,NA,cyanocobalamin
Biotin,DB00121,Biotin deficiency disease,C2937225,NA,Approved,NA,NA,biotin
Choline,DB00122,Sleeplessness,C0917801,NA,Approved,NA,NA,choline
Vitamin C,DB00126,Breastfeeding (mother),C1623040,NA,Approved,NA,NA,vitamin c
Vitamin C,DB00126,Vitamin Deficiency,C1510471,NA,Approved,NA,NA,vitamin c
L-Aspartic Acid,DB00128,Hypokalemia,C0020621,NA,Approved,NA,NA,l-aspartic acid
L-Glutamine,DB00130,Short Bowel Syndrome,C0036992,NA,Approved,NA,NA,l-glutamine
Adenosine monophosphate,DB00131,Pulmonary Cystic Fibrosis,C0392164,NA,Approved,NA,NA,adenosine monophosphate
L-Serine,DB00133,"Glaucoma, Open-Angle",C0017612,NA,Approved,NA,NA,l-serine
L-Serine,DB00133,Bacterial urinary infection,C0729524,NA,Approved,NA,NA,l-serine
L-Serine,DB00133,"Tuberculosis, Pulmonary",C0041327,NA,Approved,NA,NA,l-serine
L-Serine,DB00133,Acute tuberculosis,C0275959,NA,Approved,NA,NA,l-serine
L-Serine,DB00133,Escherichia coli urinary tract infection,C0577708,NA,Approved,NA,NA,l-serine
Calcitriol,DB00136,Chronic small plaque psoriasis,C0406317,NA,Approved,NA,NA,calcitriol
Calcitriol,DB00136,Hypocalcemia,C0020598,NA,Approved,NA,NA,calcitriol
Calcitriol,DB00136,Hypophosphatemia,C0085682,NA,Approved,NA,NA,calcitriol
Calcitriol,DB00136,Renal Osteodystrophy,C0035086,NA,Approved,NA,NA,calcitriol
Calcitriol,DB00136,Hypoparathyroidism,C0020626,NA,Approved,NA,NA,calcitriol
Xanthophyll,DB00137,Age related macular degeneration,C0242383,NA,Approved,NA,NA,xanthophyll
Xanthophyll,DB00137,Dry Eye Syndromes,C0013238,NA,Approved,NA,NA,xanthophyll
Xanthophyll,DB00137,Meibomian gland dysfunction,C1275684,NA,Approved,NA,NA,xanthophyll
Succinic acid,DB00139,Iron deficiency anemia,C0162316,NA,Approved,NA,NA,succinic acid
Riboflavin,DB00140,Mineral deficiency,C0687148,NA,Approved,NA,NA,riboflavin
Riboflavin,DB00140,Vitamin Deficiency,C1510471,NA,Approved,NA,NA,riboflavin
Glycine,DB00145,Rhinorrhea,C1260880,NA,Approved,NA,NA,glycine
Glycine,DB00145,Coughing,C0010200,NA,Approved,NA,NA,glycine
Glycine,DB00145,Nasal congestion (finding),C0027424,NA,Approved,NA,NA,glycine
Glycine,DB00145,Allergic rhinitis (disorder),C2607914,NA,Approved,NA,NA,glycine
Glycine,DB00145,Rhinitis,C0035455,NA,Approved,NA,NA,glycine
Glycine,DB00145,Common Cold,C0009443,NA,Approved,NA,NA,glycine
Calcidiol,DB00146,Hypocalcemia,C0020598,NA,Approved,NA,NA,calcidiol
Calcidiol,DB00146,Renal Osteodystrophy,C0035086,NA,Approved,NA,NA,calcidiol
Calcidiol,DB00146,Rickets,C0035579,NA,Approved,NA,NA,calcidiol
Calcidiol,DB00146,Hypophosphatemia,C0085682,NA,Approved,NA,NA,calcidiol
L-Cysteine,DB00151,Bronchitis,C0006277,NA,Approved,NA,NA,l-cysteine
L-Cysteine,DB00151,Poisoning by acetaminophen,C0237963,NA,Approved,NA,NA,l-cysteine
L-Cysteine,DB00151,Amyloidosis,C0002726,NA,Approved,NA,NA,l-cysteine
L-Cysteine,DB00151,Pulmonary Cystic Fibrosis,C0392164,NA,Approved,NA,NA,l-cysteine
L-Cysteine,DB00151,Bronchiectasis,C0006267,NA,Approved,NA,NA,l-cysteine
Thiamine,DB00152,Vitamin B 12 Deficiency,C0042847,NA,Approved,NA,NA,thiamine
Thiamine,DB00152,Wernicke-Korsakoff Syndrome,C0349464,NA,Approved,NA,NA,thiamine
Thiamine,DB00152,Vitamin Deficiency,C1510471,NA,Approved,NA,NA,thiamine
Thiamine,DB00152,"Anemia, Pernicious",C0002892,NA,Approved,NA,NA,thiamine
Thiamine,DB00152,Thiamine Deficiency,C0039841,NA,Approved,NA,NA,thiamine
Thiamine,DB00152,Mineral deficiency,C0687148,NA,Approved,NA,NA,thiamine
Ergocalciferol,DB00153,Vitamin D Deficiency,C0042870,NA,Approved,NA,NA,ergocalciferol
Ergocalciferol,DB00153,Osteomalacia,C0029442,NA,Approved,NA,NA,ergocalciferol
Ergocalciferol,DB00153,Rickets,C0035579,NA,Approved,NA,NA,ergocalciferol
Ergocalciferol,DB00153,Vitamin D-dependent rickets,C0221468,NA,Approved,NA,NA,ergocalciferol
Ergocalciferol,DB00153,Vitamin Deficiency,C1510471,NA,Approved,NA,NA,ergocalciferol
Ergocalciferol,DB00153,Osteoporosis,C0029456,NA,Approved,NA,NA,ergocalciferol
Ergocalciferol,DB00153,Hypocalcemia,C0020598,NA,Approved,NA,NA,ergocalciferol
Ergocalciferol,DB00153,"Osteoporosis, Postmenopausal",C0029458,NA,Approved,NA,NA,ergocalciferol
Ergocalciferol,DB00153,"Vitamin D-Resistant Rickets, X-Linked",C3536984,NA,Approved,NA,NA,ergocalciferol
Ergocalciferol,DB00153,Hypoparathyroidism,C0020626,NA,Approved,NA,NA,ergocalciferol
Folic Acid,DB00158,Megaloblastic anemia due to folate deficiency,C0151482,NA,Approved,NA,NA,folic acid
Folic Acid,DB00158,Mineral deficiency,C0687148,NA,Approved,NA,NA,folic acid
Folic Acid,DB00158,Breastfeeding (mother),C1623040,NA,Approved,NA,NA,folic acid
Folic Acid,DB00158,Iron deficiency anemia,C0162316,NA,Approved,NA,NA,folic acid
Folic Acid,DB00158,Folic Acid Deficiency,C0016412,NA,Approved,NA,NA,folic acid
Folic Acid,DB00158,Vitamin Deficiency,C1510471,NA,Approved,NA,NA,folic acid
Icosapent,DB00159,Breastfeeding (mother),C1623040,NA,Approved,NA,NA,icosapent
Icosapent,DB00159,Hypertriglyceridemia,C0020557,NA,Approved,NA,NA,icosapent
Vitamin A,DB00162,Mineral deficiency,C0687148,NA,Approved,NA,NA,vitamin a
Vitamin A,DB00162,Vitamin Deficiency,C1510471,NA,Approved,NA,NA,vitamin a
Vitamin A,DB00162,Vitamin A Deficiency,C0042842,NA,Approved,NA,NA,vitamin a
Vitamin E,DB00163,Vitamin E Deficiency,C0042875,NA,Approved,NA,NA,vitamin e
Pyridoxine,DB00165,Breastfeeding (mother),C1623040,NA,Approved,NA,NA,pyridoxine
Pyridoxine,DB00165,"EPILEPSY, PYRIDOXINE-DEPENDENT",C1849508,NA,Approved,NA,NA,pyridoxine
Pyridoxine,DB00165,Vitamin B 6 Deficiency,C0936215,NA,Approved,NA,NA,pyridoxine
Lipoic Acid,DB00166,Diabetic peripheral neuropathy,C0740447,NA,Approved,NA,NA,lipoic acid
Cholecalciferol,DB00169,"Osteoporosis, Postmenopausal",C0029458,NA,Approved,NA,NA,cholecalciferol
Cholecalciferol,DB00169,Hypoparathyroidism,C0020626,NA,Approved,NA,NA,cholecalciferol
Cholecalciferol,DB00169,Rickets,C0035579,NA,Approved,NA,NA,cholecalciferol
Cholecalciferol,DB00169,Hypocalcemia,C0020598,NA,Approved,NA,NA,cholecalciferol
Cholecalciferol,DB00169,Vitamin Deficiency,C1510471,NA,Approved,NA,NA,cholecalciferol
Cholecalciferol,DB00169,Osteomalacia,C0029442,NA,Approved,NA,NA,cholecalciferol
Cholecalciferol,DB00169,Vitamin D-dependent rickets,C0221468,NA,Approved,NA,NA,cholecalciferol
Cholecalciferol,DB00169,Osteoporosis,C0029456,NA,Approved,NA,NA,cholecalciferol
Pravastatin,DB00175,Cerebrovascular accident,C0038454,NA,Approved,NA,NA,pravastatin
Pravastatin,DB00175,Hyperlipoproteinemia Type III,C0020479,NA,Approved,NA,NA,pravastatin
Pravastatin,DB00175,Familial hypercholesterolemia - heterozygous,C0342882,NA,Approved,NA,NA,pravastatin
Pravastatin,DB00175,Hypercholesterolemia,C0020443,NA,Approved,NA,NA,pravastatin
Pravastatin,DB00175,Hypertriglyceridemia,C0020557,NA,Approved,NA,NA,pravastatin
Pravastatin,DB00175,"Hyperlipidemia, Familial Combined",C0020474,NA,Approved,NA,NA,pravastatin
Pravastatin,DB00175,Arteriosclerosis,C0003850,NA,Approved,NA,NA,pravastatin
Fluvoxamine,DB00176,Obsessive-Compulsive Disorder,C0028768,NA,Approved,NA,NA,fluvoxamine
Fluvoxamine,DB00176,"Phobia, Social",C0031572,NA,Approved,NA,NA,fluvoxamine
Valsartan,DB00177,Chronic heart failure,C0264716,NA,Approved,NA,NA,valsartan
Valsartan,DB00177,Hypertensive disease,C0020538,NA,Approved,NA,NA,valsartan
Ramipril,DB00178,Cerebrovascular accident,C0038454,NA,Approved,NA,NA,ramipril
Ramipril,DB00178,Chronic heart failure,C0264716,NA,Approved,NA,NA,ramipril
Ramipril,DB00178,Hypertensive disease,C0020538,NA,Approved,NA,NA,ramipril
Masoprocol,DB00179,Actinic keratosis,C0022602,NA,Approved,NA,NA,masoprocol
Flunisolide,DB00180,Allergic rhinitis (disorder),C2607914,NA,Approved,NA,NA,flunisolide
Flunisolide,DB00180,Asthma,C0004096,NA,Approved,NA,NA,flunisolide
Baclofen,DB00181,Muscle spasticity of spinal origin,C1562430,NA,Approved,NA,NA,baclofen
Amphetamine,DB00182,Obesity,C0028754,NA,Approved,NA,NA,amphetamine
Amphetamine,DB00182,Attention deficit hyperactivity disorder,C1263846,NA,Approved,NA,NA,amphetamine
Amphetamine,DB00182,Narcolepsy,C0027404,NA,Approved,NA,NA,amphetamine
Nicotine,DB00184,Pellagra,C0030783,NA,Approved,NA,NA,nicotine
Nicotine,DB00184,Nicotine Dependence,C0028043,NA,Approved,NA,NA,nicotine
Lorazepam,DB00186,Lennox-Gastaut syndrome,C0238111,NA,Approved,NA,NA,lorazepam
Lorazepam,DB00186,Absence Epilepsy,C0014553,NA,Approved,NA,NA,lorazepam
Lorazepam,DB00186,"Epilepsies, Myoclonic",C0014550,NA,Approved,NA,NA,lorazepam
Lorazepam,DB00186,Epileptic drop attack,C0270846,NA,Approved,NA,NA,lorazepam
Lorazepam,DB00186,Anxiety,C0003467,NA,Approved,NA,NA,lorazepam
Lorazepam,DB00186,Status Epilepticus,C0038220,NA,Approved,NA,NA,lorazepam
Lorazepam,DB00186,Panic Disorder,C0030319,NA,Approved,NA,NA,lorazepam
Esmolol,DB00187,Atrial Fibrillation,C0004238,NA,Approved,NA,NA,esmolol
Esmolol,DB00187,Supraventricular tachycardia,C0039240,NA,Approved,NA,NA,esmolol
Esmolol,DB00187,Perioperative hypertension,C3661921,NA,Approved,NA,NA,esmolol
Bortezomib,DB00188,Multiple Myeloma,C0026764,NA,Approved,NA,NA,bortezomib
Bortezomib,DB00188,"Malignant lymphoma, lymphocytic, intermediate differentiation, diffuse",C0334634,NA,Approved,NA,NA,bortezomib
Ethchlorvynol,DB00189,Sleeplessness,C0917801,NA,Approved,NA,NA,ethchlorvynol
Carbidopa,DB00190,Parkinson Disease,C0030567,NA,Approved,NA,NA,carbidopa
Carbidopa,DB00190,Parkinsonian Disorders,C0242422,NA,Approved,NA,NA,carbidopa
Carbidopa,DB00190,"Parkinson Disease, Postencephalitic",C0030568,NA,Approved,NA,NA,carbidopa
Phentermine,DB00191,Hypotension,C0020649,NA,Approved,NA,NA,phentermine
Phentermine,DB00191,Obesity,C0028754,NA,Approved,NA,NA,phentermine
Tramadol,DB00193,Chronic pain,C0150055,NA,Approved,NA,NA,tramadol
Tramadol,DB00193,Degenerative polyarthritis,C0029408,NA,Approved,NA,NA,tramadol
Tramadol,DB00193,Pain,C0030193,NA,Approved,NA,NA,tramadol
Vidarabine,DB00194,"Keratitis, Dendritic",C0022570,NA,Approved,NA,NA,vidarabine
Vidarabine,DB00194,"Keratitis, Herpetic",C0019357,NA,Approved,NA,NA,vidarabine
Betaxolol,DB00195,Hypertensive disease,C0020538,NA,Approved,NA,NA,betaxolol
Betaxolol,DB00195,Ocular Hypertension,C0028840,NA,Approved,NA,NA,betaxolol
Betaxolol,DB00195,"Glaucoma, Open-Angle",C0017612,NA,Approved,NA,NA,betaxolol
Fluconazole,DB00196,Oropharyngeal candidiasis,C0919659,NA,Approved,NA,NA,fluconazole
Fluconazole,DB00196,Septicemia candida,C0349009,NA,Approved,NA,NA,fluconazole
Fluconazole,DB00196,"Candidiasis, Vulvovaginal",C0700345,NA,Approved,NA,NA,fluconazole
Fluconazole,DB00196,Oral candidiasis,C0006849,NA,Approved,NA,NA,fluconazole
Fluconazole,DB00196,Mucocutaneous candidiasis,C0006848,NA,Approved,NA,NA,fluconazole
Fluconazole,DB00196,Candidiasis of the esophagus,C0239295,NA,Approved,NA,NA,fluconazole
